# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:22 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 3589 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'SDSS J053951.99-005902.0' /                                          
# SPTYPE  = 'L5      '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXD_R   = '1200    '           / Resolving power for SXD mode                   
# MINWAVE =             0.931797 / Minimum wavelength (um)                        
# MAXWAVE =              2.41170 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        12.5040000000 / 2MASS J magnitude                              
# JERR    =      0.0270000000000 / 2MASS J magnitude error                        
# H       =        11.7630000000 / 2MASS H magnitude                              
# HERR    =      0.0240000000000 / 2MASS H magnitude error                        
# KS      =        11.5700000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0230000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0141447000000 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.931797                4.59926e-15         2.92736e-15
             0.932069                4.86365e-15         2.47146e-15
             0.932341                4.70675e-15         2.05044e-15
             0.932613                5.55442e-15         2.09812e-15
             0.932884                8.66312e-15         2.33696e-15
             0.933156                1.52663e-14         2.32054e-15
             0.933428                1.95061e-14         2.22633e-15
             0.933699                1.85301e-14         2.26316e-15
             0.933971                1.19306e-14         2.03121e-15
             0.934243                9.55611e-15         1.76126e-15
             0.934514                7.34803e-15         2.22576e-15
             0.934786                7.02725e-15         2.62493e-15
             0.935058                7.23283e-15         2.28405e-15
             0.935329                1.16579e-14         2.21498e-15
             0.935601                1.41285e-14         2.79866e-15
             0.935872                1.48441e-14         3.05614e-15
             0.936144                1.19082e-14         2.87748e-15
             0.936416                1.05656e-14         2.50945e-15
             0.936687                1.00373e-14         2.18777e-15
             0.936959                9.90773e-15         2.10583e-15
             0.937230                1.16632e-14         1.88566e-15
             0.937502                1.20145e-14         1.63112e-15
             0.937774                1.03704e-14         1.71558e-15
             0.938045                8.34662e-15         1.57539e-15
             0.938317                9.88049e-15         1.25388e-15
             0.938588                8.99669e-15         1.27152e-15
             0.938860                7.08013e-15         1.42235e-15
             0.939131                7.15026e-15         1.36198e-15
             0.939403                9.08072e-15         1.36780e-15
             0.939674                1.12998e-14         1.75687e-15
             0.939946                1.29656e-14         1.85782e-15
             0.940217                1.36107e-14         1.64121e-15
             0.940489                1.30428e-14         1.70280e-15
             0.940760                1.31772e-14         1.84409e-15
             0.941032                1.37795e-14         1.76480e-15
             0.941303                1.37089e-14         1.69032e-15
             0.941575                1.41564e-14         1.64810e-15
             0.941846                1.36764e-14         1.63849e-15
             0.942118                1.26553e-14         1.58699e-15
             0.942389                1.13421e-14         1.43225e-15
             0.942661                1.07076e-14         1.57067e-15
             0.942932                8.06050e-15         1.75147e-15
             0.943203                8.61612e-15         1.59591e-15
             0.943475                1.02853e-14         1.35887e-15
             0.943746                1.04330e-14         1.31677e-15
             0.944018                9.92793e-15         1.68954e-15
             0.944289                1.17169e-14         1.98098e-15
             0.944560                1.26296e-14         1.78082e-15
             0.944832                1.15114e-14         1.47956e-15
             0.945103                1.17218e-14         1.53844e-15
             0.945374                1.21325e-14         1.51224e-15
             0.945646                1.14561e-14         1.33024e-15
             0.945917                1.19259e-14         1.55639e-15
             0.946189                1.31019e-14         1.79337e-15
             0.946460                1.40641e-14         1.62860e-15
             0.946731                1.45478e-14         1.48698e-15
             0.947003                1.49877e-14         1.44540e-15
             0.947274                1.35541e-14         1.28275e-15
             0.947545                1.04128e-14         1.38182e-15
             0.947816                1.11001e-14         1.59276e-15
             0.948088                1.48854e-14         1.53933e-15
             0.948359                1.53031e-14         1.44239e-15
             0.948630                1.37460e-14         1.45324e-15
             0.948902                1.42079e-14         1.35459e-15
             0.949173                1.43816e-14         1.22729e-15
             0.949444                1.31905e-14         1.31366e-15
             0.949715                1.32355e-14         1.46056e-15
             0.949987                1.40107e-14         1.41333e-15
             0.950258                1.19996e-14         1.35263e-15
             0.950529                1.15376e-14         1.17709e-15
             0.950800                1.34246e-14         9.91435e-16
             0.951072                1.69581e-14         1.07029e-15
             0.951343                1.76386e-14         1.19243e-15
             0.951614                1.56361e-14         1.17628e-15
             0.951885                1.43988e-14         1.01530e-15
             0.952156                1.62233e-14         9.54491e-16
             0.952427                1.62269e-14         1.04963e-15
             0.952699                1.45384e-14         1.02976e-15
             0.952970                1.33858e-14         9.53492e-16
             0.953241                1.35729e-14         1.16664e-15
             0.953512                1.27806e-14         1.40359e-15
             0.953783                1.21827e-14         1.31347e-15
             0.954054                1.20998e-14         1.09321e-15
             0.954326                1.31639e-14         8.90747e-16
             0.954597                1.30197e-14         9.14695e-16
             0.954868                1.25097e-14         1.13724e-15
             0.955139                1.29209e-14         1.27592e-15
             0.955410                1.35563e-14         1.33702e-15
             0.955681                1.36559e-14         1.29533e-15
             0.955952                1.48025e-14         1.11290e-15
             0.956223                1.76610e-14         9.07898e-16
             0.956494                1.81162e-14         9.24868e-16
             0.956765                1.77592e-14         1.01414e-15
             0.957036                1.71507e-14         1.08552e-15
             0.957308                1.58055e-14         1.06271e-15
             0.957579                1.40019e-14         1.05259e-15
             0.957850                1.42710e-14         9.48689e-16
             0.958121                1.53609e-14         9.43859e-16
             0.958392                1.56597e-14         1.08362e-15
             0.958663                1.56852e-14         1.14360e-15
             0.958934                1.44198e-14         1.02692e-15
             0.959205                1.29230e-14         9.65522e-16
             0.959476                1.17872e-14         9.20215e-16
             0.959747                1.29484e-14         8.14240e-16
             0.960018                1.27008e-14         1.05227e-15
             0.960289                1.20072e-14         1.38377e-15
             0.960560                1.21510e-14         1.39399e-15
             0.960831                1.35900e-14         1.23060e-15
             0.961102                1.30323e-14         1.12063e-15
             0.961373                1.29310e-14         1.02161e-15
             0.961644                1.41159e-14         9.08106e-16
             0.961915                1.55405e-14         9.37285e-16
             0.962186                1.59648e-14         8.78623e-16
             0.962456                1.58900e-14         8.44015e-16
             0.962727                1.50270e-14         8.31364e-16
             0.962998                1.47229e-14         8.60914e-16
             0.963269                1.65873e-14         1.01595e-15
             0.963540                1.65158e-14         1.33020e-15
             0.963811                1.37349e-14         1.50562e-15
             0.964082                9.14363e-15         1.39252e-15
             0.964353                7.84354e-15         1.14356e-15
             0.964624                9.44613e-15         9.29003e-16
             0.964895                1.18979e-14         9.20242e-16
             0.965165                1.25028e-14         9.46377e-16
             0.965436                1.31093e-14         1.00810e-15
             0.965707                1.41116e-14         1.07835e-15
             0.965978                1.48229e-14         1.08618e-15
             0.966249                1.45834e-14         1.08406e-15
             0.966520                1.42014e-14         1.13402e-15
             0.966791                1.41830e-14         1.09958e-15
             0.967061                1.46500e-14         8.86087e-16
             0.967332                1.58637e-14         8.24554e-16
             0.967603                1.60304e-14         7.80860e-16
             0.967874                1.43835e-14         6.87659e-16
             0.968145                1.27116e-14         7.13044e-16
             0.968415                1.30477e-14         7.58522e-16
             0.968686                1.24608e-14         6.57606e-16
             0.968957                1.11048e-14         5.71974e-16
             0.969228                1.11387e-14         7.26205e-16
             0.969499                1.25165e-14         8.71456e-16
             0.969769                1.35820e-14         9.04408e-16
             0.970040                1.46134e-14         1.00078e-15
             0.970311                1.47455e-14         1.07968e-15
             0.970582                1.58913e-14         1.02939e-15
             0.970852                1.74201e-14         1.03166e-15
             0.971123                1.77164e-14         1.05284e-15
             0.971394                1.59193e-14         9.17127e-16
             0.971664                1.56661e-14         8.03542e-16
             0.971935                1.61361e-14         7.48427e-16
             0.972206                1.46804e-14         7.02004e-16
             0.972477                1.44863e-14         6.65150e-16
             0.972747                1.45182e-14         7.93127e-16
             0.973018                1.49056e-14         1.03118e-15
             0.973289                1.40890e-14         1.13426e-15
             0.973559                1.42227e-14         1.15120e-15
             0.973830                1.48631e-14         1.11994e-15
             0.974101                1.45324e-14         9.86554e-16
             0.974371                1.36880e-14         1.01799e-15
             0.974642                1.31617e-14         1.15233e-15
             0.974913                1.46890e-14         1.02309e-15
             0.975183                1.64363e-14         7.92209e-16
             0.975454                1.73494e-14         8.36061e-16
