# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:11 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6212 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'Kelu-1AB'           /                                                
# SPTYPE  = 'L2      '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXD_R   = '1200    '           / Resolving power for SXD mode                   
# LXD_R   = '940     '           / Resolving power for LXD mode                   
# MINWAVE =             0.930422 / Minimum wavelength (um)                        
# MAXWAVE =              4.14757 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        13.4140000000 / 2MASS J magnitude                              
# JERR    =      0.0260000000000 / 2MASS J magnitude error                        
# H       =        12.3920000000 / 2MASS H magnitude                              
# HERR    =      0.0250000000000 / 2MASS H magnitude error                        
# KS      =        11.7470000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0230000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0141853000000 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.930422                6.55930e-15         9.06127e-16
             0.930694                5.24524e-15         1.17204e-15
             0.930966                4.30382e-15         1.24999e-15
             0.931238                5.94812e-15         1.21250e-15
             0.931510                8.17535e-15         1.14019e-15
             0.931782                7.49576e-15         1.12537e-15
             0.932054                5.38855e-15         1.21419e-15
             0.932326                2.79167e-15         1.02670e-15
             0.932597                3.00133e-15         8.52039e-16
             0.932869                4.93082e-15         9.31977e-16
             0.933141                6.96098e-15         1.22666e-15
             0.933413                5.18767e-15         1.38088e-15
             0.933685                4.58538e-15         1.19944e-15
             0.933957                4.71024e-15         1.04214e-15
             0.934229                4.63730e-15         9.98364e-16
             0.934500                4.08780e-15         9.46633e-16
             0.934772                5.18845e-15         9.02386e-16
             0.935044                6.52354e-15         8.74679e-16
             0.935316                8.01884e-15         1.05523e-15
             0.935588                9.16014e-15         1.15723e-15
             0.935859                8.84519e-15         1.22145e-15
             0.936131                7.17925e-15         1.27914e-15
             0.936403                6.88609e-15         1.27126e-15
             0.936675                6.93638e-15         1.21978e-15
             0.936947                7.04235e-15         1.07277e-15
             0.937218                6.16332e-15         1.01380e-15
             0.937490                5.04570e-15         1.09772e-15
             0.937762                4.35376e-15         1.23236e-15
             0.938034                5.51902e-15         1.21787e-15
             0.938305                6.87829e-15         1.01429e-15
             0.938577                6.88426e-15         9.73501e-16
             0.938849                6.56550e-15         1.12682e-15
             0.939120                6.34830e-15         1.10615e-15
             0.939392                5.88951e-15         8.46305e-16
             0.939664                4.71366e-15         6.94449e-16
             0.939935                5.22865e-15         8.09863e-16
             0.940207                7.20538e-15         9.23159e-16
             0.940479                7.85090e-15         9.23517e-16
             0.940750                7.00657e-15         9.92755e-16
             0.941022                6.41886e-15         1.04203e-15
             0.941294                7.41566e-15         1.00242e-15
             0.941565                8.19370e-15         8.25631e-16
             0.941837                8.48371e-15         6.97005e-16
             0.942108                7.22774e-15         7.11394e-16
             0.942380                6.72085e-15         7.38572e-16
             0.942652                6.88092e-15         6.83478e-16
             0.942923                7.10746e-15         6.75411e-16
             0.943195                7.51259e-15         7.33548e-16
             0.943466                8.71321e-15         7.68378e-16
             0.943738                9.15948e-15         8.69357e-16
             0.944010                8.16758e-15         1.07586e-15
             0.944281                7.46017e-15         1.14484e-15
             0.944553                7.60002e-15         9.43263e-16
             0.944824                8.17874e-15         8.43129e-16
             0.945096                7.97839e-15         8.39924e-16
             0.945367                7.62072e-15         8.11061e-16
