# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:15 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6203 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = '2MASS J15065441+1321060' /                                           
# SPTYPE  = 'L3      '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '940     '           / Resolving power for LXD mode                   
# MINWAVE =             0.931440 / Minimum wavelength (um)                        
# MAXWAVE =              4.14890 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        13.3650000000 / 2MASS J magnitude                              
# JERR    =      0.0230000000000 / 2MASS J magnitude error                        
# H       =        12.3800000000 / 2MASS H magnitude                              
# HERR    =      0.0210000000000 / 2MASS H magnitude error                        
# KS      =        11.7410000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0190000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0120142000000 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.931440               -9.99000e+02        -9.99000e+02
             0.931712                6.26156e-15         1.23614e-15
             0.931983                5.59754e-15         1.11899e-15
             0.932255                6.52012e-15         9.61392e-16
             0.932527                6.57765e-15         9.62812e-16
             0.932799                5.23720e-15         9.18391e-16
             0.933071                5.21472e-15         7.44828e-16
             0.933343                6.45222e-15         7.89874e-16
             0.933615                6.99021e-15         9.74702e-16
             0.933886                6.31077e-15         9.88554e-16
             0.934158                5.89638e-15         9.69227e-16
             0.934430                3.28220e-15         9.89157e-16
             0.934702                3.42665e-15         8.86072e-16
             0.934974                4.55774e-15         8.32137e-16
             0.935245                4.81985e-15         8.27646e-16
             0.935517                3.83049e-15         7.95035e-16
             0.935789                3.99567e-15         8.99214e-16
             0.936061                4.64031e-15         1.04944e-15
             0.936333                6.17504e-15         9.98112e-16
             0.936604                7.42321e-15         8.70401e-16
             0.936876                7.23863e-15         1.02241e-15
             0.937148                6.30672e-15         1.26393e-15
             0.937420                6.84739e-15         1.27504e-15
             0.937691                6.79838e-15         1.03836e-15
             0.937963                7.10309e-15         8.35183e-16
             0.938235                6.98504e-15         7.84902e-16
             0.938506                7.58261e-15         6.47373e-16
             0.938778                6.85356e-15         5.91043e-16
             0.939050                6.22692e-15         6.65619e-16
             0.939321                5.74175e-15         6.49483e-16
             0.939593                7.18039e-15         5.27444e-16
             0.939865                7.95318e-15         4.67823e-16
             0.940136                7.64590e-15         4.63548e-16
             0.940408                6.67827e-15         4.66249e-16
             0.940680                6.35325e-15         5.57869e-16
             0.940951                6.70288e-15         6.78776e-16
             0.941223                7.08940e-15         6.83454e-16
             0.941495                7.55926e-15         6.68601e-16
             0.941766                7.32639e-15         7.53381e-16
             0.942038                6.92153e-15         7.36892e-16
             0.942309                6.85840e-15         5.56759e-16
             0.942581                6.73912e-15         4.53359e-16
             0.942852                6.90345e-15         5.88171e-16
             0.943124                7.04473e-15         6.73583e-16
             0.943396                7.01157e-15         5.69383e-16
             0.943667                6.57069e-15         4.61540e-16
             0.943939                6.03918e-15         6.40304e-16
             0.944210                5.56678e-15         7.96138e-16
             0.944482                5.62446e-15         7.05477e-16
             0.944753                7.32575e-15         5.20120e-16
             0.945025                8.30683e-15         4.20303e-16
             0.945296                7.72008e-15         4.77974e-16
             0.945568                6.63335e-15         6.42620e-16
             0.945839                5.48106e-15         7.04054e-16
             0.946111                5.06037e-15         6.59708e-16
             0.946382                5.77949e-15         6.22274e-16
             0.946654                7.67877e-15         5.90680e-16
             0.946925                7.85577e-15         5.32299e-16
             0.947197                7.24018e-15         5.14807e-16
             0.947468                7.08264e-15         5.32708e-16
             0.947739                8.21706e-15         5.33215e-16
             0.948011                8.38168e-15         6.02863e-16
             0.948282                7.83393e-15         7.09612e-16
             0.948554                7.09000e-15         7.33672e-16
             0.948825                6.66720e-15         6.98977e-16
             0.949097                7.02486e-15         6.69879e-16
             0.949368                7.92659e-15         6.58644e-16
             0.949639                8.67111e-15         6.40651e-16
             0.949911                8.50552e-15         5.69860e-16
             0.950182                9.25117e-15         4.77450e-16
             0.950453                9.85738e-15         4.19152e-16
             0.950725                1.03027e-14         4.06236e-16
             0.950996                9.76777e-15         4.05629e-16
             0.951267                1.01341e-14         3.90233e-16
             0.951539                9.69189e-15         3.52765e-16
             0.951810                9.07952e-15         3.44010e-16
             0.952081                8.63560e-15         4.00483e-16
             0.952353                8.68133e-15         5.19003e-16
             0.952624                8.03989e-15         6.02137e-16
             0.952895                7.41039e-15         5.45664e-16
             0.953167                8.22786e-15         4.60157e-16
             0.953438                8.15562e-15         4.43630e-16
             0.953709                7.85028e-15         4.46715e-16
             0.953981                7.37969e-15         4.76924e-16
             0.954252                7.97526e-15         5.27075e-16
             0.954523                7.79157e-15         5.20142e-16
             0.954794                8.15575e-15         4.36700e-16
             0.955065                8.61146e-15         3.77110e-16
             0.955337                9.00807e-15         3.96272e-16
             0.955608                8.70514e-15         4.57809e-16
             0.955879                8.39512e-15         4.80828e-16
             0.956150                9.25390e-15         4.48288e-16
             0.956422                9.21835e-15         4.10156e-16
             0.956693                7.96182e-15         4.11776e-16
             0.956964                6.79664e-15         4.29864e-16
             0.957235                7.26527e-15         4.22616e-16
             0.957506                7.84895e-15         3.96323e-16
             0.957778                7.96608e-15         3.98448e-16
             0.958049                8.04377e-15         4.02652e-16
             0.958320                8.48415e-15         4.77978e-16
             0.958591                8.19892e-15         5.08557e-16
             0.958862                7.41888e-15         4.48869e-16
             0.959133                6.20179e-15         4.23872e-16
             0.959404                6.01119e-15         4.15242e-16
             0.959675                6.50770e-15         4.19720e-16
             0.959947                7.08169e-15         3.81393e-16
             0.960218                7.30078e-15         3.19436e-16
             0.960489                7.29410e-15         3.29552e-16
             0.960760                7.23478e-15         4.02733e-16
             0.961031                7.59476e-15         4.07678e-16
             0.961302                7.69103e-15         3.49826e-16
             0.961573                7.56872e-15         3.47123e-16
             0.961844                7.77021e-15         3.77443e-16
             0.962115                7.67613e-15         3.83990e-16
             0.962386                8.17893e-15         4.11977e-16
             0.962657                8.41365e-15         4.70430e-16
             0.962928                8.59557e-15         4.84504e-16
             0.963199                7.19816e-15         3.97695e-16
             0.963470                6.93637e-15         3.24140e-16
             0.963741                6.60937e-15         3.26577e-16
             0.964012                5.93303e-15         3.50405e-16
             0.964283                5.48307e-15         4.07958e-16
             0.964554                6.50540e-15         4.10849e-16
             0.964825                6.98073e-15         4.40854e-16
             0.965096                7.03378e-15         4.74042e-16
             0.965367                6.98969e-15         4.02154e-16
             0.965638                7.73688e-15         4.06447e-16
             0.965909                7.51212e-15         4.71776e-16
             0.966180                7.37993e-15         4.41676e-16
             0.966451                7.55270e-15         3.69148e-16
             0.966722                7.94207e-15         2.64768e-16
             0.966993                8.19994e-15         2.33274e-16
             0.967264                7.99631e-15         3.15094e-16
             0.967535                7.82667e-15         3.42236e-16
             0.967806                7.55458e-15         3.09646e-16
             0.968077                8.04947e-15         3.45022e-16
             0.968348                8.23187e-15         4.15205e-16
             0.968618                7.65876e-15         4.07531e-16
             0.968889                6.88380e-15         3.11825e-16
