# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:17 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6689 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = '2MASS J00361617+1821104' /                                           
# SPTYPE  = 'L3.5    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '940     '           / Resolving power for LXD mode                   
# MINWAVE =             0.814107 / Minimum wavelength (um)                        
# MAXWAVE =              4.12467 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        12.4660000000 / 2MASS J magnitude                              
# JERR    =      0.0270000000000 / 2MASS J magnitude error                        
# H       =        11.5880000000 / 2MASS H magnitude                              
# HERR    =      0.0300000000000 / 2MASS H magnitude error                        
# KS      =        11.0580000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0210000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0145089000000 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.814107                8.59015e-15         6.99477e-16
             0.814340                6.73491e-15         6.96811e-16
             0.814573                6.17314e-15         7.36711e-16
             0.814806                6.63923e-15         8.09300e-16
             0.815039                6.26900e-15         8.85043e-16
             0.815272                5.35921e-15         8.77294e-16
             0.815505                6.19516e-15         8.86852e-16
             0.815738                6.45328e-15         9.57661e-16
             0.815971                5.55249e-15         1.03311e-15
             0.816204                5.23249e-15         9.81241e-16
             0.816437                6.63797e-15         7.60970e-16
             0.816670                6.20973e-15         6.11783e-16
             0.816903                6.07156e-15         8.91212e-16
             0.817136                6.12916e-15         1.28390e-15
             0.817368                6.87813e-15         1.22738e-15
             0.817601                6.07388e-15         8.18619e-16
             0.817834                5.88711e-15         5.83589e-16
             0.818067                5.26242e-15         7.99108e-16
             0.818300                5.05340e-15         1.10365e-15
             0.818533                6.19605e-15         1.10932e-15
             0.818766                6.85630e-15         9.74294e-16
             0.818998                5.41204e-15         1.21752e-15
             0.819231                3.79617e-15         1.47517e-15
             0.819464                3.70790e-15         1.15851e-15
             0.819697                3.85351e-15         7.06504e-16
             0.819930                4.76998e-15         6.02522e-16
             0.820163                6.12789e-15         7.20820e-16
             0.820395                6.08542e-15         8.59849e-16
             0.820628                5.68203e-15         8.40110e-16
             0.820861                6.06789e-15         9.18258e-16
             0.821094                7.30787e-15         8.90704e-16
             0.821327                7.23259e-15         8.27065e-16
             0.821559                7.31669e-15         7.93133e-16
             0.821792                7.39713e-15         6.73532e-16
             0.822025                7.71537e-15         6.75477e-16
             0.822258                7.17863e-15         7.94116e-16
             0.822491                7.21028e-15         6.69151e-16
             0.822723                7.79427e-15         6.69197e-16
             0.822956                8.63197e-15         8.84018e-16
             0.823189                9.30936e-15         8.29081e-16
             0.823422                8.40714e-15         5.89133e-16
             0.823654                8.42498e-15         5.16593e-16
             0.823887                7.60998e-15         5.84574e-16
             0.824120                8.64631e-15         6.98391e-16
             0.824352                8.01245e-15         8.15052e-16
             0.824585                9.00057e-15         9.56328e-16
             0.824818                8.13767e-15         8.74392e-16
             0.825051                7.68800e-15         6.86303e-16
             0.825283                6.94392e-15         5.24365e-16
             0.825516                7.27034e-15         5.31657e-16
             0.825749                7.07491e-15         7.64629e-16
             0.825981                7.26663e-15         8.47861e-16
             0.826214                8.17838e-15         7.42661e-16
             0.826447                8.77978e-15         6.36252e-16
             0.826679                8.03236e-15         6.50183e-16
             0.826912                8.09352e-15         8.54765e-16
