# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:19 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 3586 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = '2MASS J22244381-0158521' /                                           
# SPTYPE  = 'L4.5    '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXD_R   = '1200    '           / Resolving power for SXD mode                   
# LXD_R   = '940     '           / Resolving power for LXD mode                   
# MINWAVE =             0.932559 / Minimum wavelength (um)                        
# MAXWAVE =              2.41190 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        14.0730000000 / 2MASS J magnitude                              
# JERR    =      0.0270000000000 / 2MASS J magnitude error                        
# H       =        12.8180000000 / 2MASS H magnitude                              
# HERR    =      0.0260000000000 / 2MASS H magnitude error                        
# KS      =        12.0220000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0230000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0145227000000 / Relative error in the absolute flux calibration
# RV      = 'NAN     '           / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.932559               -9.99000e+02        -9.99000e+02
             0.932831               -9.99000e+02        -9.99000e+02
             0.933103               -9.99000e+02        -9.99000e+02
             0.933375               -9.99000e+02        -9.99000e+02
             0.933647               -9.99000e+02        -9.99000e+02
             0.933918               -9.99000e+02        -9.99000e+02
             0.934190               -9.99000e+02        -9.99000e+02
             0.934462               -9.99000e+02        -9.99000e+02
             0.934734               -9.99000e+02        -9.99000e+02
             0.935005               -9.99000e+02        -9.99000e+02
             0.935277               -9.99000e+02        -9.99000e+02
             0.935549               -9.99000e+02        -9.99000e+02
             0.935820               -9.99000e+02        -9.99000e+02
             0.936092               -9.99000e+02        -9.99000e+02
             0.936364               -9.99000e+02        -9.99000e+02
             0.936635               -9.99000e+02        -9.99000e+02
             0.936907               -9.99000e+02        -9.99000e+02
             0.937179               -9.99000e+02        -9.99000e+02
             0.937450               -9.99000e+02        -9.99000e+02
             0.937722               -9.99000e+02        -9.99000e+02
             0.937994               -9.99000e+02        -9.99000e+02
             0.938265               -9.99000e+02        -9.99000e+02
             0.938537               -9.99000e+02        -9.99000e+02
             0.938809               -9.99000e+02        -9.99000e+02
             0.939080               -9.99000e+02        -9.99000e+02
             0.939352               -9.99000e+02        -9.99000e+02
             0.939623               -9.99000e+02        -9.99000e+02
             0.939895               -9.99000e+02        -9.99000e+02
             0.940167               -9.99000e+02        -9.99000e+02
             0.940438               -9.99000e+02        -9.99000e+02
             0.940710               -9.99000e+02        -9.99000e+02
             0.940981               -9.99000e+02        -9.99000e+02
             0.941253               -9.99000e+02        -9.99000e+02
             0.941524               -9.99000e+02        -9.99000e+02
             0.941796               -9.99000e+02        -9.99000e+02
             0.942067               -9.99000e+02        -9.99000e+02
             0.942339               -9.99000e+02        -9.99000e+02
             0.942610               -9.99000e+02        -9.99000e+02
             0.942882               -9.99000e+02        -9.99000e+02
             0.943153               -9.99000e+02        -9.99000e+02
             0.943425               -9.99000e+02        -9.99000e+02
             0.943696               -9.99000e+02        -9.99000e+02
             0.943968               -9.99000e+02        -9.99000e+02
             0.944239               -9.99000e+02        -9.99000e+02
             0.944511               -9.99000e+02        -9.99000e+02
             0.944782               -9.99000e+02        -9.99000e+02
             0.945054               -9.99000e+02        -9.99000e+02
             0.945325               -9.99000e+02        -9.99000e+02
             0.945597               -9.99000e+02        -9.99000e+02
             0.945868               -9.99000e+02        -9.99000e+02
             0.946139               -9.99000e+02        -9.99000e+02
             0.946411               -9.99000e+02        -9.99000e+02
             0.946682               -9.99000e+02        -9.99000e+02
             0.946954               -9.99000e+02        -9.99000e+02
             0.947225               -9.99000e+02        -9.99000e+02
             0.947496               -9.99000e+02        -9.99000e+02
             0.947768               -9.99000e+02        -9.99000e+02
             0.948039               -9.99000e+02        -9.99000e+02
             0.948310               -9.99000e+02        -9.99000e+02
             0.948582               -9.99000e+02        -9.99000e+02
             0.948853               -9.99000e+02        -9.99000e+02
             0.949124               -9.99000e+02        -9.99000e+02
             0.949396               -9.99000e+02        -9.99000e+02
             0.949667               -9.99000e+02        -9.99000e+02
             0.949938               -9.99000e+02        -9.99000e+02
             0.950210               -9.99000e+02        -9.99000e+02
             0.950481               -9.99000e+02        -9.99000e+02
             0.950752               -9.99000e+02        -9.99000e+02
             0.951024               -9.99000e+02        -9.99000e+02
             0.951295               -9.99000e+02        -9.99000e+02
             0.951566               -9.99000e+02        -9.99000e+02
             0.951837               -9.99000e+02        -9.99000e+02
             0.952109               -9.99000e+02        -9.99000e+02
             0.952380               -9.99000e+02        -9.99000e+02
             0.952651               -9.99000e+02        -9.99000e+02
             0.952922               -9.99000e+02        -9.99000e+02
             0.953193                2.07281e-15         7.19932e-16
             0.953465                2.50835e-15         7.59762e-16
