'Lamda_MAX_(micrometros)','Lamda_MIN_(micrometros)','Delta_Lamda_(rmse)','Radial Velocity (km s-1)','Delta_rv(ABSFERR)','Tempeartura_(Kelvin)','Delta_Temperatura','Tipo_de_Estrella','Archivo'
5.05158,0.803457,3.0674770673309477e-12,36.4280650000,0.0117490000000,2474.7410045521706,6.4833937832956135e-09,C,./data/C/C1
5.02937,0.802888,9.609355489912464e-12,110.305960000,0.132739000000,2279.54654519994,1.7232677309659935e-08,C,./data/C/C2
4.17790,0.806160,2.2924224292067042e-10,12.2947000000,0.172684000000,2345.5890685964996,4.3527134153776915e-07,C,./data/C/C3
5.05163,0.806750,1.099891195864074e-10,17.3472650000,0.116698000000,2243.7664550100662,1.9110259946110546e-07,C,./data/C/C4
5.07467,0.804772,6.782517113533727e-11,47.2365940000,0.125731000000,2486.100624613906,1.446737939495736e-07,C,./data/C/C5
5.05460,0.803639,1.1743987445499768e-11,69.8302200000,0.131804000000,2120.3450975800724,1.822175681165791e-08,C,./data/C/C6
4.17527,0.806822,4.194940398572204e-13,37.7424850000,0.0109787000000,3574.988896017371,1.8502770251628977e-09,C,./data/C/C7
5.06396,0.804299,6.885338691548374e-11,61.8840320000,0.140512000000,1630.6959834769345,6.31877481087183e-08,C,./data/C/C8
4.15404,0.804690,9.152863417700554e-12,-49.2699310000,0.155052000000,4537.709847156101,6.5041716456049e-08,F,./data/F/F1
5.07561,0.807999,5.647349506345251e-12,-10.4420860000,0.134298000000,4917.353969385331,4.712693295240319e-08,F,./data/F/F2
4.07304,0.803859,3.3748192626140325e-12,-32.0431850000,0.0198857000000,4701.758940741221,2.574736587489651e-08,F,./data/F/F3
5.00932,0.809131,5.174066361164597e-12,-29.9944180000,0.0353662000000,5132.583473563015,4.703981489049993e-08,F,./data/F/F4
4.15937,0.803565,2.3269708763489783e-11,8.40316870000,0.135522000000,5165.799044427012,2.1430264439586814e-07,F,./data/F/F5
5.04050,0.806172,2.5862620006888745e-12,-5.47329970000,0.0133303000000,5283.445471618984,2.4915439082398643e-08,F,./data/F/F6
4.17841,0.804780,4.255927657431396e-13,16.7433360000,0.0159452000000,5306.279414727049,4.135576266631701e-09,F,./data/F/F7
5.00687,0.802191,5.289898777134697e-12,21.8483180000,0.148963000000,4600.2413158061845,3.8634042851031373e-08,F,./data/F/F8
4.15878,0.802331,2.308029316206262e-12,28.2980770000,0.0125277000000,5213.01093839954,2.1646124912798743e-08,F,./data/F/F9
4.99741,0.809596,2.3174832606714765e-13,-131.232620000,0.0129723000000,4635.937475001199,1.7189106916203813e-09,F,./data/F/F10
2.41772,0.811080,1.822442233971626e-11,18.9464470000,0.131572000000,4703.667029203122,1.3915168820608768e-07,F,./data/F/F11
5.06917,0.804429,1.6521125805015762e-12,18.4779200000,0.0135767000000,5037.990089541858,1.4471575775666114e-08,F,./data/F/F12
4.91994,0.810011,5.441841483530989e-12,-0.181306430000,0.0198972000000,4936.538494301241,4.576700676923198e-08,F,./data/F/F13
5.03414,0.807172,2.068025056858539e-12,16.2018970000,0.0199210000000,5195.252268081902,1.9263298072748104e-08,F,./data/F/F14
5.02351,0.803446,4.56842281162817e-12,-29.4059980000,0.0350169000000,5181.039569438732,4.232156088646288e-08,F,./data/F/F15
5.00604,0.808298,1.0600217740027726e-12,-10.2951650000,0.0129569000000,5135.767458348103,9.649105515887745e-09,F,./data/F/F16
5.39248,0.804949,1.8739190244321563e-12,4.95839490000,0.0126266000000,5099.702564283073,1.681907399664813e-08,F,./data/F/F17
2.42353,0.803361,4.1671729980101714e-13,47.5011410000,0.00996069000000,4944.456768424824,3.5159303679348423e-09,F,./data/F/F18
5.01231,0.809527,1.6909278631008148e-11,-13.7642340000,0.116142000000,4300.258229200676,1.0791348517829675e-07,F,./data/F/F19
4.07740,0.805469,6.0691922273577e-12,-28.2693310000,0.142161000000,5295.611967030356,5.873875941554371e-08,F,./data/F/F20
5.42216,0.806437,1.6846552512182356e-12,9.03217150000,0.0163068000000,5019.227438073792,1.4646921636254397e-08,F,./data/F/F21
5.01022,0.810078,1.2352901338746564e-12,48.7822650000,0.0105963000000,5187.996848814724,1.1474398986452832e-08,F,./data/F/F22
4.09148,0.806170,2.9310088010184606e-12,-16.6750240000,0.0155325000000,4847.7548015793345,2.3771685720083866e-08,F,./data/F/F23
4.99345,0.808561,3.082974941781469e-12,1.38027780000,0.0118373000000,5230.608155676299,2.910957971411414e-08,F,./data/F/F24
5.03481,0.804383,3.0836246910568036e-11,-16.4327910000,0.134047000000,5026.454108626641,2.6887258656695103e-07,F,./data/F/F25
2.42274,0.802363,1.6101099037877275e-11,32.7110780000,0.142046000000,4919.608142752848,1.3448632053856785e-07,F,./data/F/F26
2.42261,0.802530,4.3633549634344055e-12,30.3281840000,0.0159277000000,4874.667743346455,3.5782621198856607e-08,F,./data/F/F27
2.42390,0.803425,1.7235750795496702e-11,15.2237770000,0.147089000000,4866.726011521859,1.4088526297813594e-07,F,./data/F/F28
5.04990,0.803815,1.661777969229869e-11,3.05099070000,0.145398000000,5070.077513954261,1.4742249680630144e-07,F,./data/F/F29
4.17647,0.806304,2.8018200757981324e-11,15.2267660000,0.141209000000,4893.933252263207,2.3158898182352215e-07,F,./data/F/F30
4.98435,0.805948,1.903227363712517e-12,39.6352110000,0.0134656000000,4495.539523698704,1.3274429968434578e-08,F,./data/F/F31
5.06965,0.813079,9.739388214592895e-13,-16.1417330000,0.0164511000000,4504.905085430885,6.821258919622698e-09,F,./data/F/F32
4.13778,0.804867,1.1314928938126741e-11,42.0801890000,0.138006000000,4545.112310202032,8.066825010311999e-08,F,./data/F/F33
2.42427,0.803553,6.968921791312092e-13,-5.82122670000,0.0101887000000,5339.918544864824,6.85798328716437e-09,F,./data/F/F34
5.42284,0.807384,1.1325601128865686e-12,21.3246950000,0.0112838000000,4915.768937144796,9.445082402878949e-09,F,./data/F/F35
4.09088,0.806008,3.743602775992508e-12,-31.6023200000,0.0350219000000,4793.700162128181,2.9688828432350845e-08,F,./data/F/F36
5.02113,0.808332,1.4621142172025793e-11,0.430296270000,0.130511000000,5038.252886354151,1.2808633285228012e-07,F,./data/F/F37
4.07052,0.805022,4.1151847050911344e-12,-3.83694590000,0.155773000000,4570.0586713772,2.966159161223355e-08,F,./data/F/F38
4.19279,0.808007,7.471911062943301e-12,-18.8234940000,0.0408882000000,4688.217972365142,5.6677260675670184e-08,F,./data/F/F39
4.99708,0.809962,1.3716628489081324e-11,13.0924190000,0.117760000000,5092.2638923060695,1.2275261322822671e-07,F,./data/F/F40
4.07860,0.806047,1.7331192492506393e-11,-3.42418970000,0.104789000000,4961.388969744704,1.4723008623674033e-07,F,./data/F/F41
5.01632,0.807847,4.7080125873600854e-12,38.6683410000,0.0351340000000,4519.590716246568,3.31892469144694e-08,G,./data/G/G1
5.01632,0.807847,3.9778950013841e-12,38.6683410000,0.0351340000000,4323.356509802751,2.5660019470540675e-08,G,./data/G/G2
4.18623,0.803421,1.560271214526285e-11,31.0142900000,0.132505000000,4808.336928744482,1.2449486740671965e-07,G,./data/G/G3
2.41084,0.803406,7.74785785619292e-12,20.4832090000,0.158126000000,4732.939139525007,5.989699731314197e-08,G,./data/G/G4
5.43879,0.808042,1.1564789817485328e-12,42.7755080000,0.0132889000000,4557.623039778536,8.2904120235883e-09,G,./data/G/G5
4.18660,0.811233,1.3442369833174547e-11,18.1086700000,0.160918000000,4339.218593228206,8.734950823960487e-08,G,./data/G/G6
5.05602,0.806166,8.258350174981821e-13,31.2433630000,0.0110245000000,4757.807625365341,6.451617588168813e-09,G,./data/G/G7
5.00332,0.805651,3.6197202896601503e-12,-6.47495000000,0.0147995000000,4656.1254659982,2.7082323917722397e-08,G,./data/G/G8
5.00332,0.805651,2.7798817703011338e-12,-6.47495000000,0.0147995000000,4339.933499086361,1.8069828982460215e-08,G,./data/G/G9
5.05128,0.803982,7.1571294441103e-12,5.07942530000,0.150263000000,4807.220120777755,5.708059040204715e-08,G,./data/G/G10
2.41153,0.806393,2.833622267755155e-12,-31.9879880000,0.0134911000000,4349.314040407073,1.8498863910356374e-08,G,./data/G/G11
2.41153,0.806393,1.9423607760685496e-12,-31.9879880000,0.0134911000000,4004.0349883234067,1.0746998642095815e-08,G,./data/G/G12
2.41157,0.806406,3.836404679841464e-12,-36.8618340000,0.0233594000000,4547.60895836276,2.7381182871057737e-08,G,./data/G/G13
2.41157,0.806406,2.070250894503018e-12,-36.8618340000,0.0233594000000,3961.554762588354,1.1212846466334758e-08,G,./data/G/G14
5.03412,0.804210,7.960281419189768e-12,0.334736260000,0.131676000000,4350.293512693861,5.1990872756795415e-08,G,./data/G/G15
2.42242,0.803064,2.6864263212565317e-12,10.5037010000,0.157547000000,4589.239614184577,1.952621057365276e-08,G,./data/G/G16
5.07537,0.805626,1.0876909540976274e-11,30.0037970000,0.180959000000,4681.174170826669,8.225772306763645e-08,G,./data/G/G17
5.43623,0.809832,2.9571201066402645e-12,21.2190570000,0.0194848000000,4660.019298809906,2.2161847484468383e-08,G,./data/G/G18
5.07014,0.805895,1.1422196676841475e-11,-0.00810318490000,0.130879000000,4332.147235594893,7.398056059265013e-08,G,./data/G/G19
5.07014,0.805895,8.992769816267738e-12,-0.00810318490000,0.130879000000,4065.5516893029517,5.129724228033435e-08,G,./data/G/G20
