# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:53 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7673 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 70138'           /                                                
# SPTYPE  = 'C-J4.5 IIIa: C2 6 j 6' / Spectral Type                               
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2007 Mar 17'        / UT date of SXD observations                    
# LXDUT   = '2007 Mar 17'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803457 / Minimum wavelength (um)                        
# MAXWAVE =              5.05158 / Maximum wavelength (um)                        
# V       =        9.42000000000 / V magnitude                                    
# VERR    =       0.133000000000 / V magnitude error                              
# (B-V)   =        1.66700000000 / B-V color                                      
# (B-V)ERR=      0.0420000000000 / B-V color error                                
# J       =        5.80900000000 / 2MASS J magnitude                              
# JERR    =      0.0230000000000 / 2MASS J magnitude error                        
# H       =        4.89900000000 / 2MASS H magnitude                              
# HERR    =      0.0210000000000 / 2MASS H magnitude error                        
# KS      =        4.38200000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0180000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0117490000000 / Relative error in the absolute flux calibration
# RV      =        36.4280650000 / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803457                1.20819e-11         5.05174e-14
             0.803659                1.16761e-11         4.96188e-14
             0.803862                1.26392e-11         5.17883e-14
             0.804064                1.33172e-11         5.34067e-14
             0.804267                1.14384e-11         4.93909e-14
             0.804469                8.95224e-12         4.47599e-14
             0.804672                7.53413e-12         4.20178e-14
             0.804874                8.77642e-12         4.41296e-14
             0.805076                9.35996e-12         4.56289e-14
             0.805279                7.82827e-12         4.26694e-14
             0.805481                8.10291e-12         4.31408e-14
             0.805684                1.05102e-11         4.81620e-14
             0.805886                1.17046e-11         5.08571e-14
             0.806089                1.11611e-11         4.97623e-14
             0.806291                1.12578e-11         5.02741e-14
             0.806493                1.19287e-11         5.14445e-14
             0.806696                1.04823e-11         4.86506e-14
             0.806898                8.33648e-12         4.44611e-14
             0.807101                8.04217e-12         4.36930e-14
             0.807113                8.02443e-12         3.86738e-14
             0.807346                7.27674e-12         3.87746e-14
             0.807579                6.98955e-12         3.95829e-14
             0.807813                8.32615e-12         4.49230e-14
             0.808046                8.58724e-12         4.20466e-14
             0.808279                7.53198e-12         3.81076e-14
             0.808512                7.82540e-12         3.80665e-14
             0.808746                8.69977e-12         3.99603e-14
             0.808979                7.02686e-12         3.90969e-14
             0.809212                5.01620e-12         3.76907e-14
             0.809445                4.65999e-12         3.68558e-14
             0.809678                6.13974e-12         3.68862e-14
             0.809912                6.35299e-12         3.55759e-14
             0.810145                5.42188e-12         3.38156e-14
             0.810378                4.91908e-12         3.36097e-14
             0.810611                4.84543e-12         3.53855e-14
             0.810844                4.93692e-12         3.73911e-14
             0.811077                5.12966e-12         3.62302e-14
             0.811311                6.62293e-12         3.72376e-14
             0.811544                7.22907e-12         3.66295e-14
             0.811777                6.32578e-12         3.54148e-14
             0.812010                5.92180e-12         3.60952e-14
             0.812243                5.55170e-12         3.68569e-14
             0.812476                6.74719e-12         4.00604e-14
             0.812709                6.79774e-12         3.72229e-14
             0.812943                5.87444e-12         3.43621e-14
             0.813176                4.98436e-12         3.27712e-14
             0.813409                4.58722e-12         3.24885e-14
             0.813642                5.98413e-12         3.65842e-14
             0.813875                6.71974e-12         3.97406e-14
             0.814108                6.87899e-12         3.85443e-14
             0.814341                5.69528e-12         3.45941e-14
             0.814574                5.28298e-12         3.30302e-14
             0.814807                5.48530e-12         3.34307e-14
             0.815040                5.41883e-12         3.46447e-14
             0.815273                6.23144e-12         3.75374e-14
             0.815506                6.48656e-12         3.86690e-14
             0.815739                6.88985e-12         3.78063e-14
             0.815972                8.05447e-12         3.82709e-14
             0.816205                6.54057e-12         3.59859e-14
             0.816438                5.60361e-12         3.48617e-14
             0.816671                5.53510e-12         3.63369e-14
             0.816904                5.74989e-12         3.72404e-14
             0.817137                7.01096e-12         3.92546e-14
             0.817370                6.96495e-12         3.68403e-14
             0.817603                5.34007e-12         3.31439e-14
             0.817836                5.30835e-12         3.34527e-14
             0.818069                6.86370e-12         3.66867e-14
             0.818302                8.28012e-12         4.04730e-14
             0.818535                9.12740e-12         4.36399e-14
             0.818768                8.10706e-12         3.93991e-14
             0.819001                7.58662e-12         3.76728e-14
             0.819234                1.02123e-11         4.11986e-14
             0.819467                1.07020e-11         4.22688e-14
             0.819700                8.58132e-12         3.97230e-14
             0.819933                9.28380e-12         4.32044e-14
             0.820166                8.75734e-12         4.11559e-14
             0.820399                7.14583e-12         3.67203e-14
             0.820631                7.73828e-12         3.68232e-14
             0.820864                7.25068e-12         3.58248e-14
             0.821097                6.81312e-12         3.50492e-14
             0.821330                8.51413e-12         3.94186e-14
             0.821563                9.02881e-12         4.25919e-14
             0.821796                9.58147e-12         4.18761e-14
             0.822029                1.12803e-11         4.31661e-14
             0.822262                1.18430e-11         4.28117e-14
             0.822494                1.05102e-11         4.09201e-14
             0.822727                9.79234e-12         4.12563e-14
             0.822960                9.05320e-12         4.16773e-14
             0.823193                1.00095e-11         4.40671e-14
             0.823426                1.16025e-11         4.43060e-14
             0.823658                1.19899e-11         4.30394e-14
             0.823891                1.20958e-11         4.33741e-14
             0.824124                1.12692e-11         4.25270e-14
             0.824357                1.05112e-11         4.16719e-14
             0.824590                1.20218e-11         4.59292e-14
             0.824822                1.06257e-11         4.20190e-14
             0.825055                9.66294e-12         3.96600e-14
             0.825288                1.02333e-11         3.94714e-14
             0.825521                8.18353e-12         3.61812e-14
             0.825753                8.51109e-12         3.72682e-14
             0.825986                9.02016e-12         3.93917e-14
             0.826219                1.03875e-11         4.28288e-14
             0.826452                1.15871e-11         4.31204e-14
             0.826684                1.19966e-11         4.25435e-14
             0.826917                1.07964e-11         3.98359e-14
             0.827150                9.90963e-12         3.86364e-14
             0.827382                9.08288e-12         3.84820e-14
             0.827615                7.93511e-12         3.76711e-14
             0.827848                8.17901e-12         3.81495e-14
             0.828081                9.68404e-12         3.98372e-14
             0.828313                1.01153e-11         3.94624e-14
             0.828546                1.23913e-11         4.23946e-14
             0.828779                1.25051e-11         4.36722e-14
             0.829011                8.59475e-12         3.79392e-14
             0.829244                9.12672e-12         3.94794e-14
             0.829477                1.19191e-11         4.36202e-14
             0.829709                9.72778e-12         3.83926e-14
             0.829942                6.21029e-12         3.28008e-14
             0.830174                8.28653e-12         3.57399e-14
             0.830407                9.70908e-12         3.89049e-14
             0.830640                8.57894e-12         3.80828e-14
             0.830872                9.37886e-12         3.97192e-14
             0.831105                8.69714e-12         3.70574e-14
             0.831338                6.63665e-12         3.25828e-14
             0.831570                6.93543e-12         3.32462e-14
             0.831803                8.92296e-12         3.63974e-14
             0.832035                9.20171e-12         3.80238e-14
             0.832268                7.33806e-12         3.57977e-14
             0.832500                8.63694e-12         3.78157e-14
             0.832733                1.01525e-11         3.88178e-14
             0.832966                9.37025e-12         3.68299e-14
             0.833198                8.61868e-12         3.56107e-14
             0.833431                6.63813e-12         3.27648e-14
             0.833663                6.74882e-12         3.34369e-14
             0.833896                8.32160e-12         3.70512e-14
             0.834128                1.05885e-11         4.01628e-14
             0.834361                1.14238e-11         4.06943e-14
             0.834593                9.36226e-12         3.64022e-14
             0.834826                9.92438e-12         3.76420e-14
             0.835058                9.53094e-12         3.73674e-14
             0.835291                8.73109e-12         3.69074e-14
             0.835523                8.21200e-12         3.57289e-14
             0.835756                8.04713e-12         3.47414e-14
             0.835988                8.94802e-12         3.56480e-14
             0.836221                9.47659e-12         3.73467e-14
             0.836453                9.15407e-12         3.59714e-14
             0.836686                8.63354e-12         3.56610e-14
             0.836918                8.41421e-12         3.59783e-14
             0.837151                8.54971e-12         3.56789e-14
             0.837383                1.00534e-11         3.74260e-14
             0.837615                1.08229e-11         3.85564e-14
             0.837848                1.00485e-11         3.65884e-14
             0.838080                1.20350e-11         4.09401e-14
             0.838313                1.04826e-11         3.88395e-14
             0.838545                8.14052e-12         3.52658e-14
             0.838778                9.77740e-12         3.72101e-14
             0.839010                1.05750e-11         3.78466e-14
             0.839242                9.16886e-12         3.54935e-14
             0.839475                9.57982e-12         3.60099e-14
             0.839707                1.23774e-11         4.11616e-14
             0.839939                1.15977e-11         4.06800e-14
             0.840172                1.09769e-11         3.92222e-14
             0.840404                1.35603e-11         4.27708e-14
             0.840637                1.32912e-11         4.13005e-14
             0.840869                1.07690e-11         3.73715e-14
             0.841101                1.01783e-11         3.70278e-14
             0.841334                9.84990e-12         3.68053e-14
             0.841566                1.01108e-11         3.80278e-14
             0.841798                1.21273e-11         4.09254e-14
             0.842031                1.17663e-11         3.91591e-14
             0.842263                1.08521e-11         3.74647e-14
             0.842495                1.34836e-11         4.13459e-14
             0.842728                1.28801e-11         4.10379e-14
             0.842960                9.76756e-12         3.61586e-14
             0.843192                1.28426e-11         4.19254e-14
             0.843424                1.40474e-11         4.28851e-14
             0.843657                1.24600e-11         4.00696e-14
             0.843889                1.53046e-11         4.43158e-14
             0.844121                1.38615e-11         4.21471e-14
             0.844354                1.18790e-11         3.89769e-14
             0.844586                1.17691e-11         4.01898e-14
             0.844818                9.61862e-12         3.64270e-14
             0.845050                1.03183e-11         3.71622e-14
             0.845283                1.43916e-11         4.30886e-14
             0.845515                1.58664e-11         4.48458e-14
             0.845747                1.28967e-11         4.03505e-14
             0.845979                1.26780e-11         4.04569e-14
             0.846212                1.34591e-11         4.22184e-14
             0.846444                1.34053e-11         4.22650e-14
             0.846676                1.28052e-11         3.99379e-14
             0.846908                1.33272e-11         4.05932e-14
             0.847140                1.21066e-11         3.84848e-14
             0.847373                1.43940e-11         4.24074e-14
             0.847605                2.17186e-11         5.49693e-14
             0.847837                1.89093e-11         5.03602e-14
             0.848069                1.23954e-11         3.89464e-14
             0.848301                1.07294e-11         3.59227e-14
             0.848534                1.14162e-11         3.68414e-14
             0.848766                1.13592e-11         3.69805e-14
             0.848998                1.10059e-11         3.67204e-14
             0.849230                1.29582e-11         4.07193e-14
             0.849462                1.33126e-11         4.07390e-14
             0.849694                1.36988e-11         4.11175e-14
             0.849927                1.08412e-11         3.59836e-14
             0.850159                8.35791e-12         3.18432e-14
             0.850391                8.95884e-12         3.26478e-14
             0.850623                9.18197e-12         3.33673e-14
