# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:58 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7652 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 57160'           /                                                
# SPTYPE  = 'C-J5- C2 5- j 4'    / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2007 Mar 17'        / UT date of SXD observations                    
# LXDUT   = '2007 Mar 17'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.802888 / Minimum wavelength (um)                        
# MAXWAVE =              5.02937 / Maximum wavelength (um)                        
# V       = 'NAN     '           / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   = 'NAN     '           / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.39800000000 / 2MASS J magnitude                              
# JERR    =       0.232000000000 / 2MASS J magnitude error                        
# H       =        3.30400000000 / 2MASS H magnitude                              
# HERR    =       0.210000000000 / 2MASS H magnitude error                        
# KS      =        2.72800000000 / 2MASS Ks magnitude                             
# KSERR   =       0.254000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.132739000000 / Relative error in the absolute flux calibration
# RV      =        110.305960000 / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.802888                2.77244e-11         1.28697e-13
             0.803091                3.47294e-11         1.34598e-13
             0.803293                4.23058e-11         1.41736e-13
             0.803495                4.45301e-11         1.43458e-13
             0.803698                4.41007e-11         1.43694e-13
             0.803900                4.74800e-11         1.47737e-13
             0.804103                4.43450e-11         1.44462e-13
             0.804305                3.78513e-11         1.40350e-13
             0.804507                3.04640e-11         1.34659e-13
             0.804710                2.76869e-11         1.30429e-13
             0.804912                3.25193e-11         1.35492e-13
             0.805114                3.10607e-11         1.35038e-13
             0.805317                2.79557e-11         1.31761e-13
             0.805519                3.14057e-11         1.35358e-13
             0.805721                3.63862e-11         1.39970e-13
             0.805924                3.88025e-11         1.42382e-13
             0.806126                3.85344e-11         1.42659e-13
             0.806328                3.84409e-11         1.42319e-13
             0.806464                3.76824e-11         1.38514e-13
             0.806697                3.39105e-11         1.28827e-13
             0.806931                2.82887e-11         1.22011e-13
             0.807164                2.41661e-11         1.21386e-13
             0.807398                2.24381e-11         1.26595e-13
             0.807631                2.54737e-11         1.35167e-13
             0.807864                2.86881e-11         1.35959e-13
             0.808098                2.77887e-11         1.26572e-13
             0.808331                2.61125e-11         1.21720e-13
             0.808564                2.94648e-11         1.21753e-13
             0.808798                3.00655e-11         1.27097e-13
             0.809031                2.37805e-11         1.30544e-13
             0.809264                1.71703e-11         1.33539e-13
             0.809498                1.89728e-11         1.25400e-13
             0.809731                2.30184e-11         1.21257e-13
             0.809964                2.13766e-11         1.24147e-13
             0.810198                1.91018e-11         1.19648e-13
             0.810431                1.76467e-11         1.21724e-13
             0.810664                1.70269e-11         1.27253e-13
             0.810897                1.77831e-11         1.27999e-13
             0.811131                2.14224e-11         1.24535e-13
             0.811364                2.76903e-11         1.22565e-13
             0.811597                2.53010e-11         1.19824e-13
             0.811830                2.27583e-11         1.21032e-13
             0.812064                2.18441e-11         1.26582e-13
             0.812297                2.26841e-11         1.34340e-13
             0.812530                2.57921e-11         1.27995e-13
             0.812763                2.31041e-11         1.34222e-13
             0.812996                2.21774e-11         1.17639e-13
             0.813230                1.97335e-11         1.17674e-13
             0.813463                2.04176e-11         1.21109e-13
             0.813696                2.37573e-11         1.30510e-13
             0.813929                2.68004e-11         1.32832e-13
             0.814162                2.56302e-11         1.24124e-13
             0.814395                1.99445e-11         1.15858e-13
             0.814628                2.13866e-11         1.15955e-13
             0.814862                2.23575e-11         1.20563e-13
             0.815095                2.16840e-11         1.25022e-13
             0.815328                2.40968e-11         1.33299e-13
             0.815561                2.36878e-11         1.26028e-13
             0.815794                2.70343e-11         1.23121e-13
             0.816027                2.89640e-11         1.25028e-13
             0.816260                2.42754e-11         1.21321e-13
             0.816493                2.35675e-11         1.23309e-13
             0.816726                2.31287e-11         1.28334e-13
             0.816960                2.51015e-11         1.30664e-13
             0.817193                2.93740e-11         1.26726e-13
             0.817426                2.70082e-11         1.21134e-13
             0.817659                2.19725e-11         1.18637e-13
             0.817892                2.40943e-11         1.21284e-13
             0.818125                2.71981e-11         1.27604e-13
             0.818358                3.12191e-11         1.35584e-13
             0.818591                3.15653e-11         1.31031e-13
             0.818824                2.67469e-11         1.22633e-13
             0.819057                3.07854e-11         1.21683e-13
             0.819290                4.09875e-11         1.28813e-13
             0.819523                3.71128e-11         1.29561e-13
             0.819756                3.50350e-11         1.34609e-13
             0.819989                3.76822e-11         1.36362e-13
             0.820222                3.16320e-11         1.25654e-13
             0.820455                2.78248e-11         1.19043e-13
             0.820688                2.85874e-11         1.18765e-13
             0.820921                2.68861e-11         1.18101e-13
             0.821154                2.98870e-11         1.23939e-13
             0.821386                3.44388e-11         1.33739e-13
             0.821619                3.35204e-11         1.28891e-13
             0.821852                3.79779e-11         1.27102e-13
             0.822085                4.31061e-11         1.27501e-13
             0.822318                3.95157e-11         1.25532e-13
             0.822551                3.70023e-11         1.28603e-13
             0.822784                3.58347e-11         1.31999e-13
             0.823017                3.54041e-11         1.33812e-13
             0.823250                4.17705e-11         1.31913e-13
             0.823483                4.17541e-11         1.25609e-13
             0.823715                4.06654e-11         1.23761e-13
             0.823948                4.26812e-11         1.28086e-13
             0.824181                4.01570e-11         1.28224e-13
             0.824414                4.02939e-11         1.32051e-13
             0.824647                4.39877e-11         1.32685e-13
             0.824880                3.72520e-11         1.23211e-13
             0.825113                3.62134e-11         1.19648e-13
             0.825345                3.23379e-11         1.17687e-13
             0.825578                2.79452e-11         1.15951e-13
             0.825811                3.01037e-11         1.20960e-13
             0.826044                3.52709e-11         1.27635e-13
             0.826276                4.18585e-11         1.27706e-13
             0.826509                4.24610e-11         1.24877e-13
             0.826742                3.96491e-11         1.19970e-13
             0.826975                3.85360e-11         1.19665e-13
             0.827208                3.76674e-11         1.22472e-13
             0.827440                3.09368e-11         1.21097e-13
             0.827673                2.86498e-11         1.20096e-13
             0.827906                3.25882e-11         1.20502e-13
             0.828139                3.77684e-11         1.19111e-13
             0.828371                3.83769e-11         1.18146e-13
             0.828604                4.13130e-11         1.22325e-13
             0.828837                3.73257e-11         1.22703e-13
             0.829069                3.20077e-11         1.22086e-13
             0.829302                3.87139e-11         1.23691e-13
             0.829535                4.04392e-11         1.21212e-13
