# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:51 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6940 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 92055'           /                                                
# SPTYPE  = 'C-N4.5 C2 4.5'      / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2007 Apr 25'        / UT date of SXD observations                    
# LXDUT   = '2007 Apr 25'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806160 / Minimum wavelength (um)                        
# MAXWAVE =              4.17790 / Maximum wavelength (um)                        
# V       =        4.95500000000 / V magnitude                                    
# VERR    =       0.207000000000 / V magnitude error                              
# (B-V)   =        2.66200000000 / B-V color                                      
# (B-V)ERR=      0.0860000000000 / B-V color error                                
# J       =       0.803000000000 / 2MASS J magnitude                              
# JERR    =       0.248000000000 / 2MASS J magnitude error                        
# H       =      -0.254000000000 / 2MASS H magnitude                              
# HERR    =       0.322000000000 / 2MASS H magnitude error                        
# KS      =      -0.716000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.362000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.172684000000 / Relative error in the absolute flux calibration
# RV      =        12.2947000000 / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806160                9.49430e-10         2.53663e-12
             0.806362                9.09830e-10         2.50373e-12
             0.806565                9.31191e-10         2.52544e-12
             0.806767                8.97172e-10         2.50518e-12
             0.806970                7.65014e-10         2.39994e-12
             0.807173                6.31541e-10         2.28423e-12
             0.807375                6.04450e-10         2.27104e-12
             0.807578                7.07733e-10         2.33109e-12
             0.807780                8.22984e-10         2.45921e-12
             0.807983                8.46464e-10         2.47481e-12
             0.808185                7.67108e-10         2.39332e-12
             0.808388                7.52373e-10         2.40074e-12
             0.808590                8.58837e-10         2.52293e-12
             0.808793                8.89023e-10         2.50586e-12
             0.808995                7.71867e-10         2.44702e-12
             0.809198                5.46057e-10         2.26358e-12
             0.809401                4.72093e-10         2.21036e-12
             0.809603                6.10997e-10         2.34738e-12
             0.809747                6.49723e-10         2.21009e-12
             0.809980                6.34947e-10         2.09949e-12
             0.810213                5.84232e-10         2.05527e-12
             0.810446                5.33013e-10         2.05097e-12
             0.810679                5.16322e-10         2.15431e-12
             0.810913                5.56754e-10         2.28300e-12
             0.811146                6.56073e-10         2.30732e-12
             0.811379                7.66655e-10         2.23792e-12
             0.811612                6.91607e-10         2.09965e-12
             0.811845                6.79591e-10         2.12539e-12
             0.812078                6.80867e-10         2.16780e-12
             0.812311                7.05060e-10         2.28408e-12
             0.812544                7.67535e-10         2.43089e-12
             0.812777                6.65381e-10         2.21561e-12
             0.813010                6.50456e-10         2.11194e-12
             0.813243                5.90302e-10         2.04319e-12
             0.813476                6.14670e-10         2.07992e-12
             0.813709                7.16664e-10         2.21684e-12
             0.813942                7.63340e-10         2.36449e-12
             0.814175                7.36762e-10         2.33982e-12
             0.814408                6.23279e-10         2.15430e-12
             0.814641                6.87085e-10         2.10266e-12
             0.814874                6.96730e-10         2.09262e-12
             0.815107                6.53747e-10         2.13179e-12
             0.815340                7.20554e-10         2.26477e-12
             0.815573                7.14533e-10         2.38300e-12
             0.815806                8.06986e-10         2.34782e-12
             0.816039                8.62371e-10         2.26038e-12
             0.816272                7.21272e-10         2.14834e-12
             0.816505                6.75373e-10         2.15265e-12
             0.816738                6.86303e-10         2.18930e-12
             0.816971                7.51711e-10         2.30737e-12
             0.817204                8.50662e-10         2.44749e-12
             0.817437                8.09749e-10         2.27422e-12
             0.817669                7.24266e-10         2.14661e-12
             0.817902                7.97555e-10         2.17631e-12
             0.818135                8.18589e-10         2.22012e-12
             0.818368                8.62698e-10         2.32231e-12
             0.818601                8.57262e-10         2.43263e-12
             0.818834                7.47128e-10         2.30117e-12
             0.819067                9.11925e-10         2.35254e-12
             0.819300                1.18414e-09         2.47786e-12
             0.819533                1.04082e-09         2.32360e-12
             0.819765                9.95541e-10         2.32479e-12
             0.819998                1.05897e-09         2.51525e-12
             0.820231                8.87985e-10         2.42069e-12
             0.820464                8.00391e-10         2.26081e-12
             0.820697                8.47890e-10         2.21483e-12
             0.820930                7.96888e-10         2.12371e-12
             0.821162                8.82494e-10         2.16840e-12
             0.821395                9.74942e-10         2.39420e-12
             0.821628                9.41468e-10         2.40085e-12
             0.821861                1.08423e-09         2.53223e-12
             0.822094                1.18114e-09         2.48619e-12
             0.822326                1.07366e-09         2.32502e-12
             0.822559                1.03556e-09         2.26571e-12
             0.822792                1.03909e-09         2.34796e-12
             0.823025                1.03376e-09         2.41757e-12
             0.823258                1.16553e-09         2.62350e-12
             0.823490                1.11236e-09         2.47071e-12
             0.823723                1.06333e-09         2.32392e-12
             0.823956                1.12856e-09         2.31374e-12
             0.824189                1.08074e-09         2.29520e-12
             0.824421                1.05081e-09         2.29866e-12
             0.824654                1.16057e-09         2.46550e-12
             0.824887                1.02542e-09         2.38027e-12
             0.825120                9.50740e-10         2.26174e-12
             0.825352                8.34240e-10         2.08801e-12
             0.825585                7.54376e-10         2.02085e-12
             0.825818                8.31662e-10         2.07672e-12
             0.826050                9.88143e-10         2.22602e-12
             0.826283                1.15952e-09         2.45664e-12
             0.826516                1.11710e-09         2.41021e-12
             0.826749                1.02167e-09         2.28287e-12
             0.826981                1.06067e-09         2.30019e-12
             0.827214                1.05987e-09         2.20228e-12
             0.827447                8.38265e-10         2.08246e-12
             0.827679                7.97104e-10         2.09872e-12
             0.827912                9.24551e-10         2.25437e-12
             0.828145                1.03794e-09         2.30352e-12
             0.828377                9.91799e-10         2.19748e-12
             0.828610                1.01583e-09         2.16439e-12
             0.828843                9.86051e-10         2.15787e-12
             0.829075                8.92589e-10         2.11752e-12
             0.829308                1.04575e-09         2.27609e-12
             0.829540                1.06110e-09         2.34223e-12
             0.829773                7.52322e-10         2.03074e-12
             0.830006                6.98108e-10         1.97845e-12
             0.830238                9.39610e-10         2.10783e-12
             0.830471                8.97244e-10         2.08493e-12
             0.830703                7.65393e-10         2.03505e-12
             0.830936                8.25374e-10         2.11054e-12
             0.831169                7.83709e-10         2.07282e-12
             0.831401                7.53390e-10         1.98711e-12
             0.831634                8.06377e-10         1.99687e-12
             0.831866                9.54615e-10         2.07362e-12
             0.832099                9.19133e-10         2.08053e-12
             0.832332                8.08962e-10         2.07583e-12
             0.832564                9.15735e-10         2.16217e-12
             0.832797                9.31746e-10         2.12370e-12
             0.833029                9.41418e-10         2.07770e-12
             0.833262                8.52851e-10         1.98461e-12
             0.833494                7.45100e-10         1.91432e-12
             0.833727                8.33605e-10         1.99975e-12
             0.833959                8.80558e-10         2.07964e-12
             0.834192                1.07373e-09         2.26790e-12
             0.834424                1.05119e-09         2.18601e-12
             0.834657                9.48113e-10         2.04105e-12
             0.834889                9.88316e-10         2.07562e-12
             0.835122                9.15291e-10         2.00797e-12
             0.835354                9.20369e-10         2.05432e-12
             0.835587                8.49446e-10         2.02622e-12
             0.835819                8.54338e-10         2.00601e-12
             0.836052                9.42532e-10         2.03629e-12
             0.836284                9.72596e-10         2.03779e-12
             0.836517                9.35504e-10         1.98271e-12
             0.836749                9.56167e-10         2.01880e-12
             0.836982                9.97765e-10         2.09673e-12
             0.837214                9.33052e-10         2.06386e-12
             0.837447                1.05027e-09         2.12672e-12
             0.837679                1.06821e-09         2.09291e-12
             0.837911                1.05174e-09         2.08606e-12
             0.838144                1.23727e-09         2.23442e-12
             0.838376                1.04757e-09         2.08292e-12
             0.838609                9.14793e-10         2.00445e-12
             0.838841                1.01994e-09         2.12340e-12
             0.839074                9.25416e-10         1.98857e-12
             0.839306                9.51098e-10         1.97398e-12
             0.839538                1.16642e-09         2.13205e-12
             0.839771                1.16556e-09         2.14821e-12
             0.840003                1.07429e-09         2.09009e-12
             0.840235                1.15876e-09         2.18498e-12
             0.840468                1.21582e-09         2.22630e-12
             0.840700                1.15785e-09         2.12258e-12
             0.840933                1.14639e-09         2.10484e-12
             0.841165                1.13637e-09         2.08443e-12
             0.841397                1.06107e-09         2.11594e-12
             0.841630                1.18160e-09         2.16936e-12
             0.841862                1.24421e-09         2.28041e-12
             0.842094                1.06017e-09         2.02822e-12
             0.842327                1.12274e-09         2.07314e-12
             0.842559                1.23828e-09         2.14848e-12
             0.842791                1.05364e-09         2.00662e-12
             0.843024                1.15662e-09         2.10164e-12
             0.843256                1.37087e-09         2.66220e-12
             0.843488                1.22788e-09         2.19900e-12
             0.843721                1.18322e-09         2.14418e-12
             0.843953                1.23622e-09         2.15535e-12
             0.844185                1.09173e-09         2.10752e-12
             0.844417                1.14550e-09         2.07781e-12
             0.844650                1.09430e-09         2.08459e-12
             0.844882                1.05230e-09         2.06073e-12
             0.845114                1.24155e-09         2.24160e-12
             0.845347                1.46417e-09         2.38649e-12
             0.845579                1.35056e-09         2.25999e-12
             0.845811                1.03857e-09         1.94697e-12
             0.846043                1.07171e-09         1.98092e-12
             0.846276                1.25395e-09         2.17774e-12
             0.846508                1.19733e-09         2.14510e-12
             0.846740                1.05171e-09         1.97720e-12
             0.846972                1.09993e-09         2.01562e-12
             0.847205                1.10602e-09         2.01309e-12
             0.847437                1.39691e-09         2.27324e-12
             0.847669                1.58665e-09         2.48877e-12
             0.847901                1.30498e-09         2.21845e-12
             0.848133                1.13530e-09         2.02987e-12
             0.848366                1.08311e-09         1.96407e-12
             0.848598                1.08900e-09         1.94887e-12
             0.848830                1.01638e-09         1.87963e-12
             0.849062                1.10792e-09         1.96099e-12
             0.849294                1.21160e-09         2.10778e-12
             0.849527                1.20735e-09         2.09251e-12
             0.849759                1.13400e-09         2.02244e-12
             0.849991                9.15255e-10         1.79972e-12
             0.850223                9.89727e-10         1.86687e-12
             0.850455                9.99281e-10         1.86264e-12
             0.850687                1.04288e-09         1.91064e-12
