# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:49 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7658 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 76221'           /                                                
# SPTYPE  = 'C-N 4.5 C2 5.5 MS 3' / Spectral Type                                 
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2007 Mar 15'        / UT date of SXD observations                    
# LXDUT   = '2007 Mar 16'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806750 / Minimum wavelength (um)                        
# MAXWAVE =              5.05163 / Maximum wavelength (um)                        
# V       =        6.64700000000 / V magnitude                                    
# VERR    =      0.0780000000000 / V magnitude error                              
# (B-V)   =        3.36500000000 / B-V color                                      
# (B-V)ERR=      0.0830000000000 / B-V color error                                
# J       =        1.56900000000 / 2MASS J magnitude                              
# JERR    =       0.236000000000 / 2MASS J magnitude error                        
# H       =       0.489000000000 / 2MASS H magnitude                              
# HERR    =       0.186000000000 / 2MASS H magnitude error                        
# KS      =      0.0630000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.194000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.116698000000 / Relative error in the absolute flux calibration
# RV      =        17.3472650000 / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806750                4.16606e-10         1.74215e-12
             0.806952                3.66651e-10         1.73588e-12
             0.807155                2.91446e-10         1.68156e-12
             0.807357                2.62490e-10         1.67730e-12
             0.807560                2.80817e-10         1.67035e-12
             0.807762                3.27862e-10         1.70708e-12
             0.807965                3.54467e-10         1.72184e-12
             0.808167                3.39801e-10         1.70813e-12
             0.808370                3.30699e-10         1.71778e-12
             0.808572                3.59604e-10         1.74940e-12
             0.808775                3.88493e-10         1.74189e-12
             0.808977                3.55888e-10         1.75112e-12
             0.809180                2.71880e-10         1.69384e-12
             0.809382                2.16343e-10         1.67003e-12
             0.809585                2.61564e-10         1.71613e-12
             0.809787                2.94778e-10         1.72294e-12
             0.809990                2.88314e-10         1.72682e-12
             0.810192                2.71600e-10         1.73878e-12
             0.810212                2.69909e-10         1.55103e-12
             0.810445                2.36197e-10         1.57815e-12
             0.810678                2.13608e-10         1.67918e-12
             0.810912                2.33320e-10         1.71787e-12
             0.811144                2.90120e-10         1.63884e-12
             0.811377                3.52938e-10         1.59044e-12
             0.811610                3.33238e-10         1.55474e-12
             0.811843                3.16400e-10         1.57114e-12
             0.812076                3.25221e-10         1.65238e-12
             0.812309                3.12968e-10         1.74921e-12
             0.812542                3.27230e-10         1.70766e-12
             0.812775                2.97806e-10         1.59646e-12
             0.813008                3.03539e-10         1.55031e-12
             0.813241                3.01832e-10         1.56482e-12
             0.813474                2.90712e-10         1.62417e-12
             0.813707                3.28244e-10         1.71997e-12
             0.813940                3.66191e-10         1.80665e-12
             0.814173                3.65566e-10         1.72230e-12
             0.814406                2.98882e-10         1.61009e-12
             0.814639                3.15570e-10         1.56863e-12
             0.814872                3.32162e-10         1.61404e-12
             0.815105                3.08648e-10         1.67582e-12
             0.815337                3.33060e-10         1.77365e-12
             0.815570                3.28566e-10         1.82768e-12
             0.815803                3.57831e-10         1.69772e-12
             0.816036                4.07229e-10         1.65128e-12
             0.816269                3.68025e-10         1.67474e-12
             0.816502                3.41469e-10         1.73553e-12
             0.816735                3.32345e-10         1.76729e-12
             0.816968                3.40735e-10         1.82718e-12
             0.817200                4.03077e-10         1.78014e-12
             0.817433                4.15506e-10         1.66483e-12
             0.817666                3.69336e-10         1.62344e-12
             0.817899                3.61548e-10         1.68064e-12
             0.818132                3.70886e-10         1.72551e-12
             0.818365                3.98573e-10         1.76886e-12
             0.818597                4.10576e-10         1.79451e-12
             0.818830                3.73661e-10         1.70689e-12
             0.819063                4.37446e-10         1.69127e-12
             0.819296                5.89672e-10         1.72058e-12
             0.819529                5.57382e-10         1.70215e-12
             0.819761                5.05697e-10         1.72354e-12
             0.819994                5.40511e-10         1.86257e-12
             0.820227                4.61412e-10         1.75208e-12
             0.820460                3.86356e-10         1.61720e-12
             0.820692                4.01127e-10         1.56464e-12
             0.820925                3.88706e-10         1.53685e-12
             0.821158                4.18561e-10         1.57490e-12
             0.821391                4.58167e-10         1.66776e-12
             0.821623                4.39999e-10         1.74931e-12
             0.821856                4.95384e-10         1.73459e-12
             0.822089                5.56386e-10         1.67010e-12
             0.822322                5.15782e-10         1.62059e-12
             0.822554                4.99855e-10         1.63676e-12
             0.822787                5.10931e-10         1.79252e-12
             0.823020                4.93844e-10         1.92696e-12
             0.823253                5.43726e-10         1.94454e-12
             0.823485                5.40088e-10         1.76001e-12
             0.823718                5.15366e-10         1.63018e-12
             0.823951                5.46417e-10         1.59577e-12
             0.824183                5.39145e-10         1.61959e-12
             0.824416                4.96563e-10         1.65153e-12
             0.824649                5.46724e-10         1.72499e-12
             0.824881                5.19803e-10         1.64773e-12
             0.825114                4.62814e-10         1.56322e-12
             0.825347                4.07050e-10         1.50382e-12
             0.825579                3.58316e-10         1.49587e-12
             0.825812                3.84348e-10         1.54880e-12
             0.826045                4.44030e-10         1.61268e-12
             0.826277                5.35711e-10         1.70519e-12
             0.826510                5.34435e-10         1.63154e-12
             0.826742                4.78715e-10         1.57360e-12
             0.826975                4.94462e-10         1.59891e-12
             0.827208                5.13440e-10         1.54787e-12
             0.827440                4.18749e-10         1.56495e-12
             0.827673                3.70383e-10         1.68111e-12
             0.827906                4.19063e-10         1.63388e-12
             0.828138                4.90495e-10         1.61304e-12
             0.828371                4.78398e-10         1.56281e-12
             0.828603                4.86139e-10         1.52549e-12
             0.828836                4.89781e-10         1.57328e-12
             0.829068                4.37769e-10         1.58175e-12
             0.829301                4.95542e-10         1.63171e-12
             0.829534                5.23108e-10         1.63426e-12
             0.829766                3.89764e-10         1.50322e-12
             0.829999                3.21908e-10         1.44854e-12
             0.830231                4.20627e-10         1.48296e-12
             0.830464                4.33932e-10         1.52258e-12
             0.830696                3.57922e-10         1.53116e-12
             0.830929                3.70498e-10         1.53168e-12
             0.831161                3.74495e-10         1.49015e-12
             0.831394                3.61652e-10         1.44092e-12
             0.831626                3.69137e-10         1.43797e-12
