# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:47 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7689 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 44984'           /                                                
# SPTYPE  = 'C-N4 C2 3.5'        / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2007 Mar 15'        / UT date of SXD observations                    
# LXDUT   = '2007 Mar 15'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.804772 / Minimum wavelength (um)                        
# MAXWAVE =              5.07467 / Maximum wavelength (um)                        
# V       =        6.21500000000 / V magnitude                                    
# VERR    =      0.0520000000000 / V magnitude error                              
# (B-V)   =        2.34100000000 / B-V color                                      
# (B-V)ERR=      0.0190000000000 / B-V color error                                
# J       =        2.19200000000 / 2MASS J magnitude                              
# JERR    =       0.324000000000 / 2MASS J magnitude error                        
# H       =        1.00600000000 / 2MASS H magnitude                              
# HERR    =       0.190000000000 / 2MASS H magnitude error                        
# KS      =       0.770000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.196000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.125731000000 / Relative error in the absolute flux calibration
# RV      =        47.2365940000 / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.804772                2.77110e-10         7.94725e-13
             0.804975                2.97223e-10         8.19630e-13
             0.805177                2.63731e-10         7.90339e-13
             0.805380                2.65134e-10         7.93966e-13
             0.805582                3.03913e-10         8.33713e-13
             0.805785                3.31525e-10         8.61983e-13
             0.805987                3.28685e-10         8.64482e-13
             0.806190                3.08692e-10         8.46976e-13
             0.806392                3.02141e-10         8.35242e-13
             0.806594                3.20745e-10         8.60514e-13
             0.806797                2.96722e-10         8.40355e-13
             0.806999                2.40306e-10         7.82252e-13
             0.807202                1.97799e-10         7.55114e-13
             0.807404                2.00362e-10         7.50058e-13
             0.807607                2.41084e-10         7.91521e-13
             0.807809                2.75384e-10         8.26266e-13
             0.808011                2.86761e-10         8.30801e-13
             0.808214                2.58037e-10         8.08928e-13
             0.808416                2.57779e-10         8.12835e-13
             0.808450                2.63504e-10         7.40268e-13
             0.808683                3.06473e-10         8.08100e-13
             0.808916                2.97034e-10         8.74190e-13
             0.809149                2.10085e-10         7.45113e-13
             0.809382                1.62691e-10         7.01690e-13
             0.809615                2.00151e-10         6.84491e-13
             0.809848                2.14204e-10         6.93682e-13
             0.810081                1.98521e-10         7.10340e-13
             0.810314                1.84770e-10         7.41715e-13
             0.810547                1.66184e-10         7.53415e-13
             0.810780                1.72685e-10         7.14251e-13
             0.811013                2.03041e-10         7.00666e-13
             0.811246                2.58604e-10         7.27005e-13
             0.811479                2.59910e-10         7.30826e-13
             0.811712                2.30062e-10         7.37346e-13
             0.811945                2.39028e-10         7.94123e-13
             0.812178                2.30844e-10         7.69748e-13
             0.812411                2.50165e-10         7.52241e-13
             0.812644                2.42752e-10         7.09358e-13
             0.812877                2.27598e-10         6.98058e-13
             0.813110                2.32855e-10         7.24373e-13
             0.813343                2.14365e-10         7.45562e-13
             0.813576                2.34202e-10         8.01128e-13
             0.813808                2.55714e-10         7.72907e-13
             0.814041                2.70552e-10         7.52025e-13
             0.814274                2.34353e-10         7.05712e-13
             0.814507                2.15885e-10         6.90597e-13
             0.814740                2.43686e-10         7.36285e-13
             0.814973                2.29945e-10         7.82607e-13
             0.815206                2.33229e-10         8.01139e-13
             0.815439                2.43277e-10         7.58539e-13
             0.815672                2.57589e-10         7.34963e-13
             0.815904                3.06412e-10         7.56858e-13
             0.816137                2.84462e-10         7.81882e-13
             0.816370                2.38780e-10         7.83977e-13
             0.816603                2.29931e-10         7.94460e-13
             0.816836                2.41926e-10         7.78421e-13
             0.817069                2.79138e-10         7.69526e-13
             0.817302                3.01660e-10         7.56185e-13
             0.817534                2.68717e-10         7.31375e-13
