# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:56 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7672 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 48664'           /                                                
# SPTYPE  = 'C-N5 C2 6-'         / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2007 Mar 16'        / UT date of SXD observations                    
# LXDUT   = '2007 Mar 16'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803639 / Minimum wavelength (um)                        
# MAXWAVE =              5.05460 / Maximum wavelength (um)                        
# V       =        9.45000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        3.19000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.32700000000 / 2MASS J magnitude                              
# JERR    =       0.260000000000 / 2MASS J magnitude error                        
# H       =        3.03900000000 / 2MASS H magnitude                              
# HERR    =       0.202000000000 / 2MASS H magnitude error                        
# KS      =        2.43400000000 / 2MASS Ks magnitude                             
# KSERR   =       0.234000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.131804000000 / Relative error in the absolute flux calibration
# RV      =        69.8302200000 / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803639                4.15983e-11         1.36999e-13
             0.803842                4.53380e-11         1.42980e-13
             0.804044                4.01802e-11         1.35896e-13
             0.804246                3.43545e-11         1.27237e-13
             0.804449                2.94779e-11         1.21517e-13
             0.804651                2.52541e-11         1.16007e-13
             0.804854                2.62201e-11         1.16063e-13
             0.805056                2.64954e-11         1.17507e-13
             0.805259                2.41228e-11         1.14731e-13
             0.805461                2.48817e-11         1.15300e-13
             0.805664                2.71683e-11         1.19013e-13
             0.805866                2.83862e-11         1.20870e-13
             0.806068                2.81439e-11         1.20772e-13
             0.806271                2.94095e-11         1.23220e-13
             0.806473                2.91438e-11         1.22693e-13
             0.806676                2.81523e-11         1.21227e-13
             0.806878                2.40731e-11         1.16794e-13
             0.807081                1.88225e-11         1.09512e-13
             0.807283                1.63644e-11         1.07069e-13
             0.807313                1.63642e-11         9.78703e-14
             0.807546                1.77693e-11         1.02599e-13
             0.807780                2.08116e-11         1.13654e-13
             0.808013                2.21891e-11         1.12460e-13
             0.808247                2.11144e-11         1.04667e-13
             0.808480                2.26693e-11         1.03444e-13
             0.808714                2.54024e-11         1.05054e-13
             0.808947                2.23575e-11         1.05902e-13
             0.809180                1.65687e-11         1.05884e-13
             0.809414                1.52541e-11         1.10130e-13
             0.809647                1.86521e-11         1.04906e-13
             0.809881                1.91002e-11         9.99542e-14
             0.810114                1.78079e-11         9.67563e-14
             0.810348                1.52183e-11         9.53281e-14
             0.810581                1.33054e-11         9.78523e-14
             0.810814                1.43098e-11         1.03256e-13
             0.811048                1.81149e-11         1.07884e-13
             0.811281                2.36583e-11         1.08395e-13
             0.811514                2.31849e-11         1.02193e-13
             0.811748                2.03550e-11         9.96236e-14
             0.811981                2.15083e-11         1.03896e-13
             0.812215                2.00305e-11         1.07189e-13
             0.812448                2.04009e-11         1.12401e-13
             0.812681                1.88042e-11         1.02752e-13
             0.812914                1.96877e-11         1.00428e-13
             0.813148                2.12539e-11         1.00129e-13
             0.813381                1.91508e-11         9.90988e-14
             0.813614                2.17664e-11         1.05284e-13
             0.813848                2.45548e-11         1.13586e-13
             0.814081                2.58802e-11         1.14297e-13
             0.814314                2.05839e-11         1.02170e-13
             0.814548                2.01733e-11         9.86285e-14
             0.814781                2.29849e-11         1.01485e-13
             0.815014                2.07036e-11         1.02146e-13
             0.815247                2.17768e-11         1.08949e-13
             0.815480                2.13527e-11         1.11255e-13
             0.815714                2.17554e-11         1.06905e-13
             0.815947                2.59042e-11         1.07369e-13
             0.816180                2.37526e-11         1.05119e-13
             0.816413                2.22727e-11         1.04638e-13
