# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:43 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6893 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 76846'           /                                                
# SPTYPE  = 'C-R2+ IIIa: C2 2.5' / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2007 Mar 15'        / UT date of SXD observations                    
# LXDUT   = '2007 Mar 16'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806822 / Minimum wavelength (um)                        
# MAXWAVE =              4.17527 / Maximum wavelength (um)                        
# V       =        9.35000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.39000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        7.35400000000 / 2MASS J magnitude                              
# JERR    =      0.0200000000000 / 2MASS J magnitude error                        
# H       =        6.81200000000 / 2MASS H magnitude                              
# HERR    =      0.0230000000000 / 2MASS H magnitude error                        
# KS      =        6.63600000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0160000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0109787000000 / Relative error in the absolute flux calibration
# RV      =        37.7424850000 / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806822                5.15893e-12         2.11987e-14
             0.807025                4.89607e-12         2.06784e-14
             0.807227                4.65615e-12         2.01265e-14
             0.807430                4.48446e-12         1.97582e-14
             0.807632                4.78004e-12         2.08279e-14
             0.807835                5.12927e-12         2.16122e-14
             0.808037                5.12615e-12         2.14144e-14
             0.808239                4.64253e-12         2.02443e-14
             0.808442                4.53714e-12         2.00781e-14
             0.808644                4.95747e-12         2.08433e-14
             0.808847                5.09969e-12         2.12780e-14
             0.809049                4.56735e-12         2.02206e-14
             0.809251                3.71524e-12         1.85237e-14
             0.809454                3.63597e-12         1.86853e-14
             0.809656                4.22124e-12         1.94497e-14
             0.809859                4.51016e-12         2.02427e-14
             0.810061                4.27060e-12         1.97124e-14
             0.810263                4.17510e-12         1.95315e-14
             0.810340                4.11293e-12         1.81915e-14
             0.810573                3.98087e-12         1.80980e-14
             0.810806                4.01140e-12         1.70654e-14
             0.811039                4.04279e-12         1.63965e-14
             0.811272                4.32574e-12         1.67759e-14
             0.811505                4.47668e-12         1.70756e-14
             0.811738                4.27834e-12         1.72702e-14
             0.811971                4.26109e-12         1.82274e-14
             0.812204                4.25673e-12         1.80271e-14
             0.812437                4.57979e-12         1.77735e-14
             0.812669                4.51379e-12         1.69189e-14
             0.812902                4.21989e-12         1.63052e-14
             0.813135                3.94280e-12         1.65137e-14
             0.813368                3.75906e-12         1.66900e-14
             0.813601                4.05512e-12         1.82481e-14
             0.813834                4.20569e-12         1.74906e-14
             0.814067                4.22867e-12         1.69182e-14
             0.814300                4.04315e-12         1.62524e-14
             0.814533                4.09737e-12         1.64411e-14
             0.814766                4.24059e-12         1.72105e-14
             0.814999                4.12412e-12         1.78308e-14
             0.815232                4.18535e-12         1.83451e-14
             0.815464                4.19108e-12         1.73575e-14
             0.815697                4.42549e-12         1.71139e-14
             0.815930                4.89354e-12         1.77379e-14
             0.816163                4.73228e-12         1.81017e-14
             0.816396                4.03367e-12         1.78688e-14
             0.816629                3.91742e-12         1.79042e-14
             0.816862                4.27949e-12         1.82824e-14
             0.817095                4.52607e-12         1.77545e-14
             0.817327                4.53342e-12         1.69566e-14
             0.817560                4.21911e-12         1.64505e-14
             0.817793                4.24160e-12         1.71973e-14
             0.818026                4.61245e-12         1.87227e-14
             0.818259                4.69925e-12         1.92696e-14
             0.818492                4.72898e-12         1.81309e-14
             0.818724                4.59878e-12         1.73360e-14
             0.818957                4.41600e-12         1.68214e-14
             0.819190                5.11374e-12         1.81543e-14
             0.819423                5.19239e-12         1.87403e-14
             0.819655                4.62195e-12         1.84323e-14
             0.819888                4.76327e-12         1.87919e-14
             0.820121                4.74144e-12         1.77028e-14
             0.820354                4.47794e-12         1.65188e-14
             0.820587                4.63412e-12         1.65765e-14
             0.820819                4.56600e-12         1.67522e-14
             0.821052                4.48763e-12         1.69923e-14
             0.821285                4.89897e-12         1.86437e-14
             0.821517                4.90340e-12         1.82296e-14
             0.821750                4.98794e-12         1.76313e-14
             0.821983                5.43610e-12         1.80884e-14
             0.822216                5.30189e-12         1.84987e-14
             0.822448                5.03002e-12         1.78161e-14
             0.822681                5.14466e-12         1.94809e-14
             0.822914                5.06612e-12         2.02832e-14
             0.823146                5.20840e-12         1.95927e-14
             0.823379                5.40475e-12         1.86062e-14
             0.823612                5.19679e-12         1.75692e-14
             0.823844                5.16637e-12         1.74425e-14
             0.824077                5.37829e-12         1.90292e-14
             0.824310                5.27119e-12         1.90105e-14
             0.824542                5.36399e-12         1.88772e-14
             0.824775                5.35184e-12         1.79415e-14
             0.825007                5.14613e-12         1.70648e-14
             0.825240                5.08127e-12         1.74990e-14
             0.825473                4.76258e-12         1.67922e-14
             0.825705                4.65101e-12         1.72672e-14
             0.825938                4.87920e-12         1.81772e-14
             0.826171                5.31896e-12         1.86103e-14
             0.826403                5.54040e-12         1.80596e-14
             0.826636                5.38030e-12         1.77736e-14
             0.826868                5.27552e-12         1.86623e-14
             0.827101                5.31252e-12         1.76847e-14
             0.827334                5.07505e-12         1.81963e-14
             0.827566                4.51145e-12         1.73783e-14
             0.827799                4.54215e-12         1.68004e-14
             0.828031                5.01161e-12         1.72098e-14
             0.828264                5.11467e-12         1.71701e-14
             0.828496                5.02749e-12         1.69920e-14
             0.828729                5.07398e-12         1.75710e-14
             0.828961                4.77233e-12         1.78256e-14
             0.829194                4.70473e-12         1.72207e-14
             0.829426                5.13394e-12         1.75395e-14
             0.829659                4.81116e-12         1.65024e-14
             0.829891                3.93695e-12         1.49978e-14
             0.830124                4.18086e-12         1.55440e-14
             0.830356                4.71639e-12         1.70299e-14
             0.830589                4.55864e-12         1.72013e-14
             0.830821                4.61275e-12         1.67339e-14
             0.831054                4.60666e-12         1.60887e-14
             0.831286                4.20010e-12         1.52340e-14
             0.831519                4.25165e-12         1.53090e-14
             0.831751                4.65713e-12         1.63936e-14
             0.831984                4.78543e-12         1.72429e-14
             0.832216                4.39167e-12         1.67096e-14
             0.832449                4.46167e-12         1.60961e-14
             0.832681                4.84522e-12         1.66526e-14
             0.832914                4.85623e-12         1.61498e-14
             0.833146                4.67712e-12         1.60959e-14
             0.833378                4.16219e-12         1.54756e-14
             0.833611                4.00751e-12         1.54907e-14
             0.833843                4.30400e-12         1.58520e-14
             0.834076                4.54881e-12         1.59562e-14
             0.834308                4.89425e-12         1.62230e-14
             0.834540                4.80405e-12         1.59724e-14
             0.834773                4.74616e-12         1.61139e-14
             0.835005                4.69784e-12         1.63997e-14
             0.835238                4.72338e-12         1.67048e-14
             0.835470                4.68261e-12         1.61549e-14
             0.835702                4.35840e-12         1.52598e-14
             0.835935                4.37223e-12         1.51760e-14
             0.836167                4.76250e-12         1.58506e-14
             0.836399                4.89197e-12         1.62396e-14
             0.836632                4.70584e-12         1.62874e-14
             0.836864                4.72693e-12         1.63427e-14
             0.837096                4.88365e-12         1.61557e-14
             0.837329                4.83655e-12         1.59767e-14
             0.837561                4.98511e-12         1.63626e-14
             0.837793                4.91273e-12         1.61391e-14
             0.838026                5.10420e-12         1.65623e-14
             0.838258                5.23050e-12         1.71870e-14
             0.838490                4.66195e-12         1.59065e-14
             0.838723                4.60022e-12         1.56646e-14
             0.838955                4.95032e-12         1.58513e-14
             0.839187                4.82267e-12         1.55782e-14
             0.839419                4.91660e-12         1.61302e-14
             0.839652                5.29107e-12         1.68381e-14
             0.839884                5.28605e-12         1.71595e-14
             0.840116                5.18373e-12         1.65337e-14
             0.840348                5.40499e-12         1.65424e-14
             0.840581                5.35873e-12         1.62825e-14
             0.840813                5.20475e-12         1.61395e-14
             0.841045                5.14326e-12         1.64042e-14
             0.841277                5.05251e-12         1.63891e-14
             0.841510                5.08047e-12         1.65929e-14
             0.841742                5.35253e-12         1.67553e-14
             0.841974                5.30925e-12         1.61882e-14
             0.842206                5.00450e-12         1.55539e-14
             0.842438                5.32964e-12         1.61776e-14
             0.842671                5.27393e-12         1.65296e-14
             0.842903                4.88080e-12         1.62190e-14
             0.843135                5.32782e-12         1.66436e-14
             0.843367                5.67088e-12         1.68889e-14
             0.843599                5.25056e-12         1.61420e-14
             0.843831                5.31143e-12         1.61452e-14
             0.844064                5.26863e-12         1.62052e-14
             0.844296                5.05525e-12         1.60406e-14
             0.844528                5.19411e-12         1.65568e-14
             0.844760                5.05409e-12         1.62333e-14
             0.844992                5.01399e-12         1.59878e-14
             0.845224                5.51454e-12         1.62773e-14
             0.845457                5.97352e-12         1.70685e-14
             0.845689                5.54228e-12         1.65720e-14
             0.845921                5.10863e-12         1.60894e-14
             0.846153                5.40033e-12         1.66250e-14
             0.846385                5.58890e-12         1.66145e-14
             0.846617                5.17949e-12         1.57781e-14
             0.846849                5.05676e-12         1.55961e-14
             0.847081                4.98962e-12         1.55356e-14
             0.847313                5.15154e-12         1.58610e-14
             0.847546                5.98486e-12         1.74095e-14
             0.847778                6.06818e-12         1.73302e-14
             0.848010                5.43880e-12         1.60872e-14
             0.848242                5.01569e-12         1.52635e-14
             0.848474                5.03806e-12         1.52839e-14
             0.848706                5.15504e-12         1.56042e-14
             0.848938                5.01884e-12         1.55477e-14
             0.849170                5.22812e-12         1.61255e-14
             0.849402                5.43785e-12         1.60769e-14
             0.849634                5.41064e-12         1.58683e-14
             0.849866                4.62092e-12         1.45504e-14
             0.850098                3.92164e-12         1.33920e-14
             0.850330                4.28188e-12         1.41158e-14
             0.850562                4.68243e-12         1.50327e-14
             0.850794                5.15623e-12         1.58397e-14
             0.851026                5.64207e-12         1.63736e-14
             0.851258                5.42498e-12         1.57063e-14
             0.851490                4.94384e-12         1.48760e-14
             0.851722                4.92001e-12         1.48617e-14
             0.851954                5.00555e-12         1.51624e-14
             0.852186                4.83942e-12         1.50890e-14
             0.852418                4.47298e-12         1.42766e-14
             0.852650                4.35630e-12         1.39916e-14
             0.852882                4.60663e-12         1.42950e-14
             0.853114                4.84287e-12         1.46286e-14
             0.853346                5.06673e-12         1.51551e-14
             0.853578                5.18520e-12         1.54285e-14
             0.853810                4.77920e-12         1.49332e-14
             0.854042                3.97587e-12         1.34062e-14
             0.854274                3.11251e-12         1.17808e-14
             0.854506                3.06331e-12         1.16653e-14
             0.854738                3.76434e-12         1.28354e-14
             0.854970                4.26814e-12         1.37676e-14
             0.855201                4.66909e-12         1.45713e-14
             0.855433                5.29621e-12         1.56606e-14
             0.855665                5.19795e-12         1.52700e-14
             0.855897                5.17001e-12         1.51320e-14
             0.856129                5.39648e-12         1.52994e-14
             0.856361                5.14608e-12         1.49751e-14
             0.856593                4.82916e-12         1.45820e-14
             0.856825                4.69498e-12         1.44022e-14
             0.857057                4.76439e-12         1.45473e-14
             0.857288                4.97857e-12         1.46291e-14
             0.857520                5.20156e-12         1.48688e-14
             0.857752                5.21938e-12         1.48604e-14
             0.857984                5.19654e-12         1.49416e-14
             0.858216                5.08170e-12         1.49033e-14
             0.858448                4.93686e-12         1.49366e-14
             0.858680                5.05908e-12         1.48505e-14
             0.858911                5.09196e-12         1.47454e-14
             0.859143                4.73564e-12         1.40814e-14
             0.859375                4.90604e-12         1.43821e-14
             0.859607                5.47049e-12         1.53200e-14
             0.859839                5.55780e-12         1.56000e-14
             0.860070                5.82506e-12         1.61418e-14
             0.860302                5.98037e-12         1.62733e-14
             0.860534                5.23827e-12         1.49377e-14
             0.860766                4.75614e-12         1.41617e-14
             0.860998                4.81009e-12         1.42478e-14
             0.861229                4.81204e-12         1.43600e-14
             0.861461                4.94259e-12         1.45923e-14
             0.861693                5.34660e-12         1.51787e-14
             0.861925                5.60127e-12         1.53473e-14
             0.862157                5.51645e-12         1.51428e-14
             0.862388                5.18820e-12         1.44280e-14
             0.862620                5.27744e-12         1.46302e-14
             0.862852                5.35064e-12         1.48605e-14
             0.863084                5.19231e-12         1.46825e-14
             0.863315                5.10364e-12         1.44267e-14
             0.863547                5.33426e-12         1.46814e-14
             0.863779                5.83364e-12         1.54459e-14
             0.864011                6.12801e-12         1.58625e-14
             0.864242                5.87751e-12         1.55220e-14
             0.864474                5.49294e-12         1.50579e-14
             0.864706                5.40697e-12         1.50183e-14
             0.864937                5.23119e-12         1.45849e-14
             0.865169                4.89654e-12         1.39615e-14
             0.865401                5.00511e-12         1.40787e-14
             0.865632                5.41540e-12         1.47368e-14
             0.865864                5.45235e-12         1.49118e-14
             0.866096                4.80144e-12         1.39633e-14
             0.866328                3.69767e-12         1.21791e-14
             0.866559                3.67124e-12         1.21447e-14
             0.866791                4.56574e-12         1.34086e-14
             0.867023                5.05390e-12         1.40554e-14
             0.867254                5.14719e-12         1.42202e-14
             0.867486                5.08376e-12         1.41987e-14
             0.867718                5.45040e-12         1.48687e-14
             0.867949                5.79228e-12         1.52683e-14
             0.868181                5.42557e-12         1.46623e-14
             0.868412                5.14468e-12         1.50227e-14
             0.868644                5.57339e-12         1.47682e-14
             0.868876                5.39874e-12         1.45561e-14
             0.869107                5.00631e-12         1.40597e-14
             0.869339                5.41812e-12         1.48795e-14
             0.869571                5.81077e-12         1.52602e-14
             0.869802                5.74600e-12         1.50389e-14
             0.870034                5.64098e-12         1.48179e-14
             0.870265                5.51763e-12         1.46172e-14
             0.870497                5.30642e-12         1.43737e-14
             0.870729                5.43196e-12         1.46604e-14
             0.870960                5.49997e-12         1.47336e-14
             0.871192                5.43645e-12         1.46057e-14
             0.871423                5.40631e-12         1.44578e-14
