# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:54:45 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7681 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 31996'           /                                                
# SPTYPE  = 'C7,6e(N4)'          / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2007 Jan 18'        / UT date of SXD observations                    
# LXDUT   = '2007 Jan 18'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.804299 / Minimum wavelength (um)                        
# MAXWAVE =              5.06396 / Maximum wavelength (um)                        
# V       =        8.08100000000 / V magnitude                                    
# VERR    =       0.343000000000 / V magnitude error                              
# (B-V)   =        5.69900000000 / B-V color                                      
# (B-V)ERR=       0.449000000000 / B-V color error                                
# J       =        2.16000000000 / 2MASS J magnitude                              
# JERR    =       0.268000000000 / 2MASS J magnitude error                        
# H       =       0.884000000000 / 2MASS H magnitude                              
# HERR    =       0.224000000000 / 2MASS H magnitude error                        
# KS      =       0.137000000000 / 2MASS Ks magnitude                             
# KSERR   =       0.244000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.140512000000 / Relative error in the absolute flux calibration
# RV      =        61.8840320000 / Measured radial velocity (km s-1)              
# (B-V)_0 =                    0 / Intrinsic Color                                
# E(B-V)  =                    0 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.804299                1.99191e-10         9.38187e-13
             0.804501                1.70085e-10         9.40262e-13
             0.804703                1.67621e-10         9.94113e-13
             0.804906                1.81212e-10         9.42163e-13
             0.805108                1.72608e-10         9.45334e-13
             0.805311                1.58961e-10         9.44479e-13
             0.805513                1.63591e-10         9.39060e-13
             0.805715                1.76512e-10         9.50678e-13
             0.805918                1.84267e-10         9.57209e-13
             0.806120                1.82189e-10         9.58713e-13
             0.806322                1.74631e-10         9.56816e-13
             0.806525                1.74641e-10         9.55981e-13
             0.806727                1.79404e-10         9.60181e-13
             0.806930                1.68592e-10         9.69463e-13
             0.807132                1.42996e-10         9.55203e-13
             0.807334                1.32429e-10         9.57254e-13
             0.807537                1.43597e-10         9.50042e-13
             0.807739                1.62485e-10         9.65417e-13
             0.807941                1.69564e-10         9.66762e-13
             0.808079                1.62340e-10         9.41286e-13
             0.808312                1.49919e-10         8.91353e-13
             0.808546                1.51382e-10         8.81409e-13
             0.808779                1.63471e-10         8.86258e-13
             0.809013                1.45900e-10         9.32825e-13
             0.809246                1.18418e-10         9.90205e-13
             0.809479                1.15442e-10         9.72704e-13
             0.809713                1.33352e-10         9.06148e-13
             0.809946                1.45649e-10         8.78739e-13
             0.810179                1.37307e-10         8.81857e-13
             0.810413                1.27078e-10         8.95977e-13
             0.810646                1.23594e-10         9.52411e-13
             0.810880                1.27274e-10         9.88984e-13
             0.811113                1.38811e-10         9.34986e-13
             0.811346                1.53083e-10         8.94615e-13
             0.811580                1.51040e-10         8.75222e-13
             0.811813                1.45222e-10         8.84869e-13
             0.812046                1.46040e-10         9.22611e-13
             0.812279                1.48828e-10         9.77295e-13
             0.812513                1.57035e-10         9.67211e-13
             0.812746                1.45696e-10         9.04016e-13
             0.812979                1.40848e-10         8.74545e-13
             0.813213                1.34732e-10         8.84438e-13
             0.813446                1.34019e-10         8.98064e-13
             0.813679                1.49809e-10         9.41178e-13
             0.813912                1.58646e-10         9.87695e-13
             0.814146                1.56405e-10         9.31340e-13
             0.814379                1.41140e-10         8.86452e-13
             0.814612                1.49322e-10         8.65952e-13
             0.814845                1.58843e-10         8.81315e-13
             0.815078                1.50099e-10         9.19685e-13
             0.815312                1.55836e-10         9.75210e-13
             0.815545                1.54277e-10         9.54450e-13
             0.815778                1.61431e-10         9.06820e-13
             0.816011                1.77663e-10         8.84277e-13
             0.816244                1.60321e-10         8.86494e-13
             0.816478                1.47823e-10         9.09307e-13
             0.816711                1.52204e-10         9.43173e-13
             0.816944                1.61628e-10         9.89848e-13
             0.817177                1.74003e-10         9.34447e-13
             0.817410                1.69894e-10         8.91999e-13
             0.817643                1.57236e-10         8.78951e-13
             0.817876                1.59504e-10         8.91252e-13
             0.818109                1.68124e-10         9.19582e-13
             0.818342                1.76318e-10         9.75075e-13
             0.818576                1.74730e-10         9.67415e-13
             0.818809                1.59644e-10         9.09121e-13
             0.819042                1.75584e-10         8.84951e-13
             0.819275                2.04900e-10         9.04746e-13
             0.819508                2.03578e-10         9.11155e-13
             0.819741                1.92751e-10         9.46524e-13
             0.819974                2.08154e-10         9.88396e-13
             0.820207                1.86802e-10         9.31374e-13
             0.820440                1.62109e-10         8.84066e-13
             0.820673                1.73277e-10         8.59725e-13
             0.820906                1.71312e-10         8.69532e-13
             0.821139                1.76313e-10         8.86520e-13
             0.821372                1.87693e-10         9.30925e-13
             0.821605                1.88620e-10         9.41375e-13
             0.821838                2.00499e-10         9.01581e-13
             0.822071                2.16137e-10         8.79105e-13
             0.822304                2.05297e-10         8.66701e-13
             0.822537                2.03187e-10         8.76879e-13
             0.822770                2.04558e-10         9.19831e-13
             0.823003                2.02032e-10         9.54670e-13
             0.823236                2.15472e-10         9.25634e-13
             0.823469                2.13752e-10         8.78247e-13
             0.823702                2.06770e-10         8.45023e-13
             0.823935                2.15219e-10         8.48204e-13
             0.824167                2.11597e-10         8.76429e-13
             0.824400                2.03723e-10         8.94950e-13
             0.824633                2.08002e-10         9.10510e-13
             0.824866                2.01219e-10         8.77503e-13
             0.825099                1.94510e-10         8.55810e-13
             0.825332                1.79965e-10         8.33131e-13
             0.825565                1.65157e-10         8.47782e-13
             0.825798                1.75697e-10         8.60250e-13
             0.826031                1.90706e-10         8.92371e-13
             0.826263                2.03503e-10         8.81673e-13
             0.826496                2.08253e-10         8.45982e-13
             0.826729                1.99224e-10         8.30849e-13
             0.826962                2.04774e-10         8.25701e-13
             0.827195                2.03729e-10         8.55707e-13
             0.827428                1.80223e-10         8.59292e-13
             0.827660                1.67280e-10         8.70562e-13
             0.827893                1.81689e-10         8.53701e-13
             0.828126                2.04377e-10         8.46128e-13
             0.828359                2.00406e-10         8.19664e-13
             0.828591                2.02146e-10         8.18009e-13
             0.828824                2.01024e-10         8.46380e-13
             0.829057                1.88425e-10         8.62529e-13
             0.829290                2.05146e-10         8.66428e-13
             0.829522                2.15210e-10         8.37423e-13
             0.829755                1.78696e-10         8.09155e-13
             0.829988                1.55443e-10         8.06818e-13
             0.830221                1.81188e-10         8.16826e-13
             0.830453                1.88683e-10         8.39380e-13
             0.830686                1.68816e-10         8.57910e-13
             0.830919                1.67622e-10         8.26003e-13
             0.831151                1.67244e-10         8.08542e-13
             0.831384                1.66980e-10         7.89269e-13
             0.831617                1.70508e-10         7.96668e-13
             0.831850                1.83178e-10         8.04876e-13
             0.832082                1.85562e-10         8.26170e-13
             0.832315                1.71749e-10         8.27513e-13
             0.832547                1.71711e-10         8.10058e-13
             0.832780                1.77908e-10         7.93086e-13
             0.833013                1.92633e-10         7.93505e-13
             0.833245                1.87491e-10         7.93011e-13
             0.833478                1.69580e-10         8.05181e-13
             0.833711                1.73712e-10         8.17853e-13
             0.833943                1.84458e-10         8.07827e-13
             0.834176                2.15219e-10         7.97693e-13
             0.834409                2.17998e-10         7.89363e-13
             0.834641                1.92142e-10         7.72487e-13
             0.834874                1.92285e-10         7.83418e-13
             0.835106                1.87839e-10         7.87174e-13
             0.835339                1.85240e-10         7.97653e-13
             0.835571                1.80687e-10         7.77529e-13
             0.835804                1.85159e-10         7.63076e-13
             0.836036                1.97431e-10         7.59047e-13
             0.836269                1.97403e-10         7.79242e-13
             0.836502                1.87580e-10         7.64570e-13
             0.836734                1.89402e-10         7.77513e-13
             0.836967                1.98628e-10         7.72269e-13
             0.837199                1.90989e-10         7.55998e-13
             0.837432                2.07390e-10         7.49896e-13
             0.837664                2.18246e-10         7.54643e-13
             0.837897                2.12123e-10         7.48481e-13
             0.838129                2.30297e-10         7.72958e-13
             0.838362                2.13005e-10         7.67709e-13
             0.838594                1.93729e-10         7.56985e-13
             0.838827                2.12119e-10         7.50926e-13
             0.839059                2.00097e-10         7.40591e-13
             0.839292                1.94639e-10         7.36294e-13
             0.839524                2.20512e-10         7.45168e-13
             0.839756                2.24369e-10         7.55833e-13
             0.839989                2.10236e-10         7.55520e-13
             0.840221                2.17908e-10         7.34389e-13
             0.840454                2.34509e-10         7.35005e-13
             0.840686                2.26255e-10         7.18044e-13
             0.840918                2.18736e-10         7.24381e-13
             0.841151                2.20154e-10         7.27553e-13
             0.841383                2.03749e-10         7.33461e-13
             0.841616                2.17555e-10         7.39775e-13
             0.841848                2.42156e-10         7.37911e-13
             0.842080                2.23944e-10         7.16100e-13
             0.842313                2.21207e-10         7.15256e-13
             0.842545                2.40809e-10         7.23762e-13
             0.842778                2.15259e-10         7.18940e-13
             0.843010                2.14626e-10         7.23950e-13
             0.843242                2.51947e-10         7.31547e-13
             0.843475                2.40198e-10         7.12544e-13
             0.843707                2.13602e-10         7.06073e-13
             0.843939                2.27221e-10         7.00796e-13
             0.844172                2.27093e-10         7.08362e-13
             0.844404                2.21564e-10         7.02075e-13
             0.844636                2.21878e-10         7.13015e-13
             0.844868                2.14624e-10         6.97152e-13
             0.845101                2.27368e-10         6.95525e-13
             0.845333                2.61716e-10         7.03004e-13
