# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:43:47 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7594 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'BD +38 2803'        /                                                
# SPTYPE  = 'F2-F5 Ib'           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Aug 10'        / UT date of SXD observations                    
# LXDUT   = '2003 Aug 10'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809596 / Minimum wavelength (um)                        
# MAXWAVE =              4.99741 / Maximum wavelength (um)                        
# V       =        8.19000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =      0.0900000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        7.63500000000 / 2MASS J magnitude                              
# JERR    =      0.0200000000000 / 2MASS J magnitude error                        
# H       =        7.34700000000 / 2MASS H magnitude                              
# HERR    =      0.0530000000000 / 2MASS H magnitude error                        
# KS      =        7.25300000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0180000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0129723000000 / Relative error in the absolute flux calibration
# RV      =       -131.232620000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.180000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0900000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809596                6.45575e-12         1.39043e-14
             0.809799                6.46189e-12         1.39552e-14
             0.810001                6.45343e-12         1.41129e-14
             0.810204                6.45187e-12         1.39675e-14
             0.810406                6.46637e-12         1.39655e-14
             0.810608                6.48256e-12         1.40877e-14
             0.810811                6.45842e-12         1.39579e-14
             0.811013                6.44929e-12         1.40688e-14
             0.811216                6.45091e-12         1.40333e-14
             0.811418                6.44825e-12         1.41061e-14
             0.811621                6.46328e-12         1.40677e-14
             0.811823                6.44459e-12         1.41566e-14
             0.812025                6.44169e-12         1.40947e-14
             0.812228                6.41847e-12         1.41327e-14
             0.812430                6.42262e-12         1.40778e-14
             0.812481                6.42066e-12         1.17122e-14
             0.812714                6.42271e-12         1.23844e-14
             0.812947                6.42750e-12         1.25614e-14
             0.813180                6.42406e-12         1.18748e-14
             0.813414                6.42359e-12         1.14897e-14
             0.813647                6.44458e-12         1.13901e-14
             0.813880                6.41770e-12         1.16900e-14
             0.814113                6.42016e-12         1.20928e-14
             0.814346                6.42995e-12         1.27132e-14
             0.814580                6.41644e-12         1.23301e-14
             0.814813                6.41002e-12         1.17908e-14
             0.815046                6.40399e-12         1.14736e-14
             0.815279                6.37996e-12         1.15578e-14
             0.815512                6.40125e-12         1.18479e-14
             0.815745                6.41501e-12         1.23395e-14
             0.815979                6.39899e-12         1.27417e-14
             0.816212                6.42174e-12         1.20971e-14
             0.816445                6.37928e-12         1.15456e-14
             0.816678                6.38349e-12         1.16414e-14
             0.816911                6.37041e-12         1.19118e-14
             0.817144                6.38277e-12         1.20866e-14
             0.817377                6.35830e-12         1.25031e-14
             0.817611                6.36538e-12         1.23689e-14
             0.817844                6.38810e-12         1.16472e-14
             0.818077                6.35912e-12         1.13570e-14
             0.818310                6.27517e-12         1.15262e-14
             0.818543                6.21354e-12         1.15955e-14
             0.818776                6.27242e-12         1.19249e-14
             0.819009                6.32638e-12         1.23670e-14
             0.819242                6.34168e-12         1.19159e-14
             0.819475                6.26517e-12         1.14752e-14
             0.819708                6.14926e-12         1.10989e-14
             0.819941                6.23082e-12         1.12576e-14
             0.820174                6.27802e-12         1.15001e-14
             0.820407                6.27519e-12         1.21398e-14
             0.820640                6.34292e-12         1.23042e-14
             0.820873                6.37939e-12         1.15040e-14
             0.821106                6.35449e-12         1.12316e-14
             0.821339                6.31925e-12         1.09216e-14
             0.821572                6.28053e-12         1.10773e-14
             0.821805                6.27079e-12         1.18233e-14
             0.822038                6.24847e-12         1.19138e-14
             0.822271                6.20940e-12         1.18807e-14
             0.822504                6.26202e-12         1.11932e-14
             0.822737                6.33615e-12         1.10687e-14
             0.822970                6.36404e-12         1.12004e-14
             0.823203                6.29093e-12         1.17268e-14
             0.823436                6.29186e-12         1.25215e-14
             0.823669                6.31930e-12         1.25059e-14
             0.823902                6.34293e-12         1.17090e-14
             0.824135                6.35018e-12         1.17063e-14
             0.824368                6.28897e-12         1.08624e-14
             0.824601                6.29937e-12         1.09554e-14
             0.824834                6.22977e-12         1.13790e-14
             0.825067                6.19270e-12         1.18754e-14
             0.825300                6.20437e-12         1.12869e-14
             0.825532                6.26304e-12         1.10260e-14
             0.825765                6.26034e-12         1.07695e-14
             0.825998                6.26710e-12         1.08157e-14
             0.826231                6.26040e-12         1.11184e-14
             0.826464                6.26117e-12         1.18295e-14
             0.826697                6.27409e-12         1.16827e-14
             0.826930                6.27104e-12         1.11915e-14
             0.827163                6.25714e-12         1.08196e-14
             0.827395                6.25743e-12         1.07192e-14
             0.827628                6.25048e-12         1.08367e-14
             0.827861                6.23346e-12         1.11362e-14
             0.828094                6.23845e-12         1.15951e-14
             0.828327                6.25725e-12         1.15454e-14
             0.828560                6.22024e-12         1.10890e-14
             0.828792                6.22336e-12         1.08721e-14
             0.829025                6.27256e-12         1.09167e-14
             0.829258                6.22500e-12         1.09151e-14
             0.829491                6.23744e-12         1.12390e-14
             0.829724                6.24513e-12         1.15121e-14
             0.829956                6.18527e-12         1.11936e-14
             0.830189                6.22737e-12         1.10095e-14
             0.830422                6.24497e-12         1.06109e-14
             0.830655                6.19662e-12         1.08315e-14
             0.830887                6.15310e-12         1.07749e-14
             0.831120                6.21428e-12         1.11931e-14
             0.831353                6.22060e-12         1.12000e-14
             0.831586                6.17212e-12         1.08272e-14
             0.831818                6.20889e-12         1.06561e-14
             0.832051                6.26163e-12         1.05777e-14
             0.832284                6.21526e-12         1.06324e-14
             0.832516                6.10680e-12         1.08270e-14
             0.832749                6.04102e-12         1.10411e-14
             0.832982                6.11692e-12         1.10672e-14
             0.833215                6.13716e-12         1.05345e-14
             0.833447                6.00812e-12         1.02532e-14
             0.833680                5.84655e-12         1.00744e-14
             0.833913                6.02260e-12         1.03286e-14
             0.834145                6.22599e-12         1.08142e-14
             0.834378                6.20168e-12         1.11360e-14
             0.834611                6.07018e-12         1.06036e-14
             0.834843                6.03193e-12         1.03242e-14
             0.835076                6.16765e-12         1.02540e-14
             0.835309                6.27885e-12         1.05844e-14
             0.835541                6.29230e-12         1.06452e-14
             0.835774                6.16821e-12         1.08250e-14
             0.836007                5.99830e-12         1.05976e-14
             0.836239                6.00397e-12         1.03704e-14
             0.836472                6.18820e-12         1.03572e-14
             0.836704                6.26358e-12         1.03356e-14
             0.836937                6.29815e-12         1.04199e-14
             0.837170                6.22888e-12         1.05480e-14
             0.837402                6.08596e-12         1.06818e-14
             0.837635                5.92129e-12         1.03757e-14
             0.837867                6.04079e-12         1.03780e-14
             0.838100                6.21331e-12         1.04646e-14
             0.838333                6.27280e-12         1.05501e-14
             0.838565                6.26819e-12         1.04477e-14
             0.838798                6.18575e-12         1.05056e-14
             0.839030                6.03250e-12         1.05966e-14
             0.839263                5.89822e-12         1.01402e-14
             0.839495                5.85105e-12         9.85575e-15
             0.839728                6.04974e-12         1.01152e-14
             0.839960                6.20836e-12         1.01660e-14
             0.840193                6.27384e-12         1.03735e-14
             0.840425                6.29121e-12         1.06771e-14
             0.840658                6.28193e-12         1.06000e-14
             0.840891                6.22839e-12         1.03460e-14
             0.841123                6.14755e-12         1.01552e-14
             0.841356                5.89702e-12         9.80827e-15
             0.841588                5.77498e-12         9.71392e-15
             0.841821                6.00107e-12         1.01924e-14
             0.842053                6.17779e-12         1.05580e-14
             0.842285                6.24160e-12         1.07217e-14
             0.842518                6.26024e-12         1.02476e-14
             0.842750                6.24717e-12         1.01000e-14
             0.842983                6.25112e-12         1.00680e-14
             0.843215                6.21409e-12         1.01272e-14
             0.843448                6.13926e-12         1.02636e-14
             0.843680                5.98379e-12         1.02797e-14
             0.843913                5.71267e-12         9.85379e-15
             0.844145                5.75661e-12         9.70484e-15
             0.844378                6.04758e-12         1.00033e-14
             0.844610                6.05049e-12         1.00095e-14
             0.844842                5.83015e-12         1.00987e-14
             0.845075                6.05213e-12         1.02855e-14
