# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:43:59 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7681 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 40535'           /                                                
# SPTYPE  = 'F2 III-IV'          / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Oct 06'        / UT date of SXD observations                    
# LXDUT   = '2001 Sep 01'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.804429 / Minimum wavelength (um)                        
# MAXWAVE =              5.06917 / Maximum wavelength (um)                        
# V       =        6.12800000000 / V magnitude                                    
# VERR    =      0.0200000000000 / V magnitude error                              
# (B-V)   =       0.297000000000 / B-V color                                      
# (B-V)ERR=     0.00500000000000 / B-V color error                                
# J       =        5.48900000000 / 2MASS J magnitude                              
# JERR    =      0.0200000000000 / 2MASS J magnitude error                        
# H       =        5.35400000000 / 2MASS H magnitude                              
# HERR    =      0.0290000000000 / 2MASS H magnitude error                        
# KS      =        5.28100000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0240000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0135767000000 / Relative error in the absolute flux calibration
# RV      =        18.4779200000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.370000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0730000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.804429                5.35490e-11         9.46950e-14
             0.804632                5.27449e-11         9.36725e-14
             0.804834                5.22147e-11         9.29431e-14
             0.805037                5.24653e-11         9.31961e-14
             0.805239                5.29979e-11         9.39100e-14
             0.805441                5.30985e-11         9.40726e-14
             0.805644                5.30646e-11         9.41741e-14
             0.805846                5.31191e-11         9.44992e-14
             0.806049                5.31256e-11         9.50685e-14
             0.806251                5.29950e-11         9.49609e-14
             0.806454                5.30139e-11         9.46615e-14
             0.806656                5.31175e-11         9.51397e-14
             0.806859                5.32228e-11         9.55928e-14
             0.807061                5.30902e-11         9.53280e-14
             0.807264                5.27157e-11         9.51271e-14
             0.807466                5.27377e-11         9.47544e-14
             0.807669                5.29564e-11         9.55261e-14
             0.807871                5.29406e-11         9.55173e-14
             0.807993                5.30305e-11         8.80074e-14
             0.808226                5.29458e-11         8.32286e-14
             0.808459                5.27711e-11         8.06157e-14
             0.808693                5.21154e-11         7.90133e-14
             0.808926                5.23456e-11         8.15956e-14
             0.809159                5.26967e-11         8.61985e-14
             0.809393                5.25579e-11         9.21561e-14
             0.809626                5.23107e-11         8.45482e-14
             0.809859                5.22588e-11         8.06584e-14
             0.810093                5.22125e-11         7.92976e-14
             0.810326                5.24139e-11         7.98549e-14
             0.810559                5.27366e-11         8.35204e-14
             0.810793                5.26106e-11         8.71558e-14
             0.811026                5.25571e-11         8.68325e-14
             0.811259                5.26008e-11         8.36916e-14
             0.811492                5.25916e-11         7.97203e-14
             0.811726                5.24112e-11         7.90976e-14
             0.811959                5.25108e-11         8.09956e-14
             0.812192                5.23951e-11         8.42524e-14
             0.812425                5.24227e-11         8.90287e-14
             0.812659                5.24076e-11         8.39937e-14
             0.812892                5.24401e-11         8.05482e-14
             0.813125                5.21250e-11         7.86510e-14
             0.813358                5.22623e-11         7.96339e-14
             0.813591                5.21361e-11         8.21271e-14
             0.813825                5.21996e-11         8.60867e-14
             0.814058                5.20765e-11         8.59601e-14
             0.814291                5.21571e-11         8.22651e-14
             0.814524                5.19868e-11         7.88730e-14
             0.814757                5.20202e-11         7.82960e-14
             0.814990                5.18343e-11         8.03983e-14
             0.815224                5.19167e-11         8.40298e-14
             0.815457                5.18799e-11         8.73760e-14
             0.815690                5.20090e-11         8.42726e-14
             0.815923                5.20663e-11         8.05946e-14
             0.816156                5.18682e-11         8.06591e-14
             0.816389                5.17072e-11         8.17601e-14
             0.816622                5.17086e-11         8.21980e-14
             0.816855                5.16880e-11         8.45065e-14
             0.817089                5.15756e-11         8.62423e-14
             0.817322                5.14940e-11         8.14138e-14
             0.817555                5.15846e-11         7.85349e-14
             0.817788                5.15328e-11         7.88612e-14
             0.818021                5.16647e-11         8.08105e-14
             0.818254                5.10666e-11         8.22220e-14
             0.818487                4.98214e-11         8.39089e-14
