# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:04 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7526 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 113139'          /                                                
# SPTYPE  = 'F2 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2002 May 29'        / UT date of SXD observations                    
# LXDUT   = '2002 May 29'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810011 / Minimum wavelength (um)                        
# MAXWAVE =              4.91994 / Maximum wavelength (um)                        
# V       =        4.92900000000 / V magnitude                                    
# VERR    =     0.00400000000000 / V magnitude error                              
# (B-V)   =       0.365000000000 / B-V color                                      
# (B-V)ERR=     0.00500000000000 / B-V color error                                
# J       =        4.32300000000 / 2MASS J magnitude                              
# JERR    =       0.282000000000 / 2MASS J magnitude error                        
# H       =        4.16600000000 / 2MASS H magnitude                              
# HERR    =       0.274000000000 / 2MASS H magnitude error                        
# KS      =        3.95300000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0200000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0198972000000 / Relative error in the absolute flux calibration
# RV      =      -0.181306430000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.350000000000 / Intrinsic Color                                
# E(B-V)  =      0.0150000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810011                1.73352e-10         2.22748e-13
             0.810213                1.73633e-10         2.23527e-13
             0.810416                1.75049e-10         2.23994e-13
             0.810618                1.75277e-10         2.26087e-13
             0.810821                1.74994e-10         2.25288e-13
             0.811023                1.74959e-10         2.26522e-13
             0.811225                1.75218e-10         2.26473e-13
             0.811428                1.75307e-10         2.27914e-13
             0.811630                1.75316e-10         2.27911e-13
             0.811833                1.75563e-10         2.28185e-13
             0.812035                1.75047e-10         2.26837e-13
             0.812238                1.74935e-10         2.29877e-13
             0.812440                1.74909e-10         2.30726e-13
             0.812642                1.74340e-10         2.29375e-13
             0.812845                1.74443e-10         2.28676e-13
             0.813031                1.74324e-10         1.83477e-13
             0.813264                1.73961e-10         1.83912e-13
             0.813497                1.74163e-10         1.91987e-13
             0.813730                1.73900e-10         2.01330e-13
             0.813963                1.74266e-10         2.06424e-13
             0.814196                1.74027e-10         1.96270e-13
             0.814429                1.73990e-10         1.89985e-13
             0.814662                1.73760e-10         1.84893e-13
             0.814895                1.73067e-10         1.87440e-13
             0.815127                1.73381e-10         1.96189e-13
             0.815360                1.73576e-10         2.03930e-13
             0.815593                1.73433e-10         2.05202e-13
             0.815826                1.73660e-10         1.95243e-13
             0.816059                1.73831e-10         1.86778e-13
             0.816292                1.73148e-10         1.88693e-13
             0.816525                1.72983e-10         1.98197e-13
             0.816758                1.73500e-10         2.02259e-13
             0.816990                1.72690e-10         2.06072e-13
             0.817223                1.72260e-10         2.00572e-13
             0.817456                1.72770e-10         1.87282e-13
             0.817689                1.72576e-10         1.82095e-13
             0.817922                1.72024e-10         1.89675e-13
             0.818155                1.71533e-10         1.96063e-13
             0.818387                1.68592e-10         1.95599e-13
             0.818620                1.67126e-10         1.94953e-13
             0.818853                1.69102e-10         1.89346e-13
             0.819086                1.71189e-10         1.87419e-13
             0.819319                1.70583e-10         1.82920e-13
             0.819551                1.67378e-10         1.83443e-13
             0.819784                1.64892e-10         1.82510e-13
             0.820017                1.65816e-10         1.93843e-13
             0.820250                1.67678e-10         1.94298e-13
             0.820482                1.68909e-10         1.82550e-13
             0.820715                1.70652e-10         1.78330e-13
             0.820948                1.70166e-10         1.74651e-13
             0.821181                1.68976e-10         1.77404e-13
             0.821414                1.67523e-10         1.84788e-13
             0.821646                1.66418e-10         1.89832e-13
             0.821879                1.67262e-10         1.85342e-13
             0.822112                1.67401e-10         1.78749e-13
             0.822344                1.67084e-10         1.74718e-13
             0.822577                1.69995e-10         1.79211e-13
             0.822810                1.71192e-10         1.90217e-13
             0.823043                1.70836e-10         2.09190e-13
