# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:07 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7622 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 26015'           /                                                
# SPTYPE  = 'F3 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2006 Dec 21'        / UT date of SXD observations                    
# LXDUT   = '2006 Dec 21'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807172 / Minimum wavelength (um)                        
# MAXWAVE =              5.03414 / Maximum wavelength (um)                        
# V       =        6.02600000000 / V magnitude                                    
# VERR    =      0.0200000000000 / V magnitude error                              
# (B-V)   =       0.395000000000 / B-V color                                      
# (B-V)ERR=     0.00500000000000 / B-V color error                                
# J       =        5.24400000000 / 2MASS J magnitude                              
# JERR    =        8.88800000000 / 2MASS J magnitude error                        
# H       =        5.05500000000 / 2MASS H magnitude                              
# HERR    =      0.0310000000000 / 2MASS H magnitude error                        
# KS      =        5.03000000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0260000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'FAA     '           / 2MASS quality flag                             
# FCBANDS = 'HKs     '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0199210000000 / Relative error in the absolute flux calibration
# RV      =        16.2018970000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.410000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0150000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807172                7.61973e-11         1.18177e-13
             0.807375                7.58666e-11         1.18288e-13
             0.807577                7.62136e-11         1.18504e-13
             0.807780                7.64491e-11         1.19389e-13
             0.807982                7.62858e-11         1.18685e-13
             0.808185                7.63852e-11         1.19324e-13
             0.808387                7.60547e-11         1.18952e-13
             0.808590                7.52287e-11         1.18016e-13
             0.808792                7.53114e-11         1.18979e-13
             0.808995                7.58247e-11         1.20198e-13
             0.809197                7.61903e-11         1.27318e-13
             0.809399                7.56170e-11         1.19519e-13
             0.809602                7.52089e-11         1.19016e-13
             0.809804                7.50331e-11         1.19277e-13
             0.810007                7.48738e-11         1.19395e-13
             0.810209                7.49481e-11         1.19490e-13
             0.810260                7.50168e-11         9.97186e-14
             0.810494                7.56371e-11         1.05366e-13
             0.810727                7.59324e-11         1.07239e-13
             0.810960                7.59473e-11         1.01963e-13
             0.811193                7.58874e-11         9.81064e-14
             0.811427                7.59775e-11         9.73146e-14
             0.811660                7.58732e-11         9.84392e-14
             0.811893                7.58946e-11         1.02145e-13
             0.812126                7.56755e-11         1.07013e-13
             0.812360                7.56776e-11         1.04079e-13
             0.812593                7.55001e-11         9.95000e-14
             0.812826                7.55470e-11         9.62250e-14
             0.813059                7.55554e-11         9.65380e-14
             0.813292                7.53578e-11         1.02183e-13
             0.813525                7.52657e-11         1.03621e-13
             0.813759                7.52055e-11         1.06336e-13
             0.813992                7.53018e-11         1.01028e-13
             0.814225                7.50595e-11         9.72686e-14
             0.814458                7.51473e-11         9.58525e-14
             0.814691                7.49777e-11         9.63737e-14
             0.814924                7.49140e-11         1.00022e-13
             0.815158                7.48375e-11         1.04384e-13
             0.815391                7.47693e-11         1.03461e-13
             0.815624                7.49290e-11         9.92201e-14
             0.815857                7.46932e-11         9.58779e-14
             0.816090                7.46321e-11         9.67627e-14
             0.816323                7.47919e-11         9.85240e-14
             0.816556                7.47375e-11         1.02303e-13
             0.816789                7.45799e-11         1.05857e-13
             0.817022                7.46152e-11         1.01482e-13
             0.817256                7.43316e-11         9.77281e-14
             0.817489                7.41695e-11         9.38778e-14
             0.817722                7.44206e-11         9.49154e-14
             0.817955                7.45808e-11         9.91898e-14
             0.818188                7.38117e-11         1.01983e-13
             0.818421                7.23707e-11         9.96285e-14
             0.818654                7.21918e-11         9.58142e-14
             0.818887                7.34168e-11         9.42116e-14
             0.819120                7.42414e-11         9.46526e-14
             0.819353                7.35684e-11         9.48295e-14
             0.819586                7.18913e-11         9.62665e-14
             0.819819                7.10434e-11         9.91674e-14
             0.820052                7.20146e-11         9.76057e-14
             0.820285                7.22205e-11         9.53807e-14
             0.820518                7.29432e-11         9.18613e-14
             0.820751                7.35692e-11         9.26775e-14
             0.820984                7.33042e-11         9.41207e-14
             0.821217                7.26774e-11         9.69676e-14
             0.821450                7.15910e-11         9.76017e-14
             0.821683                7.13935e-11         9.53956e-14
             0.821916                7.24157e-11         9.30336e-14
             0.822149                7.21203e-11         9.13583e-14
             0.822381                7.19018e-11         9.19675e-14
             0.822614                7.30485e-11         9.90011e-14
             0.822847                7.35468e-11         1.01977e-13
             0.823080                7.31906e-11         1.01110e-13
             0.823313                7.23476e-11         9.53964e-14
             0.823546                7.21708e-11         9.22941e-14
             0.823779                7.22806e-11         9.22242e-14
             0.824012                7.26842e-11         9.21606e-14
             0.824245                7.30213e-11         9.54751e-14
             0.824478                7.31292e-11         9.90815e-14
             0.824710                7.27188e-11         9.46638e-14
             0.824943                7.08357e-11         8.96239e-14
             0.825176                7.03628e-11         9.08514e-14
             0.825409                7.17781e-11         8.97182e-14
             0.825642                7.20901e-11         9.26702e-14
             0.825875                7.21658e-11         9.58998e-14
             0.826108                7.25202e-11         9.60704e-14
             0.826340                7.25196e-11         9.33172e-14
             0.826573                7.23603e-11         9.02156e-14
             0.826806                7.24478e-11         8.93951e-14
             0.827039                7.24950e-11         9.01496e-14
             0.827272                7.24929e-11         9.28871e-14
             0.827504                7.23803e-11         9.65187e-14
             0.827737                7.23557e-11         9.42510e-14
             0.827970                7.21972e-11         9.10752e-14
             0.828203                7.22944e-11         8.97804e-14
             0.828436                7.26308e-11         9.02799e-14
             0.828668                7.20985e-11         9.08281e-14
             0.828901                7.19487e-11         9.33469e-14
             0.829134                7.17234e-11         9.52671e-14
             0.829367                7.17248e-11         9.15522e-14
             0.829599                7.14960e-11         8.87645e-14
             0.829832                7.17427e-11         8.78955e-14
             0.830065                7.20293e-11         8.86043e-14
             0.830297                7.20653e-11         9.07651e-14
             0.830530                7.17551e-11         9.34810e-14
             0.830763                7.14042e-11         9.24933e-14
             0.830996                7.10092e-11         8.87685e-14
             0.831228                7.10367e-11         8.73439e-14
             0.831461                7.12588e-11         8.80200e-14
             0.831694                7.16631e-11         8.87696e-14
             0.831926                7.15544e-11         9.09285e-14
             0.832159                7.16254e-11         9.39984e-14
             0.832392                7.15406e-11         9.10451e-14
             0.832624                7.09191e-11         8.74433e-14
             0.832857                6.99187e-11         8.51275e-14
             0.833090                6.99190e-11         8.56536e-14
             0.833322                6.98556e-11         8.69850e-14
             0.833555                6.89786e-11         8.89168e-14
             0.833787                6.86139e-11         8.89072e-14
             0.834020                6.93498e-11         8.81951e-14
             0.834253                7.00898e-11         8.58585e-14
             0.834485                7.05530e-11         8.54545e-14
             0.834718                6.97612e-11         8.58796e-14
             0.834950                6.95938e-11         8.68225e-14
             0.835183                7.05618e-11         8.96077e-14
             0.835416                7.10930e-11         8.89072e-14
             0.835648                7.08364e-11         8.66335e-14
             0.835881                7.09222e-11         8.65195e-14
             0.836113                7.06560e-11         8.52234e-14
             0.836346                7.05807e-11         8.60651e-14
             0.836578                7.03734e-11         8.74759e-14
             0.836811                7.04455e-11         8.94353e-14
             0.837044                7.06516e-11         8.70268e-14
             0.837276                7.07566e-11         8.56162e-14
             0.837509                7.04365e-11         8.44477e-14
             0.837741                7.04611e-11         8.49087e-14
             0.837974                7.04553e-11         8.71443e-14
             0.838206                7.05611e-11         8.86263e-14
             0.838439                7.04772e-11         8.85150e-14
             0.838671                6.99309e-11         8.57901e-14
             0.838904                6.88804e-11         8.33317e-14
             0.839136                6.88663e-11         8.29003e-14
             0.839369                6.96128e-11         8.39589e-14
             0.839601                6.99570e-11         8.58864e-14
             0.839833                6.97960e-11         8.71547e-14
             0.840066                7.00568e-11         8.69954e-14
             0.840298                7.00624e-11         8.45455e-14
             0.840531                7.00765e-11         8.39414e-14
