# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:09 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7640 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 21770'           /                                                
# SPTYPE  = 'F4 III  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2006 Dec 21'        / UT date of SXD observations                    
# LXDUT   = '2006 Dec 21'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803446 / Minimum wavelength (um)                        
# MAXWAVE =              5.02351 / Maximum wavelength (um)                        
# V       =        5.31200000000 / V magnitude                                    
# VERR    =      0.0100000000000 / V magnitude error                              
# (B-V)   =       0.401000000000 / B-V color                                      
# (B-V)ERR=     0.00900000000000 / B-V color error                                
# J       =        4.69600000000 / 2MASS J magnitude                              
# JERR    =       0.240000000000 / 2MASS J magnitude error                        
# H       =        4.44200000000 / 2MASS H magnitude                              
# HERR    =       0.194000000000 / 2MASS H magnitude error                        
# KS      =        4.24100000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0360000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0350169000000 / Relative error in the absolute flux calibration
# RV      =       -29.4059980000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.420000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0190000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803446                1.46798e-10         2.31355e-13
             0.803649                1.46852e-10         2.32459e-13
             0.803851                1.46284e-10         2.31676e-13
             0.804054                1.47036e-10         2.32184e-13
             0.804256                1.47143e-10         2.33153e-13
             0.804458                1.46752e-10         2.33402e-13
             0.804661                1.44915e-10         2.31193e-13
             0.804863                1.43713e-10         2.31242e-13
             0.805066                1.44289e-10         2.32098e-13
             0.805268                1.45159e-10         2.31371e-13
             0.805471                1.45516e-10         2.33317e-13
             0.805673                1.45793e-10         2.34155e-13
             0.805876                1.45372e-10         2.33571e-13
             0.806078                1.44924e-10         2.33031e-13
             0.806280                1.45712e-10         2.35857e-13
             0.806483                1.45560e-10         2.35227e-13
             0.806685                1.45583e-10         2.36622e-13
             0.806888                1.45744e-10         2.36458e-13
             0.807060                1.45176e-10         2.03905e-13
             0.807294                1.44734e-10         2.00965e-13
             0.807527                1.44988e-10         2.04440e-13
             0.807760                1.45420e-10         2.14403e-13
             0.807993                1.45660e-10         2.27104e-13
             0.808227                1.45299e-10         2.20038e-13
             0.808460                1.44395e-10         2.07705e-13
             0.808693                1.43105e-10         2.00275e-13
             0.808926                1.44002e-10         2.01367e-13
             0.809160                1.44525e-10         2.05521e-13
             0.809393                1.44215e-10         2.16524e-13
             0.809626                1.43663e-10         2.23547e-13
             0.809859                1.43475e-10         2.13473e-13
             0.810092                1.43021e-10         2.00664e-13
             0.810326                1.43888e-10         1.98630e-13
             0.810559                1.44198e-10         2.01564e-13
             0.810792                1.44262e-10         2.08695e-13
             0.811025                1.44042e-10         2.20347e-13
             0.811258                1.44424e-10         2.16596e-13
             0.811491                1.44452e-10         2.07545e-13
             0.811725                1.44044e-10         2.01333e-13
             0.811958                1.44034e-10         1.99392e-13
             0.812191                1.44084e-10         2.03418e-13
             0.812424                1.43858e-10         2.12714e-13
             0.812657                1.44042e-10         2.22211e-13
             0.812890                1.43769e-10         2.10134e-13
             0.813123                1.43470e-10         2.00861e-13
             0.813356                1.43247e-10         1.96953e-13
             0.813590                1.43416e-10         2.00396e-13
             0.813823                1.43257e-10         2.06952e-13
             0.814056                1.43181e-10         2.15546e-13
             0.814289                1.42910e-10         2.15117e-13
             0.814522                1.42954e-10         2.05320e-13
             0.814755                1.42675e-10         1.97883e-13
             0.814988                1.42357e-10         1.96117e-13
             0.815221                1.42083e-10         1.99959e-13
             0.815454                1.42520e-10         2.09460e-13
             0.815687                1.42471e-10         2.22075e-13
             0.815920                1.41811e-10         2.08955e-13
             0.816153                1.42289e-10         2.01008e-13
             0.816386                1.42027e-10         1.98308e-13
             0.816619                1.41711e-10         2.03594e-13
             0.816852                1.42017e-10         2.07630e-13
             0.817085                1.41390e-10         2.12314e-13
             0.817318                1.41343e-10         2.15638e-13
             0.817551                1.41538e-10         2.03115e-13
             0.817784                1.41156e-10         1.96400e-13
             0.818017                1.41123e-10         1.98139e-13
             0.818250                1.39842e-10         1.99853e-13
             0.818483                1.37003e-10         2.01570e-13
             0.818716                1.37666e-10         2.10079e-13
             0.818949                1.40093e-10         2.08161e-13
             0.819182                1.40715e-10         2.01026e-13
             0.819415                1.38983e-10         1.93876e-13
             0.819648                1.35436e-10         1.89071e-13
             0.819881                1.36032e-10         1.94400e-13
             0.820114                1.37927e-10         2.11745e-13
             0.820347                1.38239e-10         2.10647e-13
             0.820580                1.39714e-10         2.01325e-13
             0.820813                1.40630e-10         1.93480e-13
             0.821045                1.39189e-10         1.88438e-13
             0.821278                1.38648e-10         1.92644e-13
             0.821511                1.37219e-10         1.95212e-13
             0.821744                1.38111e-10         2.04457e-13
             0.821977                1.38734e-10         2.03369e-13
             0.822210                1.37197e-10         1.93562e-13
             0.822443                1.38034e-10         1.89781e-13
             0.822676                1.39910e-10         1.91016e-13
             0.822908                1.39915e-10         1.97840e-13
             0.823141                1.38886e-10         2.09221e-13
             0.823374                1.38152e-10         2.13172e-13
             0.823607                1.38102e-10         2.01307e-13
             0.823840                1.38948e-10         1.92336e-13
             0.824073                1.39577e-10         1.87590e-13
             0.824305                1.39238e-10         1.88103e-13
             0.824538                1.39360e-10         1.96910e-13
             0.824771                1.38732e-10         2.00806e-13
             0.825004                1.36030e-10         1.97001e-13
             0.825237                1.36003e-10         1.89507e-13
             0.825469                1.37664e-10         1.86757e-13
             0.825702                1.37493e-10         1.85009e-13
             0.825935                1.38398e-10         1.89935e-13
             0.826168                1.38183e-10         1.94088e-13
             0.826400                1.38154e-10         2.00256e-13
             0.826633                1.38280e-10         1.95458e-13
             0.826866                1.38425e-10         1.88167e-13
             0.827099                1.38282e-10         1.84365e-13
             0.827331                1.38399e-10         1.84905e-13
             0.827564                1.37505e-10         1.88136e-13
             0.827797                1.37425e-10         1.95411e-13
