# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:15 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7593 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 16232'           /                                                
# SPTYPE  = 'F4 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2001 Aug 06'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808298 / Minimum wavelength (um)                        
# MAXWAVE =              5.00604 / Maximum wavelength (um)                        
# V       =        7.39400000000 / V magnitude                                    
# VERR    =       0.310000000000 / V magnitude error                              
# (B-V)   =       0.510000000000 / B-V color                                      
# (B-V)ERR=        0.00000000000 / B-V color error                                
# J       =        6.08000000000 / 2MASS J magnitude                              
# JERR    =      0.0200000000000 / 2MASS J magnitude error                        
# H       =        5.90800000000 / 2MASS H magnitude                              
# HERR    =      0.0290000000000 / 2MASS H magnitude error                        
# KS      =        5.82200000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0210000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0129569000000 / Relative error in the absolute flux calibration
# RV      =       -10.2951650000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.420000000000 / Intrinsic Color                                
# E(B-V)  =      0.0900000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808298                3.29656e-11         7.12090e-14
             0.808501                3.26131e-11         7.00442e-14
             0.808703                3.23717e-11         7.04305e-14
             0.808905                3.26951e-11         7.08543e-14
             0.809108                3.30670e-11         7.16696e-14
             0.809310                3.26647e-11         7.09137e-14
             0.809512                3.22692e-11         7.02546e-14
             0.809715                3.23341e-11         7.03012e-14
             0.809917                3.22441e-11         7.06769e-14
             0.810120                3.22030e-11         7.03059e-14
             0.810322                3.26110e-11         7.17135e-14
             0.810524                3.29036e-11         7.22445e-14
             0.810727                3.27946e-11         7.18524e-14
             0.810929                3.29414e-11         7.22201e-14
             0.811131                3.28191e-11         7.22325e-14
             0.811266                3.29510e-11         6.19484e-14
             0.811500                3.28901e-11         5.94082e-14
             0.811733                3.28351e-11         5.79430e-14
             0.811967                3.27360e-11         5.88077e-14
             0.812200                3.27630e-11         6.07450e-14
             0.812434                3.28063e-11         6.37020e-14
             0.812667                3.27038e-11         6.28174e-14
             0.812900                3.26924e-11         6.01191e-14
             0.813134                3.27338e-11         5.82726e-14
             0.813367                3.26107e-11         5.78205e-14
             0.813601                3.25529e-11         5.93663e-14
             0.813834                3.25367e-11         6.15469e-14
             0.814067                3.25594e-11         6.43269e-14
             0.814301                3.25586e-11         6.12377e-14
             0.814534                3.25075e-11         5.86395e-14
             0.814767                3.22968e-11         5.71375e-14
             0.815001                3.23192e-11         5.79458e-14
             0.815234                3.22874e-11         5.98162e-14
             0.815467                3.24140e-11         6.27671e-14
             0.815701                3.23112e-11         6.20410e-14
             0.815934                3.24096e-11         5.94154e-14
             0.816167                3.23523e-11         5.76761e-14
             0.816401                3.21004e-11         6.05894e-14
             0.816634                3.21306e-11         5.87932e-14
             0.816867                3.22158e-11         6.08033e-14
             0.817101                3.22293e-11         6.36010e-14
             0.817334                3.20961e-11         6.00908e-14
             0.817567                3.22180e-11         5.79462e-14
             0.817800                3.22519e-11         5.73537e-14
             0.818033                3.20907e-11         5.79862e-14
             0.818267                3.16617e-11         5.85643e-14
             0.818500                3.09695e-11         6.03174e-14
             0.818733                3.11886e-11         6.05898e-14
             0.818966                3.17106e-11         5.81536e-14
             0.819200                3.19975e-11         5.70573e-14
             0.819433                3.14167e-11         5.54011e-14
             0.819666                3.02247e-11         5.48801e-14
             0.819899                3.06246e-11         5.71873e-14
             0.820132                3.10864e-11         6.06593e-14
             0.820365                3.14939e-11         5.83370e-14
             0.820599                3.18946e-11         5.73677e-14
             0.820832                3.18291e-11         5.48880e-14
             0.821065                3.15073e-11         5.48083e-14
             0.821298                3.11834e-11         5.76867e-14
