# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:11 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7976 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 87822'           /                                                
# SPTYPE  = 'F4 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2001 Mar 10'        / UT date of SXD observations                    
# LXDUT   = '2001 Mar 10'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.804949 / Minimum wavelength (um)                        
# MAXWAVE =              5.39248 / Maximum wavelength (um)                        
# V       =        6.24000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =       0.445000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        5.37200000000 / 2MASS J magnitude                              
# JERR    =      0.0180000000000 / 2MASS J magnitude error                        
# H       =        5.25100000000 / 2MASS H magnitude                              
# HERR    =      0.0330000000000 / 2MASS H magnitude error                        
# KS      =        5.13100000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0210000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0126266000000 / Relative error in the absolute flux calibration
# RV      =        4.95839490000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.420000000000 / Intrinsic Color                                
# E(B-V)  =      0.0250000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.804949                6.07998e-11         8.48605e-14
             0.805151                6.12509e-11         8.54192e-14
             0.805354                6.17546e-11         8.55129e-14
             0.805556                6.20758e-11         8.65068e-14
             0.805759                6.17744e-11         8.67380e-14
             0.805961                6.19186e-11         8.65211e-14
             0.806164                6.21598e-11         8.69879e-14
             0.806366                6.20668e-11         8.71933e-14
             0.806569                6.21394e-11         8.66898e-14
             0.806771                6.21277e-11         8.74968e-14
             0.806974                6.20605e-11         8.66958e-14
             0.807176                6.17477e-11         8.69485e-14
             0.807379                6.16004e-11         8.70026e-14
             0.807581                6.16380e-11         8.69292e-14
             0.807784                6.17998e-11         8.71621e-14
             0.807986                6.18607e-11         8.78637e-14
             0.808189                6.18344e-11         8.76119e-14
             0.808389                6.15943e-11         7.12557e-14
             0.808623                6.07846e-11         7.11968e-14
             0.808856                6.08048e-11         7.41181e-14
             0.809089                6.13943e-11         7.84917e-14
             0.809322                6.12415e-11         7.71165e-14
             0.809556                6.08801e-11         7.33350e-14
             0.809789                6.06821e-11         7.04076e-14
             0.810022                6.03906e-11         7.01365e-14
             0.810255                6.06389e-11         7.18035e-14
             0.810489                6.12345e-11         7.58091e-14
             0.810722                6.14530e-11         7.92369e-14
             0.810955                6.14239e-11         7.51940e-14
             0.811188                6.14322e-11         7.23044e-14
             0.811421                6.13406e-11         7.06607e-14
             0.811655                6.13535e-11         7.11828e-14
             0.811888                6.13503e-11         7.35561e-14
             0.812121                6.13272e-11         7.79790e-14
             0.812354                6.13952e-11         7.69964e-14
             0.812587                6.11899e-11         7.41217e-14
             0.812820                6.11263e-11         7.07761e-14
             0.813054                6.10776e-11         7.00771e-14
             0.813287                6.09821e-11         7.14701e-14
             0.813520                6.08087e-11         7.40747e-14
             0.813753                6.08837e-11         7.77534e-14
             0.813986                6.09666e-11         7.43948e-14
             0.814219                6.09632e-11         7.16558e-14
             0.814452                6.07254e-11         6.97390e-14
             0.814685                6.07458e-11         6.98461e-14
             0.814919                6.05036e-11         7.17177e-14
             0.815152                6.05245e-11         7.47093e-14
             0.815385                6.05875e-11         7.56618e-14
             0.815618                6.06743e-11         7.24884e-14
             0.815851                6.05978e-11         6.99425e-14
             0.816084                6.05760e-11         6.94157e-14
             0.816317                6.04830e-11         7.04495e-14
             0.816550                6.03090e-11         7.27232e-14
             0.816783                6.04014e-11         7.58616e-14
             0.817016                6.03798e-11         7.37241e-14
             0.817249                6.00857e-11         7.04175e-14
             0.817482                6.01446e-11         6.92488e-14
             0.817715                6.02413e-11         6.88667e-14
             0.817948                6.01022e-11         7.08349e-14
             0.818181                5.99236e-11         7.31572e-14
             0.818414                5.85303e-11         7.31720e-14
             0.818647                5.81024e-11         6.97944e-14
             0.818880                5.92021e-11         6.87044e-14
             0.819113                5.99662e-11         6.82585e-14
             0.819346                5.97786e-11         6.89111e-14
             0.819579                5.79592e-11         6.89803e-14
             0.819812                5.73576e-11         7.10842e-14
             0.820045                5.83964e-11         7.16160e-14
             0.820278                5.88187e-11         6.90844e-14
             0.820511                5.93105e-11         6.75616e-14
             0.820744                6.00612e-11         6.80072e-14
             0.820977                5.96760e-11         6.87789e-14
             0.821210                5.90986e-11         7.03107e-14
             0.821443                5.79921e-11         7.31230e-14
             0.821676                5.77741e-11         6.92027e-14
             0.821909                5.86812e-11         6.76693e-14
             0.822142                5.83174e-11         6.61274e-14
             0.822374                5.83536e-11         6.64025e-14
             0.822607                5.92456e-11         6.90555e-14
             0.822840                5.96381e-11         7.31718e-14
             0.823073                5.94159e-11         7.32548e-14
             0.823306                5.87924e-11         6.94754e-14
             0.823539                5.86331e-11         6.70417e-14
             0.823772                5.89431e-11         6.63790e-14
             0.824004                5.93992e-11         6.75530e-14
             0.824237                5.93400e-11         7.02638e-14
             0.824470                5.92975e-11         7.22711e-14
             0.824703                5.92544e-11         6.99982e-14
             0.824936                5.81320e-11         6.67156e-14
             0.825169                5.77162e-11         6.52116e-14
             0.825401                5.86361e-11         6.58084e-14
             0.825634                5.85369e-11         6.71672e-14
             0.825867                5.86856e-11         6.97170e-14
             0.826100                5.89419e-11         7.08655e-14
             0.826333                5.90463e-11         6.83881e-14
             0.826566                5.89203e-11         6.71985e-14
             0.826798                5.89522e-11         6.55231e-14
             0.827031                5.88302e-11         6.93355e-14
             0.827264                5.89239e-11         6.75154e-14
             0.827497                5.87484e-11         6.97331e-14
             0.827729                5.86419e-11         6.91861e-14
             0.827962                5.85811e-11         6.67598e-14
             0.828195                5.87648e-11         6.58245e-14
             0.828428                5.88513e-11         6.58313e-14
             0.828660                5.88412e-11         6.61709e-14
             0.828893                5.85337e-11         6.74997e-14
             0.829126                5.84144e-11         6.97214e-14
             0.829358                5.83144e-11         6.76437e-14
             0.829591                5.82666e-11         6.55873e-14
             0.829824                5.82947e-11         6.46693e-14
             0.830057                5.85777e-11         6.49323e-14
             0.830289                5.85443e-11         6.58200e-14
             0.830522                5.82474e-11         6.77607e-14
             0.830755                5.79946e-11         6.77370e-14
             0.830987                5.77208e-11         6.54667e-14
             0.831220                5.76621e-11         6.40041e-14
             0.831453                5.78685e-11         6.37720e-14
             0.831685                5.82063e-11         6.44712e-14
             0.831918                5.82930e-11         6.62054e-14
             0.832151                5.81839e-11         6.82201e-14
             0.832383                5.81143e-11         6.75014e-14
             0.832616                5.76617e-11         6.48867e-14
             0.832848                5.68099e-11         6.26868e-14
             0.833081                5.67134e-11         6.27106e-14
             0.833314                5.68917e-11         6.50443e-14
             0.833546                5.58276e-11         6.42718e-14
             0.833779                5.55545e-11         6.55897e-14
             0.834011                5.63156e-11         6.42935e-14
             0.834244                5.69736e-11         6.38311e-14
             0.834477                5.73968e-11         6.26683e-14
             0.834709                5.67389e-11         6.30821e-14
             0.834942                5.65934e-11         6.32931e-14
             0.835174                5.73156e-11         6.53894e-14
             0.835407                5.78358e-11         6.58541e-14
             0.835639                5.78242e-11         6.46444e-14
             0.835872                5.76650e-11         6.27555e-14
             0.836105                5.72935e-11         6.22171e-14
             0.836337                5.71964e-11         6.26480e-14
             0.836570                5.71488e-11         6.44077e-14
             0.836802                5.71540e-11         6.54161e-14
             0.837035                5.73686e-11         6.44241e-14
             0.837267                5.74985e-11         6.30495e-14
             0.837500                5.72878e-11         6.22605e-14
             0.837732                5.74620e-11         6.24932e-14
             0.837965                5.73403e-11         6.29950e-14
             0.838197                5.73197e-11         6.39852e-14
             0.838430                5.73353e-11         6.51600e-14
             0.838662                5.70107e-11         6.49561e-14
             0.838895                5.60788e-11         6.15301e-14
             0.839127                5.60222e-11         6.17134e-14
             0.839360                5.68320e-11         6.19124e-14
             0.839592                5.71263e-11         6.31304e-14
             0.839824                5.69343e-11         6.45313e-14
             0.840057                5.69788e-11         6.37344e-14
             0.840289                5.69133e-11         6.24268e-14
             0.840522                5.68754e-11         6.14504e-14
             0.840754                5.68041e-11         6.26887e-14
             0.840987                5.69430e-11         6.19682e-14
             0.841219                5.67839e-11         6.31619e-14
             0.841452                5.65416e-11         6.38417e-14
             0.841684                5.63712e-11         6.28080e-14
             0.841916                5.63575e-11         6.13758e-14
             0.842149                5.63431e-11         6.06365e-14
             0.842381                5.61413e-11         6.03739e-14
             0.842613                5.58880e-11         6.08432e-14
             0.842846                5.59759e-11         6.23546e-14
             0.843078                5.63622e-11         6.29096e-14
             0.843311                5.63944e-11         6.16845e-14
             0.843543                5.60220e-11         6.08473e-14
             0.843775                5.55644e-11         5.96751e-14
             0.844008                5.52475e-11         5.98462e-14
             0.844240                5.53216e-11         6.05537e-14
             0.844472                5.53859e-11         6.18691e-14
             0.844705                5.42837e-11         6.05207e-14
             0.844937                5.37796e-11         5.92125e-14
