# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:31 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4185 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 75555'           /                                                
# SPTYPE  = 'F5.5 III-IV'        / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2003 Jul 07'        / UT date of SXD observations                    
# LXDUT   = '2003 Jul 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803361 / Minimum wavelength (um)                        
# MAXWAVE =              2.42353 / Maximum wavelength (um)                        
# V       =        8.09500000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =       0.484000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        7.21400000000 / 2MASS J magnitude                              
# JERR    =      0.0180000000000 / 2MASS J magnitude error                        
# H       =        7.03500000000 / 2MASS H magnitude                              
# HERR    =      0.0160000000000 / 2MASS H magnitude error                        
# KS      =        6.99200000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0180000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =     0.00996069000000 / Relative error in the absolute flux calibration
# RV      =        47.5011410000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.440000000000 / Intrinsic Color                                
# E(B-V)  =      0.0440000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803361                1.06481e-11         2.56111e-14
             0.803564                1.06430e-11         2.57447e-14
             0.803766                1.05744e-11         2.54883e-14
             0.803969                1.06035e-11         2.57417e-14
             0.804171                1.06801e-11         2.58871e-14
             0.804374                1.06068e-11         2.67575e-14
             0.804576                1.04941e-11         2.56906e-14
             0.804778                1.03605e-11         2.56297e-14
             0.804981                1.02596e-11         2.51909e-14
             0.805183                1.03869e-11         2.56926e-14
             0.805386                1.04797e-11         2.57608e-14
             0.805588                1.05393e-11         2.59494e-14
             0.805791                1.04987e-11         2.58628e-14
             0.805993                1.05246e-11         2.60879e-14
             0.806195                1.04905e-11         2.60040e-14
             0.806398                1.05393e-11         2.63134e-14
             0.806600                1.05865e-11         2.62234e-14
             0.806803                1.05289e-11         2.62340e-14
             0.806994                1.05172e-11         2.23711e-14
             0.807227                1.04562e-11         2.24114e-14
             0.807461                1.04397e-11         2.31418e-14
             0.807694                1.04927e-11         2.44414e-14
             0.807927                1.04675e-11         2.47988e-14
             0.808161                1.04522e-11         2.32973e-14
             0.808394                1.04041e-11         2.23047e-14
             0.808627                1.03035e-11         2.23774e-14
             0.808860                1.02901e-11         2.22371e-14
             0.809094                1.04176e-11         2.34642e-14
             0.809327                1.04042e-11         2.48720e-14
             0.809560                1.03475e-11         2.40629e-14
             0.809794                1.03278e-11         2.25150e-14
             0.810027                1.02336e-11         2.17954e-14
             0.810260                1.02863e-11         2.18929e-14
             0.810493                1.04330e-11         2.27426e-14
             0.810726                1.04765e-11         2.40027e-14
             0.810960                1.04600e-11         2.44022e-14
             0.811193                1.04415e-11         2.34113e-14
             0.811426                1.04289e-11         2.23802e-14
             0.811659                1.04621e-11         2.19279e-14
             0.811892                1.04349e-11         2.21949e-14
             0.812126                1.04124e-11         2.33149e-14
             0.812359                1.04235e-11         2.42438e-14
             0.812592                1.03978e-11         2.36119e-14
             0.812825                1.04268e-11         2.25107e-14
             0.813058                1.04072e-11         2.17926e-14
             0.813291                1.03271e-11         2.17927e-14
             0.813525                1.03284e-11         2.22770e-14
             0.813758                1.03542e-11         2.32961e-14
             0.813991                1.03525e-11         2.40540e-14
             0.814224                1.03245e-11         2.27919e-14
             0.814457                1.03114e-11         2.18818e-14
             0.814690                1.03333e-11         2.15050e-14
             0.814923                1.03006e-11         2.17495e-14
             0.815156                1.02565e-11         2.27674e-14
             0.815389                1.03059e-11         2.37759e-14
             0.815622                1.03424e-11         2.33337e-14
             0.815856                1.03219e-11         2.22786e-14
             0.816089                1.03136e-11         2.17066e-14
             0.816322                1.02656e-11         2.18703e-14
