# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:18 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7632 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 213306'          /                                                
# SPTYPE  = 'F5 Ib - G1 Ib'      / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2001 Aug 31'        / UT date of SXD observations                    
# LXDUT   = '2001 Aug 31'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809527 / Minimum wavelength (um)                        
# MAXWAVE =              5.01231 / Maximum wavelength (um)                        
# V       =        3.56200000000 / V magnitude                                    
# VERR    =      0.0980000000000 / V magnitude error                              
# (B-V)   =       0.480000000000 / B-V color                                      
# (B-V)ERR=      0.0610000000000 / B-V color error                                
# J       =        2.86500000000 / 2MASS J magnitude                              
# JERR    =       0.200000000000 / 2MASS J magnitude error                        
# H       =        2.60800000000 / 2MASS H magnitude                              
# HERR    =       0.190000000000 / 2MASS H magnitude error                        
# KS      =        2.35400000000 / 2MASS Ks magnitude                             
# KSERR   =       0.216000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.116142000000 / Relative error in the absolute flux calibration
# RV      =       -13.7642340000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.260000000000 / Intrinsic Color                                
# E(B-V)  =       0.220000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809527               -9.99000e+02        -9.99000e+02
             0.809729               -9.99000e+02        -9.99000e+02
             0.809932               -9.99000e+02        -9.99000e+02
             0.810134               -9.99000e+02        -9.99000e+02
             0.810337                4.57203e-10         7.54660e-13
             0.810539                4.58572e-10         7.58004e-13
             0.810742                4.58445e-10         7.55364e-13
             0.810944                4.56051e-10         7.56595e-13
             0.811147                4.56892e-10         7.59930e-13
             0.811349                4.58813e-10         7.64990e-13
             0.811551                4.56774e-10         7.60011e-13
             0.811754                4.57432e-10         7.63909e-13
             0.811956                4.58165e-10         7.63336e-13
             0.812159                4.57370e-10         7.66768e-13
             0.812361                4.55683e-10         7.65280e-13
             0.812564                4.58063e-10         7.77978e-13
             0.812670                4.54480e-10         6.93336e-13
             0.812904                4.55461e-10         6.56305e-13
             0.813137                4.55486e-10         6.28901e-13
             0.813370                4.54665e-10         6.20355e-13
             0.813604                4.52581e-10         6.29944e-13
             0.813837                4.55016e-10         6.60071e-13
             0.814071                4.56517e-10         6.91264e-13
             0.814304                4.52221e-10         6.75494e-13
             0.814537                4.50991e-10         6.44579e-13
             0.814771                4.52956e-10         6.24006e-13
             0.815004                4.48902e-10         6.22749e-13
             0.815237                4.51558e-10         6.45448e-13
             0.815471                4.53220e-10         6.69853e-13
             0.815704                4.52266e-10         7.03986e-13
             0.815937                4.54297e-10         6.66273e-13
             0.816171                4.54538e-10         6.34348e-13
             0.816404                4.49324e-10         6.26079e-13
             0.816637                4.48799e-10         6.46183e-13
             0.816870                4.54862e-10         6.67140e-13
             0.817104                4.50128e-10         6.84912e-13
             0.817337                4.48796e-10         6.86453e-13
             0.817570                4.53431e-10         6.43013e-13
             0.817803                4.50347e-10         6.15606e-13
             0.818036                4.44927e-10         6.26153e-13
             0.818270                4.40591e-10         6.36478e-13
             0.818503                4.22380e-10         6.23646e-13
             0.818736                4.29321e-10         6.53565e-13
             0.818969                4.41590e-10         6.42773e-13
             0.819203                4.47487e-10         6.33568e-13
             0.819436                4.41082e-10         6.10258e-13
             0.819669                4.15409e-10         5.80923e-13
             0.819902                4.23600e-10         6.05214e-13
             0.820135                4.27728e-10         6.39428e-13
             0.820368                4.30560e-10         6.47418e-13
             0.820602                4.42857e-10         6.36978e-13
             0.820835                4.42999e-10         6.00691e-13
             0.821068                4.39424e-10         5.98533e-13
             0.821301                4.39178e-10         5.98661e-13
             0.821534                4.30883e-10         6.11124e-13
             0.821767                4.35550e-10         6.42854e-13
             0.822000                4.34254e-10         6.19470e-13
             0.822233                4.26225e-10         5.89688e-13
             0.822466                4.34999e-10         5.89281e-13
