# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:23 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6743 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 186155'          /                                                
# SPTYPE  = 'F5 II-III'          / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2001 Aug 31'        / UT date of SXD observations                    
# LXDUT   = '2001 Aug 31'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.805469 / Minimum wavelength (um)                        
# MAXWAVE =              4.07740 / Maximum wavelength (um)                        
# V       =        5.06600000000 / V magnitude                                    
# VERR    =      0.0280000000000 / V magnitude error                              
# (B-V)   =       0.386000000000 / B-V color                                      
# (B-V)ERR=      0.0330000000000 / B-V color error                                
# J       =        4.41900000000 / 2MASS J magnitude                              
# JERR    =       0.254000000000 / 2MASS J magnitude error                        
# H       =        4.21900000000 / 2MASS H magnitude                              
# HERR    =       0.218000000000 / 2MASS H magnitude error                        
# KS      =        4.14200000000 / 2MASS Ks magnitude                             
# KSERR   =       0.278000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.142161000000 / Relative error in the absolute flux calibration
# RV      =       -28.2693310000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.430000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0440000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.805469                1.71071e-10         2.78847e-13
             0.805672                1.70764e-10         2.78565e-13
             0.805874                1.70826e-10         2.78704e-13
             0.806076                1.70697e-10         2.77515e-13
             0.806279                1.71704e-10         2.79333e-13
             0.806481                1.72364e-10         2.80564e-13
             0.806684                1.72524e-10         2.83855e-13
             0.806886                1.72126e-10         2.81143e-13
             0.807089                1.70634e-10         2.81029e-13
             0.807291                1.69653e-10         2.79894e-13
             0.807493                1.69360e-10         2.78477e-13
             0.807696                1.70737e-10         2.81247e-13
             0.807898                1.71123e-10         2.81490e-13
             0.808101                1.70602e-10         2.81352e-13
             0.808303                1.70530e-10         2.83487e-13
             0.808505                1.68437e-10         2.80209e-13
             0.808708                1.66529e-10         2.78265e-13
             0.808712                1.66487e-10         2.30016e-13
             0.808945                1.68375e-10         2.36463e-13
             0.809178                1.70033e-10         2.49220e-13
             0.809412                1.68700e-10         2.62215e-13
             0.809645                1.67554e-10         2.48517e-13
             0.809879                1.66219e-10         2.35970e-13
             0.810112                1.65437e-10         2.27551e-13
             0.810345                1.67995e-10         2.33339e-13
             0.810579                1.69687e-10         2.40928e-13
             0.810812                1.69711e-10         2.52234e-13
             0.811045                1.69558e-10         2.57539e-13
             0.811278                1.69666e-10         2.44582e-13
             0.811512                1.69929e-10         2.36202e-13
             0.811745                1.69586e-10         2.31956e-13
             0.811978                1.69321e-10         2.35341e-13
             0.812212                1.68980e-10         2.44659e-13
             0.812445                1.69091e-10         2.57415e-13
             0.812678                1.69167e-10         2.50764e-13
             0.812911                1.68645e-10         2.43400e-13
             0.813145                1.68609e-10         2.34310e-13
             0.813378                1.67723e-10         2.31262e-13
             0.813611                1.67248e-10         2.38478e-13
             0.813844                1.68363e-10         2.49811e-13
             0.814078                1.68598e-10         2.55790e-13
             0.814311                1.67829e-10         2.43031e-13
             0.814544                1.67718e-10         2.34315e-13
             0.814777                1.67512e-10         2.29791e-13
             0.815010                1.66765e-10         2.32976e-13
             0.815244                1.66883e-10         2.43194e-13
             0.815477                1.66910e-10         2.52864e-13
             0.815710                1.67261e-10         2.48968e-13
             0.815943                1.67201e-10         2.37250e-13
             0.816176                1.67004e-10         2.30848e-13
             0.816409                1.66481e-10         2.32748e-13
             0.816642                1.66084e-10         2.38211e-13
             0.816876                1.66824e-10         2.46602e-13
             0.817109                1.65688e-10         2.53276e-13
             0.817342                1.65256e-10         2.41143e-13
             0.817575                1.66109e-10         2.29213e-13
             0.817808                1.65866e-10         2.27384e-13
             0.818041                1.65535e-10         2.33412e-13
             0.818274                1.63655e-10         2.37868e-13
