# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:25 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7999 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 17918'           /                                                
# SPTYPE  = 'F5 III  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2000 Oct 24'        / UT date of SXD observations                    
# LXDUT   = '2000 Oct 25'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806437 / Minimum wavelength (um)                        
# MAXWAVE =              5.42216 / Maximum wavelength (um)                        
# V       =        6.29500000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =       0.471000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        5.43000000000 / 2MASS J magnitude                              
# JERR    =      0.0320000000000 / 2MASS J magnitude error                        
# H       =        5.28800000000 / 2MASS H magnitude                              
# HERR    =      0.0440000000000 / 2MASS H magnitude error                        
# KS      =        5.17600000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0210000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'EAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0163068000000 / Relative error in the absolute flux calibration
# RV      =        9.03217150000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.430000000000 / Intrinsic Color                                
# E(B-V)  =      0.0410000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806437                5.77368e-11         9.70896e-14
             0.806639                5.77116e-11         9.76696e-14
             0.806842                5.78296e-11         9.79297e-14
             0.807044                5.77968e-11         9.77940e-14
             0.807247                5.75412e-11         9.77135e-14
             0.807450                5.72843e-11         9.78053e-14
             0.807652                5.72441e-11         9.73653e-14
             0.807855                5.73416e-11         9.79909e-14
             0.808058                5.73641e-11         9.76619e-14
             0.808260                5.71761e-11         9.81190e-14
             0.808463                5.68839e-11         9.75597e-14
             0.808665                5.65678e-11         9.72637e-14
             0.808868                5.67580e-11         9.82151e-14
             0.809071                5.70620e-11         9.91770e-14
             0.809273                5.70373e-11         9.83706e-14
             0.809476                5.69876e-11         9.85096e-14
             0.809664                5.67192e-11         7.98105e-14
             0.809897                5.64811e-11         7.99941e-14
             0.810130                5.65691e-11         8.21880e-14
             0.810363                5.68975e-11         8.61400e-14
             0.810596                5.71984e-11         8.97318e-14
             0.810829                5.73309e-11         8.49815e-14
             0.811063                5.71355e-11         8.13580e-14
             0.811296                5.71366e-11         8.00869e-14
             0.811529                5.69746e-11         8.10901e-14
             0.811762                5.70416e-11         8.36048e-14
             0.811995                5.70819e-11         8.76324e-14
             0.812228                5.69742e-11         8.67899e-14
             0.812461                5.68824e-11         8.26262e-14
             0.812694                5.67338e-11         8.02114e-14
             0.812927                5.68455e-11         7.92169e-14
             0.813161                5.67232e-11         8.08800e-14
             0.813394                5.65874e-11         8.40768e-14
             0.813627                5.65256e-11         8.85752e-14
             0.813860                5.65449e-11         8.44831e-14
             0.814093                5.65523e-11         8.08480e-14
             0.814326                5.66046e-11         7.94065e-14
             0.814559                5.65831e-11         7.94537e-14
             0.814792                5.63625e-11         8.12437e-14
             0.815025                5.62926e-11         8.50027e-14
             0.815258                5.63939e-11         8.63430e-14
             0.815491                5.63995e-11         8.30607e-14
             0.815724                5.63314e-11         7.99840e-14
             0.815957                5.63695e-11         7.88751e-14
             0.816190                5.60559e-11         8.01860e-14
             0.816423                5.60613e-11         8.32084e-14
             0.816656                5.61347e-11         8.63859e-14
             0.816889                5.61653e-11         8.55364e-14
             0.817122                5.61223e-11         8.16007e-14
             0.817355                5.60419e-11         7.97506e-14
             0.817588                5.60347e-11         7.89076e-14
             0.817821                5.58731e-11         7.96032e-14
             0.818054                5.55971e-11         8.30508e-14
             0.818287                5.48702e-11         8.45184e-14
             0.818520                5.43050e-11         7.98446e-14
             0.818753                5.42696e-11         7.73800e-14
             0.818985                5.49547e-11         7.65810e-14
             0.819218                5.53001e-11         7.78429e-14
             0.819451                5.43875e-11         7.83509e-14
