# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:29 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7592 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 27524'           /                                                
# SPTYPE  = 'F5 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jan 14'        / UT date of SXD observations                    
# LXDUT   = '2003 Sep 21'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.810078 / Minimum wavelength (um)                        
# MAXWAVE =              5.01022 / Maximum wavelength (um)                        
# V       =        6.80000000000 / V magnitude                                    
# VERR    =        0.00000000000 / V magnitude error                              
# (B-V)   =       0.436000000000 / B-V color                                      
# (B-V)ERR=     0.00400000000000 / B-V color error                                
# J       =        5.97000000000 / 2MASS J magnitude                              
# JERR    =      0.0200000000000 / 2MASS J magnitude error                        
# H       =        5.78600000000 / 2MASS H magnitude                              
# HERR    =      0.0160000000000 / 2MASS H magnitude error                        
# KS      =        5.76200000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0200000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0105963000000 / Relative error in the absolute flux calibration
# RV      =        48.7822650000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.450000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0140000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.810078                3.71076e-11         9.11416e-14
             0.810281                3.72866e-11         9.19440e-14
             0.810483                3.77206e-11         9.23278e-14
             0.810686                3.76908e-11         9.28309e-14
             0.810888                3.76875e-11         9.24983e-14
             0.811091                3.74359e-11         9.22344e-14
             0.811293                3.76349e-11         9.26953e-14
             0.811496                3.78072e-11         9.32830e-14
             0.811698                3.76798e-11         9.28453e-14
             0.811901                3.75394e-11         9.30125e-14
             0.812104                3.77482e-11         9.32209e-14
             0.812306                3.75567e-11         9.37840e-14
             0.812509                3.75174e-11         9.38309e-14
             0.812711                3.75681e-11         9.37677e-14
             0.812914                3.74302e-11         9.32464e-14
             0.813116                3.73725e-11         9.37224e-14
             0.813150                3.74164e-11         7.56902e-14
             0.813382                3.73226e-11         7.86701e-14
             0.813615                3.72949e-11         8.24844e-14
             0.813848                3.73577e-11         8.20974e-14
             0.814080                3.72902e-11         7.69991e-14
             0.814313                3.72069e-11         7.45283e-14
             0.814546                3.72147e-11         7.41911e-14
             0.814779                3.72715e-11         7.62393e-14
             0.815011                3.71668e-11         8.14934e-14
             0.815244                3.71248e-11         8.23490e-14
             0.815477                3.72432e-11         7.91990e-14
             0.815709                3.72956e-11         7.59481e-14
             0.815942                3.71764e-11         7.40714e-14
             0.816175                3.71997e-11         7.48434e-14
             0.816407                3.71821e-11         7.73834e-14
             0.816640                3.72741e-11         8.04274e-14
             0.816873                3.71773e-11         8.09710e-14
             0.817105                3.70906e-11         7.73771e-14
             0.817338                3.69826e-11         7.42182e-14
             0.817571                3.70051e-11         7.34434e-14
             0.817803                3.69648e-11         7.45665e-14
             0.818036                3.68797e-11         7.68484e-14
             0.818268                3.64719e-11         7.94699e-14
             0.818501                3.56650e-11         7.81675e-14
             0.818734                3.56766e-11         7.40891e-14
             0.818966                3.64440e-11         7.31523e-14
             0.819199                3.66532e-11         7.29592e-14
             0.819431                3.62775e-11         7.33742e-14
             0.819664                3.52749e-11         7.53426e-14
             0.819897                3.51637e-11         7.73172e-14
             0.820129                3.55073e-11         7.46799e-14
             0.820362                3.57365e-11         7.29773e-14
             0.820594                3.62332e-11         7.15171e-14
             0.820827                3.62896e-11         7.23428e-14
             0.821059                3.60392e-11         7.24408e-14
             0.821292                3.57743e-11         7.47594e-14
             0.821525                3.53005e-11         7.60042e-14
             0.821757                3.54331e-11         7.31332e-14
             0.821990                3.56660e-11         7.11719e-14
             0.822222                3.55279e-11         6.98568e-14
             0.822455                3.58299e-11         7.11206e-14
             0.822687                3.64025e-11         7.46225e-14
             0.822920                3.65484e-11         7.79014e-14
             0.823152                3.63573e-11         7.68185e-14
             0.823385                3.58752e-11         7.26731e-14
             0.823617                3.60393e-11         7.09968e-14
             0.823850                3.62579e-11         7.07845e-14
             0.824082                3.63964e-11         7.16952e-14
             0.824315                3.62917e-11         7.37485e-14
             0.824548                3.64519e-11         7.71112e-14
             0.824780                3.60166e-11         7.80050e-14
             0.825012                3.52661e-11         7.01920e-14
             0.825245                3.52371e-11         6.90132e-14
             0.825477                3.57851e-11         6.96743e-14
             0.825710                3.59357e-11         7.14542e-14
             0.825942                3.59740e-11         7.40863e-14
             0.826175                3.61968e-11         8.06954e-14
             0.826407                3.60907e-11         7.29416e-14
             0.826640                3.59202e-11         7.03003e-14
             0.826872                3.60206e-11         7.11323e-14
             0.827105                3.61086e-11         7.04381e-14
             0.827337                3.61142e-11         7.27887e-14
             0.827570                3.59390e-11         7.42462e-14
             0.827802                3.59333e-11         7.41984e-14
             0.828034                3.60212e-11         7.43327e-14
             0.828267                3.61065e-11         7.00949e-14
             0.828499                3.59759e-11         6.94308e-14
             0.828732                3.60110e-11         7.14293e-14
             0.828964                3.58029e-11         7.18594e-14
             0.829197                3.57196e-11         7.35924e-14
             0.829429                3.56473e-11         7.23901e-14
             0.829661                3.56721e-11         7.03912e-14
             0.829894                3.57079e-11         7.11895e-14
             0.830126                3.58372e-11         6.88972e-14
             0.830359                3.58137e-11         7.13130e-14
             0.830591                3.57126e-11         7.17716e-14
             0.830823                3.53891e-11         7.30540e-14
             0.831056                3.54044e-11         7.05360e-14
             0.831288                3.53446e-11         6.88327e-14
             0.831520                3.54892e-11         6.79438e-14
             0.831753                3.57345e-11         6.86638e-14
             0.831985                3.56532e-11         6.96888e-14
             0.832218                3.56615e-11         7.18768e-14
             0.832450                3.56321e-11         7.19633e-14
             0.832682                3.52931e-11         7.02931e-14
             0.832915                3.47204e-11         6.68730e-14
             0.833147                3.47228e-11         6.63276e-14
             0.833379                3.45742e-11         6.67088e-14
             0.833612                3.37847e-11         6.68904e-14
