# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:27 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6827 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 218804'          /                                                
# SPTYPE  = 'F5 V    '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 20'        / UT date of SXD observations                    
# LXDUT   = '2001 Oct 20'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806170 / Minimum wavelength (um)                        
# MAXWAVE =              4.09148 / Maximum wavelength (um)                        
# V       =        5.92300000000 / V magnitude                                    
# VERR    =      0.0150000000000 / V magnitude error                              
# (B-V)   =       0.436000000000 / B-V color                                      
# (B-V)ERR=      0.0120000000000 / B-V color error                                
# J       =        5.14700000000 / 2MASS J magnitude                              
# JERR    =       0.236000000000 / 2MASS J magnitude error                        
# H       =        4.73800000000 / 2MASS H magnitude                              
# HERR    =      0.0310000000000 / 2MASS H magnitude error                        
# KS      =        4.67400000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0180000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0155325000000 / Relative error in the absolute flux calibration
# RV      =       -16.6750240000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.450000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0140000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806170                8.29512e-11         9.57493e-14
             0.806372                8.28537e-11         9.67227e-14
             0.806575                8.31674e-11         9.62350e-14
             0.806777                8.29353e-11         9.66721e-14
             0.806980                8.28942e-11         9.64146e-14
             0.807182                8.24598e-11         9.61098e-14
             0.807385                8.23539e-11         9.64587e-14
             0.807587                8.22022e-11         9.56940e-14
             0.807790                8.25374e-11         9.62727e-14
             0.807992                8.25876e-11         9.69403e-14
             0.808194                8.24435e-11         9.62659e-14
             0.808397                8.22570e-11         9.67919e-14
             0.808599                8.13139e-11         9.61114e-14
             0.808802                8.13633e-11         9.64871e-14
             0.809004                8.21117e-11         9.68544e-14
             0.809207                8.23453e-11         9.71475e-14
             0.809306                8.20050e-11         8.97264e-14
             0.809539                8.15309e-11         8.50199e-14
             0.809772                8.14312e-11         8.11235e-14
             0.810006                8.12121e-11         7.96418e-14
             0.810239                8.13447e-11         7.97665e-14
             0.810472                8.19053e-11         8.22504e-14
             0.810705                8.22531e-11         8.67300e-14
             0.810938                8.21595e-11         8.81209e-14
             0.811172                8.21839e-11         8.40686e-14
             0.811405                8.21607e-11         8.11451e-14
             0.811638                8.20223e-11         8.00876e-14
             0.811871                8.22071e-11         8.13427e-14
             0.812104                8.21522e-11         8.42779e-14
             0.812337                8.21152e-11         8.89130e-14
             0.812570                8.20549e-11         8.70447e-14
             0.812803                8.20221e-11         8.25633e-14
             0.813037                8.18757e-11         7.98509e-14
             0.813270                8.17723e-11         8.05497e-14
             0.813503                8.16909e-11         8.36980e-14
             0.813736                8.16468e-11         8.94143e-14
             0.813969                8.17444e-11         8.93464e-14
             0.814202                8.17500e-11         8.53835e-14
             0.814435                8.15538e-11         8.25449e-14
             0.814668                8.15042e-11         8.06347e-14
             0.814901                8.15727e-11         8.23787e-14
             0.815134                8.14099e-11         8.60302e-14
             0.815367                8.14545e-11         8.92732e-14
             0.815600                8.14097e-11         8.88355e-14
             0.815833                8.14130e-11         8.46751e-14
             0.816066                8.15743e-11         8.12011e-14
             0.816299                8.13092e-11         8.26678e-14
             0.816532                8.11778e-11         8.70504e-14
             0.816765                8.12587e-11         9.00493e-14
             0.816998                8.14299e-11         9.26944e-14
             0.817231                8.09320e-11         8.68240e-14
             0.817464                8.07194e-11         8.12294e-14
             0.817697                8.13317e-11         7.93760e-14
             0.817930                8.09107e-11         8.32299e-14
             0.818163                8.03341e-11         8.79091e-14
             0.818396                7.86733e-11         8.64010e-14
             0.818629                7.82906e-11         8.43270e-14
             0.818862                7.96941e-11         8.22221e-14
             0.819095                8.03439e-11         8.17238e-14
