# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:33 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7590 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 160365'          /                                                
# SPTYPE  = 'F6 III-IV'          / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Jul 07'        / UT date of SXD observations                    
# LXDUT   = '2003 Jul 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808561 / Minimum wavelength (um)                        
# MAXWAVE =              4.99345 / Maximum wavelength (um)                        
# V       =        6.11600000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =       0.556000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        5.00500000000 / 2MASS J magnitude                              
# JERR    =      0.0370000000000 / 2MASS J magnitude error                        
# H       =        4.76900000000 / 2MASS H magnitude                              
# HERR    =      0.0200000000000 / 2MASS H magnitude error                        
# KS      =        4.69700000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0160000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'EAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0118373000000 / Relative error in the absolute flux calibration
# RV      =        1.38027780000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.460000000000 / Intrinsic Color                                
# E(B-V)  =      0.0960000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808561                9.95288e-11         1.84501e-13
             0.808764                9.88407e-11         1.85369e-13
             0.808966                9.98344e-11         1.84906e-13
             0.809169                1.00179e-10         1.86974e-13
             0.809371                9.98878e-11         1.86218e-13
             0.809574                9.91570e-11         1.85175e-13
             0.809776                9.94010e-11         1.87277e-13
             0.809979                9.92093e-11         1.85602e-13
             0.810181                9.91348e-11         1.85529e-13
             0.810384                9.99814e-11         1.88022e-13
             0.810586                1.00659e-10         1.87851e-13
             0.810789                1.00426e-10         1.88717e-13
             0.810991                9.99474e-11         1.88096e-13
             0.811194                1.00447e-10         1.89434e-13
             0.811396                1.00370e-10         1.89136e-13
             0.811599                1.00115e-10         1.89082e-13
             0.811801                1.00158e-10         1.89090e-13
             0.811844                9.98744e-11         1.57099e-13
             0.812077                9.99201e-11         1.64506e-13
             0.812310                1.00032e-10         1.72870e-13
             0.812543                9.97692e-11         1.63445e-13
             0.812776                9.99397e-11         1.56356e-13
             0.813009                9.95284e-11         1.52061e-13
             0.813241                9.93508e-11         1.53453e-13
             0.813474                9.90124e-11         1.58040e-13
             0.813707                9.95073e-11         1.67039e-13
             0.813940                9.93313e-11         1.67436e-13
             0.814173                9.93072e-11         1.59966e-13
             0.814406                9.90908e-11         1.53742e-13
             0.814638                9.88576e-11         1.51352e-13
             0.814871                9.88997e-11         1.54675e-13
             0.815104                9.89176e-11         1.61571e-13
             0.815337                9.86984e-11         1.67607e-13
             0.815570                9.88471e-11         1.63932e-13
             0.815802                9.88255e-11         1.56298e-13
             0.816035                9.89242e-11         1.52140e-13
             0.816268                9.87021e-11         1.52246e-13
             0.816501                9.85985e-11         1.56463e-13
             0.816733                9.86087e-11         1.62649e-13
             0.816966                9.84383e-11         1.67299e-13
             0.817199                9.80397e-11         1.59561e-13
             0.817432                9.77077e-11         1.52572e-13
             0.817665                9.82600e-11         1.49944e-13
             0.817897                9.83296e-11         1.52213e-13
             0.818130                9.77430e-11         1.56408e-13
             0.818363                9.58288e-11         1.59744e-13
             0.818595                9.44800e-11         1.57730e-13
             0.818828                9.58992e-11         1.53411e-13
             0.819061                9.75349e-11         1.51179e-13
             0.819294                9.77158e-11         1.49784e-13
             0.819526                9.53213e-11         1.49408e-13
             0.819759                9.31200e-11         1.51324e-13
             0.819992                9.41563e-11         1.58055e-13
             0.820224                9.52683e-11         1.55978e-13
             0.820457                9.59718e-11         1.53123e-13
             0.820690                9.68502e-11         1.47197e-13
             0.820922                9.68336e-11         1.48746e-13
             0.821155                9.63880e-11         1.49109e-13
             0.821388                9.57933e-11         1.53739e-13
             0.821620                9.52009e-11         1.58636e-13
