# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:35 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7644 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 11443'           /                                                
# SPTYPE  = 'F6 IV   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Oct 07'        / UT date of SXD observations                    
# LXDUT   = '2005 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.804383 / Minimum wavelength (um)                        
# MAXWAVE =              5.03481 / Maximum wavelength (um)                        
# V       =        3.41600000000 / V magnitude                                    
# VERR    =      0.0120000000000 / V magnitude error                              
# (B-V)   =       0.488000000000 / B-V color                                      
# (B-V)ERR=     0.00900000000000 / B-V color error                                
# J       =        2.40600000000 / 2MASS J magnitude                              
# JERR    =       0.236000000000 / 2MASS J magnitude error                        
# H       =        2.18200000000 / 2MASS H magnitude                              
# HERR    =       0.206000000000 / 2MASS H magnitude error                        
# KS      =        2.27400000000 / 2MASS Ks magnitude                             
# KSERR   =       0.266000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.134047000000 / Relative error in the absolute flux calibration
# RV      =       -16.4327910000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.460000000000 / Intrinsic Color                                
# E(B-V)  =      0.0280000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.804383                9.15818e-10         1.01400e-12
             0.804585                9.03475e-10         1.01161e-12
             0.804788                8.90755e-10         1.00033e-12
             0.804990                8.90879e-10         1.00506e-12
             0.805192                8.98874e-10         1.01041e-12
             0.805395                9.03783e-10         1.01409e-12
             0.805597                9.05740e-10         1.02103e-12
             0.805800                9.05319e-10         1.02281e-12
             0.806002                9.08132e-10         1.01882e-12
             0.806205                9.07974e-10         1.02658e-12
             0.806407                9.10408e-10         1.02866e-12
             0.806610                9.10501e-10         1.02998e-12
             0.806812                9.09664e-10         1.03275e-12
             0.807014                9.04708e-10         1.02693e-12
             0.807217                9.01388e-10         1.02717e-12
             0.807419                9.00158e-10         1.03097e-12
             0.807622                9.03324e-10         1.02529e-12
             0.807824                9.03472e-10         1.03512e-12
             0.807938                9.02204e-10         1.00598e-12
             0.808171                8.97925e-10         9.34433e-13
             0.808404                8.96479e-10         9.00257e-13
             0.808637                8.87842e-10         8.87480e-13
             0.808870                8.89876e-10         8.99758e-13
             0.809104                8.95632e-10         9.64049e-13
             0.809337                8.92027e-10         1.00209e-12
             0.809570                8.88442e-10         9.64641e-13
             0.809803                8.85815e-10         9.09717e-13
             0.810036                8.84325e-10         8.81364e-13
             0.810269                8.86188e-10         8.77171e-13
             0.810503                8.96285e-10         9.13091e-13
             0.810736                8.96581e-10         9.69291e-13
             0.810969                8.96541e-10         9.92560e-13
             0.811202                8.95069e-10         9.37389e-13
             0.811435                8.96342e-10         8.99158e-13
             0.811668                8.97698e-10         8.81814e-13
             0.811901                8.95608e-10         9.01634e-13
             0.812134                8.93696e-10         9.23744e-13
             0.812367                8.91922e-10         9.97886e-13
             0.812601                8.90607e-10         9.64119e-13
             0.812834                8.91405e-10         9.08682e-13
             0.813067                8.89220e-10         8.78998e-13
             0.813300                8.87259e-10         8.71554e-13
             0.813533                8.86077e-10         8.93734e-13
             0.813766                8.85979e-10         9.39866e-13
             0.813999                8.88959e-10         1.00489e-12
             0.814232                8.88513e-10         9.36531e-13
             0.814465                8.85385e-10         8.94943e-13
             0.814698                8.85814e-10         8.92338e-13
             0.814931                8.83356e-10         8.77690e-13
             0.815164                8.82705e-10         9.06742e-13
             0.815397                8.83084e-10         9.52670e-13
             0.815630                8.82212e-10         9.69215e-13
             0.815863                8.82940e-10         9.36341e-13
             0.816096                8.85430e-10         8.98045e-13
             0.816329                8.82514e-10         9.43914e-13
             0.816562                8.81265e-10         9.01443e-13
             0.816795                8.80925e-10         9.37471e-13
             0.817028                8.79855e-10         9.72389e-13
             0.817261                8.76542e-10         9.34286e-13
             0.817494                8.79099e-10         8.90904e-13
             0.817727                8.78777e-10         8.71947e-13
             0.817960                8.75620e-10         8.80789e-13
             0.818193                8.69732e-10         9.05834e-13
             0.818426                8.52729e-10         9.19214e-13
             0.818659                8.48612e-10         9.32079e-13
             0.818892                8.63173e-10         8.98609e-13
             0.819125                8.70874e-10         8.77219e-13
             0.819357                8.64892e-10         8.80234e-13
             0.819590                8.42755e-10         8.50458e-13
             0.819823                8.38560e-10         8.94239e-13
             0.820056                8.46356e-10         9.33380e-13
             0.820289                8.50396e-10         9.20505e-13
             0.820522                8.61368e-10         8.75586e-13
             0.820755                8.66425e-10         8.45771e-13
             0.820988                8.63346e-10         8.63864e-13
             0.821220                8.54249e-10         8.49010e-13
             0.821453                8.48041e-10         8.81084e-13
             0.821686                8.47335e-10         9.10285e-13
             0.821919                8.52678e-10         8.75287e-13
             0.822152                8.47212e-10         8.55807e-13
             0.822385                8.51453e-10         8.31983e-13
             0.822617                8.63789e-10         8.53002e-13
             0.822850                8.68590e-10         8.82505e-13
             0.823083                8.62728e-10         9.25702e-13
             0.823316                8.56218e-10         9.14802e-13
             0.823549                8.54839e-10         8.74677e-13
             0.823781                8.60156e-10         8.38763e-13
             0.824014                8.64501e-10         8.30569e-13
             0.824247                8.62936e-10         8.40833e-13
             0.824480                8.62855e-10         8.70256e-13
             0.824712                8.58938e-10         8.99405e-13
             0.824945                8.42794e-10         8.54075e-13
             0.825178                8.38813e-10         8.24042e-13
             0.825411                8.51824e-10         8.14163e-13
             0.825643                8.54549e-10         8.26844e-13
             0.825876                8.55520e-10         8.71834e-13
             0.826109                8.59424e-10         8.71361e-13
             0.826342                8.57886e-10         8.81191e-13
             0.826574                8.56514e-10         8.44889e-13
             0.826807                8.55727e-10         8.18794e-13
             0.827040                8.57675e-10         8.08877e-13
             0.827272                8.56574e-10         8.38777e-13
             0.827505                8.54911e-10         8.43918e-13
             0.827738                8.53152e-10         8.71688e-13
             0.827970                8.55097e-10         8.83681e-13
             0.828203                8.57502e-10         8.36088e-13
             0.828436                8.56433e-10         8.21172e-13
             0.828668                8.54387e-10         8.07553e-13
             0.828901                8.51499e-10         8.23630e-13
             0.829134                8.51297e-10         8.51585e-13
             0.829366                8.48725e-10         8.89007e-13
             0.829599                8.45423e-10         8.50735e-13
             0.829832                8.49312e-10         8.21239e-13
             0.830064                8.52699e-10         8.06831e-13
             0.830297                8.51054e-10         8.10197e-13
             0.830529                8.45940e-10         8.20047e-13
             0.830762                8.42146e-10         8.44887e-13
             0.830995                8.38466e-10         8.42027e-13
             0.831227                8.38873e-10         8.13479e-13
             0.831460                8.42804e-10         8.00484e-13
             0.831692                8.48957e-10         8.06110e-13
             0.831925                8.49621e-10         8.05145e-13
             0.832157                8.47311e-10         8.22288e-13
             0.832390                8.46032e-10         8.51770e-13
             0.832623                8.37432e-10         8.26282e-13
             0.832855                8.26386e-10         7.92695e-13
             0.833088                8.25205e-10         7.79508e-13
             0.833320                8.24685e-10         7.90602e-13
             0.833553                8.08771e-10         7.83849e-13
             0.833785                8.05887e-10         7.97002e-13
             0.834018                8.16684e-10         8.21612e-13
             0.834250                8.27955e-10         8.46881e-13
             0.834483                8.32751e-10         7.98255e-13
             0.834715                8.25992e-10         7.83399e-13
             0.834948                8.27075e-10         7.72748e-13
             0.835180                8.36872e-10         7.86651e-13
             0.835413                8.41921e-10         8.12360e-13
             0.835645                8.41040e-10         8.13949e-13
             0.835878                8.37136e-10         7.92929e-13
             0.836110                8.33843e-10         7.77964e-13
             0.836343                8.33662e-10         7.67285e-13
             0.836575                8.33599e-10         7.73123e-13
             0.836807                8.33989e-10         7.85388e-13
             0.837040                8.35614e-10         8.04342e-13
             0.837272                8.36790e-10         7.95427e-13
             0.837505                8.34349e-10         8.02507e-13
             0.837737                8.34110e-10         7.64720e-13
             0.837970                8.33557e-10         7.62773e-13
             0.838202                8.34637e-10         7.70405e-13
             0.838434                8.33598e-10         7.84160e-13
             0.838667                8.27955e-10         7.94068e-13
             0.838899                8.16408e-10         7.68798e-13
             0.839132                8.15756e-10         7.56969e-13
             0.839364                8.26888e-10         7.52527e-13
             0.839596                8.29555e-10         7.59764e-13
             0.839829                8.28301e-10         7.63051e-13
             0.840061                8.29879e-10         7.83394e-13
             0.840294                8.28816e-10         7.73005e-13
             0.840526                8.29185e-10         7.60717e-13
             0.840758                8.28110e-10         7.49848e-13
             0.840990                8.28866e-10         7.52513e-13
             0.841223                8.25701e-10         7.84164e-13
             0.841455                8.21321e-10         7.60553e-13
             0.841688                8.19954e-10         7.72341e-13
             0.841920                8.18638e-10         8.33290e-13
             0.842152                8.19746e-10         7.48787e-13
             0.842384                8.18465e-10         7.35318e-13
             0.842617                8.18881e-10         7.59138e-13
             0.842849                8.19871e-10         7.44635e-13
             0.843081                8.20600e-10         7.63253e-13
             0.843314                8.19779e-10         7.60389e-13
             0.843546                8.11902e-10         7.42779e-13
             0.843778                8.05891e-10         7.36014e-13
             0.844010                8.03172e-10         7.26555e-13
             0.844243                8.05307e-10         7.31632e-13
             0.844475                8.11402e-10         7.47423e-13
             0.844707                8.01291e-10         7.59067e-13
             0.844939                7.97534e-10         7.59404e-13
             0.845172                8.12016e-10         7.47948e-13
             0.845404                8.17513e-10         7.31252e-13
             0.845636                8.17585e-10         7.26163e-13
             0.845868                8.17059e-10         7.28238e-13
             0.846101                8.15169e-10         7.39598e-13
             0.846333                8.12383e-10         7.48194e-13
             0.846565                8.05510e-10         7.44140e-13
             0.846797                7.90910e-10         7.22468e-13
             0.847030                7.79039e-10         7.06401e-13
             0.847262                7.85508e-10         7.07471e-13
             0.847494                7.97364e-10         7.96875e-13
             0.847726                8.03943e-10         7.24831e-13
             0.847958                8.06690e-10         7.33578e-13
             0.848190                8.06844e-10         7.18079e-13
             0.848423                8.03677e-10         7.09607e-13
             0.848655                8.05935e-10         7.09186e-13
             0.848887                8.03934e-10         7.02962e-13
             0.849119                8.03521e-10         7.10138e-13
             0.849351                7.96873e-10         7.19479e-13
             0.849583                7.72721e-10         7.05932e-13
             0.849815                7.08700e-10         6.63891e-13
             0.850048                6.66073e-10         6.32303e-13
             0.850280                6.98577e-10         6.51521e-13
             0.850512                7.45942e-10         6.85056e-13
             0.850744                7.70337e-10         7.38333e-13
             0.850976                7.84123e-10         7.11137e-13
             0.851208                7.86599e-10         7.04003e-13
             0.851440                7.80255e-10         6.88804e-13
             0.851672                7.71362e-10         6.78308e-13
             0.851904                7.79125e-10         6.75802e-13
             0.852136                7.87647e-10         6.85464e-13
             0.852369                7.93083e-10         6.93937e-13
             0.852601                7.88335e-10         6.96461e-13
             0.852833                7.83007e-10         6.92626e-13
             0.853065                7.82022e-10         6.80441e-13
             0.853297                7.83016e-10         6.77121e-13
             0.853529                7.75283e-10         6.76384e-13
             0.853761                7.48304e-10         6.65390e-13
             0.853993                6.91021e-10         6.50086e-13
             0.854225                5.88206e-10         5.87976e-13
             0.854457                5.35405e-10         5.54356e-13
             0.854689                6.04689e-10         5.90879e-13
             0.854921                6.93978e-10         6.37550e-13
             0.855153                7.41959e-10         6.64087e-13
             0.855385                7.60035e-10         6.77099e-13
             0.855617                7.63518e-10         6.78685e-13
             0.855849                7.62267e-10         6.75395e-13
             0.856081                7.66636e-10         6.66900e-13
             0.856313                7.74498e-10         6.65972e-13
             0.856545                7.77004e-10         6.62886e-13
             0.856777                7.78412e-10         6.60361e-13
             0.857009                7.80398e-10         6.67463e-13
             0.857241                7.80315e-10         6.72854e-13
             0.857473                7.78922e-10         6.63103e-13
             0.857705                7.82073e-10         6.68314e-13
             0.857937                7.82933e-10         6.63131e-13
             0.858169                7.80111e-10         6.58924e-13
             0.858401                7.76498e-10         6.61281e-13
             0.858633                7.75079e-10         6.72344e-13
             0.858865                7.77685e-10         6.75893e-13
             0.859097                7.76155e-10         6.67857e-13
             0.859328                7.72380e-10         6.61054e-13
             0.859560                7.56953e-10         6.55341e-13
             0.859792                7.43726e-10         6.43128e-13
             0.860024                7.36209e-10         6.42382e-13
             0.860256                7.46855e-10         6.51874e-13
             0.860488                7.58852e-10         6.57072e-13
             0.860720                7.63460e-10         6.54207e-13
             0.860952                7.66545e-10         6.51546e-13
             0.861184                7.64447e-10         6.47634e-13
             0.861416                7.58196e-10         6.44456e-13
             0.861647                7.63074e-10         6.48978e-13
             0.861879                7.68068e-10         6.49361e-13
             0.862111                7.69067e-10         6.43763e-13
             0.862343                7.64300e-10         6.32617e-13
             0.862575                7.66368e-10         6.27773e-13
             0.862807                7.65773e-10         6.23989e-13
             0.863039                7.68376e-10         6.29380e-13
             0.863270                7.66878e-10         6.36029e-13
             0.863502                7.66449e-10         6.35425e-13
             0.863734                7.68829e-10         6.33948e-13
             0.863966                7.70931e-10         6.28985e-13
             0.864198                7.72530e-10         6.31193e-13
             0.864429                7.75519e-10         6.39039e-13
             0.864661                7.73101e-10         6.46977e-13
             0.864893                7.60109e-10         6.36948e-13
             0.865125                7.53242e-10         6.40127e-13
             0.865357                7.53996e-10         6.40537e-13
             0.865588                7.53369e-10         6.39085e-13
             0.865820                7.35387e-10         6.26316e-13
             0.866052                6.78322e-10         5.95609e-13
             0.866284                5.81484e-10         5.36888e-13
             0.866516                5.52398e-10         5.20432e-13
             0.866747                6.21126e-10         5.57008e-13
             0.866979                6.90481e-10         5.94165e-13
             0.867211                7.23768e-10         6.11149e-13
             0.867443                7.35108e-10         6.15126e-13
             0.867674                7.42820e-10         6.24165e-13
             0.867906                7.46997e-10         6.23737e-13
             0.868138                7.45519e-10         6.28988e-13
             0.868370                7.51426e-10         6.24404e-13
             0.868601                7.55073e-10         6.21823e-13
             0.868833                7.45989e-10         6.12118e-13
             0.869065                7.38435e-10         6.08241e-13
             0.869296                7.45213e-10         6.09429e-13
             0.869528                7.50076e-10         6.11083e-13
             0.869760                7.51781e-10         6.17037e-13
             0.869992                7.52978e-10         6.07001e-13
             0.870223                7.52158e-10         6.03766e-13
             0.870455                7.54930e-10         6.00937e-13
             0.870687                7.57597e-10         6.06041e-13
             0.870918                7.54580e-10         6.09677e-13
             0.871150                7.49561e-10         6.02950e-13
             0.871382                7.42700e-10         6.01198e-13
             0.871613                7.42497e-10         5.95148e-13
             0.871845                7.46536e-10         5.97220e-13
             0.872077                7.48820e-10         5.99986e-13
             0.872308                7.58347e-10         6.07454e-13
             0.872540                7.62202e-10         6.16972e-13
             0.872772                7.56718e-10         6.16250e-13
             0.873003                7.50155e-10         6.13027e-13
             0.873235                7.53631e-10         6.14621e-13
             0.873467                7.54291e-10         6.19527e-13
             0.873698                7.41359e-10         6.10348e-13
             0.873930                7.34839e-10         6.09752e-13
             0.874161                7.38097e-10         6.12569e-13
             0.874393                7.32400e-10         6.10871e-13
             0.874625                7.31494e-10         6.08728e-13
