# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:37 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4183 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 215648'          /                                                
# SPTYPE  = 'F6 V    '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2008 Oct 08'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.802363 / Minimum wavelength (um)                        
# MAXWAVE =              2.42274 / Maximum wavelength (um)                        
# V       =        4.19700000000 / V magnitude                                    
# VERR    =     0.00700000000000 / V magnitude error                              
# (B-V)   =       0.502000000000 / B-V color                                      
# (B-V)ERR=     0.00700000000000 / B-V color error                                
# J       =        3.35800000000 / 2MASS J magnitude                              
# JERR    =       0.254000000000 / 2MASS J magnitude error                        
# H       =        3.07800000000 / 2MASS H magnitude                              
# HERR    =       0.214000000000 / 2MASS H magnitude error                        
# KS      =        2.96100000000 / 2MASS Ks magnitude                             
# KSERR   =       0.286000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.142046000000 / Relative error in the absolute flux calibration
# RV      =        32.7110780000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.480000000000 / Intrinsic Color                                
# E(B-V)  =      0.0220000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.802363                3.99638e-10         1.08727e-12
             0.802566                3.98624e-10         1.08466e-12
             0.802769                3.95598e-10         1.08233e-12
             0.802972                3.93247e-10         1.08193e-12
             0.803175                3.94995e-10         1.08314e-12
             0.803377                3.99798e-10         1.10365e-12
             0.803580                3.98176e-10         1.09468e-12
             0.803783                3.95922e-10         1.09321e-12
             0.803986                3.98017e-10         1.09753e-12
             0.804189                3.98618e-10         1.11395e-12
             0.804392                3.99184e-10         1.10381e-12
             0.804595                3.94553e-10         1.09896e-12
             0.804797                3.86609e-10         1.07650e-12
             0.805000                3.88702e-10         1.08684e-12
             0.805203                3.93384e-10         1.09698e-12
             0.805406                3.94310e-10         1.10901e-12
             0.805609                3.94287e-10         1.10555e-12
             0.805812                3.95568e-10         1.12131e-12
             0.806014                3.95891e-10         1.11175e-12
             0.806382                3.95364e-10         9.87171e-13
             0.806615                3.95860e-10         9.68387e-13
             0.806847                3.97198e-10         9.78184e-13
             0.807080                3.94510e-10         1.00277e-12
             0.807313                3.91518e-10         1.04798e-12
             0.807546                3.91581e-10         1.06917e-12
             0.807779                3.92376e-10         1.01102e-12
             0.808012                3.93293e-10         9.72837e-13
             0.808244                3.94084e-10         9.57049e-13
             0.808477                3.92307e-10         9.68796e-13
             0.808710                3.87253e-10         9.91894e-13
             0.808943                3.89014e-10         1.05548e-12
             0.809176                3.93232e-10         1.04858e-12
             0.809408                3.89902e-10         9.90891e-13
             0.809641                3.87887e-10         9.48358e-13
             0.809874                3.87926e-10         9.42060e-13
             0.810107                3.85571e-10         9.53566e-13
             0.810339                3.88278e-10         9.98780e-13
             0.810572                3.92767e-10         1.07186e-12
             0.810805                3.91923e-10         1.03171e-12
             0.811038                3.91220e-10         9.83254e-13
             0.811270                3.91203e-10         9.49682e-13
             0.811503                3.90733e-10         9.56723e-13
             0.811736                3.91074e-10         9.71660e-13
             0.811969                3.90387e-10         1.02189e-12
             0.812201                3.90697e-10         1.06753e-12
             0.812434                3.89533e-10         1.04117e-12
             0.812667                3.88227e-10         9.64662e-13
             0.812900                3.88552e-10         9.39106e-13
             0.813132                3.89520e-10         9.48306e-13
             0.813365                3.89486e-10         9.86703e-13
             0.813598                3.90168e-10         1.04166e-12
             0.813830                3.88860e-10         1.03933e-12
             0.814063                3.89586e-10         9.92235e-13
             0.814296                3.88899e-10         9.61900e-13
             0.814528                3.86501e-10         9.34561e-13
             0.814761                3.87154e-10         9.56875e-13
