# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:38 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4182 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 201078'          /                                                
# SPTYPE  = 'F7 II-  '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2008 Oct 11'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.802530 / Minimum wavelength (um)                        
# MAXWAVE =              2.42261 / Maximum wavelength (um)                        
# V       =        5.76900000000 / V magnitude                                    
# VERR    =      0.0500000000000 / V magnitude error                              
# (B-V)   =       0.532000000000 / B-V color                                      
# (B-V)ERR=      0.0290000000000 / B-V color error                                
# J       =        4.63800000000 / 2MASS J magnitude                              
# JERR    =       0.256000000000 / 2MASS J magnitude error                        
# H       =        4.39000000000 / 2MASS H magnitude                              
# HERR    =       0.222000000000 / 2MASS H magnitude error                        
# KS      =        4.37400000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0160000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0159277000000 / Relative error in the absolute flux calibration
# RV      =        30.3281840000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.490000000000 / Intrinsic Color                                
# E(B-V)  =      0.0420000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.802530                1.07288e-10         4.21427e-13
             0.802733                1.06224e-10         4.20165e-13
             0.802935                1.04393e-10         4.20942e-13
             0.803138                1.05033e-10         4.15395e-13
             0.803340                1.06325e-10         4.22043e-13
             0.803543                1.07229e-10         4.22931e-13
             0.803745                1.07313e-10         4.29361e-13
             0.803948                1.06192e-10         4.37845e-13
             0.804150                1.06403e-10         4.24589e-13
             0.804353                1.06151e-10         4.18990e-13
             0.804555                1.06528e-10         4.27492e-13
             0.804758                1.03986e-10         4.20335e-13
             0.804960                1.02428e-10         4.16358e-13
             0.805163                1.04229e-10         4.51066e-13
             0.805365                1.05339e-10         4.31525e-13
             0.805567                1.06941e-10         4.27107e-13
             0.805770                1.05620e-10         4.26615e-13
             0.805972                1.05826e-10         4.28579e-13
             0.806175                1.05644e-10         4.25813e-13
             0.806488                1.05838e-10         4.19128e-13
             0.806722                1.06104e-10         3.95988e-13
             0.806955                1.06045e-10         3.76678e-13
             0.807189                1.05600e-10         3.68757e-13
             0.807422                1.04950e-10         3.76603e-13
             0.807656                1.05066e-10         3.92617e-13
             0.807890                1.05350e-10         4.16642e-13
             0.808123                1.04928e-10         3.98253e-13
             0.808357                1.04905e-10         3.79675e-13
             0.808590                1.03608e-10         3.67199e-13
             0.808824                1.02802e-10         3.61967e-13
             0.809057                1.04332e-10         3.77712e-13
             0.809291                1.04952e-10         3.97942e-13
             0.809524                1.03864e-10         4.07883e-13
             0.809758                1.03335e-10         3.81173e-13
             0.809991                1.03120e-10         3.65066e-13
             0.810225                1.03071e-10         3.55663e-13
             0.810458                1.04952e-10         3.69982e-13
             0.810692                1.05320e-10         3.87751e-13
             0.810925                1.04905e-10         4.04370e-13
             0.811159                1.04563e-10         3.92600e-13
             0.811392                1.04977e-10         3.77067e-13
             0.811625                1.04737e-10         3.66717e-13
             0.811859                1.04850e-10         3.63415e-13
             0.812092                1.04564e-10         3.82364e-13
             0.812326                1.04485e-10         3.89584e-13
             0.812559                1.04469e-10         3.99773e-13
             0.812792                1.04217e-10         3.76710e-13
             0.813026                1.04033e-10         3.63259e-13
             0.813259                1.03839e-10         3.58248e-13
             0.813493                1.03638e-10         3.63326e-13
             0.813726                1.03443e-10         3.77496e-13
             0.813959                1.03558e-10         3.98032e-13
             0.814193                1.03760e-10         3.85558e-13
             0.814426                1.03168e-10         3.68653e-13
             0.814659                1.04040e-10         3.61802e-13
             0.814893                1.03355e-10         3.58477e-13
             0.815126                1.03656e-10         3.70033e-13
             0.815359                1.03600e-10         3.86076e-13
             0.815593                1.04174e-10         4.08089e-13
             0.815826                1.03740e-10         3.80329e-13
             0.816059                1.04320e-10         3.66389e-13
             0.816292                1.03333e-10         3.61119e-13
             0.816526                1.03253e-10         3.69106e-13
             0.816759                1.04371e-10         3.87046e-13
             0.816992                1.03564e-10         3.97210e-13
             0.817225                1.02184e-10         3.84190e-13
             0.817459                1.02528e-10         3.65589e-13
             0.817692                1.03126e-10         3.58297e-13
             0.817925                1.02825e-10         3.63375e-13
             0.818158                1.02325e-10         3.70902e-13
             0.818392                9.89826e-11         3.78005e-13
             0.818625                9.65011e-11         3.78872e-13
             0.818858                9.94042e-11         3.67692e-13
             0.819091                1.00796e-10         3.58533e-13
             0.819324                1.01700e-10         3.53163e-13
             0.819557                9.76947e-11         3.47754e-13
             0.819791                9.52536e-11         3.55012e-13
             0.820024                9.76464e-11         3.75246e-13
             0.820257                9.80616e-11         3.70336e-13
             0.820490                9.90856e-11         3.55036e-13
             0.820723                1.00945e-10         3.43895e-13
             0.820956                1.00566e-10         3.47401e-13
             0.821189                1.00238e-10         3.49014e-13
             0.821423                9.93639e-11         3.63039e-13
