# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:40 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4186 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 124850'          /                                                
# SPTYPE  = 'F7 III  '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2007 Apr 25'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.803425 / Minimum wavelength (um)                        
# MAXWAVE =              2.42390 / Maximum wavelength (um)                        
# V       =        4.07900000000 / V magnitude                                    
# VERR    =      0.0100000000000 / V magnitude error                              
# (B-V)   =       0.514000000000 / B-V color                                      
# (B-V)ERR=     0.00700000000000 / B-V color error                                
# J       =        3.14000000000 / 2MASS J magnitude                              
# JERR    =       0.266000000000 / 2MASS J magnitude error                        
# H       =        2.90900000000 / 2MASS H magnitude                              
# HERR    =       0.236000000000 / 2MASS H magnitude error                        
# KS      =        2.80100000000 / 2MASS Ks magnitude                             
# KSERR   =       0.266000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.147089000000 / Relative error in the absolute flux calibration
# RV      =        15.2237770000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.480000000000 / Intrinsic Color                                
# E(B-V)  =      0.0340000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803425                4.51381e-10         7.50569e-13
             0.803627                4.50315e-10         7.47778e-13
             0.803830                4.49269e-10         7.47788e-13
             0.804033                4.49717e-10         7.53951e-13
             0.804235                4.49925e-10         7.51816e-13
             0.804438                4.49131e-10         7.56150e-13
             0.804640                4.43063e-10         7.50947e-13
             0.804843                4.36255e-10         7.34725e-13
             0.805046                4.37800e-10         7.41853e-13
             0.805248                4.44854e-10         7.68166e-13
             0.805451                4.45473e-10         7.52727e-13
             0.805653                4.45036e-10         7.53652e-13
             0.805856                4.45131e-10         7.57535e-13
             0.806058                4.46114e-10         7.61542e-13
             0.806261                4.47146e-10         7.64329e-13
             0.806463                4.48047e-10         7.81629e-13
             0.806666                4.47570e-10         8.25569e-13
             0.806869                4.48344e-10         7.70458e-13
             0.807071                4.46106e-10         7.65852e-13
             0.807274                4.44398e-10         8.25733e-13
             0.807306                4.43397e-10         7.00204e-13
             0.807539                4.42867e-10         6.89252e-13
             0.807773                4.43719e-10         7.34592e-13
             0.808006                4.43925e-10         7.09342e-13
             0.808239                4.43304e-10         6.73341e-13
             0.808472                4.40676e-10         6.49200e-13
             0.808706                4.36406e-10         6.40341e-13
             0.808939                4.39574e-10         6.63393e-13
             0.809172                4.42288e-10         7.02432e-13
             0.809405                4.37952e-10         7.29064e-13
             0.809639                4.37972e-10         6.83147e-13
             0.809872                4.36870e-10         6.49686e-13
             0.810105                4.35146e-10         6.38628e-13
             0.810338                4.40049e-10         6.47730e-13
             0.810572                4.42723e-10         6.78880e-13
             0.810805                4.41919e-10         7.09372e-13
             0.811038                4.41736e-10         7.05130e-13
             0.811271                4.41657e-10         6.73175e-13
             0.811504                4.41784e-10         6.47386e-13
             0.811738                4.41738e-10         6.41556e-13
             0.811971                4.42266e-10         6.57938e-13
             0.812204                4.41920e-10         6.86299e-13
             0.812437                4.40750e-10         7.22139e-13
             0.812670                4.40320e-10         6.80817e-13
             0.812903                4.38707e-10         6.78965e-13
             0.813136                4.38581e-10         6.36204e-13
             0.813370                4.38590e-10         6.41129e-13
             0.813603                4.37664e-10         6.57927e-13
             0.813836                4.38983e-10         6.93532e-13
             0.814069                4.38406e-10         6.96382e-13
             0.814302                4.36817e-10         6.61453e-13
             0.814535                4.37092e-10         6.37455e-13
             0.814768                4.37915e-10         6.31946e-13
             0.815001                4.35170e-10         6.42484e-13
             0.815234                4.35406e-10         6.75593e-13
             0.815468                4.35933e-10         7.00802e-13
             0.815701                4.36028e-10         6.77391e-13
             0.815934                4.36791e-10         6.47916e-13
             0.816167                4.34786e-10         6.36640e-13
             0.816400                4.33119e-10         6.40474e-13
             0.816633                4.33953e-10         6.50835e-13
             0.816866                4.35081e-10         6.75308e-13
             0.817099                4.33703e-10         6.92501e-13
             0.817332                4.32418e-10         6.58204e-13
             0.817565                4.33943e-10         6.36149e-13
             0.817798                4.33176e-10         6.29995e-13
             0.818031                4.31739e-10         6.36463e-13
             0.818264                4.28100e-10         6.53729e-13
             0.818497                4.18979e-10         6.67999e-13
             0.818730                4.21824e-10         6.64354e-13
             0.818963                4.29514e-10         6.45672e-13
             0.819196                4.31721e-10         6.28957e-13
             0.819429                4.27339e-10         6.19606e-13
             0.819662                4.12457e-10         6.12154e-13
             0.819895                4.15312e-10         6.44286e-13
             0.820128                4.22553e-10         6.78975e-13
             0.820361                4.25436e-10         6.47161e-13
             0.820594                4.29851e-10         6.27210e-13
             0.820826                4.29678e-10         6.20083e-13
             0.821059                4.26350e-10         6.12311e-13
             0.821292                4.23631e-10         6.27395e-13
             0.821525                4.19533e-10         6.57816e-13
             0.821758                4.22548e-10         6.57276e-13
             0.821991                4.24087e-10         6.30970e-13
             0.822224                4.19434e-10         6.06256e-13
             0.822457                4.22789e-10         6.03815e-13
             0.822690                4.29242e-10         6.27614e-13
             0.822922                4.27819e-10         6.45019e-13
             0.823155                4.25501e-10         6.70923e-13
             0.823388                4.22554e-10         6.44618e-13
             0.823621                4.24450e-10         6.17933e-13
             0.823854                4.26519e-10         6.05580e-13
             0.824087                4.27121e-10         6.13374e-13
             0.824320                4.27779e-10         6.18297e-13
             0.824552                4.27994e-10         6.42994e-13
             0.824785                4.24088e-10         6.48898e-13
             0.825018                4.16348e-10         6.16828e-13
             0.825251                4.19433e-10         6.00966e-13
             0.825484                4.25581e-10         6.00913e-13
             0.825716                4.23849e-10         6.02428e-13
             0.825949                4.24804e-10         6.19604e-13
             0.826182                4.26320e-10         6.41109e-13
