# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:42 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7672 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 126660'          /                                                
# SPTYPE  = 'F7 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2007 Jun 22'        / UT date of SXD observations                    
# LXDUT   = '2007 Jun 22'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803815 / Minimum wavelength (um)                        
# MAXWAVE =              5.04990 / Maximum wavelength (um)                        
# V       =        4.05200000000 / V magnitude                                    
# VERR    =      0.0110000000000 / V magnitude error                              
# (B-V)   =       0.497000000000 / B-V color                                      
# (B-V)ERR=     0.00500000000000 / B-V color error                                
# J       =        3.17900000000 / 2MASS J magnitude                              
# JERR    =       0.244000000000 / 2MASS J magnitude error                        
# H       =        2.98000000000 / 2MASS H magnitude                              
# HERR    =       0.216000000000 / 2MASS H magnitude error                        
# KS      =        2.73900000000 / 2MASS Ks magnitude                             
# KSERR   =       0.332000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.145398000000 / Relative error in the absolute flux calibration
# RV      =        3.05099070000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.500000000000 / Intrinsic Color                                
# E(B-V)  =    -0.00299999000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803815                4.89495e-10         6.41582e-13
             0.804018                4.91173e-10         6.44998e-13
             0.804220                4.91750e-10         6.49133e-13
             0.804422                4.90641e-10         6.51307e-13
             0.804624                4.82644e-10         6.41945e-13
             0.804826                4.76844e-10         6.36265e-13
             0.805029                4.74966e-10         6.39188e-13
             0.805231                4.81961e-10         6.46765e-13
             0.805433                4.84717e-10         6.44391e-13
             0.805635                4.83600e-10         6.46598e-13
             0.805837                4.83909e-10         6.52682e-13
             0.806039                4.86504e-10         6.50549e-13
             0.806242                4.86141e-10         6.52546e-13
             0.806444                4.87247e-10         6.94488e-13
             0.806646                4.88113e-10         6.57309e-13
             0.806848                4.87879e-10         6.59523e-13
             0.807050                4.86557e-10         6.59125e-13
             0.807252                4.82092e-10         6.55130e-13
             0.807455                4.79964e-10         6.57045e-13
             0.807480                4.80090e-10         5.74306e-13
             0.807714                4.83535e-10         6.00351e-13
             0.807947                4.84093e-10         6.43962e-13
             0.808181                4.83350e-10         6.33550e-13
             0.808414                4.82077e-10         5.92043e-13
             0.808648                4.75530e-10         5.64189e-13
             0.808881                4.76448e-10         5.88083e-13
             0.809114                4.81718e-10         5.93027e-13
             0.809348                4.77973e-10         6.09000e-13
             0.809581                4.75590e-10         6.37363e-13
             0.809815                4.74980e-10         5.99809e-13
             0.810048                4.73492e-10         5.79301e-13
             0.810282                4.75350e-10         5.58066e-13
             0.810515                4.81949e-10         5.73761e-13
             0.810749                4.81322e-10         5.98617e-13
             0.810982                4.81714e-10         6.30904e-13
             0.811215                4.81775e-10         6.15452e-13
             0.811449                4.81020e-10         5.82870e-13
             0.811682                4.81264e-10         5.69856e-13
             0.811915                4.81540e-10         5.70977e-13
             0.812149                4.81197e-10         5.82512e-13
             0.812382                4.79697e-10         6.10771e-13
             0.812615                4.80066e-10         6.32536e-13
             0.812849                4.79957e-10         5.90982e-13
             0.813082                4.79611e-10         5.72808e-13
             0.813315                4.77859e-10         5.62243e-13
             0.813549                4.76454e-10         5.73118e-13
             0.813782                4.77099e-10         5.96931e-13
             0.814015                4.79018e-10         6.26570e-13
             0.814249                4.77156e-10         6.10574e-13
             0.814482                4.76287e-10         5.78599e-13
             0.814715                4.76111e-10         5.63083e-13
             0.814948                4.75375e-10         5.65949e-13
             0.815182                4.75643e-10         5.82045e-13
             0.815415                4.75721e-10         6.09347e-13
             0.815648                4.76288e-10         6.31337e-13
             0.815881                4.75961e-10         5.93815e-13
             0.816115                4.76085e-10         5.72829e-13
             0.816348                4.74076e-10         5.75583e-13
             0.816581                4.74962e-10         5.89996e-13
             0.816814                4.74980e-10         6.05672e-13
             0.817047                4.73101e-10         6.29674e-13
             0.817281                4.72563e-10         6.05549e-13
             0.817514                4.73010e-10         5.71202e-13
             0.817747                4.74301e-10         5.67395e-13
             0.817980                4.72461e-10         5.78764e-13
             0.818213                4.68183e-10         5.86593e-13
             0.818446                4.56868e-10         5.92957e-13
             0.818679                4.56122e-10         6.03437e-13
             0.818913                4.66259e-10         5.89652e-13
             0.819146                4.70364e-10         5.71617e-13
             0.819379                4.66492e-10         5.57950e-13
             0.819612                4.49974e-10         5.52246e-13
             0.819845                4.48759e-10         5.68310e-13
             0.820078                4.57082e-10         6.04405e-13
             0.820311                4.59964e-10         5.87840e-13
             0.820544                4.66067e-10         5.69082e-13
             0.820777                4.67022e-10         5.45116e-13
             0.821010                4.64619e-10         5.40152e-13
             0.821243                4.61026e-10         5.54005e-13
             0.821476                4.53066e-10         5.73806e-13
             0.821709                4.54715e-10         5.81203e-13
             0.821942                4.60785e-10         5.72812e-13
             0.822175                4.55558e-10         5.39809e-13
