# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:43:28 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6831 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 6130 '           /                                                
# SPTYPE  = 'F0 II   '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2001 Sep 01'        / UT date of SXD observations                    
# LXDUT   = '2001 Sep 01'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803859 / Minimum wavelength (um)                        
# MAXWAVE =              4.07304 / Maximum wavelength (um)                        
# V       =        5.91900000000 / V magnitude                                    
# VERR    =     0.00100000000000 / V magnitude error                              
# (B-V)   =       0.491000000000 / B-V color                                      
# (B-V)ERR=     0.00200000000000 / B-V color error                                
# J       =        4.99100000000 / 2MASS J magnitude                              
# JERR    =       0.274000000000 / 2MASS J magnitude error                        
# H       =        4.69000000000 / 2MASS H magnitude                              
# HERR    =       0.254000000000 / 2MASS H magnitude error                        
# KS      =        4.40600000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0200000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0198857000000 / Relative error in the absolute flux calibration
# RV      =       -32.0431850000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.200000000000 / Intrinsic Color                                
# E(B-V)  =       0.291000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803859                9.13773e-11         1.44854e-13
             0.804062                9.16584e-11         1.45779e-13
             0.804264                9.18250e-11         1.45487e-13
             0.804466                9.18788e-11         1.45659e-13
             0.804669                9.05070e-11         1.44240e-13
             0.804871                9.00876e-11         1.43454e-13
             0.805074                9.02227e-11         1.44766e-13
             0.805276                9.10669e-11         1.44833e-13
             0.805479                9.15102e-11         1.46601e-13
             0.805681                9.14380e-11         1.46352e-13
             0.805884                9.08268e-11         1.45917e-13
             0.806086                9.07451e-11         1.45451e-13
             0.806288                9.07893e-11         1.45315e-13
             0.806491                9.12908e-11         1.46061e-13
             0.806693                9.15212e-11         1.47976e-13
             0.806896                9.13210e-11         1.46687e-13
             0.807098                9.10743e-11         1.52720e-13
             0.807300                9.03962e-11         1.46333e-13
             0.807310                9.04100e-11         1.22086e-13
             0.807544                9.06898e-11         1.25196e-13
             0.807777                9.09210e-11         1.31406e-13
             0.808011                9.07147e-11         1.38345e-13
             0.808244                9.06135e-11         1.30311e-13
             0.808477                9.00131e-11         1.23762e-13
             0.808711                8.95769e-11         1.20817e-13
             0.808944                9.00881e-11         1.22547e-13
             0.809178                9.04472e-11         1.26717e-13
             0.809411                9.03812e-11         1.33816e-13
             0.809645                9.03110e-11         1.32815e-13
             0.809878                8.99463e-11         1.27130e-13
             0.810111                8.98507e-11         1.20932e-13
             0.810345                9.00342e-11         1.21263e-13
             0.810578                9.03955e-11         1.23683e-13
             0.810811                9.05015e-11         1.29001e-13
             0.811045                9.03634e-11         1.35938e-13
             0.811278                9.02416e-11         1.28790e-13
             0.811511                9.03769e-11         1.23590e-13
             0.811745                9.03742e-11         1.20909e-13
             0.811978                9.01969e-11         1.21564e-13
             0.812211                9.03328e-11         1.25882e-13
             0.812445                9.01339e-11         1.31730e-13
             0.812678                8.99729e-11         1.31456e-13
             0.812911                9.01158e-11         1.27342e-13
             0.813145                8.97925e-11         1.21570e-13
             0.813378                8.95856e-11         1.19924e-13
             0.813611                8.94967e-11         1.23041e-13
             0.813845                8.97257e-11         1.27903e-13
             0.814078                8.97965e-11         1.33866e-13
             0.814311                8.97635e-11         1.27943e-13
             0.814544                8.99304e-11         1.23076e-13
             0.814777                8.95968e-11         1.19774e-13
             0.815011                8.91161e-11         1.20194e-13
             0.815244                8.92676e-11         1.24480e-13
             0.815477                8.94731e-11         1.29805e-13
             0.815710                8.94928e-11         1.30698e-13
             0.815944                8.95274e-11         1.24702e-13
             0.816177                8.94307e-11         1.20629e-13
             0.816410                8.90807e-11         1.20521e-13
             0.816643                8.91766e-11         1.22744e-13
