# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:02 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6940 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 102870'          /                                                
# SPTYPE  = 'F8.5 IV-V'          / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2007 Apr 25'        / UT date of SXD observations                    
# LXDUT   = '2007 Apr 25'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806304 / Minimum wavelength (um)                        
# MAXWAVE =              4.17647 / Maximum wavelength (um)                        
# V       =        3.60800000000 / V magnitude                                    
# VERR    =     0.00900000000000 / V magnitude error                              
# (B-V)   =       0.442000000000 / B-V color                                      
# (B-V)ERR=     0.00800000000000 / B-V color error                                
# J       =        2.59700000000 / 2MASS J magnitude                              
# JERR    =       0.252000000000 / 2MASS J magnitude error                        
# H       =        2.36300000000 / 2MASS H magnitude                              
# HERR    =       0.230000000000 / 2MASS H magnitude error                        
# KS      =        2.26900000000 / 2MASS Ks magnitude                             
# KSERR   =       0.254000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.141209000000 / Relative error in the absolute flux calibration
# RV      =        15.2267660000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.530000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0880000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806304                7.81101e-10         1.37365e-12
             0.806506                7.81978e-10         1.37321e-12
             0.806709                7.77047e-10         1.36556e-12
             0.806911                7.78228e-10         1.37413e-12
             0.807113                7.69664e-10         1.36202e-12
             0.807316                7.62536e-10         1.35025e-12
             0.807518                7.64195e-10         1.34884e-12
             0.807721                7.71903e-10         1.37331e-12
             0.807923                7.76326e-10         1.38056e-12
             0.808126                7.72787e-10         1.36739e-12
             0.808328                7.69897e-10         1.37114e-12
             0.808531                7.63834e-10         1.36570e-12
             0.808733                7.56997e-10         1.37514e-12
             0.808936                7.63159e-10         1.36783e-12
             0.809138                7.70469e-10         1.38354e-12
             0.809341                7.62190e-10         1.36281e-12
             0.809543                7.54259e-10         1.37297e-12
             0.809745                7.56674e-10         1.35626e-12
             0.809932                7.52962e-10         1.12745e-12
             0.810165                7.50491e-10         1.11554e-12
             0.810398                7.65854e-10         1.16541e-12
             0.810631                7.70046e-10         1.22817e-12
             0.810864                7.67952e-10         1.26868e-12
             0.811097                7.69033e-10         1.20322e-12
             0.811330                7.70327e-10         1.15719e-12
             0.811563                7.67805e-10         1.15966e-12
             0.811796                7.66020e-10         1.13837e-12
             0.812029                7.67793e-10         1.17979e-12
             0.812262                7.68945e-10         1.24441e-12
             0.812495                7.70053e-10         1.23832e-12
             0.812728                7.67997e-10         1.17327e-12
             0.812961                7.67703e-10         1.19156e-12
             0.813194                7.64301e-10         1.12425e-12
             0.813427                7.65218e-10         1.15487e-12
             0.813660                7.64230e-10         1.23611e-12
             0.813893                7.67571e-10         1.25737e-12
             0.814126                7.66857e-10         1.20354e-12
             0.814359                7.63209e-10         1.14360e-12
             0.814591                7.61277e-10         1.11079e-12
             0.814824                7.60333e-10         1.11563e-12
             0.815057                7.59097e-10         1.15188e-12
             0.815290                7.59903e-10         1.20873e-12
             0.815523                7.60135e-10         1.22371e-12
             0.815756                7.61217e-10         1.19764e-12
             0.815989                7.61367e-10         1.12592e-12
             0.816222                7.60072e-10         1.12174e-12
             0.816455                7.58124e-10         1.14131e-12
             0.816687                7.57816e-10         1.16583e-12
             0.816920                7.59219e-10         1.21806e-12
             0.817153                7.57718e-10         1.19651e-12
             0.817386                7.52830e-10         1.13498e-12
             0.817619                7.56285e-10         1.11348e-12
             0.817852                7.56350e-10         1.11137e-12
             0.818084                7.53904e-10         1.13233e-12
             0.818317                7.44907e-10         1.17034e-12
             0.818550                7.23412e-10         1.18366e-12
             0.818783                7.32874e-10         1.14765e-12
             0.819016                7.45387e-10         1.11770e-12
             0.819249                7.52487e-10         1.10257e-12
             0.819481                7.37391e-10         1.08602e-12
