# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:44 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7554 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 190323'          /                                                
# SPTYPE  = 'F8 Ia   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2008 Oct 08'        / UT date of SXD observations                    
# LXDUT   = '2008 Oct 08'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.805948 / Minimum wavelength (um)                        
# MAXWAVE =              4.98435 / Maximum wavelength (um)                        
# V       =        6.83400000000 / V magnitude                                    
# VERR    =     0.00500000000000 / V magnitude error                              
# (B-V)   =       0.874000000000 / B-V color                                      
# (B-V)ERR=      0.0270000000000 / B-V color error                                
# J       =        5.26900000000 / 2MASS J magnitude                              
# JERR    =      0.0240000000000 / 2MASS J magnitude error                        
# H       =        4.99200000000 / 2MASS H magnitude                              
# HERR    =      0.0380000000000 / 2MASS H magnitude error                        
# KS      =        4.88800000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0180000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0134656000000 / Relative error in the absolute flux calibration
# RV      =        39.6352110000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.550000000000 / Intrinsic Color                                
# E(B-V)  =       0.324000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.805948                5.24202e-11         1.56735e-13
             0.806181                5.27883e-11         1.56493e-13
             0.806415                5.31765e-11         1.56125e-13
             0.806649                5.33073e-11         1.56248e-13
             0.806882                5.30602e-11         1.53919e-13
             0.807116                5.28874e-11         1.52367e-13
             0.807350                5.25639e-11         1.51261e-13
             0.807583                5.25706e-11         1.50003e-13
             0.807817                5.32148e-11         1.48988e-13
             0.808051                5.28265e-11         1.47764e-13
             0.808284                5.28241e-11         1.46645e-13
             0.808518                5.20609e-11         1.45456e-13
             0.808752                5.10746e-11         1.42797e-13
             0.808985                5.26822e-11         1.44335e-13
             0.809219                5.28626e-11         1.44180e-13
             0.809452                5.23979e-11         1.42442e-13
             0.809686                5.19875e-11         1.40490e-13
             0.809919                5.22514e-11         1.39967e-13
             0.810153                5.19854e-11         1.37886e-13
             0.810387                5.29784e-11         1.39023e-13
             0.810620                5.31540e-11         1.41442e-13
             0.810854                5.29964e-11         1.36983e-13
             0.811087                5.29678e-11         1.35963e-13
             0.811321                5.27325e-11         1.36357e-13
             0.811554                5.30338e-11         1.34217e-13
             0.811788                5.30930e-11         1.34733e-13
             0.812021                5.29583e-11         1.32758e-13
             0.812255                5.27926e-11         1.32077e-13
             0.812488                5.23785e-11         1.30931e-13
             0.812722                5.28208e-11         1.30162e-13
             0.812955                5.30211e-11         1.30123e-13
             0.813188                5.28144e-11         1.29760e-13
             0.813422                5.21761e-11         1.28251e-13
             0.813655                5.25291e-11         1.28524e-13
             0.813889                5.28544e-11         1.27308e-13
             0.814122                5.26585e-11         1.26384e-13
             0.814356                5.22315e-11         1.25616e-13
             0.814589                5.21496e-11         1.25203e-13
             0.814822                5.22611e-11         1.24704e-13
             0.815056                5.23025e-11         1.26587e-13
             0.815289                5.25765e-11         1.23621e-13
             0.815522                5.25819e-11         1.23331e-13
             0.815756                5.22892e-11         1.21919e-13
             0.815989                5.27096e-11         1.21885e-13
             0.816223                5.23321e-11         1.22565e-13
             0.816456                5.22216e-11         1.23038e-13
             0.816689                5.21964e-11         1.20979e-13
             0.816922                5.23406e-11         1.20860e-13
             0.817156                5.20656e-11         1.19395e-13
             0.817389                5.23539e-11         1.18166e-13
             0.817622                5.20707e-11         1.18614e-13
             0.817856                5.20182e-11         1.19182e-13
             0.818089                5.19372e-11         1.18116e-13
             0.818322                4.97307e-11         1.13933e-13
             0.818555                4.64723e-11         1.09276e-13
             0.818789                4.80456e-11         1.10757e-13
             0.819022                5.05021e-11         1.13101e-13
             0.819255                5.15127e-11         1.13776e-13
             0.819488                4.94549e-11         1.09719e-13
             0.819722                4.58924e-11         1.06052e-13
