# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:48 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7639 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 51956'           /                                                
# SPTYPE  = 'F8 Ib   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Oct 16'        / UT date of SXD observations                    
# LXDUT   = '2006 Dec 21'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.813079 / Minimum wavelength (um)                        
# MAXWAVE =              5.06965 / Maximum wavelength (um)                        
# V       =        7.50700000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =       0.803000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        6.06300000000 / 2MASS J magnitude                              
# JERR    =      0.0240000000000 / 2MASS J magnitude error                        
# H       =        5.75600000000 / 2MASS H magnitude                              
# HERR    =      0.0330000000000 / 2MASS H magnitude error                        
# KS      =        5.61200000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0310000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0164511000000 / Relative error in the absolute flux calibration
# RV      =       -16.1417330000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.550000000000 / Intrinsic Color                                
# E(B-V)  =       0.253000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.813079                2.77208e-11         6.01379e-14
             0.813282                2.76877e-11         5.99757e-14
             0.813484                2.75488e-11         6.04844e-14
             0.813687                2.74661e-11         6.03649e-14
             0.813889                2.75943e-11         6.07916e-14
             0.814092                2.76402e-11         6.06706e-14
             0.814294                2.75043e-11         6.08726e-14
             0.814497                2.73925e-11         6.06641e-14
             0.814699                2.74663e-11         6.06355e-14
             0.814902                2.73675e-11         6.08510e-14
             0.815104                2.73677e-11         6.16813e-14
             0.815307                2.75152e-11         6.11618e-14
             0.815509                2.75711e-11         6.21916e-14
             0.815712                2.74737e-11         6.24792e-14
             0.815862                2.75142e-11         4.98975e-14
             0.816095                2.75562e-11         4.81192e-14
             0.816328                2.73590e-11         4.84663e-14
             0.816561                2.73407e-11         5.01535e-14
             0.816794                2.74135e-11         5.15972e-14
             0.817027                2.74469e-11         5.32182e-14
             0.817260                2.73092e-11         5.10263e-14
             0.817493                2.73655e-11         4.81902e-14
             0.817726                2.74262e-11         4.72151e-14
             0.817959                2.72873e-11         4.84500e-14
             0.818191                2.69657e-11         4.95455e-14
             0.818424                2.57949e-11         4.94260e-14
             0.818657                2.55531e-11         4.92129e-14
             0.818890                2.65245e-11         4.84813e-14
             0.819123                2.69463e-11         4.77700e-14
             0.819356                2.70155e-11         4.68431e-14
             0.819589                2.53445e-11         4.57383e-14
             0.819822                2.51020e-11         4.60880e-14
             0.820055                2.57944e-11         4.95580e-14
             0.820287                2.57499e-11         4.83658e-14
             0.820520                2.64795e-11         4.67784e-14
             0.820753                2.68340e-11         4.54022e-14
             0.820986                2.66045e-11         4.50616e-14
             0.821219                2.65595e-11         4.60403e-14
             0.821452                2.61707e-11         4.76042e-14
             0.821684                2.61054e-11         4.89449e-14
             0.821917                2.64707e-11         4.76163e-14
             0.822150                2.58530e-11         4.52347e-14
             0.822383                2.59001e-11         4.45872e-14
             0.822616                2.69423e-11         4.62049e-14
             0.822849                2.72725e-11         4.88538e-14
             0.823081                2.69561e-11         5.21388e-14
             0.823314                2.65362e-11         5.11429e-14
             0.823547                2.65831e-11         4.79825e-14
             0.823780                2.69990e-11         4.63952e-14
             0.824012                2.68894e-11         4.52470e-14
             0.824245                2.68202e-11         4.57052e-14
             0.824478                2.69804e-11         4.75967e-14
             0.824711                2.68813e-11         4.98174e-14
             0.824943                2.58143e-11         4.59909e-14
             0.825176                2.54612e-11         4.41947e-14
             0.825409                2.65179e-11         4.45351e-14
             0.825642                2.66072e-11         4.49499e-14
             0.825874                2.66412e-11         4.61445e-14
             0.826107                2.69919e-11         4.88275e-14
             0.826340                2.69464e-11         4.89799e-14
             0.826573                2.68021e-11         4.73916e-14
             0.826805                2.67827e-11         4.57483e-14
             0.827038                2.68757e-11         4.47114e-14
             0.827271                2.69252e-11         4.52333e-14
             0.827503                2.68199e-11         4.64703e-14
             0.827736                2.66536e-11         4.81927e-14
             0.827969                2.67413e-11         4.82230e-14
             0.828201                2.69675e-11         4.71701e-14
             0.828434                2.69497e-11         4.64717e-14
             0.828667                2.69028e-11         4.55271e-14
             0.828899                2.67947e-11         4.54020e-14
             0.829132                2.67110e-11         4.67813e-14
             0.829365                2.65416e-11         4.77449e-14
             0.829597                2.62935e-11         4.66269e-14
             0.829830                2.66488e-11         4.54839e-14
             0.830063                2.67800e-11         4.42953e-14
             0.830295                2.67582e-11         4.44261e-14
             0.830528                2.66399e-11         4.52843e-14
             0.830760                2.63304e-11         4.63836e-14
             0.830993                2.63590e-11         4.67825e-14
             0.831226                2.62991e-11         4.50769e-14
             0.831458                2.64963e-11         4.42649e-14
             0.831691                2.67112e-11         4.40828e-14
             0.831923                2.68123e-11         4.45096e-14
             0.832156                2.67431e-11         4.55718e-14
             0.832389                2.65149e-11         4.75786e-14
             0.832621                2.60172e-11         4.61727e-14
             0.832854                2.50253e-11         4.31989e-14
             0.833086                2.53223e-11         4.23340e-14
             0.833319                2.53021e-11         4.20650e-14
             0.833551                2.49265e-11         4.18763e-14
             0.833784                2.53311e-11         4.32580e-14
             0.834016                2.55024e-11         4.48352e-14
             0.834249                2.58039e-11         4.44411e-14
             0.834481                2.61889e-11         4.35748e-14
             0.834714                2.58600e-11         4.22338e-14
             0.834946                2.59116e-11         4.24597e-14
             0.835179                2.64956e-11         4.36749e-14
             0.835411                2.65479e-11         4.46679e-14
             0.835644                2.66271e-11         4.56428e-14
             0.835876                2.63711e-11         4.41937e-14
             0.836109                2.60444e-11         4.32905e-14
             0.836341                2.60931e-11         4.23878e-14
             0.836574                2.60652e-11         4.23796e-14
             0.836806                2.59725e-11         4.29921e-14
             0.837039                2.63182e-11         4.44165e-14
             0.837271                2.65635e-11         4.45862e-14
             0.837504                2.62724e-11         4.34841e-14
             0.837736                2.61688e-11         4.35239e-14
             0.837969                2.62949e-11         4.24814e-14
             0.838201                2.63691e-11         4.26613e-14
             0.838434                2.62590e-11         4.32075e-14
             0.838666                2.60763e-11         4.44959e-14
             0.838898                2.51503e-11         4.25157e-14
             0.839131                2.51722e-11         4.16340e-14
             0.839363                2.59704e-11         4.22147e-14
             0.839596                2.60832e-11         4.21066e-14
             0.839828                2.61088e-11         4.23468e-14
             0.840060                2.62409e-11         4.33133e-14
             0.840293                2.62016e-11         4.38187e-14
             0.840525                2.61402e-11         4.27619e-14
             0.840758                2.62016e-11         4.19204e-14
             0.840990                2.63858e-11         4.25697e-14
             0.841222                2.61832e-11         4.19031e-14
             0.841455                2.56482e-11         4.21393e-14
             0.841687                2.56856e-11         4.34598e-14
             0.841919                2.59134e-11         4.32307e-14
             0.842152                2.59521e-11         4.20641e-14
             0.842384                2.59154e-11         4.18587e-14
             0.842616                2.57177e-11         4.08852e-14
             0.842849                2.57219e-11         4.10949e-14
             0.843081                2.60223e-11         4.21727e-14
             0.843313                2.63056e-11         4.35736e-14
             0.843546                2.55639e-11         4.21996e-14
             0.843778                2.47923e-11         4.07421e-14
             0.844010                2.47597e-11         4.02618e-14
             0.844243                2.53007e-11         4.07416e-14
             0.844475                2.57124e-11         4.14849e-14
             0.844707                2.52150e-11         4.25631e-14
             0.844939                2.49494e-11         4.24468e-14
             0.845172                2.56436e-11         4.17758e-14
             0.845404                2.60019e-11         4.09673e-14
             0.845636                2.59721e-11         4.04936e-14
             0.845869                2.60472e-11         4.06684e-14
             0.846101                2.61388e-11         4.14143e-14
             0.846333                2.61394e-11         4.24496e-14
             0.846565                2.58738e-11         4.25400e-14
             0.846798                2.49122e-11         4.06752e-14
             0.847030                2.39358e-11         3.90814e-14
             0.847262                2.47032e-11         3.95747e-14
             0.847494                2.54163e-11         4.01902e-14
             0.847727                2.57255e-11         4.07744e-14
             0.847959                2.57379e-11         4.14232e-14
             0.848191                2.54720e-11         4.05677e-14
             0.848423                2.53425e-11         3.96352e-14
             0.848655                2.55204e-11         3.94390e-14
             0.848888                2.55568e-11         3.94698e-14
             0.849120                2.54570e-11         3.96857e-14
             0.849352                2.52221e-11         4.03433e-14
             0.849584                2.43335e-11         4.00213e-14
             0.849816                2.02609e-11         3.49808e-14
             0.850049                1.71090e-11         3.13544e-14
             0.850281                1.99535e-11         3.44272e-14
             0.850513                2.30524e-11         3.77673e-14
             0.850745                2.44613e-11         3.94643e-14
             0.850977                2.51251e-11         4.05514e-14
             0.851209                2.50427e-11         4.05007e-14
             0.851442                2.43294e-11         3.87624e-14
             0.851674                2.34764e-11         3.71136e-14
             0.851906                2.40599e-11         3.73531e-14
             0.852138                2.48286e-11         3.82435e-14
             0.852370                2.49567e-11         3.86558e-14
             0.852602                2.47121e-11         3.89546e-14
