# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:53 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6742 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 220657'          /                                                
# SPTYPE  = 'F8 III  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2006 Dec 21'        / UT date of SXD observations                    
# LXDUT   = '2008 Oct 12'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.804867 / Minimum wavelength (um)                        
# MAXWAVE =              4.13778 / Maximum wavelength (um)                        
# V       =        4.40700000000 / V magnitude                                    
# VERR    =      0.0130000000000 / V magnitude error                              
# (B-V)   =       0.610000000000 / B-V color                                      
# (B-V)ERR=     0.00600000000000 / B-V color error                                
# J       =        3.52700000000 / 2MASS J magnitude                              
# JERR    =       0.266000000000 / 2MASS J magnitude error                        
# H       =        3.23000000000 / 2MASS H magnitude                              
# HERR    =       0.208000000000 / 2MASS H magnitude error                        
# KS      =        3.03300000000 / 2MASS Ks magnitude                             
# KSERR   =       0.256000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.138006000000 / Relative error in the absolute flux calibration
# RV      =        42.0801890000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.520000000000 / Intrinsic Color                                
# E(B-V)  =      0.0900000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.804867                2.80031e-10         9.87046e-13
             0.805070                2.80957e-10         8.98910e-13
             0.805272                2.85047e-10         9.17554e-13
             0.805474                2.86513e-10         9.17081e-13
             0.805677                2.85714e-10         9.19383e-13
             0.805879                2.87200e-10         9.24123e-13
             0.806082                2.87495e-10         9.29219e-13
             0.806284                2.88375e-10         9.33381e-13
             0.806487                2.88572e-10         9.40503e-13
             0.806689                2.88033e-10         9.30981e-13
             0.806892                2.87446e-10         9.37465e-13
             0.807094                2.84831e-10         9.25135e-13
             0.807297                2.83481e-10         9.25880e-13
             0.807499                2.83083e-10         9.24543e-13
             0.807701                2.84324e-10         9.28790e-13
             0.807904                2.85204e-10         9.33450e-13
             0.808106                2.86040e-10         9.40250e-13
             0.808309                2.85281e-10         9.35065e-13
             0.808498                2.83617e-10         7.96391e-13
             0.808731                2.81658e-10         7.93319e-13
             0.808965                2.82511e-10         8.14851e-13
             0.809198                2.84151e-10         8.64291e-13
             0.809431                2.82330e-10         8.81244e-13
             0.809664                2.80826e-10         8.51572e-13
             0.809897                2.79630e-10         7.88753e-13
             0.810131                2.80339e-10         7.82417e-13
             0.810364                2.83325e-10         8.00242e-13
             0.810597                2.86188e-10         8.50392e-13
             0.810830                2.86122e-10         8.94126e-13
             0.811063                2.84809e-10         8.58244e-13
             0.811296                2.84950e-10         8.24855e-13
             0.811529                2.85639e-10         8.09649e-13
             0.811763                2.84853e-10         7.94859e-13
             0.811996                2.84919e-10         8.13613e-13
             0.812229                2.85100e-10         8.59092e-13
             0.812462                2.84942e-10         8.93169e-13
             0.812695                2.84560e-10         8.39623e-13
             0.812928                2.83438e-10         7.98854e-13
             0.813161                2.84938e-10         7.95412e-13
             0.813394                2.83899e-10         8.07481e-13
             0.813627                2.83096e-10         8.31474e-13
             0.813860                2.84583e-10         8.71872e-13
             0.814093                2.85304e-10         8.70380e-13
             0.814326                2.83137e-10         8.28141e-13
             0.814559                2.83218e-10         7.97449e-13
             0.814792                2.82334e-10         7.87334e-13
             0.815025                2.81797e-10         8.09558e-13
             0.815258                2.83200e-10         8.48139e-13
             0.815491                2.83373e-10         9.09930e-13
             0.815724                2.82484e-10         8.43139e-13
             0.815957                2.83049e-10         8.09924e-13
             0.816190                2.83875e-10         8.07413e-13
             0.816423                2.82638e-10         8.41887e-13
             0.816656                2.82360e-10         8.47780e-13
             0.816889                2.84491e-10         8.69021e-13
             0.817122                2.79880e-10         8.59109e-13
             0.817355                2.79247e-10         8.11148e-13
             0.817588                2.82719e-10         8.00262e-13
             0.817821                2.81804e-10         8.10108e-13
