# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:55 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4186 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 111844'          /                                                
# SPTYPE  = 'F8 IV   '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2007 Apr 25'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.803553 / Minimum wavelength (um)                        
# MAXWAVE =              2.42427 / Maximum wavelength (um)                        
# V       =        7.87000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =       0.560000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        6.79600000000 / 2MASS J magnitude                              
# JERR    =      0.0180000000000 / 2MASS J magnitude error                        
# H       =        6.56900000000 / 2MASS H magnitude                              
# HERR    =      0.0170000000000 / 2MASS H magnitude error                        
# KS      =        6.52400000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0180000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0101887000000 / Relative error in the absolute flux calibration
# RV      =       -5.82122670000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.530000000000 / Intrinsic Color                                
# E(B-V)  =      0.0300000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803553                1.97580e-11         4.77484e-14
             0.803756                1.98327e-11         4.75613e-14
             0.803959                1.98323e-11         4.77650e-14
             0.804162                1.97635e-11         4.79278e-14
             0.804365                1.98696e-11         4.79837e-14
             0.804567                1.96003e-11         4.77802e-14
             0.804770                1.92777e-11         4.74744e-14
             0.804973                1.93255e-11         4.71459e-14
             0.805176                1.94862e-11         4.76311e-14
             0.805379                1.96377e-11         4.79072e-14
             0.805582                1.95006e-11         5.07206e-14
             0.805785                1.96260e-11         4.80376e-14
             0.805987                1.96909e-11         4.84577e-14
             0.806190                1.94959e-11         4.80115e-14
             0.806393                1.96254e-11         4.84717e-14
             0.806596                1.96513e-11         4.83686e-14
             0.806799                1.96662e-11         4.85088e-14
             0.807002                1.95693e-11         4.85397e-14
             0.807204                1.95679e-11         4.85582e-14
             0.807260                1.95299e-11         4.32108e-14
             0.807493                1.94882e-11         4.55660e-14
             0.807726                1.94774e-11         4.54964e-14
             0.807959                1.94873e-11         4.30394e-14
             0.808192                1.95122e-11         4.12426e-14
             0.808425                1.94114e-11         4.08012e-14
             0.808658                1.91914e-11         4.12642e-14
             0.808891                1.92000e-11         4.28050e-14
             0.809123                1.94035e-11         4.56031e-14
             0.809356                1.92694e-11         4.40964e-14
             0.809589                1.92067e-11         4.24266e-14
             0.809822                1.92824e-11         4.05869e-14
             0.810055                1.91898e-11         4.03514e-14
             0.810288                1.93636e-11         4.16095e-14
             0.810520                1.93126e-11         4.35424e-14
             0.810753                1.93952e-11         4.61559e-14
             0.810986                1.93199e-11         4.30811e-14
             0.811219                1.93556e-11         4.14670e-14
             0.811452                1.93181e-11         4.06135e-14
             0.811685                1.93514e-11         4.04736e-14
             0.811917                1.93621e-11         4.16544e-14
             0.812150                1.93240e-11         4.36939e-14
             0.812383                1.92619e-11         4.44693e-14
             0.812616                1.92160e-11         4.21989e-14
             0.812849                1.92094e-11         4.04631e-14
             0.813081                1.92656e-11         3.99784e-14
             0.813314                1.91938e-11         4.04057e-14
             0.813547                1.91861e-11         4.17225e-14
             0.813780                1.92080e-11         4.37265e-14
             0.814012                1.91776e-11         4.33801e-14
             0.814245                1.91520e-11         4.14170e-14
             0.814478                1.90960e-11         4.00591e-14
             0.814711                1.90895e-11         3.95421e-14
             0.814943                1.90158e-11         4.01491e-14
             0.815176                1.90174e-11         4.17789e-14
             0.815409                1.90751e-11         4.41572e-14
             0.815642                1.90471e-11         4.24013e-14
             0.815875                1.89757e-11         4.05541e-14
             0.816107                1.90633e-11         3.96917e-14
             0.816340                1.90625e-11         4.02401e-14
             0.816573                1.90357e-11         4.11709e-14
             0.816805                1.89910e-11         4.21283e-14
             0.817038                1.89176e-11         4.37262e-14
             0.817271                1.89091e-11         4.17023e-14
             0.817504                1.88678e-11         3.99018e-14
             0.817736                1.89353e-11         3.93453e-14
             0.817969                1.88732e-11         3.96646e-14
             0.818202                1.86898e-11         4.04561e-14
             0.818434                1.82976e-11         4.15792e-14
             0.818667                1.82357e-11         4.19719e-14
             0.818900                1.85784e-11         4.09759e-14
             0.819132                1.86927e-11         3.99010e-14
             0.819365                1.86799e-11         3.92483e-14
             0.819598                1.81861e-11         3.87219e-14
             0.819830                1.80545e-11         3.97080e-14
             0.820063                1.82470e-11         4.18988e-14
             0.820296                1.83345e-11         4.11892e-14
             0.820528                1.85548e-11         3.96329e-14
             0.820761                1.86421e-11         4.13747e-14
             0.820994                1.86518e-11         3.86151e-14
             0.821226                1.85849e-11         3.98159e-14
             0.821459                1.84114e-11         4.00207e-14
             0.821692                1.82748e-11         4.18372e-14
             0.821924                1.82660e-11         3.99384e-14
             0.822157                1.81911e-11         3.85579e-14
