# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:00 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7993 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 27383'           /                                                
# SPTYPE  = 'F8 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2000 Oct 24'        / UT date of SXD observations                    
# LXDUT   = '2000 Oct 25'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807384 / Minimum wavelength (um)                        
# MAXWAVE =              5.42284 / Maximum wavelength (um)                        
# V       =        6.88600000000 / V magnitude                                    
# VERR    =     0.00500000000000 / V magnitude error                              
# (B-V)   =       0.560000000000 / B-V color                                      
# (B-V)ERR=        0.00000000000 / B-V color error                                
# J       =        5.82000000000 / 2MASS J magnitude                              
# JERR    =      0.0180000000000 / 2MASS J magnitude error                        
# H       =        5.58800000000 / 2MASS H magnitude                              
# HERR    =      0.0210000000000 / 2MASS H magnitude error                        
# KS      =        5.54200000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0200000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0112838000000 / Relative error in the absolute flux calibration
# RV      =        21.3246950000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.530000000000 / Intrinsic Color                                
# E(B-V)  =      0.0300000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807384                3.81999e-11         7.74669e-14
             0.807587                3.83532e-11         7.75014e-14
             0.807789                3.84165e-11         7.79824e-14
             0.807992                3.86109e-11         7.78387e-14
             0.808194                3.86795e-11         7.82958e-14
             0.808397                3.83578e-11         7.79092e-14
             0.808599                3.78842e-11         7.73180e-14
             0.808801                3.77493e-11         7.76375e-14
             0.809004                3.82120e-11         7.86422e-14
             0.809206                3.84024e-11         7.83480e-14
             0.809409                3.78194e-11         7.78534e-14
             0.809611                3.78365e-11         7.79330e-14
             0.809814                3.78634e-11         7.83696e-14
             0.810016                3.75449e-11         7.80501e-14
             0.810219                3.78090e-11         7.84521e-14
             0.810421                3.82954e-11         7.94574e-14
             0.810504                3.82341e-11         6.93207e-14
             0.810737                3.83897e-11         7.03164e-14
             0.810970                3.83779e-11         6.66995e-14
             0.811203                3.83547e-11         6.42155e-14
             0.811437                3.84768e-11         6.39351e-14
             0.811670                3.83389e-11         6.45038e-14
             0.811903                3.84263e-11         6.71130e-14
             0.812137                3.83887e-11         7.05480e-14
             0.812370                3.83953e-11         6.83421e-14
             0.812603                3.83889e-11         6.55070e-14
             0.812836                3.82324e-11         6.30739e-14
             0.813070                3.82151e-11         6.33444e-14
             0.813303                3.81440e-11         6.50187e-14
             0.813536                3.81629e-11         6.83195e-14
             0.813769                3.81714e-11         6.95893e-14
             0.814002                3.81204e-11         6.61001e-14
             0.814236                3.81044e-11         6.39469e-14
             0.814469                3.80806e-11         6.29172e-14
             0.814702                3.79574e-11         6.34615e-14
             0.814935                3.79585e-11         6.58515e-14
             0.815168                3.79473e-11         6.87724e-14
             0.815401                3.79514e-11         6.77693e-14
             0.815635                3.79411e-11         6.49198e-14
             0.815868                3.80474e-11         6.31555e-14
             0.816101                3.80331e-11         6.39731e-14
             0.816334                3.78719e-11         6.50533e-14
             0.816567                3.78199e-11         6.72848e-14
             0.816800                3.79968e-11         6.97474e-14
             0.817033                3.78666e-11         6.64299e-14
             0.817267                3.75388e-11         6.37423e-14
             0.817500                3.76787e-11         6.18623e-14
             0.817733                3.78519e-11         6.27989e-14
             0.817966                3.77563e-11         6.52544e-14
             0.818199                3.74557e-11         6.73503e-14
             0.818432                3.65524e-11         6.52435e-14
             0.818665                3.65633e-11         6.29619e-14
             0.818898                3.71784e-11         6.18076e-14
             0.819131                3.75710e-11         6.20242e-14
             0.819364                3.74248e-11         6.27052e-14
             0.819597                3.61294e-11         6.33592e-14
             0.819830                3.57943e-11         6.56036e-14
             0.820063                3.64027e-11         6.38743e-14
             0.820296                3.69974e-11         6.28399e-14
