# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:57 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6834 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 219623'          /                                                
# SPTYPE  = 'F8 V    '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 20'        / UT date of SXD observations                    
# LXDUT   = '2001 Oct 20'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806008 / Minimum wavelength (um)                        
# MAXWAVE =              4.09088 / Maximum wavelength (um)                        
# V       =        5.57700000000 / V magnitude                                    
# VERR    =      0.0150000000000 / V magnitude error                              
# (B-V)   =       0.524000000000 / B-V color                                      
# (B-V)ERR=      0.0120000000000 / B-V color error                                
# J       =        4.87100000000 / 2MASS J magnitude                              
# JERR    =       0.250000000000 / 2MASS J magnitude error                        
# H       =        4.59900000000 / 2MASS H magnitude                              
# HERR    =       0.190000000000 / 2MASS H magnitude error                        
# KS      =        4.30600000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0360000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0350219000000 / Relative error in the absolute flux calibration
# RV      =       -31.6023200000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.530000000000 / Intrinsic Color                                
# E(B-V)  =    -0.00599998000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806008                1.09080e-10         1.23302e-13
             0.806210                1.09297e-10         1.23841e-13
             0.806413                1.09401e-10         1.25375e-13
             0.806615                1.09737e-10         1.24579e-13
             0.806817                1.09488e-10         1.25265e-13
             0.807020                1.09050e-10         1.24576e-13
             0.807222                1.08159e-10         1.23958e-13
             0.807425                1.07802e-10         1.24216e-13
             0.807627                1.07736e-10         1.23329e-13
             0.807830                1.08667e-10         1.24497e-13
             0.808032                1.08567e-10         1.25243e-13
             0.808235                1.08489e-10         1.24431e-13
             0.808437                1.08009e-10         1.24951e-13
             0.808640                1.06571e-10         1.23920e-13
             0.808842                1.06976e-10         1.24750e-13
             0.809045                1.08239e-10         1.25442e-13
             0.809113                1.08222e-10         1.11000e-13
             0.809346                1.07225e-10         1.16524e-13
             0.809580                1.06449e-10         1.10191e-13
             0.809813                1.06175e-10         1.04937e-13
             0.810046                1.05662e-10         1.02826e-13
             0.810279                1.06655e-10         1.03568e-13
             0.810512                1.08166e-10         1.07414e-13
             0.810746                1.08429e-10         1.13172e-13
             0.810979                1.08200e-10         1.14957e-13
             0.811212                1.08127e-10         1.09467e-13
             0.811445                1.08088e-10         1.05761e-13
             0.811678                1.08048e-10         1.04352e-13
             0.811911                1.08469e-10         1.06190e-13
             0.812145                1.08205e-10         1.09911e-13
             0.812378                1.08014e-10         1.15818e-13
             0.812611                1.07832e-10         1.13132e-13
             0.812844                1.07909e-10         1.07538e-13
             0.813077                1.07554e-10         1.03817e-13
             0.813310                1.07545e-10         1.04817e-13
             0.813543                1.07171e-10         1.08810e-13
             0.813776                1.07206e-10         1.16435e-13
             0.814009                1.07414e-10         1.16465e-13
             0.814243                1.07149e-10         1.10709e-13
             0.814476                1.06896e-10         1.07267e-13
             0.814709                1.07112e-10         1.04951e-13
             0.814942                1.06656e-10         1.06814e-13
             0.815175                1.06758e-10         1.11938e-13
             0.815408                1.06697e-10         1.16202e-13
             0.815641                1.06809e-10         1.15774e-13
             0.815874                1.07021e-10         1.10418e-13
             0.816107                1.07187e-10         1.05588e-13
             0.816340                1.06422e-10         1.07229e-13
             0.816573                1.06056e-10         1.13048e-13
             0.816806                1.07103e-10         1.17870e-13
             0.817039                1.06439e-10         1.20739e-13
             0.817272                1.05849e-10         1.12750e-13
             0.817505                1.06334e-10         1.06195e-13
             0.817738                1.06380e-10         1.02832e-13
             0.817971                1.05704e-10         1.07772e-13
             0.818204                1.05219e-10         1.14785e-13
             0.818437                1.02812e-10         1.12518e-13
             0.818670                1.02500e-10         1.09760e-13
             0.818903                1.04580e-10         1.06897e-13
