# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:04 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6726 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 6903 '           /                                                
# SPTYPE  = 'F9 IIIa '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2001 Aug 29'        / UT date of SXD observations                    
# LXDUT   = '2001 Aug 31'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.805022 / Minimum wavelength (um)                        
# MAXWAVE =              4.07052 / Maximum wavelength (um)                        
# V       =        5.55000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =       0.689000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.56500000000 / 2MASS J magnitude                              
# JERR    =       0.270000000000 / 2MASS J magnitude error                        
# H       =        4.18900000000 / 2MASS H magnitude                              
# HERR    =       0.228000000000 / 2MASS H magnitude error                        
# KS      =        4.18300000000 / 2MASS Ks magnitude                             
# KSERR   =       0.348000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.155773000000 / Relative error in the absolute flux calibration
# RV      =       -3.83694590000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.580000000000 / Intrinsic Color                                
# E(B-V)  =       0.109000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.805022                1.08494e-10         1.53330e-13
             0.805224                1.10681e-10         1.57038e-13
             0.805427                1.11673e-10         1.57103e-13
             0.805629                1.11480e-10         1.58122e-13
             0.805831                1.11628e-10         1.58275e-13
             0.806034                1.12015e-10         1.58444e-13
             0.806236                1.12293e-10         1.65585e-13
             0.806439                1.12458e-10         1.58924e-13
             0.806641                1.12486e-10         1.59062e-13
             0.806843                1.11877e-10         1.59855e-13
             0.807046                1.11040e-10         1.75475e-13
             0.807248                1.10300e-10         1.58835e-13
             0.807450                1.10446e-10         1.58805e-13
             0.807653                1.10568e-10         1.58357e-13
             0.807855                1.11100e-10         1.59291e-13
             0.808058                1.10853e-10         1.77680e-13
             0.808260                1.10660e-10         1.59476e-13
             0.808419                1.10012e-10         1.36068e-13
             0.808652                1.09167e-10         1.31676e-13
             0.808886                1.10003e-10         1.32532e-13
             0.809119                1.10755e-10         1.37761e-13
             0.809353                1.09634e-10         1.43692e-13
             0.809586                1.08973e-10         1.48505e-13
             0.809820                1.08916e-10         1.37505e-13
             0.810053                1.09085e-10         1.32379e-13
             0.810287                1.10416e-10         1.31044e-13
             0.810520                1.11276e-10         1.35173e-13
             0.810754                1.10896e-10         1.40015e-13
             0.810987                1.10872e-10         1.47490e-13
             0.811220                1.10883e-10         1.42065e-13
             0.811454                1.11009e-10         1.35977e-13
             0.811687                1.10824e-10         1.32383e-13
             0.811921                1.10901e-10         1.32412e-13
             0.812154                1.10952e-10         1.36726e-13
             0.812388                1.11021e-10         1.44026e-13
             0.812621                1.10786e-10         1.45898e-13
             0.812854                1.10779e-10         1.38856e-13
             0.813088                1.10597e-10         1.35658e-13
             0.813321                1.10378e-10         1.32476e-13
             0.813554                1.10206e-10         1.34561e-13
             0.813788                1.10225e-10         1.40287e-13
             0.814021                1.10462e-10         1.46244e-13
             0.814255                1.10105e-10         1.41446e-13
             0.814488                1.09935e-10         1.35332e-13
             0.814721                1.09757e-10         1.31395e-13
             0.814955                1.09607e-10         1.32246e-13
             0.815188                1.09504e-10         1.35867e-13
             0.815421                1.09713e-10         1.42624e-13
             0.815654                1.09682e-10         1.44770e-13
             0.815888                1.10011e-10         1.37575e-13
             0.816121                1.10171e-10         1.33648e-13
             0.816354                1.09375e-10         1.32913e-13
             0.816588                1.09607e-10         1.39702e-13
             0.816821                1.09669e-10         1.38445e-13
             0.817054                1.09394e-10         1.44828e-13
             0.817287                1.08810e-10         1.39838e-13
             0.817521                1.09251e-10         1.32762e-13
             0.817754                1.09754e-10         1.30888e-13
             0.817987                1.08894e-10         1.33016e-13
