# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:09 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6942 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 176051'          /                                                
# SPTYPE  = 'F9 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 11'        / UT date of SXD observations                    
# LXDUT   = '2004 Jul 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.808007 / Minimum wavelength (um)                        
# MAXWAVE =              4.19279 / Maximum wavelength (um)                        
# V       =        5.22400000000 / V magnitude                                    
# VERR    =     0.00900000000000 / V magnitude error                              
# (B-V)   =       0.588000000000 / B-V color                                      
# (B-V)ERR=      0.0100000000000 / B-V color error                                
# J       =        3.84700000000 / 2MASS J magnitude                              
# JERR    =       0.254000000000 / 2MASS J magnitude error                        
# H       =        3.61100000000 / 2MASS H magnitude                              
# HERR    =       0.252000000000 / 2MASS H magnitude error                        
# KS      =        3.65500000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0420000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0408882000000 / Relative error in the absolute flux calibration
# RV      =       -18.8234940000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.560000000000 / Intrinsic Color                                
# E(B-V)  =      0.0280000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.808007                1.93242e-10         4.98744e-13
             0.808210                1.92816e-10         4.96064e-13
             0.808412                1.91755e-10         4.96200e-13
             0.808615                1.89494e-10         4.91814e-13
             0.808817                1.88441e-10         4.89540e-13
             0.809020                1.92012e-10         4.96811e-13
             0.809222                1.91828e-10         4.98325e-13
             0.809425                1.88929e-10         4.89544e-13
             0.809627                1.88840e-10         4.93236e-13
             0.809830                1.89380e-10         4.92084e-13
             0.810032                1.87657e-10         4.95465e-13
             0.810235                1.88802e-10         4.94759e-13
             0.810437                1.91466e-10         5.02920e-13
             0.810640                1.91802e-10         5.02946e-13
             0.810842                1.91848e-10         5.05902e-13
             0.810967                1.91995e-10         4.44289e-13
             0.811201                1.91337e-10         4.23536e-13
             0.811434                1.92115e-10         4.23568e-13
             0.811667                1.91340e-10         4.12342e-13
             0.811900                1.91044e-10         4.21859e-13
             0.812133                1.90696e-10         4.39676e-13
             0.812366                1.91698e-10         4.60118e-13
             0.812599                1.92217e-10         4.37998e-13
             0.812832                1.91218e-10         4.15754e-13
             0.813065                1.91437e-10         4.07314e-13
             0.813298                1.91331e-10         4.14090e-13
             0.813531                1.91259e-10         4.27415e-13
             0.813764                1.90891e-10         4.49552e-13
             0.813998                1.91091e-10         4.44133e-13
             0.814231                1.90763e-10         4.23118e-13
             0.814464                1.90803e-10         4.11634e-13
             0.814697                1.89502e-10         4.02260e-13
             0.814930                1.89820e-10         4.14120e-13
             0.815163                1.89232e-10         4.28581e-13
             0.815396                1.89525e-10         4.49624e-13
             0.815629                1.89092e-10         4.30037e-13
             0.815862                1.88924e-10         4.10559e-13
             0.816095                1.89708e-10         4.05465e-13
             0.816328                1.89921e-10         4.07778e-13
             0.816561                1.89213e-10         4.23149e-13
             0.816794                1.89814e-10         4.38464e-13
             0.817027                1.89689e-10         4.43811e-13
             0.817259                1.89362e-10         4.26617e-13
             0.817492                1.88864e-10         4.04521e-13
             0.817725                1.89756e-10         4.01567e-13
             0.817958                1.88384e-10         4.06604e-13
             0.818191                1.87142e-10         4.22085e-13
             0.818424                1.81858e-10         4.26985e-13
             0.818657                1.80866e-10         4.14310e-13
             0.818890                1.86336e-10         4.10480e-13
             0.819123                1.87654e-10         3.99011e-13
             0.819356                1.86746e-10         3.97547e-13
             0.819589                1.78652e-10         3.87359e-13
             0.819822                1.76791e-10         3.95791e-13
             0.820055                1.81473e-10         4.22989e-13
             0.820287                1.82405e-10         4.04631e-13
             0.820520                1.85921e-10         3.96331e-13
             0.820753                1.86671e-10         3.88948e-13
             0.820986                1.84000e-10         3.84205e-13
             0.821219                1.84135e-10         3.97162e-13
             0.821452                1.81495e-10         4.11022e-13
             0.821685                1.82168e-10         4.15607e-13
             0.821917                1.85488e-10         4.05120e-13
             0.822150                1.80386e-10         3.88543e-13
             0.822383                1.81490e-10         3.80883e-13
             0.822616                1.86977e-10         4.00697e-13
             0.822849                1.88313e-10         4.17462e-13
             0.823081                1.86994e-10         4.38794e-13
             0.823314                1.85106e-10         4.20068e-13
             0.823547                1.84617e-10         4.04351e-13
             0.823780                1.87557e-10         4.07784e-13
             0.824013                1.86320e-10         3.90374e-13
             0.824245                1.85796e-10         3.94908e-13
             0.824478                1.86872e-10         4.13351e-13
             0.824711                1.87025e-10         4.23597e-13
             0.824944                1.82542e-10         3.98676e-13
             0.825176                1.81737e-10         3.83580e-13
             0.825409                1.84482e-10         3.83213e-13
             0.825642                1.85042e-10         3.86114e-13
             0.825875                1.85320e-10         4.01991e-13
             0.826107                1.85290e-10         4.10175e-13
             0.826340                1.85820e-10         4.15114e-13
             0.826573                1.84576e-10         3.92897e-13
             0.826806                1.84935e-10         3.85260e-13
             0.827038                1.84309e-10         3.79695e-13
             0.827271                1.84764e-10         3.89553e-13
             0.827504                1.84993e-10         4.01073e-13
             0.827736                1.83634e-10         4.20321e-13
             0.827969                1.84042e-10         3.99999e-13
             0.828202                1.84984e-10         3.91366e-13
             0.828434                1.85543e-10         3.85204e-13
             0.828667                1.85171e-10         3.83862e-13
             0.828900                1.84662e-10         3.89616e-13
             0.829132                1.83242e-10         4.01090e-13
             0.829365                1.82653e-10         4.02490e-13
             0.829598                1.82122e-10         3.89081e-13
             0.829830                1.82880e-10         3.79638e-13
             0.830063                1.83814e-10         3.77768e-13
             0.830296                1.83816e-10         3.78876e-13
             0.830528                1.83422e-10         4.00453e-13
             0.830761                1.82095e-10         3.97676e-13
             0.830993                1.80900e-10         3.88564e-13
             0.831226                1.80543e-10         3.77220e-13
             0.831459                1.81500e-10         3.89955e-13
             0.831691                1.83479e-10         3.73692e-13
             0.831924                1.83779e-10         3.84970e-13
             0.832156                1.83367e-10         4.08357e-13
             0.832389                1.82359e-10         3.99742e-13
             0.832622                1.81399e-10         3.90055e-13
             0.832854                1.75976e-10         3.63292e-13
             0.833087                1.76348e-10         3.62665e-13
             0.833319                1.77143e-10         3.62637e-13
             0.833552                1.75408e-10         3.65452e-13
             0.833784                1.75095e-10         3.73701e-13
             0.834017                1.75864e-10         3.98557e-13
             0.834249                1.78073e-10         3.74451e-13
             0.834482                1.80618e-10         3.68912e-13
             0.834714                1.78085e-10         3.79896e-13
             0.834947                1.78291e-10         3.67803e-13
             0.835180                1.80729e-10         3.74374e-13
             0.835412                1.81838e-10         4.09340e-13
             0.835644                1.81941e-10         3.85210e-13
             0.835877                1.81960e-10         3.77300e-13
             0.836110                1.80521e-10         3.66754e-13
             0.836342                1.79827e-10         3.65464e-13
             0.836574                1.78492e-10         3.63992e-13
             0.836807                1.78355e-10         3.69980e-13
             0.837039                1.80225e-10         3.84132e-13
             0.837272                1.80952e-10         3.75730e-13
             0.837504                1.80563e-10         3.69442e-13
             0.837737                1.81629e-10         3.67781e-13
             0.837969                1.80700e-10         3.64699e-13
             0.838202                1.79919e-10         3.67232e-13
             0.838434                1.78381e-10         3.71581e-13
             0.838666                1.77582e-10         3.73420e-13
             0.838899                1.73852e-10         3.57251e-13
             0.839131                1.74415e-10         3.57226e-13
             0.839364                1.80521e-10         3.71670e-13
             0.839596                1.81333e-10         3.67188e-13
             0.839829                1.79904e-10         4.01954e-13
             0.840061                1.78801e-10         3.73983e-13
             0.840293                1.78383e-10         3.70393e-13
             0.840526                1.78374e-10         3.61449e-13
             0.840758                1.78207e-10         3.57220e-13
             0.840990                1.78691e-10         3.57779e-13
             0.841223                1.79328e-10         3.65869e-13
             0.841455                1.78343e-10         3.80939e-13
             0.841688                1.78749e-10         3.78794e-13
             0.841920                1.79535e-10         3.71483e-13
             0.842152                1.78102e-10         3.59109e-13
             0.842385                1.76686e-10         3.52019e-13
             0.842617                1.75105e-10         3.49780e-13
             0.842849                1.74678e-10         3.50432e-13
