# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:43:35 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7599 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 13174'           /                                                
# SPTYPE  = 'F0 III-IVn'         / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Oct 16'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 16'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809131 / Minimum wavelength (um)                        
# MAXWAVE =              5.00932 / Maximum wavelength (um)                        
# V       =        4.98900000000 / V magnitude                                    
# VERR    =      0.0120000000000 / V magnitude error                              
# (B-V)   =       0.335000000000 / B-V color                                      
# (B-V)ERR=     0.00800000000000 / B-V color error                                
# J       =        4.44100000000 / 2MASS J magnitude                              
# JERR    =       0.308000000000 / 2MASS J magnitude error                        
# H       =        4.35700000000 / 2MASS H magnitude                              
# HERR    =       0.240000000000 / 2MASS H magnitude error                        
# KS      =        4.06200000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0360000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0353662000000 / Relative error in the absolute flux calibration
# RV      =       -29.9944180000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.370000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0350000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809131                1.72933e-10         2.49782e-13
             0.809334                1.72812e-10         2.51463e-13
             0.809536                1.72646e-10         2.50858e-13
             0.809738                1.72095e-10         2.50563e-13
             0.809940                1.71669e-10         2.52452e-13
             0.810143                1.72362e-10         2.51137e-13
             0.810345                1.72794e-10         2.52032e-13
             0.810547                1.73716e-10         2.54584e-13
             0.810750                1.73765e-10         2.53117e-13
             0.810952                1.73638e-10         2.55005e-13
             0.811154                1.73200e-10         2.54175e-13
             0.811356                1.73827e-10         2.56051e-13
             0.811559                1.73309e-10         2.55370e-13
             0.811761                1.73702e-10         2.55802e-13
             0.811963                1.73273e-10         2.55040e-13
             0.812166                1.72730e-10         2.55601e-13
             0.812368                1.72385e-10         2.55236e-13
             0.812433                1.72196e-10         2.17442e-13
             0.812666                1.72185e-10         2.30668e-13
             0.812900                1.71980e-10         2.20881e-13
             0.813133                1.71920e-10         2.10828e-13
             0.813366                1.71664e-10         2.06397e-13
             0.813600                1.71010e-10         2.07270e-13
             0.813833                1.71528e-10         2.14606e-13
             0.814067                1.71395e-10         2.22883e-13
             0.814300                1.71346e-10         2.28262e-13
             0.814533                1.71262e-10         2.16558e-13
             0.814767                1.70979e-10         2.07623e-13
             0.815000                1.70649e-10         2.06884e-13
             0.815233                1.70805e-10         2.11745e-13
             0.815467                1.70255e-10         2.17631e-13
             0.815700                1.70380e-10         2.29345e-13
             0.815933                1.70842e-10         2.21280e-13
             0.816167                1.70135e-10         2.10460e-13
             0.816400                1.69603e-10         2.08720e-13
             0.816633                1.69696e-10         2.11226e-13
             0.816867                1.70441e-10         2.14462e-13
             0.817100                1.69589e-10         2.22337e-13
             0.817333                1.69648e-10         2.25683e-13
             0.817566                1.70084e-10         2.11697e-13
             0.817800                1.69189e-10         2.05939e-13
             0.818033                1.67944e-10         2.06991e-13
             0.818266                1.66289e-10         2.07009e-13
             0.818499                1.64078e-10         2.09182e-13
             0.818733                1.64251e-10         2.17049e-13
             0.818966                1.65901e-10         2.14121e-13
             0.819199                1.66712e-10         2.07564e-13
             0.819432                1.64531e-10         1.99524e-13
             0.819665                1.62744e-10         1.97481e-13
             0.819898                1.61749e-10         2.01931e-13
             0.820132                1.62507e-10         2.10760e-13
             0.820365                1.64716e-10         2.16162e-13
             0.820598                1.66358e-10         2.09249e-13
             0.820831                1.67253e-10         1.99406e-13
             0.821064                1.67151e-10         1.99765e-13
             0.821297                1.65394e-10         1.97863e-13
             0.821531                1.64127e-10         2.05072e-13
             0.821764                1.63808e-10         2.11471e-13
             0.821997                1.63550e-10         2.06996e-13
             0.822230                1.63948e-10         1.99840e-13
             0.822463                1.64925e-10         1.96584e-13
             0.822696                1.66630e-10         1.98839e-13
             0.822929                1.66419e-10         2.09295e-13
             0.823162                1.66324e-10         2.21664e-13
             0.823395                1.66165e-10         2.21349e-13
             0.823628                1.65874e-10         2.08304e-13
             0.823861                1.66533e-10         2.00038e-13
             0.824094                1.66658e-10         1.96081e-13
             0.824327                1.66575e-10         1.97592e-13
             0.824560                1.65240e-10         2.02934e-13
             0.824793                1.63258e-10         2.09558e-13
             0.825027                1.61601e-10         2.04972e-13
             0.825259                1.61333e-10         1.93055e-13
             0.825493                1.62768e-10         1.91308e-13
             0.825725                1.63710e-10         1.92375e-13
             0.825958                1.64546e-10         1.98269e-13
             0.826191                1.65449e-10         2.06434e-13
             0.826424                1.65354e-10         2.12816e-13
             0.826657                1.65388e-10         2.00836e-13
             0.826890                1.65529e-10         1.94014e-13
             0.827123                1.65592e-10         1.91839e-13
             0.827356                1.65172e-10         1.95000e-13
             0.827589                1.64953e-10         2.01701e-13
             0.827822                1.64947e-10         2.09016e-13
             0.828055                1.65125e-10         2.06177e-13
             0.828288                1.64914e-10         1.99166e-13
             0.828521                1.65138e-10         1.95802e-13
             0.828754                1.65227e-10         1.92575e-13
             0.828986                1.63870e-10         1.98377e-13
             0.829219                1.63894e-10         2.02333e-13
             0.829452                1.63893e-10         2.05808e-13
             0.829685                1.63598e-10         1.99961e-13
             0.829918                1.64293e-10         1.93961e-13
             0.830151                1.63997e-10         1.93082e-13
             0.830384                1.64121e-10         1.92622e-13
             0.830616                1.63226e-10         1.99158e-13
             0.830849                1.63010e-10         2.01441e-13
             0.831082                1.62997e-10         1.99695e-13
             0.831315                1.62667e-10         1.92468e-13
             0.831548                1.63053e-10         1.89409e-13
             0.831780                1.63709e-10         1.88589e-13
             0.832013                1.63913e-10         1.92121e-13
             0.832246                1.62887e-10         1.96398e-13
             0.832479                1.62188e-10         2.03631e-13
             0.832712                1.60755e-10         1.94347e-13
             0.832944                1.59309e-10         1.89127e-13
             0.833177                1.57779e-10         1.82265e-13
             0.833410                1.56083e-10         1.80809e-13
             0.833643                1.54874e-10         1.83071e-13
             0.833875                1.55345e-10         1.87704e-13
             0.834108                1.57752e-10         1.93102e-13
             0.834341                1.59808e-10         1.90361e-13
             0.834574                1.60275e-10         1.83816e-13
             0.834806                1.60057e-10         1.83051e-13
             0.835039                1.60438e-10         1.83928e-13
             0.835272                1.61885e-10         1.91877e-13
             0.835504                1.62510e-10         1.96215e-13
             0.835737                1.61720e-10         1.92562e-13
             0.835970                1.61159e-10         1.86859e-13
             0.836202                1.60948e-10         1.83413e-13
             0.836435                1.61138e-10         1.83364e-13
             0.836668                1.61447e-10         1.86050e-13
             0.836900                1.61379e-10         1.89459e-13
             0.837133                1.61299e-10         1.94476e-13
             0.837365                1.61109e-10         1.89100e-13
             0.837598                1.60498e-10         1.83915e-13
             0.837831                1.60636e-10         1.82849e-13
             0.838063                1.61067e-10         1.85321e-13
             0.838296                1.61582e-10         1.86950e-13
             0.838528                1.60468e-10         1.89794e-13
             0.838761                1.58934e-10         1.89165e-13
             0.838994                1.57283e-10         1.82206e-13
             0.839226                1.57167e-10         1.77959e-13
             0.839459                1.58157e-10         1.78271e-13
             0.839691                1.59260e-10         1.82866e-13
             0.839924                1.60079e-10         1.84990e-13
             0.840156                1.60628e-10         1.89298e-13
             0.840389                1.61008e-10         1.87623e-13
             0.840621                1.60567e-10         1.81957e-13
             0.840854                1.59935e-10         1.79955e-13
             0.841087                1.59260e-10         1.79414e-13
             0.841319                1.58202e-10         1.80483e-13
             0.841551                1.57134e-10         1.82743e-13
             0.841784                1.57279e-10         1.85847e-13
             0.842017                1.58122e-10         1.82522e-13
             0.842249                1.59018e-10         1.84756e-13
             0.842481                1.59494e-10         1.77992e-13
             0.842714                1.59557e-10         1.79268e-13
             0.842946                1.59110e-10         1.81589e-13
             0.843179                1.59298e-10         1.85211e-13
             0.843411                1.57724e-10         1.83401e-13
             0.843644                1.55713e-10         1.78121e-13
             0.843876                1.53583e-10         1.75278e-13
             0.844109                1.53477e-10         1.73297e-13
             0.844341                1.53924e-10         1.77473e-13
             0.844573                1.52852e-10         1.78689e-13
             0.844806                1.51981e-10         1.82535e-13
             0.845038                1.53359e-10         1.79414e-13
             0.845271                1.56662e-10         1.77951e-13
             0.845503                1.58978e-10         1.77352e-13
             0.845735                1.58844e-10         1.76170e-13
             0.845968                1.58328e-10         1.77930e-13
             0.846200                1.57057e-10         1.79981e-13
             0.846433                1.54902e-10         1.80515e-13
             0.846665                1.51167e-10         1.73175e-13
             0.846897                1.48648e-10         1.67658e-13
             0.847130                1.48714e-10         1.67065e-13
             0.847362                1.51163e-10         1.70194e-13
             0.847594                1.54477e-10         1.75196e-13
             0.847827                1.56192e-10         1.79540e-13
             0.848059                1.56824e-10         1.78668e-13
             0.848291                1.57605e-10         1.75916e-13
             0.848523                1.57546e-10         1.72943e-13
             0.848756                1.57908e-10         1.72493e-13
             0.848988                1.57531e-10         1.74420e-13
             0.849220                1.56404e-10         1.76306e-13
             0.849453                1.52393e-10         1.75814e-13
             0.849685                1.43457e-10         1.65209e-13
             0.849917                1.33591e-10         1.54912e-13
             0.850149                1.29044e-10         1.49399e-13
             0.850382                1.32849e-10         1.53263e-13
             0.850614                1.40499e-10         1.60692e-13
             0.850846                1.46010e-10         1.67753e-13
             0.851078                1.49621e-10         1.73788e-13
             0.851311                1.51276e-10         1.70451e-13
             0.851543                1.52282e-10         1.67958e-13
             0.851775                1.53325e-10         1.67431e-13
             0.852007                1.54478e-10         1.68302e-13
             0.852239                1.55820e-10         1.72077e-13
             0.852472                1.55888e-10         1.73281e-13
             0.852704                1.55306e-10         1.72730e-13
             0.852936                1.55006e-10         1.70203e-13
             0.853168                1.53889e-10         1.67329e-13
             0.853400                1.52386e-10         1.66605e-13
             0.853633                1.48720e-10         1.64335e-13
             0.853865                1.40202e-10         1.58669e-13
             0.854097                1.25226e-10         1.46600e-13
             0.854329                1.10998e-10         1.31133e-13
             0.854561                1.08409e-10         1.27482e-13
             0.854793                1.19076e-10         1.35723e-13
             0.855025                1.33546e-10         1.48316e-13
             0.855258                1.42874e-10         1.57909e-13
             0.855490                1.47170e-10         1.63793e-13
             0.855722                1.48623e-10         1.67017e-13
             0.855954                1.50617e-10         1.66399e-13
             0.856186                1.52306e-10         1.65469e-13
             0.856418                1.53673e-10         1.65410e-13
             0.856650                1.54467e-10         1.65942e-13
             0.856882                1.55318e-10         1.68210e-13
             0.857114                1.55023e-10         1.69751e-13
             0.857346                1.55079e-10         1.70247e-13
             0.857578                1.54810e-10         1.67448e-13
             0.857811                1.55042e-10         1.66201e-13
             0.858043                1.54107e-10         1.64433e-13
             0.858275                1.53406e-10         1.66220e-13
             0.858507                1.51701e-10         1.66177e-13
             0.858739                1.50834e-10         1.67283e-13
             0.858971                1.49641e-10         1.65311e-13
             0.859203                1.48508e-10         1.62206e-13
             0.859435                1.44818e-10         1.57485e-13
             0.859667                1.40044e-10         1.52794e-13
             0.859899                1.35828e-10         1.49434e-13
             0.860131                1.35129e-10         1.49930e-13
             0.860363                1.38250e-10         1.54003e-13
             0.860595                1.42742e-10         1.56790e-13
             0.860827                1.46178e-10         1.58167e-13
             0.861059                1.47988e-10         1.58896e-13
             0.861291                1.48288e-10         1.58935e-13
             0.861523                1.49857e-10         1.60773e-13
             0.861755                1.50195e-10         1.62071e-13
             0.861987                1.51718e-10         1.64575e-13
             0.862219                1.52459e-10         1.63393e-13
             0.862451                1.52604e-10         1.60413e-13
             0.862682                1.52702e-10         1.60050e-13
             0.862914                1.52779e-10         1.59915e-13
             0.863146                1.52785e-10         1.61699e-13
             0.863378                1.52953e-10         1.63122e-13
             0.863610                1.53485e-10         1.63826e-13
             0.863842                1.53987e-10         1.62051e-13
             0.864074                1.54248e-10         1.61885e-13
             0.864306                1.53650e-10         1.60825e-13
             0.864538                1.52789e-10         1.61382e-13
             0.864770                1.50678e-10         1.59594e-13
             0.865001                1.49131e-10         1.61636e-13
             0.865233                1.48009e-10         1.61437e-13
             0.865465                1.46651e-10         1.58427e-13
             0.865697                1.44196e-10         1.55002e-13
             0.865929                1.36015e-10         1.47517e-13
             0.866161                1.21710e-10         1.35425e-13
             0.866393                1.09889e-10         1.25727e-13
             0.866624                1.08374e-10         1.24756e-13
             0.866856                1.17478e-10         1.32766e-13
             0.867088                1.29202e-10         1.41991e-13
             0.867320                1.36328e-10         1.47320e-13
             0.867552                1.41301e-10         1.51466e-13
             0.867784                1.43892e-10         1.54346e-13
             0.868015                1.44740e-10         1.56171e-13
             0.868247                1.45252e-10         1.57717e-13
             0.868479                1.46895e-10         1.57671e-13
             0.868711                1.47101e-10         1.56676e-13
             0.868943                1.47295e-10         1.56387e-13
             0.869174                1.46635e-10         1.53641e-13
             0.869406                1.47255e-10         1.54704e-13
             0.869638                1.48086e-10         1.56491e-13
             0.869870                1.48988e-10         1.57999e-13
             0.870101                1.49761e-10         1.56339e-13
             0.870333                1.50555e-10         1.55614e-13
             0.870565                1.50853e-10         1.55644e-13
             0.870797                1.50811e-10         1.54767e-13
             0.871028                1.50022e-10         1.54833e-13
             0.871260                1.49435e-10         1.55633e-13
             0.871492                1.49191e-10         1.55423e-13
             0.871724                1.50024e-10         1.56275e-13
             0.871955                1.50731e-10         1.55880e-13
             0.872187                1.51518e-10         1.55418e-13
             0.872419                1.52414e-10         1.57828e-13
             0.872650                1.51780e-10         1.58157e-13
             0.872882                1.50397e-10         1.59643e-13
             0.873114                1.48952e-10         1.58287e-13
             0.873345                1.47866e-10         1.57817e-13
             0.873577                1.46765e-10         1.56722e-13
             0.873809                1.44934e-10         1.54608e-13
             0.874041                1.44002e-10         1.54292e-13
             0.874272                1.41873e-10         1.52949e-13
             0.874504                1.39389e-10         1.51833e-13
             0.874735                1.35289e-10         1.47925e-13
             0.874967                1.29087e-10         1.40821e-13
             0.875199                1.24482e-10         1.36043e-13
             0.875430                1.24606e-10         1.35856e-13
             0.875662                1.29147e-10         1.40102e-13
             0.875894                1.36301e-10         1.46991e-13
             0.876125                1.40309e-10         1.51580e-13
             0.876357                1.42672e-10         1.52979e-13
             0.876589                1.44544e-10         1.53597e-13
             0.876820                1.45913e-10         1.53902e-13
             0.877052                1.46786e-10         1.54399e-13
             0.877283                1.47331e-10         1.55177e-13
             0.877515                1.47537e-10         1.56413e-13
             0.877747                1.48218e-10         1.55943e-13
             0.877978                1.49624e-10         1.56030e-13
             0.878210                1.49989e-10         1.54781e-13
             0.878441                1.50103e-10         1.55815e-13
             0.878673                1.50220e-10         1.53415e-13
             0.878904                1.49618e-10         1.52555e-13
             0.879136                1.48672e-10         1.52685e-13
             0.879368                1.47675e-10         1.52177e-13
             0.879599                1.47856e-10         1.51230e-13
             0.879831                1.49231e-10         1.52257e-13
             0.880062                1.50267e-10         1.52718e-13
             0.880294                1.50375e-10         1.53519e-13
             0.880525                1.47997e-10         1.50700e-13
             0.880757                1.45189e-10         1.49743e-13
             0.880988                1.44349e-10         1.48978e-13
             0.881220                1.46390e-10         1.56979e-13
