# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:11 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7614 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 165908'          /                                                
# SPTYPE  = 'F9 V metal weak'    / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Aug 10'        / UT date of SXD observations                    
# LXDUT   = '2003 Aug 10'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809962 / Minimum wavelength (um)                        
# MAXWAVE =              4.99708 / Maximum wavelength (um)                        
# V       =        5.04600000000 / V magnitude                                    
# VERR    =      0.0120000000000 / V magnitude error                              
# (B-V)   =       0.519000000000 / B-V color                                      
# (B-V)ERR=     0.00900000000000 / B-V color error                                
# J       =        3.45900000000 / 2MASS J magnitude                              
# JERR    =       0.198000000000 / 2MASS J magnitude error                        
# H       =        3.24200000000 / 2MASS H magnitude                              
# HERR    =       0.190000000000 / 2MASS H magnitude error                        
# KS      =        3.10700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.230000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.117760000000 / Relative error in the absolute flux calibration
# RV      =        13.0924190000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.560000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0410000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809962                3.77321e-10         6.49622e-13
             0.810165                3.77067e-10         6.49816e-13
             0.810367                3.77301e-10         6.53122e-13
             0.810569                3.81713e-10         6.54407e-13
             0.810772                3.79933e-10         6.57699e-13
             0.810974                3.78915e-10         6.55993e-13
             0.811177                3.78260e-10         6.55812e-13
             0.811379                3.80499e-10         6.59497e-13
             0.811581                3.79949e-10         6.61849e-13
             0.811784                3.77612e-10         6.56868e-13
             0.811986                3.80466e-10         6.63184e-13
             0.812189                3.78762e-10         6.59881e-13
             0.812391                3.79335e-10         6.67855e-13
             0.812593                3.77915e-10         6.67819e-13
             0.812796                3.78029e-10         6.65725e-13
             0.812968                3.78098e-10         5.40526e-13
             0.813201                3.77877e-10         5.35627e-13
             0.813435                3.77643e-10         5.45127e-13
             0.813668                3.76476e-10         5.70111e-13
             0.813901                3.78001e-10         5.98958e-13
             0.814134                3.77220e-10         5.81934e-13
             0.814367                3.76864e-10         5.57996e-13
             0.814600                3.76258e-10         5.39829e-13
             0.814833                3.75139e-10         5.38332e-13
             0.815066                3.74958e-10         5.55762e-13
             0.815299                3.75333e-10         5.79943e-13
             0.815532                3.74452e-10         6.02144e-13
             0.815765                3.74531e-10         5.71554e-13
             0.815998                3.75466e-10         5.46838e-13
             0.816231                3.74702e-10         5.40036e-13
             0.816464                3.72450e-10         5.54295e-13
             0.816697                3.74677e-10         5.75414e-13
             0.816930                3.73692e-10         5.88275e-13
             0.817163                3.72771e-10         5.86977e-13
             0.817396                3.73460e-10         5.55364e-13
             0.817629                3.74998e-10         5.33975e-13
             0.817862                3.73667e-10         5.37363e-13
             0.818095                3.72543e-10         5.58112e-13
             0.818328                3.69573e-10         5.66333e-13
             0.818561                3.62388e-10         5.78719e-13
             0.818794                3.65645e-10         5.56815e-13
             0.819026                3.69589e-10         5.44086e-13
             0.819259                3.70870e-10         5.34376e-13
             0.819492                3.66494e-10         5.28930e-13
             0.819725                3.57976e-10         5.36315e-13
             0.819958                3.60652e-10         5.56146e-13
             0.820191                3.65631e-10         5.75364e-13
             0.820424                3.69183e-10         5.52255e-13
             0.820657                3.70524e-10         5.22899e-13
             0.820890                3.69883e-10         5.24004e-13
             0.821122                3.67305e-10         5.17807e-13
             0.821355                3.66016e-10         5.33648e-13
             0.821588                3.62930e-10         5.55584e-13
             0.821821                3.65993e-10         5.44699e-13
             0.822054                3.66655e-10         5.29619e-13
             0.822287                3.63886e-10         5.14083e-13
             0.822520                3.66187e-10         5.15356e-13
             0.822752                3.70564e-10         5.37395e-13
             0.822985                3.68261e-10         5.72316e-13
             0.823218                3.67846e-10         5.98334e-13
             0.823451                3.66037e-10         5.55490e-13
             0.823684                3.68499e-10         5.28287e-13
             0.823916                3.68710e-10         5.14294e-13
             0.824149                3.67258e-10         5.12130e-13
             0.824382                3.67229e-10         5.25113e-13
             0.824615                3.67085e-10         5.49852e-13
             0.824848                3.65854e-10         5.53837e-13
             0.825080                3.60978e-10         5.12834e-13
             0.825313                3.61027e-10         5.02275e-13
             0.825546                3.65443e-10         5.04812e-13
             0.825779                3.63933e-10         5.13087e-13
             0.826011                3.62241e-10         5.32034e-13
             0.826244                3.65342e-10         5.61238e-13
             0.826477                3.63521e-10         5.37257e-13
             0.826709                3.62752e-10         5.08675e-13
             0.826942                3.64318e-10         4.99319e-13
             0.827175                3.63602e-10         5.01179e-13
             0.827408                3.63748e-10         5.17934e-13
             0.827640                3.61977e-10         5.36593e-13
             0.827873                3.62862e-10         5.45544e-13
             0.828106                3.62874e-10         5.23363e-13
             0.828338                3.61842e-10         5.09110e-13
             0.828571                3.63497e-10         5.05219e-13
             0.828804                3.63330e-10         5.13923e-13
             0.829036                3.61079e-10         5.20314e-13
             0.829269                3.62871e-10         5.37516e-13
             0.829502                3.59488e-10         5.24668e-13
             0.829734                3.58751e-10         5.10578e-13
             0.829967                3.61365e-10         5.00820e-13
             0.830200                3.60716e-10         4.94090e-13
             0.830432                3.60729e-10         5.15561e-13
             0.830665                3.58721e-10         5.17594e-13
             0.830897                3.57325e-10         5.30561e-13
             0.831130                3.59193e-10         5.08612e-13
             0.831363                3.56838e-10         4.93311e-13
             0.831595                3.59566e-10         4.89705e-13
             0.831828                3.59148e-10         4.91505e-13
             0.832060                3.59460e-10         5.03540e-13
             0.832293                3.57472e-10         5.19754e-13
             0.832525                3.59567e-10         5.22792e-13
             0.832758                3.54908e-10         5.04669e-13
             0.832991                3.50369e-10         4.80527e-13
             0.833223                3.52853e-10         4.80326e-13
             0.833456                3.51876e-10         4.84902e-13
             0.833688                3.48566e-10         4.90115e-13
             0.833921                3.49763e-10         5.06598e-13
             0.834153                3.52030e-10         5.18266e-13
             0.834386                3.54905e-10         4.87922e-13
             0.834618                3.54607e-10         4.78983e-13
             0.834851                3.51680e-10         4.73360e-13
             0.835083                3.53147e-10         4.91322e-13
             0.835316                3.55742e-10         4.97311e-13
             0.835548                3.55756e-10         5.06357e-13
             0.835781                3.55582e-10         4.92122e-13
             0.836013                3.53909e-10         4.80316e-13
             0.836246                3.53717e-10         4.74975e-13
             0.836478                3.53379e-10         4.76637e-13
             0.836711                3.51948e-10         4.80358e-13
             0.836943                3.52247e-10         4.91761e-13
