# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:44:02 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6841 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 164136'          /                                                
# SPTYPE  = 'kA9hF2mF2 (IV)'     / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2005 Oct 06'        / UT date of SXD observations                    
# LXDUT   = '2001 Sep 01'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806047 / Minimum wavelength (um)                        
# MAXWAVE =              4.07860 / Maximum wavelength (um)                        
# V       =        4.41100000000 / V magnitude                                    
# VERR    =      0.0100000000000 / V magnitude error                              
# (B-V)   =       0.383000000000 / B-V color                                      
# (B-V)ERR=      0.0100000000000 / B-V color error                                
# J       =        2.96700000000 / 2MASS J magnitude                              
# JERR    =       0.172000000000 / 2MASS J magnitude error                        
# H       =        2.82300000000 / 2MASS H magnitude                              
# HERR    =       0.168000000000 / 2MASS H magnitude error                        
# KS      =        2.77100000000 / 2MASS Ks magnitude                             
# KSERR   =       0.214000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCC     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.104789000000 / Relative error in the absolute flux calibration
# RV      =       -3.42418970000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.370000000000 / Intrinsic Color                                
# E(B-V)  =      0.0130000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806047                5.24099e-10         8.18172e-13
             0.806249                5.23641e-10         8.26381e-13
             0.806452                5.22715e-10         8.21357e-13
             0.806654                5.24346e-10         8.28474e-13
             0.806857                5.24094e-10         8.25411e-13
             0.807059                5.23437e-10         8.23132e-13
             0.807261                5.21634e-10         8.24223e-13
             0.807464                5.21609e-10         8.26940e-13
             0.807666                5.23102e-10         8.24056e-13
             0.807869                5.21663e-10         8.28313e-13
             0.808071                5.21647e-10         8.30324e-13
             0.808274                5.20024e-10         8.24490e-13
             0.808476                5.19136e-10         8.28407e-13
             0.808679                5.15095e-10         8.22873e-13
             0.808881                5.16227e-10         8.21623e-13
             0.809083                5.20915e-10         9.01711e-13
             0.809286                5.19728e-10         8.29719e-13
             0.809354                5.17897e-10         7.39689e-13
             0.809587                5.16609e-10         7.81253e-13
             0.809821                5.17326e-10         7.43652e-13
             0.810054                5.15200e-10         7.03254e-13
             0.810287                5.15429e-10         6.84104e-13
             0.810521                5.17847e-10         6.98693e-13
             0.810754                5.17705e-10         7.19167e-13
             0.810987                5.16575e-10         7.45438e-13
             0.811221                5.17027e-10         7.60461e-13
             0.811454                5.16017e-10         7.19944e-13
             0.811687                5.16433e-10         6.90717e-13
             0.811921                5.16698e-10         6.82800e-13
             0.812154                5.14738e-10         6.90848e-13
             0.812387                5.14598e-10         7.20421e-13
             0.812621                5.13785e-10         7.59506e-13
             0.812854                5.14420e-10         7.32418e-13
             0.813087                5.14060e-10         6.98561e-13
             0.813320                5.12023e-10         6.76255e-13
             0.813554                5.10545e-10         6.75637e-13
             0.813787                5.13567e-10         7.15466e-13
             0.814020                5.13405e-10         7.34283e-13
             0.814253                5.11724e-10         7.47196e-13
             0.814487                5.11754e-10         7.11803e-13
             0.814720                5.11746e-10         6.89949e-13
             0.814953                5.09417e-10         6.71148e-13
             0.815186                5.10468e-10         6.83651e-13
             0.815419                5.09812e-10         7.07341e-13
             0.815653                5.09463e-10         7.44827e-13
             0.815886                5.09399e-10         7.35649e-13
             0.816119                5.10246e-10         6.95254e-13
             0.816352                5.08664e-10         6.80569e-13
             0.816585                5.05914e-10         6.79091e-13
             0.816819                5.07540e-10         6.95184e-13
             0.817052                5.06503e-10         7.31762e-13
             0.817285                5.05199e-10         7.41257e-13
             0.817518                5.07748e-10         7.06450e-13
             0.817751                5.05881e-10         6.77857e-13
             0.817984                5.04859e-10         6.74359e-13
             0.818217                5.01035e-10         6.77614e-13
             0.818450                4.84928e-10         6.75533e-13
             0.818684                4.83142e-10         6.98896e-13
             0.818917                4.95009e-10         7.07698e-13
             0.819150                5.01110e-10         6.89952e-13
