# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:18 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7612 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 185018'          /                                                
# SPTYPE  = 'G0 Ib-II'           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 11'        / UT date of SXD observations                    
# LXDUT   = '2003 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807847 / Minimum wavelength (um)                        
# MAXWAVE =              5.01632 / Maximum wavelength (um)                        
# V       =        5.97800000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =       0.881000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.36400000000 / 2MASS J magnitude                              
# JERR    =       0.242000000000 / 2MASS J magnitude error                        
# H       =        3.92500000000 / 2MASS H magnitude                              
# HERR    =       0.216000000000 / 2MASS H magnitude error                        
# KS      =        3.95300000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0360000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0351340000000 / Relative error in the absolute flux calibration
# RV      =        38.6683410000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.770000000000 / Intrinsic Color                                
# E(B-V)  =       0.111000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807847                1.30794e-10         2.92883e-13
             0.808050                1.31529e-10         2.92409e-13
             0.808252                1.30360e-10         2.93362e-13
             0.808455                1.29704e-10         2.91873e-13
             0.808657                1.27910e-10         2.89715e-13
             0.808860                1.28200e-10         2.89249e-13
             0.809062                1.30322e-10         2.93205e-13
             0.809265                1.29423e-10         3.04687e-13
             0.809467                1.27082e-10         2.90167e-13
             0.809670                1.27675e-10         2.90092e-13
             0.809872                1.28408e-10         2.95139e-13
             0.810075                1.27811e-10         2.92809e-13
             0.810277                1.29955e-10         2.95908e-13
             0.810480                1.31246e-10         2.98339e-13
             0.810682                1.29921e-10         2.97171e-13
             0.810809                1.29812e-10         2.58491e-13
             0.811042                1.30017e-10         2.48132e-13
             0.811275                1.30590e-10         2.41356e-13
             0.811508                1.30919e-10         2.42651e-13
             0.811741                1.30210e-10         2.48273e-13
             0.811974                1.30273e-10         2.59306e-13
             0.812207                1.30404e-10         2.67629e-13
             0.812440                1.30592e-10         2.55341e-13
             0.812673                1.30458e-10         2.44262e-13
             0.812906                1.29518e-10         2.37807e-13
             0.813139                1.29652e-10         2.41565e-13
             0.813372                1.29945e-10         2.58030e-13
             0.813605                1.29836e-10         2.62558e-13
             0.813838                1.29961e-10         2.66887e-13
             0.814071                1.30131e-10         2.48740e-13
             0.814304                1.29428e-10         2.44157e-13
             0.814537                1.29002e-10         2.37022e-13
             0.814770                1.29371e-10         2.42888e-13
             0.815003                1.28870e-10         2.52051e-13
             0.815236                1.29043e-10         2.63188e-13
             0.815469                1.29656e-10         2.54049e-13
             0.815702                1.29487e-10         2.42726e-13
             0.815934                1.29920e-10         2.37564e-13
             0.816167                1.29573e-10         2.38377e-13
             0.816400                1.28836e-10         2.46968e-13
             0.816633                1.28496e-10         2.55891e-13
             0.816866                1.28952e-10         2.59953e-13
             0.817099                1.28434e-10         2.59082e-13
             0.817332                1.28810e-10         2.38442e-13
             0.817565                1.28260e-10         2.33331e-13
             0.817798                1.28753e-10         2.38786e-13
             0.818030                1.28188e-10         2.49080e-13
             0.818263                1.26664e-10         2.54748e-13
             0.818496                1.22138e-10         2.41867e-13
             0.818729                1.23007e-10         2.34699e-13
             0.818962                1.26870e-10         2.56118e-13
             0.819195                1.28691e-10         2.35279e-13
             0.819428                1.26592e-10         2.40263e-13
             0.819660                1.20574e-10         2.36545e-13
             0.819893                1.21178e-10         2.46680e-13
             0.820126                1.24573e-10         2.40237e-13
             0.820359                1.25486e-10         2.32043e-13
             0.820592                1.27113e-10         2.28842e-13
             0.820824                1.26727e-10         2.28758e-13
