# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:41 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4132 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 39949'           /                                                
# SPTYPE  = 'G2 Ib   '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 12'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.806393 / Minimum wavelength (um)                        
# MAXWAVE =              2.41153 / Maximum wavelength (um)                        
# V       =        7.22500000000 / V magnitude                                    
# VERR    =     0.00500000000000 / V magnitude error                              
# (B-V)   =        1.09000000000 / B-V color                                      
# (B-V)ERR=      0.0100000000000 / B-V color error                                
# J       =        5.27900000000 / 2MASS J magnitude                              
# JERR    =      0.0350000000000 / 2MASS J magnitude error                        
# H       =        4.81400000000 / 2MASS H magnitude                              
# HERR    =      0.0360000000000 / 2MASS H magnitude error                        
# KS      =        4.66400000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0160000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'EEA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0134911000000 / Relative error in the absolute flux calibration
# RV      =       -31.9879880000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.880000000000 / Intrinsic Color                                
# E(B-V)  =       0.210000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806393                6.34464e-11         1.25278e-13
             0.806595                6.39433e-11         1.20172e-13
             0.806798                6.39552e-11         1.21197e-13
             0.807000                6.31564e-11         1.19713e-13
             0.807202                6.21707e-11         1.18596e-13
             0.807405                6.15163e-11         1.18751e-13
             0.807607                6.16548e-11         1.21858e-13
             0.807810                6.23973e-11         1.19067e-13
             0.808012                6.32225e-11         1.20905e-13
             0.808215                6.25326e-11         1.19333e-13
             0.808417                6.21568e-11         1.19781e-13
             0.808620                6.12972e-11         1.18626e-13
             0.808822                6.12244e-11         1.19024e-13
             0.809025                6.27064e-11         1.20376e-13
             0.809227                6.20141e-11         1.19752e-13
             0.809429                6.02929e-11         1.17592e-13
             0.809554                6.02997e-11         1.05442e-13
             0.809787                6.11098e-11         1.01033e-13
             0.810020                6.10864e-11         9.86180e-14
             0.810254                6.22231e-11         9.94365e-14
             0.810487                6.24472e-11         1.02189e-13
             0.810720                6.18327e-11         1.06187e-13
             0.810953                6.18572e-11         1.10240e-13
             0.811187                6.20892e-11         1.04803e-13
             0.811420                6.19937e-11         1.00236e-13
             0.811653                6.17678e-11         9.84915e-14
             0.811886                6.19177e-11         9.95758e-14
             0.812120                6.20800e-11         1.03389e-13
             0.812353                6.23388e-11         1.08959e-13
             0.812586                6.22372e-11         1.08350e-13
             0.812819                6.17977e-11         1.02085e-13
             0.813053                6.19010e-11         9.88640e-14
             0.813286                6.20017e-11         9.88926e-14
             0.813519                6.22237e-11         1.01815e-13
             0.813752                6.21415e-11         1.07092e-13
             0.813985                6.19812e-11         1.17854e-13
             0.814219                6.18954e-11         1.04734e-13
             0.814452                6.16419e-11         1.00797e-13
             0.814685                6.20620e-11         9.86967e-14
             0.814918                6.17192e-11         9.98994e-14
             0.815151                6.15017e-11         1.03285e-13
             0.815384                6.18842e-11         1.08008e-13
             0.815618                6.18985e-11         1.08523e-13
             0.815851                6.20885e-11         1.03472e-13
             0.816084                6.26077e-11         1.00152e-13
             0.816317                6.14191e-11         9.90682e-14
             0.816550                6.13732e-11         1.06442e-13
             0.816783                6.22104e-11         1.10463e-13
             0.817016                6.17626e-11         1.10457e-13
             0.817249                6.16623e-11         1.06269e-13
             0.817482                6.18431e-11         1.00460e-13
             0.817715                6.16960e-11         9.70288e-14
             0.817948                6.14823e-11         9.99371e-14
             0.818182                6.10084e-11         1.05314e-13
             0.818415                5.88053e-11         1.03765e-13
             0.818648                5.84439e-11         1.02680e-13
             0.818881                6.01787e-11         1.00458e-13
             0.819114                6.15270e-11         9.91176e-14
             0.819347                6.17427e-11         9.83401e-14
             0.819580                5.80252e-11         9.51550e-14
             0.819813                5.72925e-11         9.68167e-14
             0.820046                5.90508e-11         1.03650e-13
             0.820279                5.96726e-11         1.01733e-13
             0.820512                6.06000e-11         9.70676e-14
             0.820745                6.10084e-11         9.43143e-14
             0.820978                6.05562e-11         9.38230e-14
             0.821211                6.05749e-11         9.57456e-14
             0.821444                5.98941e-11         9.95146e-14
             0.821677                5.99790e-11         1.02051e-13
             0.821909                6.07609e-11         9.88900e-14
             0.822142                5.93462e-11         9.81687e-14
             0.822375                5.91066e-11         9.30824e-14
             0.822608                6.16754e-11         9.70570e-14
             0.822841                6.20909e-11         1.02144e-13
             0.823074                6.12642e-11         1.10039e-13
             0.823307                6.08200e-11         1.08347e-13
             0.823540                6.09203e-11         1.02857e-13
             0.823773                6.14436e-11         9.81827e-14
             0.824006                6.09928e-11         9.43260e-14
             0.824239                6.12345e-11         9.57724e-14
             0.824471                6.12425e-11         1.01629e-13
             0.824704                6.14358e-11         1.03551e-13
             0.824937                5.99203e-11         9.71831e-14
             0.825170                5.92334e-11         9.29929e-14
             0.825403                6.05859e-11         9.32040e-14
             0.825636                6.08452e-11         9.32110e-14
             0.825868                6.08319e-11         9.66280e-14
             0.826101                6.13568e-11         1.00223e-13
             0.826334                6.17181e-11         1.01453e-13
             0.826567                6.12607e-11         9.65023e-14
             0.826800                6.07869e-11         9.35520e-14
             0.827033                6.10525e-11         9.20332e-14
             0.827265                6.15215e-11         9.54410e-14
             0.827498                6.06474e-11         9.66694e-14
             0.827731                6.02011e-11         1.02768e-13
             0.827964                6.07551e-11         9.88581e-14
             0.828196                6.14360e-11         9.62613e-14
             0.828429                6.11316e-11         9.42178e-14
             0.828662                6.11106e-11         9.30668e-14
             0.828895                6.04476e-11         9.37249e-14
             0.829127                6.03298e-11         9.78525e-14
             0.829360                6.06192e-11         9.89662e-14
             0.829593                5.98852e-11         9.68918e-14
             0.829826                5.99547e-11         9.28715e-14
             0.830058                6.02165e-11         9.10360e-14
             0.830291                6.04626e-11         9.16272e-14
             0.830524                6.04680e-11         9.88556e-14
             0.830756                5.95965e-11         9.69392e-14
             0.830989                5.98113e-11         9.82669e-14
             0.831222                5.93083e-11         9.16289e-14
             0.831454                5.95182e-11         9.00744e-14
             0.831687                6.02512e-11         9.22859e-14
             0.831920                6.03713e-11         9.22200e-14
             0.832152                6.01618e-11         9.44002e-14
             0.832385                5.98121e-11         9.74377e-14
             0.832618                5.93892e-11         9.43933e-14
             0.832850                5.71300e-11         8.80089e-14
             0.833083                5.74831e-11         8.86494e-14
             0.833316                5.75488e-11         8.77670e-14
             0.833548                5.63600e-11         8.75279e-14
             0.833781                5.72928e-11         9.07633e-14
             0.834013                5.76022e-11         9.21391e-14
             0.834246                5.87237e-11         9.27017e-14
             0.834479                5.95105e-11         8.94104e-14
             0.834711                5.85763e-11         8.96868e-14
             0.834944                5.83008e-11         8.78082e-14
             0.835176                5.95305e-11         8.99185e-14
             0.835409                6.04212e-11         9.32787e-14
             0.835641                6.03564e-11         9.27058e-14
             0.835874                5.98162e-11         9.02383e-14
             0.836106                5.90854e-11         8.79025e-14
             0.836339                5.89889e-11         8.80855e-14
             0.836572                5.89170e-11         8.77564e-14
             0.836804                5.88314e-11         8.97190e-14
