# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:38 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4132 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 42454'           /                                                
# SPTYPE  = 'G2 Ib   '           / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 12'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.806406 / Minimum wavelength (um)                        
# MAXWAVE =              2.41157 / Maximum wavelength (um)                        
# V       =        7.36100000000 / V magnitude                                    
# VERR    =      0.0140000000000 / V magnitude error                              
# (B-V)   =        1.23200000000 / B-V color                                      
# (B-V)ERR=      0.0310000000000 / B-V color error                                
# J       =        5.12100000000 / 2MASS J magnitude                              
# JERR    =      0.0370000000000 / 2MASS J magnitude error                        
# H       =        4.69300000000 / 2MASS H magnitude                              
# HERR    =      0.0360000000000 / 2MASS H magnitude error                        
# KS      =        4.59800000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0550000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'EEE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0233594000000 / Relative error in the absolute flux calibration
# RV      =       -36.8618340000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.880000000000 / Intrinsic Color                                
# E(B-V)  =       0.352000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806406                8.46232e-11         1.61495e-13
             0.806608                8.51129e-11         1.54379e-13
             0.806811                8.48053e-11         1.55298e-13
             0.807013                8.39790e-11         1.53684e-13
             0.807216                8.28886e-11         1.52458e-13
             0.807418                8.22959e-11         1.52774e-13
             0.807621                8.22168e-11         1.56912e-13
             0.807823                8.32846e-11         1.53129e-13
             0.808025                8.43248e-11         1.55408e-13
             0.808228                8.32847e-11         1.53134e-13
             0.808430                8.28521e-11         1.53971e-13
             0.808633                8.12557e-11         1.51865e-13
             0.808835                8.13025e-11         1.52372e-13
             0.809038                8.33758e-11         1.54372e-13
             0.809240                8.27962e-11         1.54011e-13
             0.809443                8.07075e-11         1.51365e-13
             0.809567                8.03595e-11         1.34954e-13
             0.809800                8.11811e-11         1.29315e-13
             0.810034                8.13130e-11         1.26343e-13
             0.810267                8.27470e-11         1.27344e-13
             0.810500                8.34095e-11         1.31224e-13
             0.810733                8.26949e-11         1.36334e-13
             0.810967                8.25980e-11         1.41294e-13
             0.811200                8.28481e-11         1.38452e-13
             0.811433                8.26029e-11         1.28548e-13
             0.811666                8.23096e-11         1.26309e-13
             0.811900                8.25287e-11         1.32765e-13
             0.812133                8.26861e-11         1.32441e-13
             0.812366                8.28154e-11         1.39376e-13
             0.812599                8.25664e-11         1.38456e-13
             0.812833                8.24833e-11         1.30964e-13
             0.813066                8.24445e-11         1.26669e-13
             0.813299                8.25030e-11         1.26589e-13
             0.813532                8.27429e-11         1.30321e-13
             0.813766                8.28650e-11         1.37636e-13
             0.813999                8.28372e-11         1.41392e-13
             0.814232                8.25320e-11         1.34833e-13
             0.814465                8.19660e-11         1.28931e-13
             0.814698                8.22567e-11         1.26070e-13
             0.814931                8.20196e-11         1.27678e-13
             0.815164                8.20829e-11         1.32369e-13
             0.815398                8.23213e-11         1.38145e-13
             0.815631                8.26160e-11         1.39129e-13
             0.815864                8.26870e-11         1.32443e-13
             0.816097                8.29796e-11         1.27808e-13
             0.816330                8.19207e-11         1.26929e-13
             0.816563                8.16093e-11         1.32292e-13
             0.816796                8.28483e-11         1.37528e-13
             0.817029                8.21892e-11         1.41258e-13
             0.817263                8.18811e-11         1.35716e-13
             0.817496                8.23643e-11         1.28611e-13
             0.817729                8.18528e-11         1.23950e-13
             0.817962                8.16607e-11         1.27676e-13
             0.818195                8.10511e-11         1.34902e-13
             0.818428                7.74930e-11         1.31958e-13
             0.818661                7.67490e-11         1.30294e-13
             0.818894                7.97285e-11         1.32233e-13
