# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:43 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7650 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 3421 '           /                                                
# SPTYPE  = 'G2 Ib-II'           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Oct 07'        / UT date of SXD observations                    
# LXDUT   = '2005 Oct 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.804210 / Minimum wavelength (um)                        
# MAXWAVE =              5.03412 / Maximum wavelength (um)                        
# V       =        5.42200000000 / V magnitude                                    
# VERR    =      0.0730000000000 / V magnitude error                              
# (B-V)   =       0.884000000000 / B-V color                                      
# (B-V)ERR=     0.00500000000000 / B-V color error                                
# J       =        3.70800000000 / 2MASS J magnitude                              
# JERR    =       0.208000000000 / 2MASS J magnitude error                        
# H       =        3.32000000000 / 2MASS H magnitude                              
# HERR    =       0.216000000000 / 2MASS H magnitude error                        
# KS      =        3.21200000000 / 2MASS Ks magnitude                             
# KSERR   =       0.276000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.131676000000 / Relative error in the absolute flux calibration
# RV      =       0.334736260000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.880000000000 / Intrinsic Color                                
# E(B-V)  =     0.00400001000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.804210                2.24812e-10         4.24039e-13
             0.804412                2.23195e-10         4.18501e-13
             0.804615                2.19253e-10         4.16606e-13
             0.804817                2.13361e-10         4.05075e-13
             0.805019                2.15799e-10         4.17515e-13
             0.805221                2.18337e-10         4.20168e-13
             0.805423                2.20612e-10         4.18980e-13
             0.805626                2.21277e-10         4.19831e-13
             0.805828                2.24458e-10         4.28758e-13
             0.806030                2.24261e-10         4.24699e-13
             0.806232                2.23199e-10         4.27253e-13
             0.806434                2.22094e-10         4.23973e-13
             0.806636                2.23346e-10         4.26820e-13
             0.806839                2.23753e-10         4.30046e-13
             0.807041                2.20713e-10         4.23604e-13
             0.807243                2.17310e-10         4.18337e-13
             0.807445                2.16135e-10         4.18048e-13
             0.807647                2.16660e-10         4.15513e-13
             0.807849                2.19782e-10         4.25909e-13
             0.807911                2.20189e-10         3.81355e-13
             0.808144                2.18828e-10         4.01348e-13
             0.808378                2.16541e-10         3.85251e-13
             0.808612                2.15000e-10         3.65210e-13
             0.808845                2.16712e-10         3.54834e-13
             0.809079                2.18158e-10         3.70307e-13
             0.809312                2.12984e-10         3.60719e-13
             0.809546                2.11125e-10         3.77668e-13
             0.809779                2.13997e-10         3.91151e-13
             0.810013                2.15297e-10         3.70894e-13
             0.810247                2.16958e-10         3.56187e-13
             0.810480                2.16661e-10         3.50970e-13
             0.810714                2.14605e-10         3.58624e-13
             0.810947                2.15178e-10         3.70285e-13
             0.811181                2.16435e-10         3.95343e-13
             0.811414                2.16297e-10         3.78427e-13
             0.811648                2.15115e-10         3.58177e-13
             0.811881                2.16387e-10         3.51191e-13
             0.812115                2.16725e-10         3.52213e-13
             0.812348                2.18416e-10         3.69531e-13
             0.812582                2.17239e-10         4.02843e-13
             0.812815                2.14914e-10         3.82382e-13
             0.813049                2.15933e-10         3.66017e-13
             0.813282                2.15215e-10         3.50249e-13
             0.813515                2.17223e-10         3.50922e-13
             0.813749                2.17382e-10         3.60499e-13
             0.813982                2.16004e-10         3.99920e-13
             0.814216                2.15378e-10         3.90948e-13
             0.814449                2.14982e-10         3.73243e-13
             0.814682                2.16426e-10         3.66211e-13
             0.814916                2.15702e-10         3.50091e-13
             0.815149                2.14435e-10         3.50826e-13
             0.815383                2.16067e-10         3.64969e-13
             0.815616                2.15789e-10         3.96744e-13
             0.815849                2.17250e-10         3.95486e-13
             0.816083                2.17973e-10         3.70851e-13
             0.816316                2.14978e-10         3.56369e-13
             0.816549                2.14755e-10         3.53741e-13
             0.816783                2.16521e-10         3.63218e-13
             0.817016                2.15254e-10         3.74324e-13
             0.817249                2.15588e-10         3.90924e-13
             0.817482                2.15489e-10         3.68801e-13
             0.817716                2.14912e-10         3.56251e-13
             0.817949                2.15313e-10         3.55074e-13
             0.818182                2.13280e-10         3.54728e-13
             0.818416                2.07369e-10         3.54703e-13
             0.818649                2.06578e-10         3.66467e-13
