# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:45 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4180 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 219477'          /                                                
# SPTYPE  = 'G2 II-III'          / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2008 Oct 12'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.803064 / Minimum wavelength (um)                        
# MAXWAVE =              2.42242 / Maximum wavelength (um)                        
# V       =        6.49000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =       0.850000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        5.35100000000 / 2MASS J magnitude                              
# JERR    =       0.248000000000 / 2MASS J magnitude error                        
# H       =        4.77100000000 / 2MASS H magnitude                              
# HERR    =       0.204000000000 / 2MASS H magnitude error                        
# KS      =        4.53700000000 / 2MASS Ks magnitude                             
# KSERR   =        8.88800000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCF     '           / 2MASS quality flag                             
# FCBANDS = 'JH      '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.157547000000 / Relative error in the absolute flux calibration
# RV      =        10.5037010000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.770000000000 / Intrinsic Color                                
# E(B-V)  =      0.0800000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803064                6.04197e-11         2.12570e-13
             0.803266                6.14822e-11         2.17731e-13
             0.803469                6.21838e-11         2.18404e-13
             0.803671                6.22460e-11         2.19920e-13
             0.803874                6.24804e-11         2.20383e-13
             0.804076                6.23426e-11         2.21957e-13
             0.804278                6.26263e-11         2.19810e-13
             0.804481                6.17090e-11         2.20357e-13
             0.804683                6.02174e-11         2.16387e-13
             0.804886                5.96875e-11         2.15783e-13
             0.805088                5.95942e-11         2.14626e-13
             0.805291                6.03913e-11         2.16897e-13
             0.805493                6.12921e-11         2.19779e-13
             0.805695                6.15347e-11         2.21988e-13
             0.805898                6.19778e-11         2.21778e-13
             0.806100                6.23393e-11         2.24072e-13
             0.806303                6.20691e-11         2.24493e-13
             0.806505                6.18893e-11         2.24828e-13
             0.806707                6.19975e-11         2.23973e-13
             0.806910                6.21411e-11         2.24495e-13
             0.807142                6.12050e-11         1.95948e-13
             0.807375                6.06932e-11         2.04063e-13
             0.807608                6.04565e-11         2.18742e-13
             0.807841                6.11611e-11         2.15710e-13
             0.808074                6.12475e-11         1.99823e-13
             0.808308                6.08152e-11         1.92802e-13
             0.808541                6.05543e-11         1.91878e-13
             0.808774                6.00533e-11         1.95031e-13
             0.809007                6.07497e-11         2.09926e-13
             0.809240                6.04234e-11         2.17014e-13
             0.809473                5.92727e-11         2.01102e-13
             0.809706                5.92477e-11         1.91080e-13
             0.809939                6.00496e-11         1.89796e-13
             0.810172                6.04073e-11         1.90879e-13
             0.810406                6.09277e-11         1.99827e-13
             0.810639                6.08349e-11         2.13544e-13
             0.810872                6.06086e-11         2.10282e-13
             0.811105                6.06664e-11         1.99211e-13
             0.811338                6.12368e-11         1.93851e-13
             0.811571                6.10017e-11         1.90795e-13
             0.811804                6.06125e-11         1.94072e-13
             0.812037                6.03541e-11         2.00729e-13
             0.812270                6.05041e-11         2.13776e-13
             0.812503                6.10068e-11         2.06222e-13
             0.812736                6.07865e-11         1.94723e-13
             0.812969                6.05126e-11         1.89203e-13
             0.813202                6.06280e-11         1.90851e-13
             0.813435                6.08678e-11         1.97846e-13
             0.813668                6.06990e-11         2.08097e-13
             0.813901                6.07813e-11         2.10387e-13
             0.814134                6.05012e-11         1.98814e-13
             0.814367                6.04948e-11         1.93489e-13
             0.814600                6.07026e-11         1.92767e-13
             0.814833                6.06678e-11         1.93954e-13
             0.815066                6.05303e-11         2.01860e-13
             0.815299                6.04386e-11         2.11668e-13
             0.815532                6.03530e-11         2.08787e-13
             0.815765                6.05022e-11         2.00043e-13
             0.815998                6.10689e-11         1.92763e-13
             0.816230                6.04372e-11         1.92935e-13
             0.816463                6.04182e-11         2.00398e-13
             0.816696                6.03489e-11         2.08180e-13
             0.816929                6.02046e-11         2.13874e-13
             0.817162                6.03233e-11         2.03038e-13
             0.817395                6.00241e-11         1.93090e-13
             0.817628                6.04257e-11         1.90072e-13
             0.817861                6.03555e-11         2.04815e-13
             0.818094                5.99814e-11         2.01660e-13
             0.818327                5.89086e-11         2.05375e-13
             0.818559                5.71475e-11         1.97875e-13
             0.818792                5.80228e-11         1.90853e-13
             0.819025                5.91065e-11         1.90077e-13
             0.819258                6.03065e-11         1.93479e-13
             0.819491                5.89916e-11         1.90931e-13
             0.819724                5.65955e-11         1.91858e-13
             0.819956                5.72545e-11         2.02088e-13
             0.820189                5.84791e-11         1.99063e-13
             0.820422                5.86691e-11         1.86836e-13
             0.820655                5.97114e-11         1.84420e-13
             0.820888                5.95183e-11         1.88259e-13
             0.821120                5.91930e-11         1.88461e-13
             0.821353                5.88514e-11         1.96148e-13
             0.821586                5.83172e-11         2.03066e-13
             0.821819                5.90979e-11         1.91878e-13
             0.822052                5.94515e-11         1.88734e-13
             0.822284                5.81978e-11         1.81478e-13
             0.822517                5.91799e-11         1.86781e-13
             0.822750                6.02237e-11         1.98088e-13
             0.822982                6.00006e-11         2.12003e-13
             0.823215                5.90265e-11         2.03068e-13
             0.823448                5.86175e-11         1.94018e-13
             0.823681                5.93447e-11         1.84603e-13
             0.823913                5.93295e-11         1.86021e-13
             0.824146                5.92853e-11         1.85401e-13
             0.824379                5.96890e-11         1.96818e-13
             0.824612                5.93377e-11         1.99294e-13
             0.824844                5.88914e-11         1.88320e-13
             0.825077                5.80906e-11         1.80658e-13
             0.825310                5.89206e-11         1.79956e-13
             0.825542                5.90728e-11         1.81891e-13
             0.825775                5.91798e-11         1.87791e-13
             0.826008                5.90520e-11         1.94307e-13
             0.826240                5.98191e-11         1.95039e-13
             0.826473                5.94450e-11         1.85826e-13
             0.826706                5.91961e-11         1.80327e-13
             0.826938                5.94569e-11         1.79400e-13
             0.827171                5.93413e-11         1.84892e-13
             0.827403                5.94715e-11         1.89775e-13
             0.827636                5.86998e-11         1.97283e-13
             0.827869                5.90126e-11         1.91474e-13
             0.828101                5.98623e-11         1.86438e-13
             0.828334                5.96578e-11         1.82961e-13
             0.828567                5.90112e-11         1.80491e-13
             0.828799                5.95746e-11         1.85365e-13
             0.829032                5.90235e-11         1.91449e-13
             0.829264                5.87648e-11         1.97009e-13
             0.829497                5.85570e-11         1.87655e-13
             0.829729                5.84520e-11         1.81145e-13
             0.829962                5.83089e-11         1.77267e-13
             0.830195                5.86440e-11         1.78914e-13
             0.830427                5.90480e-11         1.85040e-13
             0.830660                5.84479e-11         1.90991e-13
             0.830892                5.79450e-11         1.86895e-13
             0.831125                5.79602e-11         1.79221e-13
             0.831357                5.78128e-11         1.75599e-13
             0.831590                5.89509e-11         1.77858e-13
             0.831822                5.88210e-11         1.79411e-13
             0.832055                5.92674e-11         1.86510e-13
             0.832287                5.85365e-11         1.90831e-13
             0.832520                5.80553e-11         1.82557e-13
             0.832752                5.69443e-11         1.73743e-13
             0.832985                5.62398e-11         1.70427e-13
             0.833217                5.69989e-11         1.73380e-13
             0.833450                5.59992e-11         1.73360e-13
             0.833682                5.65019e-11         1.79285e-13
             0.833915                5.66901e-11         1.82696e-13
             0.834147                5.68514e-11         1.85412e-13
             0.834380                5.78738e-11         1.75727e-13
             0.834612                5.77035e-11         1.73278e-13
             0.834844                5.70221e-11         1.73697e-13
             0.835077                5.76018e-11         1.76051e-13
             0.835309                5.84720e-11         1.82420e-13
             0.835542                5.86924e-11         1.86568e-13
             0.835774                5.81207e-11         1.77116e-13
             0.836007                5.77507e-11         1.71713e-13
             0.836239                5.77163e-11         1.70835e-13
             0.836471                5.76864e-11         1.77498e-13
             0.836704                5.73342e-11         1.75599e-13
             0.836936                5.79299e-11         1.81089e-13
             0.837169                5.82687e-11         1.77800e-13
             0.837401                5.79857e-11         1.74364e-13
             0.837633                5.80144e-11         1.70857e-13
             0.837866                5.78800e-11         1.71081e-13
             0.838098                5.79901e-11         1.74015e-13
             0.838330                5.82316e-11         1.78112e-13
             0.838563                5.75649e-11         1.79227e-13
             0.838795                5.71803e-11         1.73528e-13
             0.839028                5.59865e-11         1.68117e-13
             0.839260                5.66953e-11         1.67147e-13
             0.839492                5.82257e-11         1.71282e-13
             0.839724                5.81193e-11         1.73919e-13
             0.839957                5.79307e-11         1.76430e-13
             0.840189                5.79754e-11         1.74866e-13
             0.840421                5.75882e-11         1.70410e-13
             0.840654                5.75181e-11         1.68085e-13
             0.840886                5.78474e-11         1.72130e-13
             0.841118                5.78808e-11         1.71688e-13
             0.841351                5.70485e-11         1.71430e-13
             0.841583                5.69209e-11         1.74388e-13
             0.841815                5.73946e-11         1.72511e-13
             0.842047                5.73641e-11         1.68579e-13
             0.842280                5.69208e-11         1.65260e-13
             0.842512                5.67269e-11         1.66296e-13
             0.842744                5.61124e-11         1.71170e-13
             0.842976                5.70234e-11         1.71822e-13
             0.843209                5.77383e-11         1.74363e-13
             0.843441                5.74612e-11         1.70537e-13
             0.843673                5.54719e-11         1.63381e-13
             0.843905                5.51534e-11         1.63277e-13
             0.844138                5.58481e-11         1.64238e-13
             0.844370                5.66323e-11         1.68673e-13
             0.844602                5.68226e-11         1.72707e-13
             0.844834                5.58623e-11         1.69775e-13
             0.845066                5.68006e-11         1.69021e-13
             0.845299                5.79773e-11         1.68729e-13
             0.845531                5.86772e-11         1.69511e-13
             0.845763                5.79795e-11         1.70246e-13
             0.845995                5.74793e-11         1.69533e-13
             0.846227                5.75346e-11         1.72367e-13
             0.846460                5.70702e-11         1.69274e-13
             0.846692                5.61160e-11         1.65040e-13
             0.846924                5.42154e-11         1.59908e-13
             0.847156                5.41778e-11         1.59775e-13
             0.847388                5.56033e-11         1.62066e-13
             0.847620                5.64114e-11         1.66032e-13
             0.847852                5.69150e-11         1.68569e-13
             0.848085                5.71363e-11         1.66022e-13
             0.848317                5.65651e-11         1.62073e-13
             0.848549                5.60927e-11         1.61817e-13
             0.848781                5.67833e-11         1.61822e-13
             0.849013                5.65099e-11         1.63091e-13
             0.849245                5.61115e-11         1.65941e-13
             0.849477                5.54829e-11         1.63872e-13
             0.849709                5.16010e-11         1.54045e-13
             0.849941                4.27938e-11         1.33411e-13
             0.850173                4.28244e-11         1.33503e-13
             0.850406                4.95628e-11         1.48780e-13
             0.850638                5.29913e-11         1.57770e-13
             0.850870                5.51062e-11         1.64069e-13
             0.851102                5.60043e-11         1.63200e-13
             0.851334                5.54132e-11         1.59328e-13
             0.851566                5.36084e-11         1.54382e-13
             0.851798                5.30845e-11         1.56638e-13
             0.852030                5.50210e-11         1.57601e-13
             0.852262                5.53945e-11         1.59392e-13
             0.852494                5.55855e-11         1.61114e-13
             0.852726                5.47929e-11         1.57201e-13
             0.852958                5.44901e-11         1.55231e-13
             0.853190                5.47007e-11         1.55278e-13
             0.853422                5.43906e-11         1.54634e-13
             0.853654                5.23832e-11         1.51742e-13
             0.853886                4.87215e-11         1.46081e-13
             0.854118                4.13444e-11         1.29653e-13
             0.854350                3.15734e-11         1.07763e-13
             0.854582                3.27213e-11         1.09916e-13
             0.854814                4.23033e-11         1.30462e-13
             0.855046                4.88599e-11         1.42494e-13
             0.855278                5.18842e-11         1.49689e-13
             0.855510                5.32235e-11         1.54484e-13
             0.855742                5.31147e-11         1.53458e-13
             0.855974                5.31864e-11         1.51873e-13
             0.856206                5.45486e-11         1.53302e-13
             0.856438                5.48547e-11         1.53912e-13
             0.856670                5.50543e-11         1.55161e-13
             0.856902                5.51607e-11         1.58346e-13
             0.857134                5.52362e-11         1.57494e-13
             0.857366                5.48691e-11         1.54226e-13
             0.857597                5.48668e-11         1.53493e-13
             0.857829                5.53679e-11         1.54065e-13
             0.858061                5.54571e-11         1.53582e-13
             0.858293                5.50793e-11         1.54917e-13
             0.858525                5.40578e-11         1.53413e-13
             0.858757                5.47104e-11         1.57277e-13
             0.858989                5.51687e-11         1.56034e-13
             0.859221                5.50552e-11         1.54458e-13
             0.859453                5.42463e-11         1.51846e-13
             0.859685                5.36117e-11         1.51293e-13
             0.859916                5.24836e-11         1.49758e-13
             0.860148                5.29947e-11         1.52234e-13
             0.860380                5.37841e-11         1.58258e-13
             0.860612                5.42405e-11         1.53041e-13
             0.860844                5.43738e-11         1.51679e-13
             0.861076                5.39570e-11         1.50501e-13
             0.861308                5.28347e-11         1.48415e-13
             0.861539                5.27583e-11         1.49261e-13
             0.861771                5.38300e-11         1.51299e-13
             0.862003                5.44509e-11         1.52613e-13
             0.862235                5.43243e-11         1.49718e-13
             0.862467                5.39473e-11         1.47341e-13
             0.862699                5.48475e-11         1.48560e-13
             0.862930                5.46793e-11         1.48513e-13
             0.863162                5.44910e-11         1.49714e-13
             0.863394                5.41717e-11         1.50336e-13
             0.863626                5.44707e-11         1.49087e-13
             0.863858                5.50062e-11         1.49362e-13
             0.864089                5.53649e-11         1.49888e-13
             0.864321                5.49822e-11         1.49471e-13
             0.864553                5.47638e-11         1.52796e-13
             0.864785                5.44017e-11         1.50905e-13
             0.865016                5.27766e-11         1.48934e-13
             0.865248                5.29130e-11         1.49237e-13
             0.865480                5.34220e-11         1.49361e-13
             0.865712                5.22356e-11         1.46580e-13
             0.865943                4.93196e-11         1.42524e-13
             0.866175                4.16951e-11         1.25973e-13
             0.866407                3.30949e-11         1.08465e-13
             0.866639                3.70325e-11         1.16539e-13
             0.866870                4.59304e-11         1.33551e-13
             0.867102                5.05509e-11         1.42122e-13
             0.867334                5.21220e-11         1.44314e-13
             0.867566                5.18550e-11         1.44451e-13
             0.867797                5.20996e-11         1.44939e-13
             0.868029                5.30819e-11         1.48095e-13
             0.868261                5.29186e-11         1.46902e-13
             0.868492                5.36891e-11         1.47469e-13
             0.868724                5.36607e-11         1.46268e-13
             0.868956                5.19364e-11         1.42945e-13
             0.869188                5.16094e-11         1.45594e-13
             0.869419                5.33354e-11         1.45418e-13
             0.869651                5.33544e-11         1.44829e-13
             0.869883                5.34966e-11         1.44659e-13
             0.870114                5.33533e-11         1.43065e-13
             0.870346                5.34986e-11         1.42720e-13
             0.870578                5.37755e-11         1.43689e-13
             0.870809                5.40974e-11         1.44700e-13
             0.871041                5.34865e-11         1.44013e-13
             0.871273                5.25175e-11         1.43047e-13
             0.871504                5.23333e-11         1.41030e-13
             0.871736                5.31773e-11         1.42230e-13
             0.871967                5.35709e-11         1.42631e-13
             0.872199                5.36860e-11         1.43135e-13
             0.872431                5.41649e-11         1.44966e-13
             0.872662                5.40995e-11         1.45932e-13
             0.872894                5.30161e-11         1.43320e-13
             0.873126                5.26933e-11         1.42313e-13
             0.873357                5.34852e-11         1.42896e-13
             0.873589                5.36252e-11         1.43311e-13
             0.873820                5.27490e-11         1.41838e-13
             0.874052                5.32178e-11         1.43333e-13
             0.874283                5.26433e-11         1.43264e-13
             0.874515                5.24350e-11         1.42912e-13
             0.874747                5.26506e-11         1.42120e-13
             0.874978                5.25261e-11         1.41701e-13
             0.875210                5.06809e-11         1.37798e-13
             0.875441                5.04914e-11         1.38247e-13
             0.875673                5.19378e-11         1.41745e-13
             0.875905                5.22283e-11         1.43174e-13
             0.876136                5.29267e-11         1.44138e-13
             0.876368                5.35342e-11         1.44635e-13
             0.876599                5.26502e-11         1.42262e-13
             0.876831                5.29647e-11         1.43241e-13
             0.877062                5.36410e-11         1.44310e-13
             0.877294                5.30660e-11         1.44215e-13
             0.877525                5.18285e-11         1.42199e-13
             0.877757                5.29196e-11         1.43883e-13
             0.877988                5.37394e-11         1.44825e-13
             0.878220                5.37660e-11         1.44598e-13
             0.878451                5.35712e-11         1.44155e-13
             0.878683                5.41768e-11         1.44788e-13
             0.878914                5.42368e-11         1.45344e-13
             0.879146                5.30700e-11         1.43683e-13
             0.879377                5.18666e-11         1.39663e-13
             0.879609                5.18782e-11         1.38772e-13
             0.879840                5.29969e-11         1.39617e-13
             0.880072                5.35435e-11         1.41568e-13
             0.880303                5.37002e-11         1.41808e-13
             0.880535                5.27077e-11         1.40527e-13
             0.880766                4.93973e-11         1.33746e-13
             0.880998                4.89807e-11         1.32959e-13
             0.881229                5.18530e-11         1.38322e-13
             0.881461                5.38434e-11         1.41876e-13
             0.881692                5.38746e-11         1.42703e-13
             0.881924                5.38324e-11         1.42859e-13
             0.882155                5.36389e-11         1.42501e-13
             0.882386                5.31349e-11         1.42469e-13
             0.882618                5.16432e-11         1.38804e-13
             0.882849                5.23544e-11         1.40363e-13
             0.883081                5.33822e-11         1.42095e-13
             0.883312                5.38837e-11         1.43856e-13
             0.883544                5.33628e-11         1.43216e-13
             0.883775                5.30502e-11         1.42972e-13
             0.884006                5.17030e-11         1.40303e-13
             0.884238                5.24505e-11         1.41340e-13
             0.884469                5.29169e-11         1.41194e-13
             0.884701                5.30200e-11         1.42057e-13
             0.884932                5.27079e-11         1.41791e-13
             0.885163                5.34245e-11         1.43548e-13
             0.885395                5.33268e-11         1.43963e-13
             0.885626                5.34394e-11         1.43839e-13
             0.885858                5.27181e-11         1.41731e-13
             0.886089                5.20927e-11         1.40040e-13
             0.886320                5.02584e-11         1.35703e-13
             0.886552                4.91340e-11         1.34084e-13
             0.886783                4.95336e-11         1.34921e-13
             0.887015                5.03415e-11         1.36981e-13
             0.887246                5.18954e-11         1.39304e-13
             0.887477                5.28982e-11         1.41435e-13
             0.887709                5.24203e-11         1.39697e-13
             0.887940                5.20725e-11         1.39608e-13
             0.888171                5.23988e-11         1.40232e-13
             0.888403                5.25433e-11         1.41099e-13
             0.888634                5.26080e-11         1.41025e-13
             0.888865                5.26959e-11         1.41087e-13
             0.889097                5.27425e-11         1.40536e-13
             0.889328                5.23444e-11         1.39944e-13
             0.889559                5.20982e-11         1.38948e-13
             0.889791                5.23519e-11         1.40073e-13
             0.890022                5.25976e-11         1.40313e-13
             0.890253                5.25670e-11         1.41335e-13
             0.890485                5.31876e-11         1.40772e-13
             0.890716                5.28762e-11         1.40938e-13
             0.890947                5.28399e-11         1.40504e-13
             0.891178                5.22941e-11         1.40359e-13
             0.891410                5.11425e-11         1.37827e-13
             0.891641                5.18421e-11         1.40170e-13
             0.891872                5.24496e-11         1.42742e-13
             0.892104                5.28062e-11         1.50201e-13
             0.892335                5.19606e-11         1.53043e-13
             0.892566                5.16520e-11         1.51594e-13
             0.892797                5.06721e-11         1.42800e-13
             0.893029                4.99251e-11         1.39020e-13
             0.893260                5.09959e-11         1.38494e-13
             0.893491                5.23444e-11         1.39886e-13
             0.893722                5.24967e-11         1.39817e-13
             0.893954                5.28936e-11         1.40311e-13
             0.894185                5.22886e-11         1.38929e-13
             0.894416                5.18879e-11         1.39556e-13
             0.894647                5.02865e-11         1.35057e-13
             0.894879                5.01526e-11         1.36473e-13
             0.895110                5.11887e-11         1.38639e-13
             0.895341                5.19692e-11         1.40529e-13
             0.895572                5.23673e-11         1.41060e-13
             0.895803                5.19855e-11         1.40810e-13
             0.896035                5.19460e-11         1.39451e-13
             0.896266                5.17065e-11         1.40547e-13
             0.896497                5.16124e-11         1.43853e-13
             0.896728                5.13221e-11         1.41480e-13
             0.896960                5.11677e-11         1.38761e-13
             0.897191                5.15168e-11         1.40750e-13
             0.897422                5.17429e-11         1.42985e-13
             0.897653                5.08881e-11         1.47617e-13
             0.897884                5.04354e-11         1.44826e-13
             0.898116                5.06780e-11         1.51976e-13
             0.898347                5.12707e-11         1.56992e-13
             0.898578                5.15918e-11         1.51994e-13
             0.898809                5.12373e-11         1.49671e-13
             0.899040                5.14878e-11         1.51860e-13
             0.899271                5.12869e-11         1.51176e-13
             0.899503                5.15378e-11         1.50369e-13
             0.899734                5.21219e-11         1.47252e-13
             0.899965                5.10067e-11         1.45782e-13
             0.900196                4.98242e-11         1.49007e-13
             0.900427                5.04927e-11         1.51986e-13
             0.900658                5.09313e-11         1.51846e-13
             0.900889                5.01436e-11         1.52724e-13
             0.901121                4.81323e-11         1.50447e-13
             0.901352                4.71002e-11         1.49694e-13
             0.901583                4.58899e-11         1.48394e-13
             0.901814                4.63375e-11         1.52027e-13
             0.902045                4.77193e-11         1.52430e-13
             0.902276                4.94509e-11         1.54645e-13
             0.902507                4.91126e-11         1.54192e-13
             0.902739                4.97530e-11         1.52934e-13
             0.902970                5.07378e-11         1.51781e-13
             0.903201                5.13346e-11         1.50712e-13
             0.903432                5.13567e-11         1.52170e-13
             0.903663                5.14436e-11         1.45971e-13
             0.903894                5.12168e-11         1.44581e-13
             0.904125                5.12626e-11         1.44781e-13
             0.904356                5.15332e-11         1.45704e-13
             0.904587                5.13542e-11         1.51231e-13
             0.904818                5.16424e-11         1.44354e-13
             0.905050                5.15167e-11         1.43584e-13
