# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:47 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7686 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 126868'          /                                                
# SPTYPE  = 'G2 IV   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2007 Jun 24'        / UT date of SXD observations                    
# LXDUT   = '2007 Jun 24'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.805626 / Minimum wavelength (um)                        
# MAXWAVE =              5.07537 / Maximum wavelength (um)                        
# V       =        4.81000000000 / V magnitude                                    
# VERR    =      0.0110000000000 / V magnitude error                              
# (B-V)   =       0.698000000000 / B-V color                                      
# (B-V)ERR=      0.0150000000000 / B-V color error                                
# J       =        3.54100000000 / 2MASS J magnitude                              
# JERR    =       0.264000000000 / 2MASS J magnitude error                        
# H       =        3.11600000000 / 2MASS H magnitude                              
# HERR    =       0.426000000000 / 2MASS H magnitude error                        
# KS      =        3.06700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.306000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.180959000000 / Relative error in the absolute flux calibration
# RV      =        30.0037970000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.640000000000 / Intrinsic Color                                
# E(B-V)  =      0.0580000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.805626                3.03565e-10         4.33517e-13
             0.805829                3.05928e-10         4.37520e-13
             0.806031                3.07229e-10         4.40806e-13
             0.806234                3.07550e-10         4.39224e-13
             0.806436                3.06878e-10         4.43902e-13
             0.806639                3.07612e-10         4.43845e-13
             0.806841                3.07223e-10         4.42640e-13
             0.807044                3.04182e-10         4.41182e-13
             0.807246                3.02199e-10         4.41384e-13
             0.807449                3.01436e-10         4.97404e-13
             0.807651                3.01228e-10         4.42108e-13
             0.807853                3.02977e-10         4.46045e-13
             0.808056                3.04055e-10         4.45574e-13
             0.808258                3.02107e-10         4.47169e-13
             0.808461                3.02559e-10         4.43081e-13
             0.808663                2.98093e-10         4.41461e-13
             0.808866                2.99469e-10         4.45265e-13
             0.809068                3.04048e-10         4.45333e-13
             0.809271                3.02033e-10         4.47574e-13
             0.809385                2.98624e-10         4.18327e-13
             0.809618                2.96888e-10         3.94546e-13
             0.809851                2.97495e-10         3.93900e-13
             0.810084                2.95147e-10         3.71487e-13
             0.810317                3.00639e-10         3.83303e-13
             0.810551                3.03323e-10         4.04745e-13
             0.810784                3.02718e-10         4.25443e-13
             0.811017                3.02547e-10         4.13040e-13
             0.811250                3.02920e-10         3.90615e-13
             0.811484                3.02772e-10         3.80071e-13
             0.811717                3.02172e-10         3.77725e-13
             0.811950                3.01734e-10         3.88941e-13
             0.812183                3.02536e-10         4.11228e-13
             0.812416                3.02865e-10         4.23656e-13
             0.812649                3.02002e-10         3.95783e-13
             0.812883                3.01202e-10         3.80113e-13
             0.813116                3.01566e-10         3.75270e-13
             0.813349                3.00624e-10         3.83485e-13
             0.813582                3.00747e-10         4.00918e-13
             0.813815                3.00927e-10         4.18609e-13
             0.814048                3.01592e-10         4.10263e-13
             0.814281                2.99586e-10         3.89641e-13
             0.814514                2.99309e-10         3.77846e-13
             0.814748                2.98598e-10         3.76459e-13
             0.814981                2.97983e-10         3.85640e-13
             0.815214                2.97778e-10         4.02937e-13
             0.815447                3.00045e-10         4.24942e-13
             0.815680                2.98175e-10         4.06686e-13
             0.815913                2.99478e-10         3.82506e-13
             0.816146                3.00252e-10         3.80780e-13
             0.816379                2.96824e-10         3.88328e-13
             0.816612                2.96333e-10         4.00202e-13
             0.816845                2.99093e-10         4.16909e-13
             0.817078                2.97112e-10         4.13459e-13
             0.817311                2.96126e-10         3.88265e-13
             0.817544                2.98379e-10         3.83128e-13
             0.817777                2.98078e-10         3.81927e-13
             0.818010                2.94904e-10         3.91354e-13
             0.818243                2.93793e-10         3.96974e-13
             0.818476                2.85465e-10         4.05465e-13
             0.818709                2.88052e-10         3.90907e-13
             0.818942                2.93962e-10         3.85451e-13
             0.819175                2.96080e-10         3.76915e-13
             0.819408                2.94684e-10         3.75297e-13
             0.819641                2.81632e-10         3.71845e-13
             0.819874                2.82091e-10         3.88303e-13
             0.820107                2.87289e-10         4.01983e-13
             0.820340                2.91530e-10         3.80609e-13
             0.820573                2.95935e-10         3.68642e-13
             0.820806                2.93732e-10         3.61073e-13
             0.821039                2.90900e-10         3.64731e-13
             0.821272                2.90541e-10         3.77669e-13
             0.821504                2.86602e-10         3.89222e-13
             0.821737                2.89582e-10         3.86483e-13
             0.821970                2.92390e-10         3.82560e-13
             0.822203                2.84670e-10         3.58255e-13
             0.822436                2.89058e-10         3.61197e-13
             0.822669                2.96577e-10         3.82381e-13
             0.822902                2.94741e-10         4.10266e-13
             0.823135                2.90696e-10         4.18078e-13
             0.823367                2.88243e-10         3.85677e-13
             0.823600                2.90596e-10         3.92670e-13
             0.823833                2.93268e-10         3.59907e-13
             0.824066                2.92294e-10         3.58479e-13
             0.824299                2.93626e-10         3.71027e-13
             0.824531                2.93599e-10         3.88557e-13
             0.824764                2.93022e-10         3.80187e-13
             0.824997                2.87083e-10         3.59559e-13
             0.825230                2.87945e-10         3.51998e-13
             0.825463                2.92355e-10         3.56784e-13
             0.825695                2.92261e-10         3.62885e-13
             0.825928                2.91497e-10         3.74109e-13
             0.826161                2.93374e-10         3.85383e-13
             0.826394                2.93284e-10         3.73021e-13
             0.826627                2.92092e-10         3.68361e-13
             0.826859                2.93208e-10         3.51671e-13
             0.827092                2.92813e-10         3.56655e-13
             0.827325                2.92497e-10         3.71882e-13
             0.827558                2.90442e-10         3.77634e-13
             0.827790                2.88676e-10         4.04008e-13
             0.828023                2.92797e-10         3.69040e-13
             0.828256                2.93058e-10         3.60764e-13
             0.828488                2.92492e-10         3.53095e-13
             0.828721                2.92539e-10         3.56038e-13
             0.828954                2.90145e-10         3.67386e-13
             0.829186                2.89571e-10         3.76194e-13
             0.829419                2.89139e-10         3.68012e-13
             0.829652                2.86295e-10         3.56583e-13
             0.829884                2.90677e-10         3.51495e-13
             0.830117                2.90898e-10         3.50499e-13
             0.830350                2.90348e-10         3.60147e-13
             0.830582                2.88449e-10         3.78100e-13
             0.830815                2.85799e-10         3.71098e-13
             0.831048                2.86877e-10         3.57747e-13
             0.831280                2.85285e-10         3.47798e-13
             0.831513                2.88619e-10         3.46992e-13
             0.831746                2.90242e-10         3.49925e-13
             0.831978                2.90221e-10         3.59498e-13
             0.832211                2.89753e-10         3.69331e-13
             0.832443                2.87735e-10         3.65737e-13
             0.832676                2.85165e-10         3.49725e-13
             0.832908                2.77744e-10         3.36392e-13
             0.833141                2.81455e-10         3.38314e-13
             0.833374                2.79112e-10         3.39367e-13
             0.833606                2.77190e-10         3.45727e-13
             0.833839                2.79418e-10         3.73315e-13
             0.834071                2.79506e-10         3.50001e-13
             0.834304                2.82665e-10         3.42619e-13
             0.834536                2.84961e-10         3.38597e-13
             0.834769                2.80907e-10         3.35884e-13
             0.835001                2.82171e-10         3.39670e-13
             0.835234                2.87592e-10         3.54753e-13
             0.835467                2.89259e-10         3.61192e-13
             0.835699                2.88005e-10         3.48882e-13
             0.835931                2.86723e-10         3.39562e-13
             0.836164                2.84642e-10         3.33540e-13
             0.836396                2.84497e-10         3.37457e-13
             0.836629                2.83313e-10         3.40353e-13
             0.836861                2.83242e-10         3.47966e-13
             0.837094                2.86670e-10         3.55013e-13
             0.837326                2.87515e-10         3.41527e-13
             0.837559                2.85663e-10         3.35459e-13
             0.837791                2.85868e-10         3.33018e-13
             0.838024                2.85345e-10         3.35785e-13
             0.838256                2.86432e-10         3.42865e-13
             0.838489                2.83462e-10         3.48767e-13
             0.838721                2.82129e-10         3.43305e-13
             0.838953                2.75131e-10         3.34140e-13
             0.839186                2.78825e-10         3.25904e-13
             0.839418                2.85063e-10         3.39253e-13
             0.839651                2.84844e-10         3.35191e-13
             0.839883                2.84032e-10         3.43711e-13
             0.840115                2.84885e-10         3.43100e-13
             0.840348                2.83755e-10         3.35233e-13
             0.840580                2.83870e-10         3.28303e-13
             0.840813                2.85628e-10         3.28806e-13
             0.841045                2.85719e-10         3.29706e-13
             0.841277                2.83180e-10         3.32191e-13
             0.841510                2.80507e-10         3.37499e-13
             0.841742                2.80816e-10         3.35916e-13
             0.841974                2.81857e-10         3.30501e-13
             0.842207                2.81540e-10         3.25279e-13
             0.842439                2.80978e-10         3.21479e-13
             0.842671                2.78176e-10         3.22405e-13
             0.842904                2.78626e-10         3.27067e-13
             0.843136                2.82803e-10         3.39267e-13
             0.843368                2.82294e-10         3.29414e-13
             0.843601                2.75488e-10         3.20983e-13
             0.843833                2.71983e-10         3.15334e-13
             0.844065                2.74832e-10         3.18547e-13
             0.844297                2.76637e-10         3.20983e-13
             0.844530                2.81739e-10         3.34936e-13
             0.844762                2.80963e-10         3.39911e-13
             0.844994                2.80407e-10         3.30145e-13
             0.845227                2.81824e-10         3.23975e-13
             0.845459                2.81248e-10         3.27252e-13
             0.845691                2.81483e-10         3.19483e-13
             0.845923                2.81994e-10         3.26053e-13
             0.846156                2.81261e-10         3.30120e-13
             0.846388                2.79974e-10         3.27227e-13
             0.846620                2.77143e-10         3.19418e-13
             0.846852                2.71430e-10         3.12940e-13
             0.847084                2.65975e-10         3.06735e-13
             0.847317                2.71100e-10         3.12594e-13
             0.847549                2.76054e-10         3.19508e-13
             0.847781                2.78332e-10         3.26004e-13
             0.848013                2.79477e-10         3.20676e-13
             0.848246                2.77222e-10         3.13261e-13
             0.848478                2.75868e-10         3.09569e-13
             0.848710                2.77627e-10         3.11577e-13
             0.848942                2.77806e-10         3.14964e-13
             0.849174                2.77194e-10         3.19859e-13
             0.849406                2.74125e-10         3.17278e-13
             0.849638                2.64454e-10         3.09470e-13
             0.849871                2.32778e-10         2.76848e-13
             0.850103                2.16149e-10         2.64481e-13
             0.850335                2.42669e-10         2.85698e-13
             0.850567                2.57537e-10         3.01663e-13
             0.850799                2.67550e-10         3.13205e-13
             0.851031                2.71364e-10         3.11779e-13
             0.851263                2.71296e-10         3.06848e-13
             0.851495                2.65694e-10         3.00172e-13
             0.851728                2.60452e-10         2.92208e-13
             0.851960                2.67736e-10         2.99149e-13
             0.852192                2.72157e-10         3.05363e-13
             0.852424                2.74108e-10         3.11457e-13
             0.852656                2.70899e-10         3.06432e-13
             0.852888                2.67109e-10         2.98155e-13
             0.853120                2.68524e-10         3.01388e-13
             0.853352                2.69498e-10         3.00687e-13
             0.853584                2.64823e-10         3.01164e-13
             0.853816                2.53698e-10         2.93518e-13
             0.854048                2.29973e-10         2.72856e-13
             0.854280                1.88798e-10         2.37072e-13
             0.854512                1.73478e-10         2.22677e-13
             0.854744                2.14283e-10         2.53148e-13
             0.854976                2.44822e-10         2.77891e-13
             0.855208                2.58515e-10         2.91214e-13
             0.855440                2.64982e-10         2.98605e-13
             0.855672                2.65580e-10         2.98440e-13
             0.855904                2.61601e-10         2.90749e-13
             0.856136                2.65368e-10         2.91405e-13
             0.856368                2.68501e-10         2.93194e-13
             0.856600                2.69426e-10         2.94687e-13
             0.856832                2.70790e-10         2.98529e-13
             0.857064                2.70685e-10         3.01969e-13
             0.857296                2.69183e-10         3.09530e-13
             0.857528                2.68971e-10         2.96315e-13
             0.857760                2.70570e-10         2.93049e-13
             0.857992                2.72142e-10         2.95765e-13
             0.858224                2.70204e-10         2.95511e-13
             0.858456                2.66041e-10         2.99366e-13
             0.858688                2.67497e-10         3.00325e-13
             0.858920                2.68962e-10         2.99575e-13
             0.859152                2.70394e-10         2.96717e-13
             0.859384                2.68138e-10         2.93564e-13
             0.859616                2.65198e-10         2.90348e-13
             0.859848                2.62479e-10         2.90519e-13
             0.860080                2.60510e-10         2.89348e-13
             0.860312                2.64779e-10         2.92843e-13
             0.860543                2.67596e-10         2.94828e-13
             0.860775                2.67975e-10         2.90742e-13
             0.861007                2.66564e-10         2.87955e-13
             0.861239                2.62353e-10         2.85281e-13
             0.861471                2.60901e-10         2.84650e-13
             0.861703                2.62801e-10         2.88488e-13
             0.861935                2.65690e-10         2.87859e-13
             0.862167                2.65836e-10         2.85558e-13
             0.862398                2.63291e-10         2.79970e-13
             0.862630                2.64880e-10         2.83672e-13
             0.862862                2.67610e-10         2.83433e-13
             0.863094                2.68447e-10         2.87169e-13
             0.863326                2.67323e-10         2.86314e-13
             0.863558                2.65605e-10         2.82824e-13
             0.863789                2.67461e-10         2.82524e-13
             0.864021                2.69077e-10         2.84625e-13
             0.864253                2.70359e-10         2.88598e-13
             0.864485                2.69772e-10         2.88872e-13
             0.864717                2.68595e-10         2.88691e-13
             0.864948                2.61869e-10         2.85153e-13
             0.865180                2.59074e-10         2.83995e-13
             0.865412                2.63288e-10         2.86135e-13
             0.865644                2.61134e-10         2.82665e-13
             0.865876                2.53823e-10         2.77578e-13
             0.866107                2.30458e-10         2.59570e-13
             0.866339                1.87834e-10         2.27020e-13
             0.866571                1.86118e-10         2.23076e-13
             0.866803                2.28497e-10         2.56021e-13
             0.867034                2.50098e-10         2.71051e-13
             0.867266                2.55961e-10         2.75079e-13
             0.867498                2.56090e-10         2.74643e-13
             0.867730                2.55494e-10         2.74924e-13
             0.867961                2.60759e-10         2.79785e-13
             0.868193                2.60534e-10         2.78286e-13
             0.868425                2.62237e-10         2.76428e-13
             0.868657                2.65098e-10         2.80587e-13
             0.868888                2.57128e-10         2.70340e-13
             0.869120                2.50532e-10         2.65935e-13
             0.869352                2.60620e-10         2.74269e-13
             0.869583                2.64061e-10         2.77925e-13
             0.869815                2.63629e-10         2.73490e-13
             0.870047                2.61316e-10         2.72350e-13
             0.870278                2.60673e-10         2.68822e-13
             0.870510                2.64372e-10         2.75333e-13
             0.870742                2.65424e-10         2.73894e-13
             0.870973                2.65372e-10         2.79377e-13
             0.871205                2.60259e-10         2.71742e-13
             0.871437                2.57012e-10         2.68546e-13
             0.871668                2.60391e-10         2.69492e-13
             0.871900                2.63028e-10         2.73310e-13
             0.872132                2.63886e-10         2.72806e-13
             0.872363                2.68176e-10         2.79807e-13
             0.872595                2.68757e-10         2.80957e-13
             0.872827                2.64669e-10         2.77492e-13
             0.873058                2.58897e-10         2.73483e-13
             0.873290                2.63619e-10         2.74947e-13
             0.873522                2.65418e-10         2.76473e-13
             0.873753                2.59349e-10         2.72741e-13
             0.873985                2.58875e-10         2.72504e-13
             0.874216                2.62618e-10         2.76773e-13
             0.874448                2.58622e-10         2.81525e-13
             0.874680                2.61534e-10         2.73583e-13
             0.874911                2.60446e-10         2.72470e-13
             0.875143                2.55046e-10         2.68304e-13
             0.875374                2.50315e-10         2.64402e-13
             0.875606                2.56428e-10         2.71478e-13
             0.875837                2.58015e-10         2.71612e-13
             0.876069                2.60297e-10         2.73308e-13
             0.876301                2.62972e-10         2.74178e-13
