# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:49 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7998 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 76151'           /                                                
# SPTYPE  = 'G2 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2000 Dec 11'        / UT date of SXD observations                    
# LXDUT   = '2000 Dec 11'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '1500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.809832 / Minimum wavelength (um)                        
# MAXWAVE =              5.43623 / Maximum wavelength (um)                        
# V       =        5.99900000000 / V magnitude                                    
# VERR    =      0.0100000000000 / V magnitude error                              
# (B-V)   =       0.666000000000 / B-V color                                      
# (B-V)ERR=      0.0130000000000 / B-V color error                                
# J       =        4.87100000000 / 2MASS J magnitude                              
# JERR    =      0.0370000000000 / 2MASS J magnitude error                        
# H       =        4.62500000000 / 2MASS H magnitude                              
# HERR    =       0.276000000000 / 2MASS H magnitude error                        
# KS      =        4.45600000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0230000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'EDA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0194848000000 / Relative error in the absolute flux calibration
# RV      =        21.2190570000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.630000000000 / Intrinsic Color                                
# E(B-V)  =      0.0360000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.809832                8.36092e-11         1.90737e-12
             0.810034                8.28287e-11         1.90219e-12
             0.810237                8.36752e-11         1.91795e-12
             0.810439                8.55708e-11         2.03172e-12
             0.810642                8.53610e-11         2.00156e-12
             0.810844                8.56805e-11         1.96137e-12
             0.811046                8.54027e-11         1.97059e-12
             0.811249                8.56545e-11         1.89335e-12
             0.811451                8.55569e-11         1.95498e-12
             0.811654                8.52134e-11         2.03523e-12
             0.811856                8.51665e-11         1.95968e-12
             0.812059                8.51030e-11         2.03291e-12
             0.812261                8.51838e-11         1.92111e-12
             0.812463                8.55686e-11         1.93848e-12
             0.812666                8.51710e-11         1.98113e-12
             0.812868                8.50046e-11         1.96252e-12
             0.812880                8.49823e-11         9.51862e-13
             0.813113                8.54462e-11         1.13448e-12
             0.813346                8.52174e-11         1.11307e-12
             0.813579                8.50557e-11         1.22256e-12
             0.813812                8.50129e-11         1.27058e-12
             0.814045                8.52513e-11         1.18357e-12
             0.814278                8.49631e-11         1.18929e-12
             0.814511                8.45670e-11         1.26478e-12
             0.814744                8.47288e-11         1.18017e-12
             0.814978                8.43971e-11         1.21884e-12
             0.815211                8.42213e-11         1.28518e-12
             0.815444                8.45099e-11         1.15282e-12
             0.815677                8.44414e-11         1.21379e-12
             0.815910                8.46522e-11         1.26677e-12
             0.816143                8.46950e-11         1.17978e-12
             0.816376                8.44088e-11         1.25143e-12
             0.816609                8.42597e-11         1.28463e-12
             0.816842                8.45321e-11         1.33945e-12
             0.817075                8.40983e-11         1.30944e-12
             0.817308                8.38307e-11         1.20124e-12
             0.817541                8.40173e-11         1.22629e-12
             0.817774                8.42269e-11         1.23532e-12
             0.818007                8.38483e-11         1.29726e-12
             0.818240                8.28635e-11         1.29206e-12
             0.818473                8.04028e-11         1.25578e-12
             0.818706                8.07150e-11         1.15654e-12
             0.818939                8.27085e-11         1.18033e-12
             0.819172                8.35699e-11         1.22555e-12
             0.819405                8.25597e-11         1.28112e-12
             0.819638                7.90970e-11         1.25942e-12
             0.819871                7.91961e-11         1.20982e-12
             0.820104                8.11265e-11         1.22384e-12
             0.820337                8.24401e-11         1.23462e-12
             0.820570                8.36885e-11         1.12462e-12
             0.820803                8.28786e-11         1.22073e-12
             0.821036                8.21877e-11         1.22007e-12
             0.821268                8.18079e-11         1.25959e-12
             0.821501                8.04796e-11         1.14602e-12
             0.821734                8.10725e-11         1.16677e-12
             0.821967                8.17213e-11         1.13732e-12
             0.822200                7.99108e-11         1.15855e-12
             0.822433                8.09581e-11         1.21129e-12
             0.822666                8.35085e-11         1.30534e-12
             0.822899                8.37303e-11         1.18165e-12
             0.823131                8.30650e-11         1.16261e-12
             0.823364                8.17583e-11         1.16070e-12
             0.823597                8.21766e-11         1.19353e-12
             0.823830                8.24776e-11         1.18070e-12
             0.824063                8.26106e-11         1.21724e-12
             0.824296                8.31883e-11         1.27071e-12
             0.824528                8.31424e-11         1.29209e-12
             0.824761                8.25038e-11         1.20384e-12
             0.824994                8.12559e-11         1.17974e-12
             0.825227                8.13571e-11         1.16088e-12
             0.825460                8.26353e-11         1.17438e-12
             0.825692                8.24638e-11         1.22979e-12
             0.825925                8.24385e-11         1.22451e-12
             0.826158                8.26767e-11         1.20390e-12
             0.826391                8.28521e-11         1.19362e-12
             0.826623                8.24201e-11         1.14691e-12
             0.826856                8.24266e-11         1.18460e-12
             0.827089                8.26233e-11         1.14427e-12
             0.827322                8.26345e-11         1.22202e-12
             0.827554                8.20997e-11         1.27040e-12
             0.827787                8.16854e-11         1.20532e-12
             0.828020                8.22945e-11         1.24820e-12
             0.828252                8.25114e-11         1.20298e-12
             0.828485                8.24168e-11         1.16855e-12
             0.828718                8.24176e-11         1.22064e-12
             0.828951                8.19992e-11         1.24463e-12
             0.829183                8.16737e-11         1.24504e-12
             0.829416                8.12296e-11         1.19899e-12
             0.829649                8.10487e-11         1.14203e-12
             0.829881                8.14236e-11         1.13166e-12
             0.830114                8.19211e-11         1.21657e-12
             0.830347                8.20764e-11         1.28926e-12
             0.830579                8.13400e-11         1.28708e-12
             0.830812                8.05948e-11         1.24175e-12
             0.831044                8.01843e-11         1.14277e-12
             0.831277                7.99235e-11         1.16541e-12
             0.831510                8.11661e-11         1.21508e-12
             0.831742                8.17728e-11         1.23607e-12
             0.831975                8.19469e-11         1.20703e-12
             0.832208                8.13981e-11         1.21853e-12
             0.832440                8.10890e-11         1.20221e-12
             0.832673                8.01310e-11         1.15157e-12
             0.832905                7.83582e-11         1.09220e-12
             0.833138                7.86374e-11         1.10487e-12
             0.833370                7.83993e-11         1.17092e-12
             0.833603                7.80450e-11         1.19877e-12
             0.833835                7.87169e-11         1.15093e-12
             0.834068                7.87026e-11         1.10684e-12
             0.834301                7.93051e-11         1.10673e-12
             0.834533                7.98289e-11         1.13577e-12
             0.834766                7.83294e-11         1.13629e-12
             0.834998                7.87511e-11         1.18087e-12
             0.835231                8.04603e-11         1.22941e-12
             0.835463                8.13295e-11         1.18164e-12
             0.835696                8.12719e-11         1.15049e-12
             0.835928                8.08834e-11         1.13664e-12
             0.836161                8.02545e-11         1.16514e-12
             0.836393                7.99739e-11         1.10688e-12
             0.836626                7.98392e-11         1.15083e-12
             0.836858                7.98641e-11         1.14207e-12
             0.837091                8.06582e-11         1.17476e-12
             0.837323                8.07213e-11         1.10509e-12
             0.837555                8.03783e-11         1.14421e-12
             0.837788                8.07211e-11         1.11819e-12
             0.838020                8.05311e-11         1.20849e-12
             0.838253                8.02767e-11         1.17369e-12
             0.838485                7.98264e-11         1.11220e-12
             0.838718                7.91090e-11         1.13718e-12
             0.838950                7.73876e-11         1.11348e-12
             0.839182                7.81102e-11         1.08778e-12
             0.839415                8.02419e-11         1.12149e-12
             0.839647                8.01234e-11         1.18018e-12
             0.839880                8.00234e-11         1.12369e-12
             0.840112                8.00110e-11         1.11583e-12
             0.840344                7.98069e-11         1.10835e-12
             0.840577                7.98713e-11         1.09608e-12
             0.840809                8.00766e-11         1.12096e-12
             0.841042                8.01937e-11         1.11270e-12
             0.841274                7.98690e-11         1.17101e-12
             0.841506                7.91169e-11         1.14060e-12
             0.841739                7.92537e-11         1.12091e-12
             0.841971                7.92720e-11         1.07236e-12
             0.842203                7.89916e-11         1.08298e-12
             0.842436                7.86067e-11         1.14660e-12
             0.842668                7.80981e-11         1.16667e-12
             0.842900                7.84036e-11         1.17285e-12
             0.843133                7.94616e-11         1.13181e-12
             0.843365                7.95569e-11         1.13663e-12
             0.843597                7.79247e-11         1.09588e-12
             0.843830                7.68563e-11         1.04417e-12
             0.844062                7.71323e-11         1.07498e-12
             0.844294                7.80970e-11         1.16121e-12
             0.844526                7.96244e-11         1.13342e-12
             0.844759                7.94017e-11         1.08617e-12
             0.844991                7.92890e-11         9.92287e-13
