# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:51 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7675 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 192713'          /                                                
# SPTYPE  = 'G3 Ib-II Wk H&K comp?' / Spectral Type                               
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2005 Jun 22'        / UT date of SXD observations                    
# LXDUT   = '2004 Jul 04'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.805895 / Minimum wavelength (um)                        
# MAXWAVE =              5.07014 / Maximum wavelength (um)                        
# V       =        5.16700000000 / V magnitude                                    
# VERR    =      0.0150000000000 / V magnitude error                              
# (B-V)   =        1.04600000000 / B-V color                                      
# (B-V)ERR=     0.00800000000000 / B-V color error                                
# J       =        3.53200000000 / 2MASS J magnitude                              
# JERR    =       0.244000000000 / 2MASS J magnitude error                        
# H       =        3.13000000000 / 2MASS H magnitude                              
# HERR    =       0.202000000000 / 2MASS H magnitude error                        
# KS      =        2.93800000000 / 2MASS Ks magnitude                             
# KSERR   =       0.242000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.130879000000 / Relative error in the absolute flux calibration
# RV      =    -0.00810318490000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.890000000000 / Intrinsic Color                                
# E(B-V)  =       0.156000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.805895                2.37019e-10         3.22706e-13
             0.806098                2.35216e-10         3.22943e-13
             0.806300                2.32698e-10         3.20281e-13
             0.806502                2.33496e-10         3.23221e-13
             0.806705                2.33706e-10         3.20388e-13
             0.806907                2.30193e-10         3.16093e-13
             0.807110                2.24960e-10         3.11794e-13
             0.807312                2.21036e-10         3.07738e-13
             0.807515                2.19538e-10         3.05685e-13
             0.807717                2.23345e-10         3.11124e-13
             0.807920                2.28692e-10         3.18796e-13
             0.808122                2.27492e-10         3.15566e-13
             0.808324                2.21361e-10         3.09639e-13
             0.808527                2.20400e-10         3.08947e-13
             0.808729                2.23063e-10         3.12534e-13
             0.808932                2.26733e-10         3.21317e-13
             0.809134                2.22628e-10         3.10643e-13
             0.809336                2.13109e-10         3.01705e-13
             0.809439                2.11913e-10         2.77400e-13
             0.809672                2.15595e-10         2.64803e-13
             0.809905                2.19574e-10         2.56218e-13
             0.810139                2.22642e-10         2.52800e-13
             0.810372                2.24085e-10         2.56375e-13
             0.810605                2.19080e-10         2.62441e-13
             0.810839                2.18516e-10         2.72267e-13
             0.811072                2.20770e-10         2.75651e-13
             0.811305                2.22654e-10         2.64679e-13
             0.811538                2.20517e-10         2.51082e-13
             0.811772                2.19006e-10         2.49997e-13
             0.812005                2.21718e-10         2.55142e-13
             0.812238                2.23125e-10         2.67268e-13
             0.812472                2.25106e-10         2.83940e-13
             0.812705                2.21524e-10         2.66095e-13
             0.812938                2.21500e-10         2.56191e-13
             0.813171                2.22251e-10         2.50219e-13
             0.813405                2.23429e-10         2.52846e-13
             0.813638                2.25421e-10         2.62851e-13
             0.813871                2.23414e-10         2.72390e-13
             0.814104                2.22347e-10         2.73467e-13
             0.814337                2.20028e-10         2.59363e-13
             0.814571                2.21735e-10         2.53523e-13
             0.814804                2.23464e-10         2.51946e-13
             0.815037                2.20019e-10         2.52189e-13
             0.815270                2.22011e-10         2.61784e-13
             0.815503                2.23341e-10         2.76773e-13
             0.815737                2.24534e-10         2.72500e-13
             0.815970                2.27911e-10         2.61624e-13
             0.816203                2.23622e-10         2.51123e-13
             0.816436                2.20000e-10         2.50123e-13
             0.816669                2.22960e-10         2.58836e-13
             0.816902                2.22831e-10         2.69174e-13
             0.817135                2.22811e-10         2.74803e-13
             0.817369                2.23476e-10         2.62349e-13
             0.817602                2.22466e-10         2.51801e-13
             0.817835                2.23218e-10         2.50854e-13
             0.818068                2.21932e-10         2.53256e-13
             0.818301                2.14812e-10         2.53497e-13
             0.818534                2.09824e-10         2.59215e-13
             0.818767                2.13422e-10         2.57786e-13
             0.819000                2.19342e-10         2.53754e-13
             0.819233                2.25667e-10         2.53835e-13
             0.819466                2.17632e-10         2.45176e-13
             0.819699                2.07712e-10         2.39576e-13
             0.819932                2.13668e-10         2.53627e-13
             0.820165                2.16043e-10         2.64501e-13
             0.820398                2.16577e-10         2.52672e-13
             0.820631                2.18675e-10         2.45239e-13
             0.820864                2.16276e-10         2.40812e-13
             0.821097                2.17666e-10         2.40926e-13
             0.821330                2.19520e-10         2.51026e-13
             0.821563                2.16756e-10         2.58021e-13
             0.821796                2.21580e-10         2.62664e-13
             0.822029                2.18807e-10         2.49958e-13
             0.822262                2.11190e-10         2.36273e-13
             0.822495                2.19710e-10         2.42031e-13
             0.822728                2.27323e-10         2.53281e-13
             0.822961                2.24618e-10         2.61913e-13
             0.823194                2.21410e-10         2.69869e-13
             0.823427                2.20555e-10         2.57994e-13
             0.823660                2.22838e-10         2.49955e-13
             0.823893                2.21901e-10         2.42306e-13
             0.824126                2.23344e-10         2.44522e-13
             0.824359                2.23982e-10         2.50801e-13
             0.824591                2.24923e-10         2.61999e-13
             0.824824                2.22400e-10         2.61346e-13
             0.825057                2.18420e-10         2.46303e-13
             0.825290                2.20525e-10         2.40861e-13
             0.825523                2.22189e-10         2.40539e-13
             0.825756                2.22264e-10         2.46198e-13
             0.825989                2.23837e-10         2.56484e-13
             0.826222                2.29317e-10         2.74048e-13
             0.826454                2.28680e-10         2.60097e-13
             0.826687                2.23338e-10         2.45834e-13
             0.826920                2.22836e-10         2.40283e-13
             0.827153                2.26302e-10         2.42674e-13
             0.827386                2.23823e-10         2.46830e-13
             0.827618                2.18304e-10         2.50608e-13
             0.827851                2.20383e-10         2.58424e-13
             0.828084                2.26735e-10         2.53704e-13
             0.828317                2.27089e-10         2.47730e-13
             0.828550                2.24480e-10         2.41849e-13
             0.828782                2.22668e-10         2.42324e-13
             0.829015                2.19938e-10         2.47464e-13
             0.829248                2.21270e-10         2.57848e-13
             0.829481                2.20543e-10         2.53452e-13
             0.829713                2.17480e-10         2.41816e-13
             0.829946                2.15636e-10         2.35506e-13
             0.830179                2.18916e-10         2.38088e-13
             0.830412                2.22569e-10         2.49038e-13
             0.830644                2.18081e-10         2.46562e-13
             0.830877                2.15941e-10         2.52117e-13
             0.831110                2.14239e-10         2.41699e-13
             0.831342                2.15056e-10         2.35759e-13
             0.831575                2.18821e-10         2.35566e-13
             0.831808                2.23018e-10         2.39906e-13
             0.832040                2.21976e-10         2.44044e-13
             0.832273                2.16803e-10         2.46985e-13
             0.832506                2.16693e-10         2.48298e-13
             0.832738                2.10173e-10         2.33128e-13
             0.832971                2.07841e-10         2.26891e-13
             0.833204                2.09602e-10         2.26770e-13
             0.833436                2.04205e-10         2.23782e-13
             0.833669                2.06478e-10         2.30028e-13
             0.833902                2.07678e-10         2.39209e-13
             0.834134                2.11367e-10         2.40380e-13
             0.834367                2.17035e-10         2.38876e-13
             0.834599                2.14250e-10         2.30434e-13
             0.834832                2.11718e-10         2.28855e-13
             0.835065                2.13206e-10         2.30783e-13
             0.835297                2.20054e-10         2.43202e-13
             0.835530                2.21757e-10         2.52740e-13
             0.835762                2.18609e-10         2.41998e-13
             0.835995                2.16752e-10         2.33097e-13
             0.836227                2.17814e-10         2.31459e-13
             0.836460                2.15331e-10         2.30695e-13
             0.836693                2.13069e-10         2.31342e-13
             0.836925                2.18987e-10         2.45284e-13
             0.837158                2.20327e-10         2.47187e-13
             0.837390                2.18205e-10         2.38782e-13
             0.837623                2.20105e-10         2.34633e-13
             0.837855                2.17997e-10         2.32556e-13
             0.838088                2.20258e-10         2.37501e-13
             0.838320                2.17726e-10         2.38779e-13
             0.838553                2.11073e-10         2.39098e-13
             0.838785                2.09043e-10         2.32415e-13
             0.839018                2.05694e-10         2.24223e-13
             0.839250                2.12937e-10         2.28065e-13
             0.839483                2.21207e-10         2.34988e-13
             0.839715                2.21080e-10         2.36026e-13
             0.839948                2.18660e-10         2.40268e-13
             0.840180                2.18804e-10         2.43474e-13
             0.840412                2.18659e-10         2.40287e-13
             0.840645                2.19956e-10         2.33254e-13
             0.840877                2.21491e-10         2.34929e-13
             0.841110                2.21223e-10         2.35743e-13
             0.841342                2.15038e-10         2.33505e-13
             0.841574                2.15675e-10         2.38083e-13
             0.841807                2.19568e-10         2.41942e-13
             0.842039                2.17524e-10         2.35449e-13
             0.842272                2.16283e-10         2.29083e-13
             0.842504                2.15473e-10         2.28323e-13
             0.842736                2.09260e-10         2.23594e-13
             0.842969                2.14199e-10         2.32862e-13
             0.843201                2.24088e-10         2.46381e-13
             0.843434                2.18877e-10         2.37619e-13
             0.843666                2.04657e-10         2.19608e-13
             0.843898                2.02977e-10         2.18542e-13
             0.844131                2.07613e-10         2.23354e-13
             0.844363                2.12157e-10         2.28378e-13
             0.844595                2.16155e-10         2.40068e-13
             0.844828                2.16623e-10         2.44571e-13
             0.845060                2.18022e-10         2.39402e-13
             0.845292                2.21543e-10         2.33718e-13
             0.845525                2.25418e-10         2.35592e-13
             0.845757                2.20508e-10         2.33416e-13
             0.845989                2.17766e-10         2.33360e-13
             0.846221                2.21295e-10         2.43522e-13
             0.846454                2.21011e-10         2.41671e-13
             0.846686                2.12223e-10         2.30058e-13
             0.846918                2.01201e-10         2.15585e-13
             0.847151                2.02253e-10         2.15716e-13
             0.847383                2.12281e-10         2.25247e-13
             0.847615                2.20454e-10         2.35788e-13
             0.847847                2.21482e-10         2.42023e-13
             0.848080                2.17159e-10         2.34074e-13
             0.848312                2.13251e-10         2.27190e-13
             0.848544                2.15464e-10         2.25519e-13
             0.848776                2.18168e-10         2.27851e-13
             0.849009                2.16530e-10         2.27845e-13
             0.849241                2.16550e-10         2.33163e-13
             0.849473                2.11275e-10         2.32711e-13
             0.849705                1.86581e-10         2.05449e-13
             0.849937                1.47822e-10         1.69685e-13
             0.850169                1.51769e-10         1.71657e-13
             0.850402                1.83907e-10         1.99588e-13
             0.850634                2.00949e-10         2.15941e-13
             0.850866                2.14956e-10         2.32438e-13
             0.851098                2.18579e-10         2.35696e-13
             0.851330                2.11166e-10         2.24685e-13
             0.851562                1.97076e-10         2.09460e-13
             0.851795                1.96622e-10         2.07916e-13
             0.852027                2.07698e-10         2.19064e-13
             0.852259                2.11383e-10         2.23611e-13
             0.852491                2.10950e-10         2.27765e-13
             0.852723                2.06073e-10         2.22228e-13
             0.852955                2.04728e-10         2.16959e-13
             0.853187                2.05574e-10         2.15922e-13
             0.853420                2.02903e-10         2.14027e-13
             0.853652                1.93182e-10         2.07681e-13
             0.853884                1.71567e-10         1.92609e-13
             0.854116                1.39235e-10         1.64573e-13
             0.854348                1.05797e-10         1.33323e-13
             0.854580                1.13824e-10         1.39124e-13
             0.854812                1.51288e-10         1.69611e-13
             0.855044                1.77448e-10         1.91842e-13
             0.855276                1.93867e-10         2.08440e-13
             0.855508                2.02292e-10         2.19084e-13
             0.855740                2.00680e-10         2.18474e-13
             0.855972                2.03109e-10         2.17302e-13
             0.856204                2.08517e-10         2.18383e-13
             0.856436                2.09742e-10         2.18276e-13
             0.856668                2.11314e-10         2.18702e-13
             0.856900                2.11393e-10         2.21638e-13
             0.857132                2.12181e-10         2.26252e-13
             0.857364                2.12278e-10         2.25343e-13
             0.857597                2.11773e-10         2.21994e-13
             0.857828                2.14252e-10         2.24545e-13
             0.858060                2.17197e-10         2.24332e-13
             0.858292                2.11440e-10         2.21136e-13
             0.858524                2.07983e-10         2.20611e-13
             0.858756                2.12122e-10         2.28902e-13
             0.858988                2.13657e-10         2.26958e-13
             0.859220                2.12483e-10         2.23513e-13
             0.859452                2.10840e-10         2.19404e-13
             0.859684                2.09836e-10         2.19807e-13
             0.859916                2.05946e-10         2.18505e-13
             0.860148                2.08580e-10         2.22752e-13
             0.860380                2.13231e-10         2.28789e-13
             0.860612                2.10932e-10         2.23268e-13
             0.860844                2.10628e-10         2.20724e-13
             0.861076                2.07509e-10         2.16769e-13
             0.861308                2.00626e-10         2.11181e-13
             0.861540                2.02739e-10         2.14243e-13
             0.861772                2.10750e-10         2.22416e-13
             0.862004                2.13549e-10         2.25163e-13
             0.862235                2.10330e-10         2.18816e-13
             0.862467                2.09022e-10         2.15145e-13
             0.862699                2.14206e-10         2.21785e-13
             0.862931                2.15384e-10         2.21323e-13
             0.863163                2.14431e-10         2.25566e-13
             0.863395                2.12645e-10         2.22992e-13
             0.863627                2.13832e-10         2.22668e-13
             0.863859                2.17561e-10         2.23012e-13
             0.864090                2.19417e-10         2.23701e-13
             0.864322                2.16250e-10         2.20759e-13
             0.864554                2.14858e-10         2.23530e-13
             0.864786                2.12805e-10         2.23997e-13
             0.865018                2.05442e-10         2.20031e-13
             0.865250                2.04038e-10         2.16361e-13
             0.865481                2.04059e-10         2.14982e-13
             0.865713                1.97327e-10         2.08551e-13
             0.865945                1.81116e-10         1.96191e-13
             0.866177                1.44266e-10         1.65076e-13
             0.866409                1.13003e-10         1.37689e-13
             0.866641                1.32513e-10         1.55200e-13
             0.866872                1.71318e-10         1.89055e-13
             0.867104                1.92223e-10         2.05915e-13
             0.867336                1.98064e-10         2.09219e-13
             0.867568                1.94197e-10         2.06418e-13
             0.867799                1.98114e-10         2.11778e-13
             0.868031                2.03766e-10         2.19335e-13
             0.868263                2.04932e-10         2.19704e-13
             0.868495                2.08780e-10         2.18852e-13
             0.868726                2.08974e-10         2.18582e-13
             0.868958                1.95145e-10         2.04496e-13
             0.869190                1.95977e-10         2.06526e-13
             0.869422                2.08938e-10         2.15857e-13
             0.869653                2.13290e-10         2.22390e-13
             0.869885                2.11559e-10         2.17130e-13
             0.870117                2.07754e-10         2.13257e-13
             0.870349                2.07747e-10         2.10725e-13
             0.870580                2.11877e-10         2.15817e-13
             0.870812                2.14248e-10         2.17208e-13
             0.871044                2.11214e-10         2.17905e-13
             0.871275                2.05429e-10         2.13334e-13
             0.871507                2.05518e-10         2.11491e-13
             0.871739                2.11200e-10         2.15050e-13
             0.871970                2.14411e-10         2.18057e-13
             0.872202                2.17264e-10         2.20915e-13
             0.872434                2.18427e-10         2.23307e-13
             0.872665                2.15763e-10         2.23409e-13
             0.872897                2.09012e-10         2.18601e-13
             0.873129                2.06357e-10         2.14604e-13
             0.873360                2.13308e-10         2.21716e-13
             0.873592                2.13587e-10         2.20799e-13
             0.873824                2.10416e-10         2.18282e-13
             0.874055                2.13482e-10         2.25926e-13
             0.874287                2.10200e-10         2.21192e-13
             0.874519                2.08825e-10         2.20624e-13
             0.874750                2.10783e-10         2.20375e-13
             0.874982                2.08946e-10         2.17284e-13
             0.875214                2.01744e-10         2.10823e-13
             0.875445                2.01624e-10         2.11415e-13
             0.875677                2.07037e-10         2.17199e-13
             0.875908                2.07967e-10         2.19399e-13
             0.876140                2.12057e-10         2.22939e-13
             0.876372                2.14049e-10         2.23325e-13
             0.876603                2.09221e-10         2.17663e-13
             0.876835                2.09955e-10         2.17523e-13
             0.877066                2.13276e-10         2.21487e-13
             0.877298                2.09535e-10         2.19650e-13
             0.877529                2.05837e-10         2.18863e-13
             0.877761                2.11324e-10         2.19415e-13
             0.877993                2.16518e-10         2.22455e-13
             0.878224                2.16995e-10         2.22465e-13
             0.878456                2.16869e-10         2.20984e-13
             0.878687                2.16855e-10         2.21460e-13
             0.878919                2.17420e-10         2.22961e-13
             0.879150                2.11847e-10         2.19821e-13
             0.879382                2.05420e-10         2.14037e-13
             0.879613                2.06044e-10         2.10241e-13
             0.879845                2.10995e-10         2.14127e-13
             0.880076                2.15293e-10         2.17834e-13
             0.880308                2.16875e-10         2.19201e-13
             0.880539                2.05549e-10         2.10713e-13
             0.880771                1.88795e-10         1.97737e-13
             0.881002                1.90381e-10         1.97564e-13
             0.881234                2.07619e-10         2.12425e-13
             0.881465                2.15803e-10         2.19155e-13
             0.881697                2.16845e-10         2.20314e-13
             0.881928                2.16290e-10         2.19966e-13
             0.882160                2.14891e-10         2.18831e-13
             0.882391                2.07817e-10         2.14078e-13
             0.882623                2.00963e-10         2.08134e-13
             0.882854                2.07462e-10         2.11661e-13
             0.883086                2.16640e-10         2.20063e-13
             0.883317                2.18494e-10         2.23546e-13
             0.883548                2.16995e-10         2.26057e-13
