# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:55 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6854 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 176123'          /                                                
# SPTYPE  = 'G3 II   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2005 Jun 22'        / UT date of SXD observations                    
# LXDUT   = '2004 Jul 04'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806522 / Minimum wavelength (um)                        
# MAXWAVE =              4.17477 / Maximum wavelength (um)                        
# V       =        6.37000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =       0.990000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        4.65100000000 / 2MASS J magnitude                              
# JERR    =      0.0370000000000 / 2MASS J magnitude error                        
# H       =        4.12000000000 / 2MASS H magnitude                              
# HERR    =       0.202000000000 / 2MASS H magnitude error                        
# KS      =        4.06700000000 / 2MASS Ks magnitude                             
# KSERR   =       0.322000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'ECD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0361642000000 / Relative error in the absolute flux calibration
# RV      =       -10.1517570000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.870000000000 / Intrinsic Color                                
# E(B-V)  =       0.120000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806522                8.44365e-11         1.48321e-13
             0.806724                8.42198e-11         1.47739e-13
             0.806927                8.39462e-11         1.47543e-13
             0.807130                8.27015e-11         1.46851e-13
             0.807332                8.18795e-11         1.46380e-13
             0.807535                8.15026e-11         1.44563e-13
             0.807738                8.23196e-11         1.46673e-13
             0.807940                8.35471e-11         1.48783e-13
             0.808143                8.28966e-11         1.47048e-13
             0.808346                8.23545e-11         1.47507e-13
             0.808548                8.15510e-11         1.46671e-13
             0.808751                8.18521e-11         1.45611e-13
             0.808954                8.25364e-11         1.49569e-13
             0.809156                8.23321e-11         1.47127e-13
             0.809359                8.02425e-11         1.45877e-13
             0.809561                8.00557e-11         1.45956e-13
             0.809764                8.11244e-11         1.47598e-13
             0.809967                8.13451e-11         1.47591e-13
             0.810169                8.17997e-11         1.47474e-13
             0.810180                8.17486e-11         1.22944e-13
             0.810413                8.26796e-11         1.27372e-13
             0.810647                8.22571e-11         1.33380e-13
             0.810880                8.18755e-11         1.39359e-13
             0.811113                8.20917e-11         1.32010e-13
             0.811346                8.24928e-11         1.26857e-13
             0.811579                8.22045e-11         1.23372e-13
             0.811812                8.20703e-11         1.23523e-13
             0.812045                8.24638e-11         1.28263e-13
             0.812278                8.26345e-11         1.34876e-13
             0.812511                8.28702e-11         1.37578e-13
             0.812744                8.23333e-11         1.29053e-13
             0.812977                8.22277e-11         1.24476e-13
             0.813210                8.23993e-11         1.23128e-13
             0.813443                8.25763e-11         1.25990e-13
             0.813676                8.28511e-11         1.32596e-13
             0.813909                8.25496e-11         1.38287e-13
             0.814142                8.23205e-11         1.33463e-13
             0.814375                8.17181e-11         1.27332e-13
             0.814608                8.19332e-11         1.24477e-13
             0.814841                8.20165e-11         1.23708e-13
             0.815074                8.16166e-11         1.27044e-13
             0.815307                8.19063e-11         1.32512e-13
             0.815540                8.25138e-11         1.39948e-13
             0.815773                8.26612e-11         1.34820e-13
             0.816006                8.30270e-11         1.27749e-13
             0.816239                8.19252e-11         1.25298e-13
             0.816471                8.18849e-11         1.28185e-13
             0.816704                8.20448e-11         1.32587e-13
             0.816937                8.20840e-11         1.35741e-13
             0.817170                8.21372e-11         1.37284e-13
             0.817403                8.19319e-11         1.29363e-13
             0.817636                8.20150e-11         1.24083e-13
             0.817869                8.25129e-11         1.26162e-13
             0.818102                8.21355e-11         1.29883e-13
             0.818335                7.95886e-11         1.29296e-13
             0.818567                7.83361e-11         1.31981e-13
             0.818800                7.96918e-11         1.30033e-13
             0.819033                8.12834e-11         1.27500e-13
             0.819266                8.23616e-11         1.26013e-13
             0.819499                7.97488e-11         1.21475e-13
             0.819732                7.71811e-11         1.20924e-13
             0.819965                7.88849e-11         1.27849e-13
             0.820197                8.02210e-11         1.34581e-13
             0.820430                8.07213e-11         1.26893e-13
             0.820663                8.14768e-11         1.22180e-13
             0.820896                8.07937e-11         1.20310e-13
             0.821129                8.08416e-11         1.19859e-13
             0.821361                8.08059e-11         1.24133e-13
             0.821594                8.00587e-11         1.27959e-13
             0.821827                8.10291e-11         1.29534e-13
             0.822060                8.08344e-11         1.24800e-13
             0.822293                7.90823e-11         1.19297e-13
             0.822525                8.12462e-11         1.20923e-13
             0.822758                8.28709e-11         1.26122e-13
             0.822991                8.24646e-11         1.34585e-13
             0.823224                8.12993e-11         1.39946e-13
             0.823456                8.13884e-11         1.33031e-13
             0.823689                8.16608e-11         1.24747e-13
             0.823922                8.14702e-11         1.19840e-13
             0.824155                8.14146e-11         1.19079e-13
             0.824387                8.19940e-11         1.22553e-13
             0.824620                8.20206e-11         1.27213e-13
             0.824853                8.10506e-11         1.27832e-13
             0.825086                7.97915e-11         1.21159e-13
             0.825318                8.09084e-11         1.18434e-13
             0.825551                8.16859e-11         1.18408e-13
             0.825784                8.12367e-11         1.20785e-13
             0.826016                8.14334e-11         1.26327e-13
             0.826249                8.25195e-11         1.37669e-13
             0.826482                8.22626e-11         1.26661e-13
             0.826714                8.14320e-11         1.21208e-13
             0.826947                8.14698e-11         1.17556e-13
