# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:59 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6850 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 88639'           /                                                
# SPTYPE  = 'G3 IIIb Fe-1'       / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2003 Feb 25'        / UT date of SXD observations                    
# LXDUT   = '2003 May 07'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.811173 / Minimum wavelength (um)                        
# MAXWAVE =              4.11346 / Maximum wavelength (um)                        
# V       =        6.04600000000 / V magnitude                                    
# VERR    =     0.00900000000000 / V magnitude error                              
# (B-V)   =       0.844000000000 / B-V color                                      
# (B-V)ERR=     0.00600000000000 / B-V color error                                
# J       =        4.72600000000 / 2MASS J magnitude                              
# JERR    =       0.250000000000 / 2MASS J magnitude error                        
# H       =        4.22600000000 / 2MASS H magnitude                              
# HERR    =       0.204000000000 / 2MASS H magnitude error                        
# KS      =        4.01800000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0360000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0351010000000 / Relative error in the absolute flux calibration
# RV      =        30.9711380000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.850000000000 / Intrinsic Color                                
# E(B-V)  =    -0.00600004000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.811173                1.01763e-10         1.78099e-13
             0.811375                1.01966e-10         1.78308e-13
             0.811578                1.01512e-10         1.77950e-13
             0.811780                1.01317e-10         1.78172e-13
             0.811982                1.01426e-10         1.77083e-13
             0.812185                1.01717e-10         1.80205e-13
             0.812387                1.02422e-10         1.81109e-13
             0.812589                1.02200e-10         1.81038e-13
             0.812791                1.01314e-10         1.79606e-13
             0.812994                1.01774e-10         1.80986e-13
             0.813196                1.01636e-10         1.81241e-13
             0.813398                1.01786e-10         1.83687e-13
             0.813601                1.02034e-10         1.82815e-13
             0.813803                1.01981e-10         1.84290e-13
             0.814005                1.01529e-10         1.83571e-13
             0.814119                1.01396e-10         1.61086e-13
             0.814352                1.01032e-10         1.52785e-13
             0.814586                1.01191e-10         1.47265e-13
             0.814819                1.01209e-10         1.46283e-13
             0.815052                1.00748e-10         1.48867e-13
             0.815285                1.00752e-10         1.54041e-13
             0.815519                1.00979e-10         1.63460e-13
             0.815752                1.01476e-10         1.57459e-13
             0.815985                1.02136e-10         1.50710e-13
             0.816218                1.00886e-10         1.47682e-13
             0.816451                1.00578e-10         1.49252e-13
             0.816684                1.01327e-10         1.52205e-13
             0.816918                1.01244e-10         1.57507e-13
             0.817151                1.01008e-10         1.60531e-13
             0.817384                1.00960e-10         1.51087e-13
             0.817617                1.01154e-10         1.46910e-13
             0.817850                1.00900e-10         1.47149e-13
             0.818083                1.00529e-10         1.48205e-13
             0.818317                9.83942e-11         1.53964e-13
             0.818550                9.67118e-11         1.53381e-13
             0.818783                9.81654e-11         1.52431e-13
             0.819016                1.00083e-10         1.48867e-13
             0.819249                1.01526e-10         1.45950e-13
             0.819482                9.83326e-11         1.46319e-13
             0.819715                9.51911e-11         1.41827e-13
             0.819948                9.76759e-11         1.51413e-13
             0.820181                9.92464e-11         1.55824e-13
             0.820414                1.00240e-10         1.48728e-13
             0.820647                1.00599e-10         1.43557e-13
             0.820880                9.97434e-11         1.40216e-13
             0.821113                9.95906e-11         1.41356e-13
             0.821346                9.93056e-11         1.46467e-13
             0.821580                9.81805e-11         1.50181e-13
             0.821812                9.96801e-11         1.50808e-13
             0.822046                9.91686e-11         1.44364e-13
             0.822278                9.77785e-11         1.39619e-13
             0.822511                9.96689e-11         1.41251e-13
             0.822744                1.01613e-10         1.48241e-13
             0.822977                1.00965e-10         1.55982e-13
             0.823210                9.95683e-11         1.57210e-13
             0.823443                9.89074e-11         1.47428e-13
             0.823676                9.98293e-11         1.42743e-13
             0.823909                1.00019e-10         1.39480e-13
             0.824142                1.00203e-10         1.40342e-13
             0.824375                1.00213e-10         1.44648e-13
