# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:46:01 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7998 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 10697'           /                                                
# SPTYPE  = 'G3 Va   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.3'     / Spectroscopy Mode                              
# SXDUT   = '2000 Oct 24'        / UT date of SXD observations                    
# LXDUT   = '2000 Oct 25'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.806765 / Minimum wavelength (um)                        
# MAXWAVE =              5.42496 / Maximum wavelength (um)                        
# V       =        6.26000000000 / V magnitude                                    
# VERR    =        0.00000000000 / V magnitude error                              
# (B-V)   =       0.725000000000 / B-V color                                      
# (B-V)ERR=     0.00500000000000 / B-V color error                                
# J       =        5.38600000000 / 2MASS J magnitude                              
# JERR    =       0.268000000000 / 2MASS J magnitude error                        
# H       =        4.67800000000 / 2MASS H magnitude                              
# HERR    =      0.0310000000000 / 2MASS H magnitude error                        
# KS      =        4.60100000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0210000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DEA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0173498000000 / Relative error in the absolute flux calibration
# RV      =       -34.5101390000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.650000000000 / Intrinsic Color                                
# E(B-V)  =      0.0750000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.806765                6.92964e-11         1.38152e-13
             0.806968                6.88185e-11         1.37555e-13
             0.807171                6.81690e-11         1.36700e-13
             0.807373                6.75731e-11         1.36288e-13
             0.807576                6.75458e-11         1.36998e-13
             0.807778                6.80310e-11         1.37209e-13
             0.807981                6.83611e-11         1.38197e-13
             0.808183                6.80607e-11         1.37283e-13
             0.808386                6.80186e-11         1.37746e-13
             0.808588                6.69997e-11         1.36633e-13
             0.808791                6.70403e-11         1.36990e-13
             0.808994                6.79069e-11         1.39176e-13
             0.809196                6.79750e-11         1.40269e-13
             0.809399                6.66640e-11         1.37116e-13
             0.809601                6.66128e-11         1.37604e-13
             0.809778                6.65320e-11         1.13905e-13
             0.810011                6.59635e-11         1.12664e-13
             0.810244                6.68620e-11         1.15363e-13
             0.810478                6.80644e-11         1.21534e-13
             0.810711                6.81688e-11         1.28636e-13
             0.810944                6.81573e-11         1.23385e-13
             0.811177                6.81102e-11         1.17480e-13
             0.811411                6.82519e-11         1.14870e-13
             0.811644                6.81384e-11         1.15547e-13
             0.811877                6.79143e-11         1.17699e-13
             0.812110                6.80589e-11         1.23232e-13
             0.812343                6.82382e-11         1.26680e-13
             0.812577                6.81782e-11         1.20004e-13
             0.812810                6.79199e-11         1.15784e-13
             0.813043                6.79819e-11         1.13264e-13
             0.813276                6.78774e-11         1.14968e-13
             0.813509                6.79273e-11         1.19347e-13
             0.813742                6.79779e-11         1.25892e-13
             0.813976                6.81371e-11         1.23334e-13
             0.814209                6.80254e-11         1.17534e-13
             0.814442                6.76119e-11         1.14072e-13
             0.814675                6.75214e-11         1.13106e-13
             0.814908                6.74646e-11         1.15448e-13
             0.815141                6.72395e-11         1.20216e-13
             0.815374                6.73773e-11         1.25085e-13
             0.815607                6.77852e-11         1.20824e-13
             0.815841                6.75211e-11         1.15479e-13
             0.816074                6.78232e-11         1.13381e-13
             0.816307                6.75968e-11         1.15656e-13
             0.816540                6.75625e-11         1.19380e-13
             0.816773                6.76252e-11         1.23268e-13
             0.817006                6.79440e-11         1.24930e-13
             0.817239                6.72754e-11         1.18030e-13
             0.817472                6.73655e-11         1.14682e-13
             0.817705                6.73773e-11         1.11801e-13
             0.817938                6.73654e-11         1.14453e-13
             0.818171                6.67684e-11         1.18629e-13
             0.818404                6.51819e-11         1.21164e-13
             0.818637                6.46319e-11         1.15066e-13
             0.818870                6.58652e-11         1.12789e-13
             0.819103                6.67458e-11         1.10873e-13
             0.819336                6.68223e-11         1.11782e-13
             0.819569                6.40280e-11         1.10879e-13
             0.819802                6.35003e-11         1.13658e-13
             0.820035                6.50399e-11         1.18512e-13
