# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:46:39 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7596 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 6474 '           /                                                
# SPTYPE  = 'G4 Ia   '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2003 Aug 10'        / UT date of SXD observations                    
# LXDUT   = '2003 Aug 10'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807420 / Minimum wavelength (um)                        
# MAXWAVE =              4.98560 / Maximum wavelength (um)                        
# V       =        7.61100000000 / V magnitude                                    
# VERR    =      0.0100000000000 / V magnitude error                              
# (B-V)   =        1.61700000000 / B-V color                                      
# (B-V)ERR=      0.0300000000000 / B-V color error                                
# J       =        4.80800000000 / 2MASS J magnitude                              
# JERR    =       0.354000000000 / 2MASS J magnitude error                        
# H       =        4.19900000000 / 2MASS H magnitude                              
# HERR    =       0.290000000000 / 2MASS H magnitude error                        
# KS      =        3.91900000000 / 2MASS Ks magnitude                             
# KSERR   =       0.458000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.201465000000 / Relative error in the absolute flux calibration
# RV      =       -80.8515420000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.960000000000 / Intrinsic Color                                
# E(B-V)  =       0.657000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807420                1.28465e-10         2.05273e-13
             0.807622                1.29240e-10         2.04783e-13
             0.807825                1.30166e-10         2.07756e-13
             0.808027                1.29972e-10         2.07063e-13
             0.808229                1.30037e-10         2.07279e-13
             0.808432                1.28988e-10         2.05831e-13
             0.808634                1.25303e-10         2.01684e-13
             0.808836                1.25705e-10         2.03104e-13
             0.809039                1.28405e-10         2.07875e-13
             0.809241                1.29122e-10         2.06894e-13
             0.809443                1.26781e-10         2.05845e-13
             0.809646                1.26997e-10         2.05824e-13
             0.809848                1.27699e-10         2.06749e-13
             0.810050                1.27071e-10         2.06404e-13
             0.810253                1.27822e-10         2.06660e-13
             0.810455                1.29282e-10         2.09056e-13
             0.810657                1.29081e-10         2.09561e-13
             0.810672                1.28824e-10         1.72566e-13
             0.810906                1.28830e-10         1.76626e-13
             0.811139                1.28614e-10         1.86375e-13
             0.811373                1.29177e-10         1.92081e-13
             0.811606                1.28567e-10         1.80871e-13
             0.811840                1.28561e-10         1.73229e-13
             0.812073                1.28825e-10         1.70846e-13
             0.812307                1.28287e-10         1.73050e-13
             0.812540                1.28030e-10         1.79681e-13
             0.812774                1.28108e-10         1.94784e-13
             0.813007                1.28680e-10         1.84587e-13
             0.813241                1.27836e-10         1.75236e-13
             0.813474                1.27883e-10         1.70890e-13
             0.813708                1.27880e-10         1.72903e-13
             0.813941                1.28339e-10         1.78713e-13
             0.814175                1.28370e-10         1.85277e-13
             0.814408                1.27144e-10         1.89787e-13
             0.814641                1.27599e-10         1.81082e-13
             0.814875                1.27459e-10         1.73407e-13
             0.815108                1.26495e-10         1.70929e-13
             0.815341                1.27623e-10         1.77608e-13
             0.815575                1.27733e-10         1.82387e-13
             0.815808                1.27604e-10         1.91496e-13
             0.816042                1.27555e-10         1.85786e-13
             0.816275                1.27286e-10         1.76399e-13
             0.816508                1.26789e-10         1.74539e-13
             0.816742                1.26364e-10         1.77145e-13
             0.816975                1.27931e-10         1.80488e-13
             0.817208                1.26824e-10         1.85666e-13
             0.817442                1.26518e-10         1.89653e-13
             0.817675                1.27796e-10         1.78389e-13
             0.817908                1.26841e-10         1.71632e-13
             0.818141                1.25415e-10         1.72818e-13
             0.818375                1.18525e-10         1.68728e-13
             0.818608                1.14906e-10         1.67779e-13
             0.818841                1.19631e-10         1.77721e-13
             0.819074                1.23857e-10         1.78551e-13
             0.819308                1.25892e-10         1.74760e-13
             0.819541                1.17787e-10         1.62847e-13
             0.819774                1.14762e-10         1.58607e-13
             0.820007                1.19039e-10         1.66146e-13
             0.820241                1.18678e-10         1.73417e-13
             0.820474                1.20774e-10         1.79430e-13
             0.820707                1.25929e-10         1.74744e-13
             0.820940                1.26197e-10         1.66000e-13
             0.821173                1.25023e-10         1.62850e-13
             0.821407                1.22718e-10         1.62617e-13
             0.821640                1.20163e-10         1.65989e-13
             0.821873                1.21082e-10         1.73021e-13
             0.822106                1.19271e-10         1.68774e-13
             0.822339                1.17899e-10         1.62258e-13
             0.822572                1.22775e-10         1.63133e-13
             0.822805                1.27009e-10         1.67277e-13
             0.823039                1.25617e-10         1.75265e-13
             0.823272                1.23831e-10         1.85525e-13
             0.823505                1.24110e-10         1.88007e-13
             0.823738                1.25149e-10         1.75315e-13
             0.823971                1.26168e-10         1.66548e-13
             0.824204                1.25301e-10         1.62659e-13
             0.824437                1.23660e-10         1.63455e-13
             0.824670                1.23984e-10         1.67920e-13
             0.824903                1.19803e-10         1.71722e-13
             0.825136                1.16112e-10         1.66737e-13
             0.825369                1.20109e-10         1.59684e-13
             0.825602                1.22443e-10         1.58386e-13
             0.825835                1.22906e-10         1.58854e-13
             0.826068                1.25425e-10         1.65696e-13
             0.826301                1.26240e-10         1.72198e-13
