# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:46:45 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7536 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 108477'          /                                                
# SPTYPE  = 'G4 III  '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2004 Jul 05'        / UT date of SXD observations                    
# LXDUT   = '2001 Aug 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.812116 / Minimum wavelength (um)                        
# MAXWAVE =              4.94214 / Maximum wavelength (um)                        
# V       =        6.31300000000 / V magnitude                                    
# VERR    =      0.0290000000000 / V magnitude error                              
# (B-V)   =       0.865000000000 / B-V color                                      
# (B-V)ERR=      0.0190000000000 / B-V color error                                
# J       =        4.83800000000 / 2MASS J magnitude                              
# JERR    =      0.0370000000000 / 2MASS J magnitude error                        
# H       =        4.49700000000 / 2MASS H magnitude                              
# HERR    =       0.232000000000 / 2MASS H magnitude error                        
# KS      =        4.27100000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0360000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'EDE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0256440000000 / Relative error in the absolute flux calibration
# RV      =       -20.1504370000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.880000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0150000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.812116                7.53467e-11         2.21273e-13
             0.812318                7.55500e-11         2.25160e-13
             0.812521                7.58271e-11         2.25887e-13
             0.812723                7.48291e-11         2.23542e-13
             0.812926                7.50098e-11         2.23292e-13
             0.813128                7.47127e-11         2.22882e-13
             0.813331                7.45103e-11         2.22876e-13
             0.813533                7.53801e-11         2.28848e-13
             0.813736                7.48502e-11         2.25206e-13
             0.813938                7.46601e-11         2.26658e-13
             0.814141                7.47416e-11         2.26446e-13
             0.814343                7.46629e-11         2.28943e-13
             0.814546                7.44555e-11         2.26295e-13
             0.814748                7.46032e-11         2.27404e-13
             0.814951                7.46307e-11         2.29698e-13
             0.814977                7.45272e-11         1.82272e-13
             0.815210                7.45145e-11         1.88484e-13
             0.815443                7.49844e-11         1.98320e-13
             0.815677                7.44760e-11         1.96492e-13
             0.815910                7.54915e-11         1.90204e-13
             0.816143                7.52036e-11         1.82449e-13
             0.816376                7.41178e-11         1.82299e-13
             0.816609                7.43164e-11         1.87567e-13
             0.816842                7.50621e-11         1.94427e-13
             0.817075                7.45962e-11         2.00242e-13
             0.817308                7.45032e-11         1.92739e-13
             0.817541                7.47001e-11         1.82229e-13
             0.817774                7.46835e-11         1.79588e-13
             0.818007                7.45406e-11         1.84054e-13
             0.818240                7.34600e-11         1.85422e-13
             0.818473                7.17348e-11         1.87378e-13
             0.818706                7.21307e-11         1.90031e-13
             0.818939                7.37660e-11         1.87133e-13
             0.819172                7.47623e-11         1.83276e-13
             0.819405                7.39243e-11         1.77861e-13
             0.819638                7.11070e-11         1.78013e-13
             0.819870                7.23931e-11         1.82547e-13
             0.820103                7.27612e-11         1.92181e-13
             0.820336                7.31346e-11         1.88286e-13
             0.820569                7.41743e-11         1.80820e-13
             0.820802                7.36597e-11         1.73850e-13
             0.821035                7.29968e-11         1.71273e-13
             0.821268                7.35706e-11         1.76872e-13
             0.821501                7.23512e-11         1.88083e-13
             0.821734                7.30419e-11         1.89190e-13
             0.821967                7.36409e-11         1.84056e-13
             0.822200                7.20490e-11         1.73557e-13
             0.822432                7.28929e-11         1.72716e-13
             0.822665                7.50959e-11         1.78550e-13
             0.822898                7.53724e-11         1.89599e-13
             0.823131                7.42217e-11         1.97733e-13
             0.823364                7.34334e-11         1.92411e-13
             0.823597                7.40109e-11         1.82981e-13
             0.823830                7.43248e-11         1.77633e-13
             0.824062                7.39602e-11         1.73231e-13
             0.824295                7.40991e-11         1.74910e-13
             0.824528                7.43547e-11         1.82582e-13
             0.824761                7.44642e-11         1.90055e-13
             0.824994                7.34493e-11         1.81562e-13
             0.825227                7.38499e-11         1.77819e-13
             0.825459                7.45203e-11         1.74338e-13
             0.825692                7.41442e-11         1.74633e-13
             0.825925                7.39423e-11         1.77948e-13
             0.826158                7.48351e-11         1.88904e-13
             0.826391                7.51794e-11         1.89508e-13
             0.826623                7.43170e-11         1.82221e-13
             0.826856                7.40208e-11         1.73962e-13
             0.827089                7.42259e-11         1.72415e-13
             0.827322                7.47196e-11         1.78234e-13
             0.827554                7.31593e-11         1.77393e-13
             0.827787                7.28058e-11         1.82432e-13
             0.828020                7.41476e-11         1.84593e-13
             0.828253                7.48564e-11         1.79842e-13
             0.828485                7.45473e-11         1.77167e-13
             0.828718                7.44271e-11         1.75233e-13
             0.828951                7.34551e-11         1.82253e-13
             0.829183                7.34321e-11         1.78992e-13
             0.829416                7.35496e-11         1.84153e-13
             0.829649                7.27427e-11         1.78100e-13
             0.829882                7.24969e-11         1.71079e-13
             0.830114                7.32735e-11         1.69642e-13
             0.830347                7.37239e-11         1.71287e-13
             0.830580                7.31084e-11         1.73126e-13
             0.830812                7.27360e-11         1.80738e-13
             0.831045                7.22069e-11         1.77533e-13
             0.831278                7.19204e-11         1.70903e-13
             0.831510                7.28967e-11         1.69039e-13
             0.831743                7.38513e-11         1.70175e-13
             0.831976                7.38583e-11         1.71007e-13
             0.832208                7.31290e-11         1.74693e-13
             0.832441                7.24997e-11         1.77653e-13
             0.832673                7.15956e-11         1.73337e-13
             0.832906                7.07806e-11         1.66167e-13
             0.833139                7.17289e-11         1.73179e-13
             0.833371                7.05646e-11         1.62565e-13
             0.833604                7.02990e-11         1.63842e-13
             0.833836                7.06766e-11         1.68442e-13
             0.834069                7.07077e-11         1.72762e-13
             0.834302                7.20047e-11         1.70711e-13
             0.834534                7.23941e-11         1.69323e-13
             0.834767                7.10956e-11         1.61199e-13
             0.834999                7.11586e-11         1.62980e-13
             0.835232                7.32853e-11         1.69825e-13
             0.835464                7.40353e-11         1.75069e-13
             0.835697                7.32188e-11         1.74676e-13
             0.835930                7.28843e-11         1.70463e-13
             0.836162                7.24182e-11         1.65856e-13
             0.836395                7.22268e-11         1.63438e-13
             0.836627                7.12332e-11         1.61693e-13
             0.836860                7.24195e-11         1.67077e-13
             0.837092                7.30843e-11         1.72257e-13
             0.837325                7.26837e-11         1.69808e-13
             0.837557                7.28883e-11         1.69604e-13
             0.837790                7.26348e-11         1.72725e-13
             0.838022                7.25901e-11         1.64795e-13
             0.838255                7.27802e-11         1.66083e-13
             0.838487                7.13428e-11         1.64414e-13
             0.838720                7.11617e-11         1.69644e-13
             0.838952                6.99403e-11         1.62854e-13
             0.839185                7.10300e-11         1.61839e-13
             0.839417                7.29168e-11         1.63973e-13
             0.839650                7.33252e-11         1.64903e-13
             0.839882                7.25361e-11         1.64744e-13
             0.840114                7.24824e-11         1.67956e-13
