# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:46:42 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 4129 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 94481'           /                                                
# SPTYPE  = 'G4 III-IIIb'        / Spectral Type                                  
# OBSMODE = 'SXD     '           / Spectroscopy Mode                              
# SXDUT   = '2003 Feb 25'        / UT date of SXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# MINWAVE =             0.812066 / Minimum wavelength (um)                        
# MAXWAVE =              2.41772 / Maximum wavelength (um)                        
# V       =        5.65300000000 / V magnitude                                    
# VERR    =     0.00500000000000 / V magnitude error                              
# (B-V)   =       0.830000000000 / B-V color                                      
# (B-V)ERR=        0.00000000000 / B-V color error                                
# J       =        4.23500000000 / 2MASS J magnitude                              
# JERR    =       0.234000000000 / 2MASS J magnitude error                        
# H       =        3.75600000000 / 2MASS H magnitude                              
# HERR    =       0.224000000000 / 2MASS H magnitude error                        
# KS      =        3.74500000000 / 2MASS Ks magnitude                             
# KSERR   =       0.246000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DDD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.135188000000 / Relative error in the absolute flux calibration
# RV      =       -6.00334920000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.880000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0500000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.812066                1.37500e-10         2.22328e-13
             0.812269                1.37627e-10         2.25368e-13
             0.812471                1.38198e-10         2.26222e-13
             0.812674                1.37688e-10         2.38528e-13
             0.812876                1.36712e-10         2.24081e-13
             0.813078                1.37142e-10         2.25524e-13
             0.813281                1.36502e-10         2.25177e-13
             0.813483                1.37311e-10         2.29038e-13
             0.813685                1.37558e-10         2.28493e-13
             0.813888                1.37163e-10         2.29359e-13
             0.814090                1.37390e-10         2.29573e-13
             0.814293                1.36185e-10         2.29073e-13
             0.814495                1.35843e-10         2.28129e-13
             0.814697                1.36517e-10         2.29322e-13
             0.814900                1.36848e-10         2.31639e-13
             0.814916                1.36501e-10         1.82351e-13
             0.815149                1.35680e-10         1.86982e-13
             0.815382                1.36633e-10         1.98774e-13
             0.815615                1.36558e-10         2.01885e-13
             0.815848                1.36932e-10         1.92385e-13
             0.816081                1.37263e-10         1.84459e-13
             0.816314                1.35717e-10         1.83069e-13
             0.816548                1.35955e-10         1.87402e-13
             0.816781                1.36799e-10         1.91884e-13
             0.817014                1.36492e-10         1.98263e-13
             0.817247                1.36103e-10         1.96426e-13
             0.817480                1.36059e-10         1.84606e-13
             0.817713                1.36315e-10         1.80933e-13
             0.817946                1.36089e-10         1.83636e-13
             0.818179                1.35007e-10         1.90648e-13
             0.818412                1.31516e-10         1.87570e-13
             0.818645                1.30811e-10         1.93379e-13
             0.818878                1.33139e-10         1.87051e-13
             0.819111                1.35309e-10         1.83897e-13
             0.819344                1.36631e-10         1.80677e-13
             0.819577                1.29634e-10         1.77181e-13
             0.819810                1.28509e-10         1.76278e-13
             0.820043                1.32366e-10         1.90017e-13
             0.820276                1.33495e-10         1.90747e-13
             0.820509                1.34687e-10         1.81744e-13
             0.820742                1.35241e-10         1.76518e-13
             0.820975                1.34295e-10         1.73741e-13
             0.821208                1.34478e-10         1.76895e-13
             0.821441                1.32867e-10         1.81999e-13
             0.821674                1.32484e-10         1.87772e-13
             0.821906                1.34497e-10         1.85780e-13
             0.822139                1.32182e-10         1.76901e-13
             0.822372                1.32136e-10         1.72875e-13
             0.822605                1.36113e-10         1.77764e-13
             0.822838                1.37301e-10         1.86912e-13
             0.823071                1.35759e-10         1.96516e-13
             0.823304                1.33684e-10         1.94056e-13
             0.823537                1.33726e-10         1.82504e-13
             0.823770                1.34996e-10         1.77374e-13
             0.824003                1.34860e-10         1.73688e-13
             0.824235                1.35191e-10         1.75106e-13
             0.824468                1.35644e-10         1.81525e-13
