# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:45:20 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 6958 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 109358'          /                                                
# SPTYPE  = 'G0 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD1.9'     / Spectroscopy Mode                              
# SXDUT   = '2007 Jun 24'        / UT date of SXD observations                    
# LXDUT   = '2007 Jun 24'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803421 / Minimum wavelength (um)                        
# MAXWAVE =              4.18623 / Maximum wavelength (um)                        
# V       =        4.26000000000 / V magnitude                                    
# VERR    =     0.00700000000000 / V magnitude error                              
# (B-V)   =       0.585000000000 / B-V color                                      
# (B-V)ERR=     0.00500000000000 / B-V color error                                
# J       =        3.21300000000 / 2MASS J magnitude                              
# JERR    =       0.218000000000 / 2MASS J magnitude error                        
# H       =        2.90500000000 / 2MASS H magnitude                              
# HERR    =       0.198000000000 / 2MASS H magnitude error                        
# KS      =        2.84800000000 / 2MASS Ks magnitude                             
# KSERR   =       0.310000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'DCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.132505000000 / Relative error in the absolute flux calibration
# RV      =        31.0142900000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.600000000000 / Intrinsic Color                                
# E(B-V)  =     -0.0150000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803421                4.30009e-10         8.35427e-13
             0.803623                4.27914e-10         8.30225e-13
             0.803826                4.27712e-10         8.33459e-13
             0.804028                4.26374e-10         8.31541e-13
             0.804230                4.28140e-10         8.33880e-13
             0.804433                4.28313e-10         8.41297e-13
             0.804635                4.20912e-10         8.27291e-13
             0.804837                4.15139e-10         8.19694e-13
             0.805040                4.13926e-10         8.19749e-13
             0.805242                4.19792e-10         8.33650e-13
             0.805445                4.23074e-10         8.32058e-13
             0.805647                4.23040e-10         8.39811e-13
             0.805849                4.24951e-10         8.43000e-13
             0.806052                4.25515e-10         8.45814e-13
             0.806254                4.23774e-10         8.40767e-13
             0.806456                4.25963e-10         8.53784e-13
             0.806659                4.25178e-10         8.49185e-13
             0.806861                4.25898e-10         8.58156e-13
             0.807063                4.26272e-10         8.57812e-13
             0.807085                4.25822e-10         7.33629e-13
             0.807318                4.21381e-10         7.49800e-13
             0.807551                4.20134e-10         7.90198e-13
             0.807784                4.22430e-10         8.04839e-13
             0.808017                4.22667e-10         7.56242e-13
             0.808250                4.20543e-10         7.23057e-13
             0.808483                4.18526e-10         7.11054e-13
             0.808716                4.14676e-10         7.19517e-13
             0.808949                4.16916e-10         7.53606e-13
             0.809182                4.19541e-10         8.01760e-13
             0.809415                4.17348e-10         7.67985e-13
             0.809649                4.15858e-10         7.30031e-13
             0.809882                4.14265e-10         7.06538e-13
             0.810115                4.13173e-10         7.13062e-13
             0.810348                4.17655e-10         7.30753e-13
             0.810581                4.19062e-10         7.72780e-13
             0.810814                4.20103e-10         7.96259e-13
             0.811047                4.20332e-10         7.55716e-13
             0.811280                4.21424e-10         7.24060e-13
             0.811513                4.20471e-10         7.11321e-13
             0.811746                4.19667e-10         7.22288e-13
             0.811979                4.20056e-10         7.55260e-13
             0.812211                4.20337e-10         7.91057e-13
             0.812444                4.19420e-10         7.72435e-13
             0.812677                4.19812e-10         7.40133e-13
             0.812910                4.20307e-10         7.14773e-13
             0.813143                4.18898e-10         7.11781e-13
             0.813376                4.18867e-10         7.33266e-13
             0.813609                4.18034e-10         7.64660e-13
             0.813842                4.17365e-10         7.94878e-13
             0.814075                4.18065e-10         7.53073e-13
             0.814308                4.17742e-10         7.28254e-13
             0.814541                4.17301e-10         7.08637e-13
             0.814774                4.15982e-10         7.12701e-13
             0.815007                4.15471e-10         7.39157e-13
             0.815239                4.14966e-10         7.71385e-13
             0.815472                4.15471e-10         8.03966e-13
             0.815705                4.15674e-10         7.75701e-13
             0.815938                4.15354e-10         7.15408e-13
             0.816171                4.14210e-10         7.10967e-13
             0.816404                4.14698e-10         7.37845e-13
             0.816637                4.14379e-10         7.62715e-13
             0.816869                4.13286e-10         7.91631e-13
             0.817102                4.13621e-10         7.61125e-13
             0.817335                4.12774e-10         7.18546e-13
             0.817568                4.13030e-10         7.01570e-13
             0.817801                4.13524e-10         7.18897e-13
             0.818034                4.12233e-10         7.39828e-13
             0.818266                4.07942e-10         7.58311e-13
             0.818499                3.99999e-10         7.50475e-13
             0.818732                4.01895e-10         7.25403e-13
             0.818965                4.08935e-10         7.18782e-13
             0.819198                4.10846e-10         7.05523e-13
             0.819430                4.06169e-10         7.07017e-13
             0.819663                3.94093e-10         7.08672e-13
             0.819896                3.91984e-10         7.35264e-13
             0.820129                3.99612e-10         7.37399e-13
             0.820361                4.06448e-10         7.17551e-13
