# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:46:03 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7621 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 179821'          /                                                
# SPTYPE  = 'G4 O-Ia '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2001 Oct 11'        / UT date of SXD observations                    
# LXDUT   = '2005 Aug 26'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.807451 / Minimum wavelength (um)                        
# MAXWAVE =              5.03348 / Maximum wavelength (um)                        
# V       =        8.14500000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =        1.55500000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        5.37100000000 / 2MASS J magnitude                              
# JERR    =      0.0230000000000 / 2MASS J magnitude error                        
# H       =        4.99800000000 / 2MASS H magnitude                              
# HERR    =      0.0230000000000 / 2MASS H magnitude error                        
# KS      =        4.72800000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0200000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'AAA     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0126181000000 / Relative error in the absolute flux calibration
# RV      =        121.677930000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.960000000000 / Intrinsic Color                                
# E(B-V)  =       0.595000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.807451                3.23071e-11         9.96774e-14
             0.807654                3.24595e-11         1.00774e-13
             0.807856                3.24508e-11         1.00081e-13
             0.808059                3.24424e-11         1.01085e-13
             0.808261                3.23814e-11         1.00572e-13
             0.808464                3.22852e-11         1.00763e-13
             0.808666                3.18796e-11         9.94513e-14
             0.808869                3.18913e-11         9.97156e-14
             0.809071                3.21736e-11         1.00052e-13
             0.809273                3.24724e-11         1.01699e-13
             0.809476                3.23935e-11         1.01020e-13
             0.809678                3.21923e-11         1.01780e-13
             0.809881                3.23395e-11         1.02098e-13
             0.810083                3.19838e-11         1.00865e-13
             0.810285                3.21046e-11         1.01449e-13
             0.810488                3.22670e-11         1.01946e-13
             0.810607                3.24190e-11         9.07047e-14
             0.810840                3.25608e-11         8.68888e-14
             0.811073                3.24412e-11         8.37164e-14
             0.811306                3.23712e-11         8.32872e-14
             0.811540                3.23841e-11         8.50171e-14
             0.811773                3.24073e-11         8.86322e-14
             0.812006                3.24777e-11         9.33019e-14
             0.812239                3.25516e-11         8.92473e-14
             0.812472                3.23461e-11         8.47025e-14
             0.812705                3.25879e-11         8.30888e-14
             0.812938                3.26480e-11         8.39867e-14
             0.813171                3.24046e-11         8.60008e-14
             0.813404                3.21940e-11         8.97538e-14
             0.813637                3.23253e-11         9.03847e-14
             0.813870                3.24094e-11         8.62113e-14
             0.814103                3.23515e-11         8.34334e-14
             0.814336                3.24603e-11         8.23427e-14
             0.814569                3.23894e-11         8.37768e-14
             0.814802                3.22387e-11         8.68552e-14
             0.815035                3.23010e-11         9.09537e-14
             0.815268                3.23454e-11         9.06588e-14
             0.815501                3.23535e-11         8.45118e-14
             0.815734                3.24307e-11         8.26184e-14
             0.815967                3.24753e-11         8.29676e-14
             0.816200                3.23933e-11         8.60089e-14
             0.816433                3.25943e-11         8.90730e-14
             0.816666                3.24409e-11         9.10918e-14
             0.816898                3.23454e-11         8.70324e-14
             0.817131                3.25207e-11         8.32621e-14
             0.817364                3.27888e-11         8.24552e-14
             0.817597                3.26021e-11         8.57665e-14
             0.817830                3.24997e-11         8.72700e-14
             0.818063                3.25202e-11         8.96732e-14
             0.818296                3.12345e-11         8.49276e-14
             0.818529                2.75765e-11         7.46112e-14
             0.818762                2.65840e-11         7.15175e-14
             0.818995                2.84939e-11         7.46946e-14
             0.819227                3.04757e-11         7.92040e-14
             0.819460                3.09421e-11         8.37262e-14
             0.819693                2.86444e-11         8.20853e-14
             0.819926                2.95593e-11         8.05946e-14
             0.820159                2.99421e-11         7.73089e-14
             0.820392                2.83947e-11         7.29702e-14
             0.820624                3.04627e-11         7.70226e-14
             0.820857                3.23242e-11         8.25633e-14
             0.821090                3.14768e-11         8.47969e-14
             0.821323                3.02947e-11         8.27994e-14
             0.821556                2.95465e-11         7.80099e-14
             0.821788                2.79943e-11         7.46484e-14
             0.822021                2.86646e-11         7.35834e-14
             0.822254                2.97019e-11         7.70826e-14
             0.822487                2.88965e-11         7.82343e-14
             0.822720                3.02850e-11         8.52207e-14
             0.822952                3.20856e-11         8.70416e-14
             0.823185                3.22592e-11         8.39758e-14
             0.823418                3.18653e-11         8.15641e-14
             0.823651                3.09567e-11         7.76914e-14
             0.823883                3.13624e-11         7.94904e-14
             0.824116                3.18384e-11         8.37710e-14
             0.824349                3.01904e-11         8.22445e-14
             0.824581                2.98904e-11         7.92004e-14
             0.824814                3.09262e-11         7.78917e-14
             0.825047                2.85816e-11         7.25295e-14
             0.825280                2.91302e-11         7.36546e-14
             0.825512                3.07430e-11         7.91840e-14
             0.825745                3.07758e-11         8.15003e-14
             0.825978                3.17619e-11         8.44406e-14
             0.826210                3.24394e-11         8.16600e-14
             0.826443                3.22165e-11         7.92776e-14
             0.826676                3.23000e-11         7.86945e-14
