# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:46:48 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7568 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 214850'          /                                                
# SPTYPE  = 'G4 V    '           / Spectral Type                                  
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2004 Jul 05'        / UT date of SXD observations                    
# LXDUT   = '2001 Aug 06'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803488 / Minimum wavelength (um)                        
# MAXWAVE =              4.92627 / Maximum wavelength (um)                        
# V       =        5.72600000000 / V magnitude                                    
# VERR    =      0.0140000000000 / V magnitude error                              
# (B-V)   =       0.714000000000 / B-V color                                      
# (B-V)ERR=     0.00700000000000 / B-V color error                                
# J       =        4.61900000000 / 2MASS J magnitude                              
# JERR    =       0.196000000000 / 2MASS J magnitude error                        
# H       =        4.21200000000 / 2MASS H magnitude                              
# HERR    =       0.180000000000 / 2MASS H magnitude error                        
# KS      =        3.93700000000 / 2MASS Ks magnitude                             
# KSERR   =      0.0360000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCE     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =      0.0347419000000 / Relative error in the absolute flux calibration
# RV      =       -12.6340260000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.660000000000 / Intrinsic Color                                
# E(B-V)  =      0.0540000000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803488                1.23667e-10         2.93325e-13
             0.803690                1.23691e-10         2.91852e-13
             0.803893                1.23772e-10         2.94426e-13
             0.804095                1.24393e-10         2.95544e-13
             0.804298                1.23655e-10         2.94691e-13
             0.804501                1.22765e-10         2.92422e-13
             0.804703                1.19391e-10         2.85834e-13
             0.804906                1.18486e-10         2.83662e-13
             0.805108                1.19922e-10         2.89295e-13
             0.805311                1.22077e-10         2.91365e-13
             0.805513                1.22421e-10         2.95434e-13
             0.805716                1.22335e-10         2.93455e-13
             0.805919                1.22694e-10         2.95336e-13
             0.806121                1.23283e-10         2.97438e-13
             0.806324                1.22885e-10         2.95743e-13
             0.806526                1.23419e-10         2.98270e-13
             0.806729                1.22917e-10         2.98008e-13
             0.806931                1.22803e-10         2.95584e-13
             0.807134                1.21877e-10         2.96804e-13
             0.807138                1.21515e-10         2.49922e-13
             0.807371                1.20824e-10         2.53280e-13
             0.807605                1.20977e-10         2.64844e-13
             0.807838                1.21546e-10         2.82000e-13
             0.808072                1.21821e-10         2.70001e-13
             0.808305                1.20809e-10         2.61792e-13
             0.808538                1.19819e-10         2.46277e-13
             0.808772                1.19753e-10         2.46784e-13
             0.809005                1.21203e-10         2.57818e-13
             0.809238                1.20815e-10         2.70619e-13
             0.809472                1.19390e-10         2.72940e-13
             0.809705                1.19390e-10         2.57612e-13
             0.809938                1.18597e-10         2.48730e-13
             0.810172                1.18752e-10         2.41412e-13
             0.810405                1.20618e-10         2.49970e-13
             0.810638                1.21326e-10         2.62138e-13
             0.810872                1.20971e-10         2.74714e-13
             0.811105                1.21011e-10         2.67589e-13
             0.811338                1.21169e-10         2.68600e-13
             0.811571                1.20963e-10         2.47832e-13
             0.811805                1.20741e-10         2.45799e-13
             0.812038                1.20875e-10         2.53255e-13
             0.812271                1.21255e-10         2.66082e-13
             0.812504                1.21090e-10         2.74531e-13
             0.812738                1.20535e-10         2.58092e-13
             0.812971                1.20528e-10         2.48102e-13
             0.813204                1.20510e-10         2.44818e-13
             0.813437                1.20670e-10         2.46243e-13
             0.813671                1.20478e-10         2.57015e-13
             0.813904                1.20667e-10         2.84018e-13
             0.814137                1.20348e-10         2.66152e-13
             0.814370                1.19973e-10         2.52336e-13
             0.814603                1.20034e-10         2.44889e-13
             0.814837                1.20187e-10         2.44572e-13
             0.815070                1.19974e-10         2.54576e-13
             0.815303                1.19969e-10         2.65038e-13
             0.815536                1.19876e-10         2.72463e-13
             0.815769                1.20150e-10         2.64932e-13
             0.816002                1.20289e-10         2.50198e-13
             0.816235                1.19989e-10         2.44394e-13
             0.816468                1.19873e-10         2.47720e-13
             0.816702                1.20002e-10         2.54979e-13
             0.816935                1.19895e-10         2.65086e-13
             0.817168                1.19476e-10         2.66457e-13
             0.817401                1.19346e-10         2.52919e-13
             0.817634                1.19560e-10         2.43368e-13
             0.817867                1.19444e-10         2.43149e-13
             0.818100                1.18968e-10         2.47966e-13
             0.818333                1.16409e-10         2.49525e-13
             0.818566                1.14920e-10         2.58019e-13
             0.818799                1.16617e-10         2.54196e-13
             0.819032                1.18522e-10         2.47401e-13
             0.819265                1.19145e-10         2.42653e-13
             0.819498                1.15619e-10         2.35035e-13
             0.819731                1.13049e-10         2.37276e-13
             0.819964                1.15047e-10         2.48062e-13
             0.820197                1.17458e-10         2.65752e-13
             0.820430                1.18216e-10         2.47989e-13
             0.820663                1.18530e-10         2.40475e-13
             0.820896                1.17823e-10         2.35969e-13
             0.821130                1.17578e-10         2.37068e-13
             0.821362                1.16475e-10         2.48040e-13
             0.821595                1.15628e-10         2.50790e-13
             0.821828                1.17340e-10         2.52403e-13
             0.822061                1.15932e-10         2.39290e-13
             0.822294                1.14643e-10         2.30671e-13
             0.822527                1.17524e-10         2.35338e-13
             0.822760                1.19679e-10         2.44882e-13
             0.822993                1.18871e-10         2.58964e-13
             0.823226                1.17307e-10         2.60401e-13
             0.823459                1.16907e-10         2.47884e-13
             0.823692                1.17747e-10         2.39783e-13
             0.823925                1.17988e-10         2.35241e-13
             0.824158                1.17271e-10         2.33738e-13
             0.824391                1.17546e-10         2.39031e-13
             0.824623                1.17733e-10         2.49570e-13
             0.824856                1.16739e-10         2.48094e-13
             0.825089                1.16076e-10         2.42247e-13
             0.825322                1.17117e-10         2.39114e-13
             0.825555                1.17573e-10         2.33859e-13
             0.825788                1.17254e-10         2.34749e-13
             0.826021                1.17741e-10         2.43083e-13
             0.826253                1.17722e-10         2.49062e-13
             0.826486                1.17496e-10         2.43037e-13
             0.826719                1.16469e-10         2.32657e-13
             0.826952                1.16754e-10         2.30879e-13
             0.827185                1.17167e-10         2.29768e-13
             0.827417                1.16943e-10         2.34653e-13
