# SIMPLE  =                    T / Written by IDL:  Tue Dec  1 10:46:57 2009      
# BITPIX  =                  -32 / Number of bits per data pixel                  
# NAXIS   =                    2 / Number of data axes                            
# NAXIS1  =                 7640 /                                                
# NAXIS2  =                    3 /                                                
# DATE    = '2009-12-01'         / Creation UTC (CCCC-MM-DD) date of FITS header  
# XUNITS  = 'um      '           / Wavelength Units                               
# YUNITS  = 'Wm-2um-1'           / Flux Units                                     
# WAVETYPE= 'Vacuum  '           / Wavelength Type                                
# XTITLE  = '!7k !5(!7l!5m!N)'   / IDL X Title                                    
# YTITLE  = '!5f!D!7k!N!5 (W m!U-2!N !7l!5m!U-1!N)' / IDL Y Title                 
# OBJECT  = 'HD 18474'           /                                                
# SPTYPE  = 'G5: III: CN-3 CH-2 H_delta-1' / Spectral Type                        
# OBSMODE = 'SXD and LXD2.1'     / Spectroscopy Mode                              
# SXDUT   = '2006 Dec 21'        / UT date of SXD observations                    
# LXDUT   = '2006 Dec 21'        / UT date of LXD observations                    
# SXD_R   = '2000    '           / Resolving power for SXD mode                   
# LXD_R   = '2500    '           / Resolving power for LXD mode                   
# MINWAVE =             0.803332 / Minimum wavelength (um)                        
# MAXWAVE =              5.02279 / Maximum wavelength (um)                        
# V       =        5.47000000000 / V magnitude                                    
# VERR    = 'NAN     '           / V magnitude error                              
# (B-V)   =       0.890000000000 / B-V color                                      
# (B-V)ERR= 'NAN     '           / B-V color error                                
# J       =        3.61600000000 / 2MASS J magnitude                              
# JERR    =       0.196000000000 / 2MASS J magnitude error                        
# H       =        3.18500000000 / 2MASS H magnitude                              
# HERR    =       0.158000000000 / 2MASS H magnitude error                        
# KS      =        2.97500000000 / 2MASS Ks magnitude                             
# KSERR   =       0.232000000000 / 2MASS Ks magnitude error                       
# QFLAG   = 'CCD     '           / 2MASS quality flag                             
# FCBANDS = 'JHKs    '           / 2MASS bands used for absolute flux calibration 
# ABSFERR =       0.108678000000 / Relative error in the absolute flux calibration
# RV      =        13.2162550000 / Measured radial velocity (km s-1)              
# (B-V)_0 =       0.900000000000 / Intrinsic Color                                
# E(B-V)  =    -0.00999999000000 / Color excess                                   
# COMMENT                                                                         
# COMMENT Please reference Rayner et al. (ApJS, 185, 289) if you use this         
# COMMENT spectrum.  The spectrum has been absolutely flux calibrated using       
# COMMENT 2MASS photometry and has been shifted to zero radial velocity.  For     
# COMMENT other pertinent information, please see Rayner et al. (ApJS, 185,       
# COMMENT 289).                                                                   
# COMMENT Missing data are denoted as -999.                                       
# END                                                                             
#=====================================================================
#Wavelength (microns)  Flux Density (W m-2 um-1)  Error (W m-2 um-1)
#=====================================================================
             0.803332                2.49106e-10         3.85247e-13
             0.803535                2.51344e-10         3.89824e-13
             0.803737                2.50540e-10         3.88576e-13
             0.803939                2.51763e-10         3.89507e-13
             0.804142                2.52404e-10         3.91730e-13
             0.804344                2.51610e-10         3.91858e-13
             0.804547                2.48875e-10         3.88710e-13
             0.804749                2.41588e-10         3.82392e-13
             0.804951                2.37616e-10         3.77714e-13
             0.805154                2.42068e-10         3.79911e-13
             0.805356                2.47291e-10         3.89206e-13
             0.805559                2.48513e-10         3.91671e-13
             0.805761                2.47768e-10         3.90393e-13
             0.805963                2.49046e-10         3.92180e-13
             0.806166                2.50865e-10         3.97633e-13
             0.806368                2.50014e-10         3.95740e-13
             0.806570                2.50192e-10         3.98354e-13
             0.806773                2.50372e-10         3.98057e-13
             0.806946                2.48654e-10         3.44229e-13
             0.807179                2.45583e-10         3.36744e-13
             0.807412                2.44699e-10         3.41354e-13
             0.807645                2.44773e-10         3.57761e-13
             0.807878                2.46612e-10         3.79820e-13
             0.808112                2.47163e-10         3.69783e-13
             0.808345                2.46059e-10         3.49375e-13
             0.808578                2.44186e-10         3.37187e-13
             0.808811                2.44230e-10         3.37404e-13
             0.809045                2.46784e-10         3.46082e-13
             0.809278                2.45174e-10         3.64550e-13
             0.809511                2.41432e-10         3.72208e-13
             0.809744                2.41612e-10         3.55424e-13
             0.809977                2.41742e-10         3.35388e-13
             0.810210                2.44662e-10         3.33632e-13
             0.810444                2.47934e-10         3.41308e-13
             0.810677                2.48085e-10         3.53503e-13
             0.810910                2.46815e-10         3.72626e-13
             0.811143                2.46614e-10         3.64908e-13
             0.811376                2.47330e-10         3.50596e-13
             0.811609                2.46383e-10         3.39197e-13
             0.811842                2.46734e-10         3.36862e-13
             0.812075                2.46769e-10         3.43449e-13
             0.812308                2.47417e-10         3.60364e-13
             0.812542                2.48455e-10         3.77675e-13
             0.812775                2.47397e-10         3.58396e-13
             0.813008                2.46781e-10         3.40289e-13
             0.813241                2.46661e-10         3.33870e-13
             0.813474                2.46686e-10         3.39569e-13
             0.813707                2.46685e-10         3.50823e-13
             0.813940                2.47473e-10         3.66899e-13
             0.814173                2.46450e-10         3.65489e-13
             0.814406                2.45689e-10         3.47555e-13
             0.814639                2.44866e-10         3.34689e-13
             0.814872                2.44411e-10         3.31934e-13
             0.815105                2.43915e-10         3.38510e-13
             0.815338                2.44351e-10         3.53972e-13
             0.815571                2.45808e-10         3.77183e-13
             0.815804                2.44993e-10         3.55444e-13
             0.816037                2.45683e-10         3.41515e-13
             0.816270                2.44745e-10         3.36665e-13
             0.816503                2.44106e-10         3.45601e-13
